,Gansu,Qinghai,Sichuan,Hebei,Yunnan,Guizhou,Hubei,Henan,Shandong,Jiangsu,Anhui,Zhejiang,Jiangxi,Fujian,Guangdong,Hunan,Hainan,Liaoning,Jilin,Heilongjiang,Shanxi,Shaanxi,Taiwan,Beijing,Shanghai,Chongqing,Tianjin,Inner Mongolia,Guangxi,Tibet,Ningxia,Xinjiang,Hong Kong,Macau
Anhui,0.004982052157104038,0.0037983689044250608,0.005684395538431635,0.02180882385012977,0.003877111086986868,0.007168576972953674,0.09472208540143254,0.04648049678354979,0.043446148498935584,0.4324324324324295,inf,0.09020060614807328,0.08321682977165312,0.026645847377915373,0.010868194879776038,0.03169029706484473,0.005317112595176315,0.007345611768257705,0.004767198622470285,0.0035645324741384256,0.017068429038859714,0.013327913315251814,0.015900829705294026,0.015239325995089875,0.05514594374010799,0.008313533268266095,0.01891868371366192,0.008939266622566293,0.006200243049527543,0.0014536622622153784,0.006071936662414288,0.0009828819317011077,0.009863255821293592,0.009309097408533471
Zhejiang,0.003287046243810084,0.0026309385215440967,0.0038410570589026117,0.010755348096841163,0.003011141222523338,0.005119633024704786,0.02886669360891408,0.015867575561394856,0.019604691010465004,0.19392999127315108,0.09020060614807328,inf,0.047649906606183096,0.054751019737742525,0.010116174143868187,0.017889535694990584,0.004958271189667753,0.006976044959214557,0.0047140904162541845,0.0035534872680327944,0.008577234133617877,0.007021599141117999,0.03498338289312576,0.009325878847507891,0.3867424681904304,0.005354138802835986,0.011413310202357993,0.00542166453775973,0.005109444296838276,0.0011824097629209306,0.0038289163592365905,0.000806828870467014,0.010007926277611871,0.009145164859886937
Jiangxi,0.004953238947714106,0.0038121828978613242,0.006948835722574685,0.011184356217271776,0.005363793961655311,0.011270844017154207,0.1700102006120369,0.02381859756097564,0.015443299924327834,0.050912090094034634,0.08321682977165312,0.047649906606183096,inf,0.05438299769959925,0.02663399563202473,0.11664528169835528,0.00946188374751152,0.0043814585437346254,0.003119817203670403,0.002458618379401696,0.010444333270319194,0.012592602853231957,0.023479359295243574,0.007894996545939009,0.026525410016525305,0.0113313677187464,0.00901562046401595,0.006047514108850417,0.010957799323246309,0.0016241346407617192,0.005308179639415354,0.0009770279240442863,0.022769499799628414,0.020989618534672773
Fujian,0.002928880341765191,0.0023912918715206693,0.003947487365079818,0.006022830139928413,0.0036278349262551892,0.006299284023377897,0.02241463944931716,0.009322714140413135,0.008545920220416375,0.027939204291461774,0.026645847377915373,0.054751019737742525,0.05438299769959925,inf,0.0220403647239555,0.02261067359457707,0.008559731087488153,0.0037912564527184845,0.002829314527822771,0.0022694376197412024,0.005410172205781312,0.005740574264087083,0.19598236158745733,0.005009738932484748,0.032080071859360924,0.005709792922940072,0.005723688917507332,0.0036259459639776783,0.007643010276027319,0.0012348603039583944,0.003093169354115307,0.0007617535719577183,0.024535722785589718,0.020699776649410005
Guangdong,0.0039079765318193295,0.003209447586671932,0.007117995003167505,0.0044907611570715565,0.008788550978868808,0.01847114345613561,0.01807141824490387,0.007421899353107254,0.0050970218101563285,0.009119353182517477,0.010868194879776038,0.010116174143868187,0.02663399563202473,0.0220403647239555,inf,0.03913067296931371,0.055084278946788405,0.0022198933074878574,0.0017354699513790742,0.0014495524579263782,0.004610970143507225,0.007054648837217501,0.014572628523297285,0.003432527661882295,0.0075173217887316846,0.011614266965540474,0.003692737640591753,0.00318094486786355,0.04147243741809184,0.001866819248026538,0.003535596562975869,0.0009280099957812666,0.6031363088057923,0.9643201542912254
Hunan,0.006798775948378257,0.005088796962598866,0.01163126110785436,0.010139643165677713,0.008656374814104357,0.023666566478201864,0.14179972207254474,0.023081361800346242,0.011463472790300987,0.020799836929278483,0.03169029706484473,0.017889535694990584,0.11664528169835528,0.02261067359457707,0.03913067296931371,inf,0.013495531629477468,0.003419592555547009,0.0025121121487250786,0.0020266360779727967,0.010691013668460982,0.01882313966204935,0.012657843306026154,0.00670710154618812,0.012350176916284315,0.022916857640480383,0.007305327629333517,0.006217567612939008,0.019744973916889445,0.0020735285671067455,0.006641848293543126,0.001132225865473452,0.027371913132496484,0.02737326179787583
Hainan,0.0033317285507480573,0.0028760119607585412,0.006536520191964527,0.0029289695592193696,0.012009876922781321,0.017808772957734434,0.007940818666641251,0.004382935304368557,0.003117407165173324,0.004639395987757559,0.005317112595176315,0.004958271189667753,0.00946188374751152,0.008559731087488153,0.055084278946788405,0.013495531629477468,inf,0.0015524351264528274,0.001258970796409818,0.001078665686231469,0.003092385958217537,0.004877513443646428,0.006896428064048502,0.0023076456222462572,0.004010959545863113,0.00942498185690993,0.0024265095194394943,0.002302396795063661,0.08310617645103394,0.002131377694834032,0.0028007368178420387,0.0009276511853434086,0.0507614213197968,0.06718172657037247
Liaoning,0.0023842710591933463,0.0020171571316993826,0.0020115086455647357,0.010704013684011112,0.0014137870534147135,0.0019613927300586183,0.004773194503380142,0.006933153995749986,0.014874997954687797,0.008589766495787585,0.007345611768257705,0.006976044959214557,0.0043814585437346254,0.0037912564527184845,0.0022198933074878574,0.003419592555547009,0.0015524351264528274,inf,0.12184274974717604,0.03821899484043567,0.0075093453803258235,0.0037746418053658842,0.0035018996054409736,0.01944738316012197,0.008654531859062684,0.0023112318704083066,0.022064680404136745,0.0072174390649663465,0.0017065309451229145,0.0008465237249278724,0.0032911950658403573,0.0007822455908531715,0.00214659298128493,0.0020773708462190933
Jilin,0.0018901915879291624,0.0016366223714821824,0.001592944656960962,0.0065625668561498565,0.0011539216025663222,0.0015453903555587767,0.003329213985894787,0.004544124356324789,0.008197030379833997,0.0054540347585635175,0.004767198622470285,0.0047140904162541845,0.003119817203670403,0.002829314527822771,0.0017354699513790742,0.0025121121487250786,0.001258970796409818,0.12184274974717604,inf,0.1947305902284192,0.004988215341256285,0.002767690315381081,0.0026901607371040423,0.01055813467323101,0.005706052695396642,0.0017920498218523286,0.011237849075686932,0.005074761384719698,0.0013654449575483164,0.0007321364025760367,0.002542494619445761,0.0007047012736066122,0.0016904673195476856,0.0016395264916330052
Heilongjiang,0.0016158001991958494,0.0014205187109304087,0.001357199597780328,0.004825768057179565,0.0009998859130173252,0.0013077386217585734,0.002605963016694061,0.0034570914452543666,0.005696483389908909,0.004006625355688167,0.0035645324741384256,0.0035534872680327944,0.002458618379401696,0.0022694376197412024,0.0014495524579263782,0.0020266360779727967,0.001078665686231469,0.03821899484043567,0.1947305902284192,inf,0.0038328215238991772,0.0022503627584766683,0.0021847069204742648,0.0072770776420521925,0.0042079855783918275,0.0015043165611564116,0.0075329964075140235,0.004020823038351017,0.0011631178583836547,0.0006619540831578494,0.002138909327355795,0.0006574522973980211,0.0014162450387165992,0.0013766108584035975
Shanxi,0.012372317681526657,0.008464519274556829,0.008091865328703712,0.2612261957629103,0.003836578631254536,0.006189558956786974,0.01748529923466846,0.09152061501853287,0.046578137153982686,0.013688991586745776,0.017068429038859714,0.008577234133617877,0.010444333270319194,0.005410172205781312,0.004610970143507225,0.010691013668460982,0.003092385958217537,0.0075093453803258235,0.004988215341256285,0.0038328215238991772,inf,0.03879517698359748,0.004136017056934346,0.05089731974714223,0.008043434546551377,0.009575013045955285,0.0427414356848246,0.1055197374668931,0.004106086493069543,0.001918552091758974,0.02528598448451988,0.0015329605684217796,0.004069379667832817,0.004050509857928369
Shaanxi,0.03295327225993543,0.01747390272627827,0.027120776956018226,0.02236210964142357,0.008072243349076894,0.01555026155539934,0.023368799381194183,0.04478260285444306,0.014191059916074087,0.009842345312779893,0.013327913315251814,0.007021599141117999,0.012592602853231957,0.005740574264087083,0.007054648837217501,0.01882313966204935,0.004877513443646428,0.0037746418053658842,0.002767690315381081,0.0022503627584766683,0.03879517698359748,inf,0.004203445059501869,0.011322130462644912,0.006013106166199847,0.036087403691741377,0.010907254524056496,0.019923295313044792,0.007631880808338284,0.0029695126079566287,0.04028619311589532,0.0018427646334400237,0.005847662543089964,0.005988221168960652
Taiwan,0.0023271784892376158,0.00193973439216968,0.003039262407484854,0.004640104235301544,0.002899853557395354,0.004645983059816565,0.012658195802035956,0.0065276111423711244,0.006514046890715142,0.018021102711274918,0.015900829705294026,0.03498338289312576,0.023479359295243574,0.19598236158745733,0.014572628523297285,0.012657843306026154,0.006896428064048502,0.0035018996054409736,0.0026901607371040423,0.0021847069204742648,0.004136017056934346,0.004203445059501869,inf,0.0040793398975351395,0.02607663924273441,0.004190215678781422,0.004637788702346722,0.002920163318894101,0.005779778865660601,0.0010685590705331266,0.0024598158335885395,0.0006749952075340267,0.017123463597228758,0.014644890690535912
Beijing,0.005643818607669958,0.004386580572711961,0.004178462117017836,0.13346680013346748,0.00243945694760998,0.003659183636130779,0.01075471190815476,0.02896728724251705,0.0910373708407299,0.014819908472245256,0.015239325995089875,0.009325878847507891,0.007894996545939009,0.005009738932484748,0.003432527661882295,0.00670710154618812,0.0023076456222462572,0.01944738316012197,0.01055813467323101,0.0072770776420521925,0.05089731974714223,0.011322130462644912,0.0040793398975351395,inf,0.009911745815260902,0.004875306717733885,0.8534607834769905,0.041760453685569035,0.002794675472502769,0.0013483903590089336,0.009439430009458313,0.0011860835863941517,0.0031604194129394533,0.0030971325817418464
Shanghai,0.0029568425179761237,0.0023912964461508712,0.003292084610524991,0.010484806990430513,0.002565715017309596,0.004170569624740481,0.01926823111857861,0.013542703529905682,0.020179476261873087,0.1255902742891588,0.05514594374010799,0.3867424681904304,0.026525410016525305,0.032080071859360924,0.0075173217887316846,0.012350176916284315,0.004010959545863113,0.008654531859062684,0.005706052695396642,0.0042079855783918275,0.008043434546551377,0.006013106166199847,0.02607663924273441,0.009911745815260902,inf,0.0044275116720276465,0.012363002478781986,0.005296921588080655,0.0041127400760610135,0.0010823689245820485,0.003522285145889525,0.000769264794404368,0.007498517168229983,0.006916370703636978
Chongqing,0.020255338800924443,0.013962404828758056,0.13667176907937853,0.0074472806999252295,0.028394087215278276,0.10929797908036687,0.01632978323845731,0.012939791151770814,0.006279229814787844,0.006417657285549173,0.008313533268266095,0.005354138802835986,0.0113313677187464,0.005709792922940072,0.011614266965540474,0.022916857640480383,0.00942498185690993,0.0023112318704083066,0.0017920498218523286,0.0015043165611564116,0.009575013045955285,0.036087403691741377,0.004190215678781422,0.004875306717733885,0.0044275116720276465,inf,0.004886458255964411,0.006569223189357857,0.020505838012082053,0.00419763647880424,0.012669887352031554,0.0017960673309721036,0.00895632002722722,0.00963762528912876
Tianjin,0.005234207219123281,0.004071387712144743,0.004094480967214671,0.1161656056874681,0.0024515271788560678,0.0037342177952655303,0.012123533961655678,0.03154633841649998,0.1615404497286115,0.01895213637957337,0.01891868371366192,0.011413310202357993,0.00901562046401595,0.005723688917507332,0.003692737640591753,0.007305327629333517,0.0024265095194394943,0.022064680404136745,0.011237849075686932,0.0075329964075140235,0.0427414356848246,0.010907254524056496,0.004637788702346722,0.8534607834769905,0.012363002478781986,0.004886458255964411,inf,0.029710088952006355,0.0029066303144102,0.0013078841743006774,0.008340248789621384,0.0011198709908618529,0.0034117652678201608,0.003329346995197749
Inner Mongolia,0.011672629434869644,0.008594336160583438,0.006225463890441796,0.06331919204710952,0.003043447032456536,0.004396259486578437,0.008836607590999385,0.024555785834258253,0.021733744245991237,0.007817061988519865,0.008939266622566293,0.00542166453775973,0.006047514108850417,0.0036259459639776783,0.00318094486786355,0.006217567612939008,0.002302396795063661,0.0072174390649663465,0.005074761384719698,0.004020823038351017,0.1055197374668931,0.019923295313044792,0.002920163318894101,0.041760453685569035,0.005296921588080655,0.006569223189357857,0.029710088952006355,inf,0.002991300102781071,0.0018531761864636215,0.0290133432365544,0.0017144912572947318,0.00285647362617901,0.0028518547037065557
Guangxi,0.005124628400383118,0.004316549868021486,0.012572006165311823,0.00372358211578404,0.027624309392265244,0.0604693631971361,0.010554891770139784,0.005868930352229722,0.0037610245030746375,0.005158827398532313,0.006200243049527543,0.005109444296838276,0.010957799323246309,0.007643010276027319,0.04147243741809184,0.019744973916889445,0.08310617645103394,0.0017065309451229145,0.0013654449575483164,0.0011631178583836547,0.004106086493069543,0.007631880808338284,0.005779778865660601,0.002794675472502769,0.0041127400760610135,0.020505838012082053,0.0029066303144102,0.002991300102781071,inf,0.00287881374449319,0.0040234891295382455,0.0011567548584282435,0.02905355150613608,0.036275783012776217
Tibet,0.00510235320529828,0.006392840019178522,0.005945568322011978,0.0016363384962540116,0.006276309504905873,0.003922799309587324,0.001856863664427598,0.0018832544218343,0.0013987686639451292,0.0012988467020593733,0.0014536622622153784,0.0011824097629209306,0.0016241346407617192,0.0012348603039583944,0.001866819248026538,0.0020735285671067455,0.002131377694834032,0.0008465237249278724,0.0007321364025760367,0.0006619540831578494,0.001918552091758974,0.0029695126079566287,0.0010685590705331266,0.0013483903590089336,0.0010823689245820485,0.00419763647880424,0.0013078841743006774,0.0018531761864636215,0.00287881374449319,inf,0.0033104295745833173,0.004945478571488622,0.0016923345874096734,0.00177420319203993
Ningxia,0.08061135652790799,0.04137531548678059,0.015215118959407603,0.014793402734116662,0.005184127239218961,0.007052007142272836,0.007822026984428684,0.014656631759455332,0.008442715751490344,0.005054461826177054,0.006071936662414288,0.0038289163592365905,0.005308179639415354,0.003093169354115307,0.003535596562975869,0.006641848293543126,0.0028007368178420387,0.0032911950658403573,0.002542494619445761,0.002138909327355795,0.02528598448451988,0.04028619311589532,0.0024598158335885395,0.009439430009458313,0.003522285145889525,0.012669887352031554,0.008340248789621384,0.0290133432365544,0.0040234891295382455,0.0033104295745833173,inf,0.002676100097918505,0.0030814162558882013,0.003145729373531141
Xinjiang,0.003149506110199329,0.004005323876496643,0.002273169507522373,0.0013312253823146176,0.0017321554214559318,0.0015198009547085648,0.001130301878765177,0.0013234147806903194,0.0010984704019347145,0.0009051388261200258,0.0009828819317011077,0.000806828870467014,0.0009770279240442863,0.0007617535719577183,0.0009280099957812666,0.001132225865473452,0.0009276511853434086,0.0007822455908531715,0.0007047012736066122,0.0006574522973980211,0.0015329605684217796,0.0018427646334400237,0.0006749952075340267,0.0011860835863941517,0.000769264794404368,0.0017960673309721036,0.0011198709908618529,0.0017144912572947318,0.0011567548584282435,0.004945478571488622,0.002676100097918505,inf,0.0008594460251566728,0.0008814952981040797
Hong Kong,0.003355073088589699,0.0027899971904728283,0.005793601777940514,0.004029681018509937,0.007220675393093572,0.013503349505844905,0.0147238107578051,0.006409401823346634,0.004661878606545839,0.008582976353041852,0.009863255821293592,0.010007926277611871,0.022769499799628414,0.024535722785589718,0.6031363088057923,0.027371913132496484,0.0507614213197968,0.00214659298128493,0.0016904673195476856,0.0014162450387165992,0.004069379667832817,0.005847662543089964,0.017123463597228758,0.0031604194129394533,0.007498517168229983,0.00895632002722722,0.0034117652678201608,0.00285647362617901,0.02905355150613608,0.0016923345874096734,0.0030814162558882013,0.0008594460251566728,inf,2.4691358024691707
Macau,0.003474856114895422,0.0028923727840447435,0.00618120320829171,0.003971576223285193,0.008001369834515666,0.015189881108800525,0.014289429537394012,0.0063284330167007385,0.004523593252970194,0.008033412569559318,0.009309097408533471,0.009145164859886937,0.020989618534672773,0.020699776649410005,0.9643201542912254,0.02737326179787583,0.06718172657037247,0.0020773708462190933,0.0016395264916330052,0.0013766108584035975,0.004050509857928369,0.005988221168960652,0.014644890690535912,0.0030971325817418464,0.006916370703636978,0.00963762528912876,0.003329346995197749,0.0028518547037065557,0.036275783012776217,0.00177420319203993,0.003145729373531141,0.0008814952981040797,2.4691358024691707,inf
