日期,温度,湿度,aqi,更新日期
2020-01-07,-8℃,72%,47,2020-01-07 05:59:00
2020-01-07,-8℃,70%,51,2020-01-07 07:06:00
2020-01-07,-8℃,69%,46,2020-01-07 07:48:00
2020-01-07,-6℃,67%,45,2020-01-07 09:04:00
2020-01-07,-4℃,55%,53,2020-01-07 10:09:00
2020-01-07,-4℃,51%,53,2020-01-07 11:08:00
2020-01-07,-2℃,49%,59,2020-01-07 11:50:00
2020-01-07,-1℃,47%,61,2020-01-07 13:08:00
2020-01-07,0℃,42%,65,2020-01-07 13:50:00
2020-01-07,0℃,40%,67,2020-01-07 14:51:00
2020-01-07,0℃,41%,74,2020-01-07 15:51:00
2020-01-07,0℃,43%,78,2020-01-07 17:02:00
2020-01-07,-1℃,48%,80,2020-01-07 18:02:00
2020-01-07,-2℃,52%,85,2020-01-07 19:01:00
2020-01-07,-3℃,55%,78,2020-01-07 19:50:00
2020-01-07,-4℃,59%,74,2020-01-07 20:58:00
2020-01-07,-5℃,63%,75,2020-01-07 22:07:00
2020-01-07,-5℃,67%,88,2020-01-07 23:03:00
2020-01-08,-6℃,70%,80,2020-01-08 00:00:00
2020-01-08,-7℃,72%,79,2020-01-08 01:09:00
2020-01-08,-8℃,76%,103,2020-01-08 01:56:00
2020-01-08,-8℃,78%,109,2020-01-08 02:54:00
2020-01-08,-9℃,79%,102,2020-01-08 04:02:00
2020-01-08,-9℃,79%,102,2020-01-08 05:04:00
2020-01-08,-10℃,81%,93,2020-01-08 05:58:00
2020-01-08,-10℃,82%,90,2020-01-08 07:08:00
2020-01-08,-10℃,80%,117,2020-01-08 07:59:00
2020-01-08,-10℃,80%,123,2020-01-08 09:01:00
2020-01-08,-9℃,75%,122,2020-01-08 09:48:00
2020-01-08,-7℃,64%,144,2020-01-08 10:57:00
2020-01-08,-6℃,61%,133,2020-01-08 12:08:00
2020-01-08,-4℃,57%,134,2020-01-08 13:00:00
2020-01-08,-2℃,50%,85,2020-01-08 13:58:00
2020-01-08,0℃,45%,198,2020-01-08 14:53:00
2020-01-08,0℃,41%,153,2020-01-08 16:07:00
2020-01-08,0℃,44%,103,2020-01-08 17:10:00
2020-01-08,-1℃,48%,82,2020-01-08 18:03:00
2020-01-08,-2℃,51%,98,2020-01-08 18:56:00
2020-01-08,-2℃,53%,87,2020-01-08 20:04:00
2020-01-08,-3℃,56%,103,2020-01-08 20:50:00
2020-01-08,-4℃,61%,88,2020-01-08 22:03:00
2020-01-08,-5℃,64%,74,2020-01-08 23:04:00
2020-01-09,-6℃,69%,70,2020-01-09 00:04:00
2020-01-09,-6℃,72%,103,2020-01-09 01:09:00
2020-01-09,-7℃,74%,119,2020-01-09 01:57:00
2020-01-09,-8℃,76%,143,2020-01-09 02:55:00
2020-01-09,-8℃,79%,150,2020-01-09 04:05:00
2020-01-09,-8℃,80%,149,2020-01-09 05:01:00
2020-01-09,-9℃,81%,158,2020-01-09 06:02:00
2020-01-09,-9℃,80%,225,2020-01-09 07:01:00
2020-01-09,-9℃,79%,248,2020-01-09 07:58:00
2020-01-09,-8℃,77%,212,2020-01-09 08:59:00
2020-01-09,-7℃,75%,209,2020-01-09 09:56:00
2020-01-09,-6℃,70%,198,2020-01-09 11:08:00
2020-01-09,-6℃,67%,208,2020-01-09 11:59:00
2020-01-09,-5℃,62%,217,2020-01-09 12:58:00
2020-01-09,-3℃,56%,209,2020-01-09 14:07:00
2020-01-09,-2℃,52%,237,2020-01-09 15:00:00
2020-01-09,-2℃,52%,241,2020-01-09 15:57:00
2020-01-09,-2℃,53%,237,2020-01-09 16:55:00
2020-01-09,-3℃,56%,237,2020-01-09 17:58:00
2020-01-09,-4℃,62%,246,2020-01-09 18:57:00
2020-01-09,-5℃,75%,232,2020-01-09 20:09:00
2020-01-09,-6℃,83%,226,2020-01-09 21:04:00
2020-01-09,-7℃,82%,199,2020-01-09 22:04:00
2020-01-09,-8℃,87%,204,2020-01-09 23:01:00
2020-01-10,-8℃,88%,205,2020-01-10 00:57:00
2020-01-10,-9℃,86%,213,2020-01-10 01:55:00
2020-01-10,-9℃,88%,220,2020-01-10 03:10:00
2020-01-10,-8℃,83%,233,2020-01-10 03:56:00
2020-01-10,-8℃,85%,240,2020-01-10 05:09:00
2020-01-10,-9℃,85%,235,2020-01-10 06:01:00
2020-01-10,-9℃,85%,221,2020-01-10 06:58:00
2020-01-10,-9℃,84%,215,2020-01-10 08:02:00
2020-01-10,-9℃,82%,207,2020-01-10 09:00:00
2020-01-10,-8℃,83%,219,2020-01-10 10:04:00
2020-01-10,-7℃,79%,277,2020-01-10 11:20:00
2020-01-10,-6℃,73%,277,2020-01-10 11:56:00
2020-01-10,-4℃,66%,340,2020-01-10 12:59:00
2020-01-10,-4℃,63%,362,2020-01-10 13:47:00
2020-01-10,-3℃,58%,393,2020-01-10 15:02:00
2020-01-10,-2℃,57%,340,2020-01-10 16:01:00
2020-01-10,-2℃,57%,329,2020-01-10 16:55:00
2020-01-10,-3℃,59%,318,2020-01-10 18:05:00
2020-01-10,-3℃,62%,316,2020-01-10 18:57:00
2020-01-10,-3℃,62%,310,2020-01-10 19:52:00
2020-01-10,-3℃,63%,316,2020-01-10 21:05:00
2020-01-10,-3℃,61%,306,2020-01-10 22:04:00
2020-01-10,-4℃,75%,306,2020-01-10 22:57:00
2020-01-11,-5℃,82%,323,2020-01-11 01:05:00
2020-01-11,-5℃,82%,302,2020-01-11 02:02:00
2020-01-11,-5℃,84%,273,2020-01-11 02:47:00
2020-01-11,-5℃,86%,269,2020-01-11 04:09:00
2020-01-11,-5℃,86%,270,2020-01-11 04:57:00
2020-01-11,-5℃,86%,262,2020-01-11 06:09:00
2020-01-11,-5℃,85%,258,2020-01-11 06:55:00
2020-01-11,-5℃,85%,265,2020-01-11 08:01:00
2020-01-11,-6℃,85%,265,2020-01-11 09:00:00
2020-01-11,-5℃,84%,238,2020-01-11 09:57:00
2020-01-11,-5℃,83%,227,2020-01-11 10:33:00
