,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Shaanxi,Inner Mongolia,Hunan,Anhui,Guangdong,Heilongjiang,Jiangsu,Shanghai,Gansu,Jilin,Sichuan,Guizhou,Hainan,Fujian,Zhejiang,Jiangxi,Chongqing,Guangxi,Yunnan,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.010357632,0.004459536,0.020787192000000003,0.025030944,0.0048191760000000005,0.009134856,0.009062928,0.00251748,0.019276704,0.051428520000000005,0.05912481600000001,0.00503496,0.100771128,0.21743834399999998,0.011292696,0.0073366559999999996,0.024023952,0.012803183999999999,0.0036683279999999998,0.028843128,,0.029562408000000005,0.009062928,0.009278712,0.011724264,0.005466528000000001,0.001150848,0.001510488,0.003092904,7.1928e-05,0.018988992
Anhui,0.02365339644,0.0217502496,0.045131767919999996,0.22620259584000002,0.007340709240000002,0.01821583404,0.015225174720000003,0.0027187812,0.01576893096,,0.17318636244000002,0.0035344155600000003,0.8401033908,0.8933915023200001,0.007612587360000002,0.00380629368,0.018487712160000003,0.004350049920000001,0.0040781718000000005,0.044316133560000005,0.15116423471999998,0.0448598898,0.007068831120000001,0.01169075916,0.004893806160000001,0.015225174720000003,0.004893806160000001,0.0013593906,0.0032625374400000002,0.0005437562400000001,0.09950739192
Fujian,0.01060417656,0.008010349200000001,0.016478432640000002,0.01266398064,0.004729920479999999,0.008010349200000001,0.010375309440000004,0.0019835150399999998,0.01861452576,0.01769905728,0.25068578544000003,0.0034330068000000013,0.061565255280000016,0.10070153280000002,0.006026834160000001,0.00434847528,0.022810422960000003,0.012435113519999999,0.00862066152,,0.038678543280000005,0.038144520000000015,0.014800073760000003,0.03005788176,0.01548667512,0.004272186240000001,0.0006866013600000001,0.0013732027200000002,0.0010680465600000002,7.628904000000003e-05,0.026396007840000003
Jiangxi,0.008252824320000001,0.006348326400000001,0.01142698752,0.008887656960000002,0.00253933056,0.004761244800000001,0.00587220192,0.00126966528,0.07078383936,0.03872479104,0.78449443488,0.0007935408000000001,0.10014484896,0.18441888192000003,0.0057134937600000005,0.0009522489599999999,0.02031464448,0.008411532480000001,0.00857024064,0.12696652800000002,0.0801476208,,0.013807609919999998,0.02348880768,0.0071418672000000015,0.02190172608,0.0009522489599999999,0.00031741632,0.0009522489599999999,,0.03618546048
Shandong,0.18258343488,0.07143280487999999,,0.14079079799999994,0.02756535624,0.048165273,0.02119272012,0.01600569072,0.01230066972,0.03467899655999999,0.08210326535999997,0.02504594196,0.2756535624,0.18865966932,0.005483431079999999,0.01230066972,0.02474954028,0.0037050209999999993,0.006817238639999999,0.01911790836,0.03823581672,0.0125970714,0.00829924704,0.00874384956,0.00874384956,0.005483431079999999,0.00503882856,0.00207481176,0.00489062772,0.00029640167999999995,0.18584385335999995
Henan,0.08848141272000001,0.023450530319999996,0.1399149288,,0.049659946560000015,0.020691644400000004,0.04473336456000001,0.005911898400000001,0.031333061520000004,0.23844656879999998,0.29658023640000003,0.00374420232,0.22130206344000006,0.32022783000000005,0.013597366320000002,0.004335392160000001,0.03803321303999999,0.00807959448,0.00512364528,0.03192425136000001,0.06030136368000001,0.02285934048,0.01024729056,0.014385619440000004,0.0065030882400000005,0.057542477760000016,0.011035543680000004,0.0031530124800000004,0.008473721040000002,0.0009853163999999999,0.18583067304
Hubei,0.0022980996000000003,0.000621108,0.0031676508,0.0527631246,0.000776385,0.0009627174,0.013633320599999998,0.0005279418,0.08717250780000001,0.014037040800000001,0.031210677000000006,0.0004037202,0.0047514762,0.0051241410000000005,0.0009627174,0.001242216,0.011925273600000001,0.0013043267999999998,0.00027949860000000003,0.001863324,0.0039440358000000005,0.0161798634,0.0474526512,0.0024533766000000004,0.000776385,,0.000465831,0.00027949860000000003,6.21108e-05,3.10554e-05,0.003416094
Hunan,0.011128285440000002,0.0066074194800000005,0.01286708004,0.015301392480000004,0.0034775891999999997,0.005564142720000001,0.0104327676,0.0013910356800000002,,0.01704018708,2.5229909646,0.0013910356800000002,0.07998455160000001,0.12414993443999997,0.004868624880000001,0.0013910356800000002,0.03164606172,0.06746523048,0.015996910320000002,0.05285935584,0.061205569920000015,0.06642195372000001,0.04034003472,0.12102010415999999,0.02747295468,0.09354714948,0.0034775891999999997,0.0006955178400000001,0.00104327676,,0.06885626616
Guangdong,0.01333208808,0.00434067984,0.021548374920000002,0.0457321626,0.0100765782,0.016122525119999998,0.022013447760000002,0.006045946920000001,0.24974411508,0.02216847204,,0.015037355159999998,0.035965632959999994,0.042631677,0.0201531564,0.01054165104,0.0759618972,0.07379155727999999,0.062009712,0.08216286839999999,0.020463204960000002,0.0922394466,0.0341053416,0.28260926244,0.0224785206,0.017982816479999997,0.010231602480000001,0.0015502428,0.00403063128,0.00031004856,0.02929958892
Guangxi,0.00955669428,0.00136524204,0.00546096816,0.006826210200000001,0.0016686291600000007,0.003792339,0.00485419392,0.00136524204,0.06917226336,0.0045508067999999995,1.1249594409600001,0.00273048408,0.01577613024,0.023360808240000003,0.0016686291600000007,0.00273048408,0.03792339,0.07357137659999999,0.0121354848,0.01714137228,0.01274225904,0.01046685564,0.01243887192,,0.03792339,0.00257879052,0.00060677424,0.00015169356,0.00060677424,,0.01486596888
