,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Guizhou,Gansu,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.0787408128,0.0241802496,0.20646213120000004,0.3050431488,0.0365803776,1.4377948416000002,0.047120486399999995,0.27838287359999997,0.017360179200000003,,1.0366507008,0.1258612992,0.06510067200000001,0.17918184960000005,0.753307776,0.018600191999999998,0.0384403968,0.15934164480000002,0.0266602752,0.3106232064,0.0750207744,0.08370086400000001,0.48732503039999997,0.045260467199999994,0.16864174080000002,0.023560243199999997,0.0068200704,0.008680089600000001,0.0055800576000000005,0.0012400128,0.1370214144
Anhui,0.06944305283999999,0.0174699504,0.19697369076,0.46076994179999997,0.02358443304,1.79984163996,0.016596452879999998,0.11748541644,0.00786147768,0.6411471796799999,0.32756157,0.0349399008,0.03887063964,0.14718433211999998,,0.00480423636,0.0196536942,0.048042363600000006,0.00786147768,0.05109960491999999,0.021837438,0.02358443304,0.13364512056,0.024457930559999997,0.015286206599999998,0.010045221479999998,0.0030572413199999996,0.00393073884,0.00174699504,0.00087349752,0.08953349579999997
Fujian,0.02690363808,0.01039458744,0.05584543056,0.06399804816,0.0132480036,0.11923203239999998,0.02160443664,0.4410566121600001,0.005910647759999999,0.326104704,0.09090168624,0.060940816560000007,0.02608837632,0.06236752464,0.05767976952000001,0.00692972496,0.020381544,0.06746291063999997,0.00754117128,,0.04524702768,0.03852111816,0.2608837632,0.04463558136,0.06909343416000001,0.008764063919999999,0.0046877551200000004,0.00387249336,0.0030572316,0.0006114463199999999,0.06766672607999999
Jiangxi,0.0247092606,0.00702263196,0.044476669079999996,0.05930222543999999,0.00936350928,0.14383390644000002,0.00962360676,0.56233075176,0.0039014621999999997,0.4330623041999999,0.1001375298,0.0299112102,0.01898711604,0.21666120084,0.13499059212,0.00364136472,0.01846692108,0.36023500979999995,0.0049418521200000004,0.23226704964,0.02236838328,0.026009748,,0.04499686404,0.028350625319999996,0.00598224204,0.00182068236,0.0015605848799999998,0.0013004874,0.00026009748,0.04603725396
Shandong,0.80721301032,0.14817467376,,0.6449956387200001,0.12880543536000005,0.91132266672,0.14962736663999998,0.14478505704000005,0.05326540560000001,0.23243086079999997,0.1476904428,0.07892964647999999,0.10217273256,0.09297234432,0.21887239391999996,0.06343425576,0.032927705280000004,0.06440271768000001,0.05617079136,0.06440271768000001,0.04648617216,0.04067540064,0.05326540560000001,0.0411596316,0.03050655048,0.02760116472,0.01259000496,0.013074235920000002,0.006779233440000001,0.00193692384,0.41789131848000005
Henan,0.4000528861200001,0.05674170852,0.6041323083600001,,0.31088734416,0.4339071828,0.040529791800000006,0.27226483668,0.02813244372,0.3175628392800001,0.13398672348,0.08868872088000003,0.30945688091999995,0.43199989848,0.4606091632800001,0.013350990240000004,0.0500662134,0.11109931164000003,0.0143046324,0.07247680416,0.048158929079999996,0.045298002600000005,0.06389402472000001,0.039576149639999995,0.035761581,0.039576149639999995,0.01382781132,0.02431787508,0.01049006376,0.005245031880000001,0.28132443720000005
Hubei,0.05523487199999999,0.011855289599999999,0.0735566832,0.3691306079999999,0.025327209599999997,0.1635491088,0.0193995648,0.32009281920000004,0.0083525904,0.1605852864,0.07247892959999999,0.0786760128,0.09241737119999999,,0.14388010559999995,0.0045804528,0.0285604704,0.4165517664,0.0075442752,0.0641263392,0.15250213440000002,0.0366436224,0.1915707024,0.04041576,0.031524292799999985,0.011855289599999999,0.0032332608000000002,0.0051193296,0.002694384,0.0010777536,0.0951117552
Hunan,0.03333781152,0.0070522293599999996,0.04616004672,0.08943509052000001,0.014104458719999999,0.09488454048,0.01378390284,1.05655218048,0.005449449960000001,0.14489125775999998,0.0577000584,0.0577000584,0.03077336448,0.39716873531999997,0.04583949084,0.008334452879999999,0.040069485,,0.0073727852400000005,0.05994394956,0.07468952004,0.06891951419999999,0.32953144463999995,0.23721135120000006,0.18367851924000003,0.008334452879999999,0.0035261146799999998,0.005449449960000001,0.0022438911600000003,0.00128222352,0.07180451712000001
Guangdong,0.07558804656000001,0.02890131192,0.12746219616,0.23491579176,0.03853508256,0.25492439232,0.052615208879999986,,0.017044363439999998,0.28308464496,0.18378270144,0.25862968872,0.10300723992000001,0.34533362448,0.111158892,0.031124489760000002,0.17933634576,1.2872199693600002,0.02445495624,0.47576005776,0.1556224488,0.17711316791999998,0.66991758912,1.5577066065600003,0.2334336732,0.025196015519999997,0.0074105928,0.01185694848,0.006669533520000001,0.00222317784,0.23046943608
Guangxi,0.020276901720000004,0.005507306640000001,0.033794836200000004,0.034796164680000005,0.006258303000000001,0.04531011372000001,0.010513949040000001,1.42013411676,0.00325431756,0.044058453120000014,0.029539190160000006,0.05081742036,0.01276693812,0.042806792520000005,0.018774909000000003,0.004255646040000001,0.048564431280000014,0.22880355768000005,0.004255646040000001,0.042806792520000005,0.033794836200000004,0.11164812552000003,0.037549818000000006,,0.15846023195999998,0.005256974520000001,0.00150199272,0.00150199272,0.00150199272,0.00100132848,0.03679882164
Hainan,0.02704648320000001,0.011693626560000002,0.02211447744,0.03516042816,0.01344369312,0.0342058464,0.0210803472,0.16251754464000004,0.00962536608,0.030148873920000006,0.029512486080000008,0.047490442560000005,0.021398541120000003,0.021796283520000004,0.01567105056,0.014636920320000003,,0.03388765248,0.012330014400000002,0.0190916352,0.0282397104,0.017262020160000002,0.01662563232,0.04494489120000001,0.016864277759999997,0.005807039040000001,0.0025455513600000004,0.0030228422400000003,0.0031819392000000004,0.00015909696000000002,0.07199137440000003
Chongqing,0.02738489472,0.00884303892,0.04050682344,0.04649726916,0.018827115119999998,0.06589490292,0.01340718804,0.15945995988,0.007131483000000002,0.07331164524,0.044215194600000014,1.3703857732800002,0.06618016223999999,0.17600500044,0.02795541336,0.00513466776,0.035657415000000005,0.08614831464000001,0.00599044572,0.038510008200000015,,0.09071246376,0.0228207456,0.04107734208,0.28582983864,0.01369244736,0.00456414912,0.007131483000000002,0.00399363048,0.00599044572,0.05476978944
Sichuan,0.049504296960000006,0.014309835840000003,0.06149361888000001,0.07889747328000002,0.032100442560000005,0.09630132768000002,0.02552565312,0.24868174176,0.012376074240000002,0.10442312640000002,0.06884191296,,0.20652573888,0.07812396864,0.03480770880000001,0.011215817279999998,0.06226712352000001,0.06188037120000001,0.0116025696,0.0560790864,1.37258398368,0.4958164742400001,0.031326937920000006,0.055692334079999996,0.2869702214400001,0.08005773024000001,0.01082906496,0.019724368320000005,0.02939317632,0.04525002144,0.11834620992
Guizhou,0.013211320320000004,0.00392211072,0.0196105536,0.028074055680000005,0.005160672000000001,0.04562034048000001,0.005779952640000002,0.2084911488,0.0026835494400000003,0.10692912384,0.024151944959999998,0.3174845414400001,0.0196105536,0.032202593280000004,0.01713343104,0.0010321344000000002,0.020642688000000003,0.19734409728,0.0014449881600000006,0.050781012480000005,0.31603955328000005,0.38065116672,0.025390506240000003,0.17257287168000002,,0.004747818240000001,0.0020642688000000005,0.0014449881600000006,0.0010321344000000002,0.0010321344000000002,0.03385400832
Yunnan,0.021470248799999998,0.007927476479999999,0.025103675519999997,0.0322053732,0.010735124399999999,0.04690423584,0.01106543592,0.14319004392,0.0049546728000000005,0.06490621367999999,0.0462436128,0.42643217232,0.021965716080000003,0.0322053732,0.017011043280000002,0.004128894,0.012716993519999999,0.05681358144,0.005450140080000001,0.02956288104,0.08868864312000001,,0.02097478152,0.11445294167999999,0.34451491536,0.005450140080000001,0.0016515576,0.0031379594399999996,0.0018167133600000005,0.0049546728000000005,0.0421147188
Tibet,0.0017169408,0.00044712,0.0021282912,0.0055621728,0.0012161664000000002,0.0023607935999999997,0.0010194336,0.0039525408,0.00028615680000000003,0.0013592448000000002,0.0006080832000000001,0.08173353600000001,0.0077977728,0.0025217568,0.0010909728,0.00025038720000000004,0.0007690464,0.0015202079999999999,0.00033981120000000004,0.0008048160000000001,0.01207224,0.0081554688,0.0006080832000000001,0.0010015488000000002,0.002056752,0.006760454399999999,0.00032192639999999997,0.0017169408,0.025718342400000004,,0.0027184896000000004
Shaanxi,0.076657266,0.0116811072,0.0883383732,0.2672053272,0.34069896000000005,0.10707681600000002,0.0187384428,0.0983159856,0.184950864,0.060839100000000014,0.0345566088,0.2268081648,,0.1012362624,0.042830726400000005,0.007300691999999999,0.028229342400000003,0.0350433216,0.0080307612,0.025552422,0.060839100000000014,0.027499273199999997,0.020198581200000003,0.0165482352,0.020685294000000003,0.2718290988,0.09101529359999999,0.0233622144,0.025065709199999998,0.0043804152,0.104643252
Gansu,0.01910998656,0.006256245600000001,0.02092998528,0.0409499712,0.0147874896,0.03401122608,0.00500499648,0.02604873168,0.04049497152,0.02252248416,0.013422490559999998,0.11409116976,0.35398975104,0.017062487999999997,0.009554993279999998,0.0013649990399999998,0.007962494399999999,0.00989624304,0.0019337486399999997,0.01000999296,0.01945123632,0.009554993279999998,0.005346246239999999,0.005914995839999999,0.0068249952000000004,,0.11363617008,0.04265622,0.12830990975999998,0.0042087470399999995,0.030598728480000004
Qinghai,0.0052382635200000005,0.0008664796800000003,0.00791647344,0.015202779840000001,0.003938544,0.009806974560000004,0.0012603340800000002,0.007089379200000002,0.00417485664,0.006971222880000001,0.0037416168,0.03883404384,0.03316254048,0.005435190720000001,0.0032689915200000003,0.0007877088000000001,0.0020480428800000003,0.00389915856,0.0006695524800000003,0.003190220640000001,0.007089379200000002,0.003938544,0.0013784904000000001,0.00189050112,0.0008664796800000003,0.17018448624000002,0.01027959984,0.014966467200000003,,0.016975124640000002,0.008270942400000002
Ningxia,0.013063388400000002,0.00188693388,0.01098292284,0.01756299996,0.011515134960000001,0.01286985672,0.0025159118399999997,0.0118538154,0.09952366643999999,0.01030556196,0.00478990908,0.014660024760000001,0.09400801356,0.00595109916,0.00488667492,0.0008708925599999999,0.006047865,0.0054188870400000005,0.0007257438,0.00372548484,0.008128330559999999,0.00309650688,0.0021288484800000003,0.00227399724,0.0033868044,0.10286208792,,0.005128589520000001,0.006096247920000001,0.00038706336,0.01640180988
Xinjiang,0.013467179880000001,0.0018630486,0.01245581064,0.049503862800000006,0.007984494,0.01644805764,0.005110076159999999,0.01655451756,0.009687852719999999,0.0130413402,0.00590852556,0.07159429619999999,0.041998438439999994,0.00841033368,0.00633436524,0.0012775190399999998,0.006121445400000001,0.0095813928,0.0013839789600000002,0.007824804119999999,0.021185524080000004,0.006600515039999999,0.0033534874800000003,0.00228888828,0.00303410772,0.13318135992,0.00793126404,,0.02571007068,0.0005322996,0.02097260424
Taiwan,3.211488e-05,,0.00016172136000000006,0.00016172136000000006,3.211488e-05,9.710928e-05,0.00016172136000000006,0.00012922415999999998,3.211488e-05,3.211488e-05,0.00093936024,,,3.211488e-05,,9.710928e-05,,,3.211488e-05,0.00142528896,,3.211488e-05,6.461207999999999e-05,9.710928e-05,3.211488e-05,3.211488e-05,,,,,
Hong Kong,,3.1833000000000005e-05,,6.366600000000001e-05,,9.549900000000003e-05,3.1833000000000005e-05,0.019471185,,0.0001931202,0.0003883626000000001,3.1833000000000005e-05,,,,,,6.366600000000001e-05,,0.0001931202,,,,0.0001931202,,,,,,,0.00022495320000000005
Macau,0.0007743859200000001,0.00014519735999999998,0.00043559208,0.00053239032,0.0004839912,0.00188756568,0.00041139252,0.21946580964,0.0001209978,0.00203276304,0.0022989582,0.0007985854799999999,0.0005081907599999999,0.00147617316,0.0001209978,9.679824e-05,0.00029039472,0.0022989582,0.00041139252,0.00101638152,0.0002419956,0.00038719296,0.00053239032,0.00215376084,0.00106478064,9.679824e-05,2.419956e-05,2.419956e-05,,,0.00154877184
