,Hebei,Tianjin,Shanxi,Shandong,Henan,Liaoning,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Jilin,Sichuan,Gansu,Shanghai,Guizhou,Zhejiang,Yunnan,Chongqing,Fujian,Hubei,Xinjiang,Jiangxi,Hainan,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.00755590032,0.0027420606000000012,0.070074882,0.016574232960000004,0.02047405248,0.006824684160000002,0.02059592184,0.04027782348000001,0.0021327138,0.0039607541999999996,0.042532406640000006,0.07726517424000001,0.0032295380400000004,0.0062153373600000025,0.01407591108,0.007921508399999999,0.1456338852,0.00725122692,,0.011333850480000005,0.006276272040000001,0.030284535960000004,0.0073730962800000015,0.0004874774400000001,0.03436715952,0.0018280404000000003,0.006946553520000001,0.00109682424,0.00219364848,6.093468000000001e-05,0.010419830280000002
Anhui,0.013584594240000001,0.011859566399999999,0.08280133631999999,0.045713237760000004,0.23999449824,0.015093993599999998,0.017465906880000003,,0.00474382656,0.005606340479999999,0.11449872288,0.5602027910399999,0.0015093993599999999,0.0021562848,0.00905639616,0.0043125696,0.38683749312,0.00388131264,0.42565061952,0.00474382656,0.005175083519999999,0.043341324479999985,0.021347219520000002,0.0006468854399999999,0.048947664960000005,0.0021562848,0.010781424,0.0006468854399999999,0.00237191328,0.00043125695999999994,0.06727608576
Fujian,0.0053856997200000005,0.004599024480000001,0.04532459652000001,0.013433992560000002,0.01046883204,0.009803183760000002,0.018517124880000003,0.009137535480000002,0.002360025720000001,0.00344926836,0.18020914344,0.031588036560000005,0.00278362008,0.00254156616,0.0118001286,0.006716996280000001,0.05143645800000001,0.0087744546,0.07279771644000001,0.01930380012,0.007443158040000002,,0.005506726680000001,0.00024205392000000006,0.031345982640000006,0.005264672760000001,0.02232947412,0.00248105268,0.0016338639600000002,,0.014886316080000003
Jiangxi,0.004455113399999999,0.0029188674,0.055765729800000004,0.0096783498,0.00768123,0.0039942396,0.0769659246,0.036101781,0.0009217476,0.0024579935999999997,0.6111186587999999,0.046855503,0.0009217476,0.0009217476,0.007527605400000001,0.00768123,0.09586175039999999,0.0058377348,0.29449835820000003,0.013826214000000002,0.0052232364,0.17866540980000006,0.021968317799999998,0.00030724919999999996,,0.0039942396,0.019203075,0.00030724919999999996,0.0010753722,,0.017052330600000002
Shandong,0.21804688079999995,0.06971015519999997,0.15660467424000002,,0.15125482512,0.05576812416,0.017184363839999998,0.04523054256,0.02302056288,0.02285844624,0.06257702303999997,0.29748403440000004,0.011834514720000001,0.01313144784,0.02091304656,0.00907853184,0.11639974752,0.00421503264,0.09418976784,0.01069969824,0.00632254896,0.01880553024,0.00988911504,0.00291809952,0.01653589728,0.00275598288,0.01005123168,0.0034044494399999995,0.007133132159999999,0.0006484665599999999,0.13958242703999998
Henan,0.0928688328,0.02372071392,0.19759802256000006,0.17589133152000005,,0.02148291072,0.03759509376,0.2830821048,0.01051767504,0.03155302512,0.29225709792,0.21371020559999998,0.0029091441600000005,0.0044756064,0.02998656288,0.016559743680000003,0.19759802256000006,0.00850365216,0.22176629712000004,0.011412796320000002,0.01186035696,0.04923167040000001,0.06400117152000001,0.003132924480000001,0.0324481464,0.0040280457600000005,0.016783523999999998,0.0029091441600000005,0.01096523568,0.00201402288,0.16313585328000002
Hubei,0.0035749998,0.0018609588,0.07223458499999999,0.0042116435999999995,0.059991435,0.0014691779999999998,0.0976513644,0.0184626702,0.0006366437999999999,0.0154753416,0.0657212292,0.0086191776,0.000244863,0.0007345889999999999,0.0361907514,0.0011263698,0.008864040600000001,0.0021547944,0.0064643832,0.0023506848000000003,0.048972600000000005,0.0025955478,,0.0001958904,0.0194910948,0.0003428082000000001,0.0037219176,9.79452e-05,4.89726e-05,,0.0054359586000000005
Hunan,0.0065654614800000006,0.00316114812,0.08243301636,0.01021294008,0.013860418679999998,0.005349635279999999,,0.012158262,0.0026748176399999995,0.00462013956,1.47552667632,0.038176942680000006,0.0007294957199999999,0.00170215668,0.018237393,0.0036474786,0.050821535159999986,0.06516828432,0.15124877928,0.035988455520000004,0.02966615928,0.05568483996,0.09264595644,0.0007294957199999999,0.09459127836000002,0.01264459248,0.10942435800000001,0.00048633047999999997,0.0012158262,0.00048633047999999997,0.0474172218
Guangdong,0.0086600826,0.00253140876,0.12417226127999999,0.017986325400000003,0.0379711314,0.01039209912,0.30550106772,0.01225734768,0.00506281752,0.00892654668,,0.016654005,0.005995441800000001,0.00506281752,0.03570618672,0.025314087599999997,0.0213171264,0.07074621324,0.027579032280000002,0.0226494468,0.01958510988,0.06048734616,0.02358207108,0.006661601999999999,0.0692806608,0.042367788719999994,0.24567988176,0.00239817672,0.006261905879999999,0.00026646408,0.01878571764
Guangxi,0.00822663864,0.0016130664000000002,0.050327671680000005,0.006129652320000001,0.01177538472,0.0048391992,0.08016940007999998,0.00580703904,0.0016130664000000002,0.00274221288,1.1701183665600001,0.01016231832,0.00209698632,0.00129045312,0.030486954960000003,0.0024195996,0.01096885152,0.08000809344,0.0233894628,0.04694023224,0.006774878879999999,0.01661458392,0.004032666,0.00032261328,0.012259304640000001,0.00951709176,,0.00016130664,0.00032261328,,0.00919447848
