,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Hubei,Anhui,Hainan,Hunan,Fujian,Heilongjiang,Yunnan,Chongqing,Jilin,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07629927839999999,0.17680384512000002,0.021048076800000003,0.27415120031999995,0.26783677728,1.13080792608,0.031045913280000004,0.046305768960000014,0.013155048,,0.8887550428799998,0.11365961472,0.059987018879999986,0.15891297984000002,0.605132208,0.039465144,0.14628413376,0.27309879648,0.007366826880000002,0.07629927839999999,0.06998485536,0.011050240320000002,0.40412307456,0.046305768960000014,0.01894326912,0.14523172992,0.00894543264,0.0078930288,0.00473581728,0.00052620192,0.12523605695999998
Anhui,0.05238949752,0.17539092648,0.015944629680000003,0.42556975884,0.09908448444,1.51777689192,0.020120604119999996,0.018981702,0.00873158292,0.52313570712,0.31281844896,0.035685599760000006,0.034546697640000006,0.12983484168,,0.01556499564,0.04821352308,0.050111693279999994,0.00303707232,0.020120604119999996,0.02239840836,0.004175974440000001,0.12110325875999998,0.019361336040000003,0.008351948880000001,0.016703897760000003,0.0037963403999999997,0.00303707232,0.00227780424,0.00075926808,0.08238058667999999
Fujian,0.019135002600000003,0.0470327634,0.010014580800000002,0.055974353399999996,0.3805540704000001,0.1080144072,0.013054721399999998,0.0189561708,0.005364954,0.2990067696,0.08422977779999999,0.0538283718,0.0236057976,0.05615318520000001,0.0502517358,0.0211021524,0.06169697100000001,,0.003934299600000001,0.0352298646,0.0413101458,0.005007290400000001,0.22389741359999998,0.0425619684,0.008583926399999999,0.047211595200000005,0.0028613088,0.0037554678000000005,0.0019671498000000003,0.0005364953999999999,0.057762671400000014
Jiangxi,0.022357943999999998,0.044939467439999985,0.006707383199999999,0.0547769628,0.49545203904,0.1207328976,0.008943177600000001,0.010284654240000001,0.00290653272,0.35437341240000003,0.09680989752000001,0.02794743,0.016768458,0.16835531832000006,0.11156614056,0.016768458,0.2895353748,0.20502234647999998,0.00134147664,0.023028682319999997,0.02146362624,0.0033536915999999996,,0.04650452352,0.00581306544,0.024370158959999996,0.00201221496,0.00134147664,0.00067073832,0.00022357943999999999,0.047622420719999996
Shandong,0.75225654504,,0.14343498468000002,0.6101537738399999,0.13677391728,0.8344097096399998,0.11235000347999996,0.14210277119999998,0.045739329479999986,0.20693716056,0.14077055771999994,0.07415988371999999,0.08881423199999999,0.08348537807999998,0.20960158752,0.035525692799999994,0.05728517963999999,0.06216996239999999,0.03419347932,0.044407116,0.04174268903999999,0.0399664044,0.04618340063999999,0.03907826208,0.021759486839999998,0.02753241192,0.011545850159999996,0.012878063639999998,0.00621699624,0.0013322134799999994,0.3694672051199999
Henan,0.3464937486,0.5942944565999999,0.0487056564,,0.2443827672,0.38451834,0.2896704828,0.0358883784,0.0222166152,0.264890412,0.11535550200000005,0.07903988100000002,0.2572000452,0.3558930858,0.4524499134,0.049132899,0.098265798,0.06664984560000001,0.0068358816000000005,0.040588047,0.04571495820000001,0.0111083076,0.059813964000000004,0.033752165400000006,0.0358883784,0.0294797394,0.014526248400000004,0.022643857799999997,0.0115355502,0.0038451834000000004,0.2439555246
Hubei,0.046229282279999985,0.06634979892000001,0.010060258320000001,0.3317489946,0.30372398928000005,0.14180173632,0.021797226359999998,0.017964747,0.005988249,0.13844831688,0.06730791876,0.07329616776,0.08287736616000001,,0.11952545004000001,0.0275459454,0.35330669099999995,0.06203825964,0.0033534194400000003,0.033055134480000005,0.13701113712000001,0.00263482956,0.16264084284000002,0.041438683080000004,0.012934617839999999,0.029462185079999998,0.00407200932,0.0047905992,0.00287435952,0.0011976498,0.08455407588
Hunan,0.02597470416,0.046146548880000006,0.006631839359999999,0.07571349936,0.8917060672800001,0.07958207232,0.013816331999999999,0.01464531192,0.0041448996,0.12047841504000001,0.05084410176,0.054712674719999986,0.030672257039999998,0.33794748071999997,0.04089634272,0.036751443120000005,,0.06106818744,0.00221061312,0.05416002143999999,0.06935798664,0.00442122624,0.27245806704,0.21360049272000006,0.00939510576,0.16192741104000002,0.0027632664,0.00497387952,0.0027632664,0.00110530656,0.06659472024
Guangdong,0.0680629392,0.1115475948,0.027729345600000004,0.21616285320000006,,0.22120455239999998,0.034661682000000006,0.0485263548,0.0144948852,0.2533453848,0.15314161320000005,0.2325483756,0.0920110104,0.3050228016,0.1046152584,0.1789803216,0.9969960168,0.3926223252,0.01575531,0.1562926752,0.14620927679999998,0.015125097599999996,0.5331596904000001,1.3083209424,0.022057434,0.2010377556,0.007562548799999998,0.0119740356,0.006302124,0.0025208496,0.2073398796
Guangxi,0.01868866344,0.030206095560000003,0.00630199116,0.02955416544,1.21541505372,0.03498691644,0.007605851399999999,0.011952052200000002,0.0026077204800000003,0.041723527680000004,0.02477334456,0.05171978952,0.01455977268,0.038246567040000005,0.0173848032,0.03716001684,0.19145014524000006,0.03411767628,0.0010865502,0.10083185856,0.029336855400000007,0.0021731004,0.03542153652,,0.00499813092,0.15037854768,0.0015211702800000007,0.0015211702800000007,0.0017384803200000002,0.0008692401600000001,0.02911954536
