,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Shaanxi,Jiangsu,Anhui,Hunan,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Shanghai,Hainan,Jiangxi,Guizhou,Yunnan,Fujian,Chongqing,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Zhejiang,0.03373699248,0.011699118359999998,0.08869564152000001,0.14746330584,0.021493729080000003,0.01986129396,0.00843424812,0.15997864175999998,0.05359828644,0.66875425416,0.34526002787999993,0.07672445064,0.04652440092,0.01850093136,,0.005441450400000001,0.006801813,0.39205650132,0.007890103079999999,0.231261642,0.07536408804,0.05332621392,0.15181646616,0.028567614600000006,0.02693517948,0.0048973053600000005,0.00380901528,0.0040810878,0.00380901528,0.0008162175599999999,0.017684713799999998
Anhui,0.051501419999999985,0.034334279999999995,0.1867784832,0.4992204312,0.026780738399999997,0.0233473104,0.0096135984,0.2478935016,0.075535416,2.410266456,,0.042574507199999986,0.025407367200000003,0.015107083200000001,2.1822868368,0.0027467424,0.0048067992000000006,0.5829960744,0.0096135984,0.14077054799999994,0.0219739392,0.0226606248,0.11536318079999998,0.013047026399999998,0.0260940528,0.018540511200000002,0.003433428,0.0054934848,0.0013733712,0.0013733712,0.0556215336
Fujian,0.01370166516,0.0084752568,0.03008716164,0.04534262388,0.0127128852,0.00861651108,0.007062714,0.39014432136,0.04887398088000001,0.08913145067999999,0.042093775439999995,0.04393008108,0.03446604432,0.00932278248,0.21301145424,0.0028250856,0.003531357,0.055230423480000006,0.014125428,0.14520939983999998,0.04689642096,0.045907641,,0.0226006848,0.047320183800000006,0.00536766264,0.00296633988,0.0028250856,0.0012712885199999998,0.00042376284,0.0134191566
Jiangxi,0.017401521600000004,0.00565549452,0.03219281496,0.043068765960000005,0.007395646680000001,0.00609053256,0.0034803043200000005,1.3782005107200002,0.03349792908,0.18663131916000006,0.09701348292000002,0.22534970472,0.02653732044,0.007830684720000002,1.4443262928000002,0.00130511412,0.00130511412,0.12877125984,0.017401521600000004,,0.04654907028000002,0.0413286138,0.4720162734000001,0.02392709220000001,0.05307464088,0.02088182592,0.0017401521600000002,0.00261022824,0.0008700760800000001,0.0004350380400000001,0.0152263314
Shandong,0.5854159170000001,0.17440151795999995,,0.5011859253600001,0.1118406528,0.07933696307999999,0.05277480804,0.09471505283999998,0.10904463648,0.7846320797999999,0.16950848939999996,0.03180468564,0.0401927346,0.02691165708,0.235913877,0.01992161628,0.02236813056,0.11463666911999995,0.006640538759999999,0.04753227744,0.01817410608,0.02656215504,0.034600701959999994,0.01293157548,0.02201862852,0.00943655508,0.01188306936,0.012232571399999998,0.00768904488,0.00139800816,0.12337422011999995
Henan,0.27943988472,0.08717901696000001,0.6390533296800001,,0.28955887776,0.038140819919999985,0.035805667679999986,1.0235750652,0.36895405391999997,1.31858263152,0.63983171376,0.13154690951999998,0.08406548064,0.057600421920000006,1.6104766615200001,0.004670304479999999,0.0077838408,0.31213201608,0.02023798608,0.17824995432,0.04203274032,0.05215173336,0.17824995432,0.035805667679999986,0.053708501519999986,0.077838408,0.017902833839999997,0.02957859504,0.01323252936,0.0038919204,0.14088751848
Hubei,0.00286281216,0.0006331219200000001,0.004486907520000001,0.056623121279999994,0.00099097344,0.0011836627200000002,0.0008258112000000001,0.014451696000000002,0.014314060800000004,0.006138529920000001,0.01436911488,0.07743356352000001,0.00278023104,0.00143140608,0.00451443456,0.0004404326400000001,0.0006331219200000001,0.002064528,0.00019268928000000009,0.016323534719999998,0.00112860864,0.00066064896,0.00239485248,0.043905628800000006,0.00203700096,,0.00022021632000000004,5.505408000000001e-05,0.00022021632000000004,0.00011010816000000002,0.0013488249599999998
Hunan,0.019690931519999996,0.00807833088,0.028274158080000007,0.053014046399999994,0.00959301792,0.0075734352,0.003534269760000001,2.8274158080000005,0.034332906239999995,0.11663090207999999,0.0403916544,,0.043421028480000005,0.008583226559999999,0.60890419008,0.00100979136,0.0025244784000000003,0.043925924160000004,0.03685738464,0.2675947104,0.21205618559999997,0.08179310015999999,0.15904213920000002,0.06664622976,0.239825448,0.08633716127999999,0.00151468704,0.003534269760000001,0.00151468704,0.00302937408,0.022720305600000004
Guangdong,0.02047407192,0.0068246906400000005,0.03827761272,0.11601974088,0.01305592992,0.01869371784,0.00801159336,,0.03916778976,0.06646655232000001,0.04925646288,0.5453817998399999,0.10593106775999997,0.015133009680000002,0.10800814752,0.007418142,0.007121416319999998,0.03293655048,0.09732602304,0.30325364496,0.16586965512000001,0.07447814568,0.2062243476,0.055190976479999994,0.7290549957600001,0.0178035408,0.0014836284,0.00474761088,0.00801159336,0.00029672568,0.0207707976
Guangxi,0.00932715648,0.0015545260800000002,0.0116589456,0.02254062816,0.0034976836799999996,0.005829472800000001,0.0019431576,3.07951616448,0.007772630400000002,0.026426943360000003,0.010881682560000005,0.14534818848000006,0.027981469439999997,0.0034976836799999996,0.08511030287999999,0.002720420640000001,0.0019431576,0.0136021032,0.03225641616,0.03730862592,0.16400250144,0.11153724624,0.046247150880000004,0.016711155359999997,,0.0031090521600000004,0.0003886315200000001,,0.0003886315200000001,,0.006218104320000001
