,Hebei,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Heilongjiang,Tianjin,Hubei,Jiangsu,Shaanxi,Jilin,Sichuan,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Chongqing,Hainan,Shanghai,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.2576511018,3.5057919582,0.8105877359999999,0.17369737200000002,0.13606294139999994,0.052109211600000004,6.643924479,0.14474781,0.0405293868,1.8006627564,2.4114985146,0.463192992,0.0984285108,1.3287848958,1.4416881875999998,0.38213421840000006,0.1939620654,3.6534347244,,0.8279574731999999,0.8105877359999999,0.08105877360000001,1.1261379618,0.5703063714,0.2779157952,1.418528538,0.0231596496,0.0173697372,0.0086848686,,0.1708024158
Anhui,0.16534378043999998,1.4989616902799998,0.40287991572,0.06287721228000001,0.04114187964,0.015525237599999997,,0.027169165799999995,0.031826737079999994,0.39666982068000006,2.59426720296,0.11100544884,0.02018280888,0.12342563892000001,0.17233013735999997,0.15059480472,0.033379260839999994,0.34388401284000003,0.63886352724,0.13351704335999998,0.07374487860000001,0.02173533264,0.38502589248,0.05356206972,0.04812823656,0.06365347415999999,0.007762618799999998,0.00543383316,0.00310504752,0.0007762618799999999,0.11876806764
Fujian,0.07556490647999999,0.6181755602400001,0.14930897183999994,0.0500731308,0.040058504640000006,0.015477149520000004,0.46795616784,0.03004387848,0.020939672880000003,0.65186112096,0.204844626,0.1320109812,0.022760514000000003,0.8913017282399999,0.6382048125600001,0.5253126631199999,0.046431448560000005,2.0948777085600003,0.4424643921600001,,0.6054296724,0.029133457919999998,0.09286289712,0.21759051384000005,0.1866362148,0.70921761624,0.010014626160000002,0.00546252336,0.0018208411199999999,,0.07374406536000001
Jiangxi,0.06366694283999999,0.24688116684,0.10214192988,0.027024098039999996,0.020611600200000003,0.00961874676,0.37055076804,0.016947315719999998,0.00961874676,0.5633837388,0.17725976172000002,0.05404819607999999,0.013283031239999998,0.12458567232,0.7269024337199999,0.6210962193599999,0.02656606248,,0.43925610204,0.38887219044,0.08382050748,0.0366428448,0.09160711199999999,0.05084194716,0.11771513892,0.11817317448,0.00412232004,0.0045803556,0.0022901778,,0.054506231639999986
Shandong,1.4398896959999998,1.586817216,,0.297528228,0.3994591949999999,0.135907956,0.595056456,0.3911945219999999,0.20294363699999995,0.231410844,1.3682625299999998,0.21763638899999999,0.246103596,0.21763638899999999,0.12488839199999999,0.15335559899999998,0.105604155,0.123051798,0.231410844,0.12672498599999998,0.08907480899999999,0.057852711,0.148764114,0.087238215,0.05509782,0.05234292899999999,0.028467207,0.022039127999999998,0.011019563999999996,0.000918297,0.412315353
Henan,0.6188993924399999,,0.99276837408,0.41734211904,0.07271870256,0.0434731374,1.35636188688,0.047425240800000004,0.06481449576000001,0.7746122664,0.48847998024,0.46081525643999993,0.032407247880000004,0.25214419691999995,0.26953345188,0.37386898164000004,0.08062290936000001,0.14543740512,0.25372503828000004,0.13200025355999997,0.13200025355999997,0.13911403968,0.12962899152000001,0.0829941714,0.098802585,0.06876659916,0.041101875360000005,0.01738925496,0.013437151559999999,0.00237126204,0.28138976208
Hubei,0.16154256384,1.3457072505599998,0.19760117184,0.09014652,0.04831853472,0.02307750912,0.47453128128,0.03750095232,0.02019282048,,0.27837245376,0.25890080544,0.02596219776,0.32380629984000003,1.1286344304,0.5242921603199999,0.06057846144,0.558908424,0.2235633696,0.17812952352000005,0.59352468768,0.062020805760000006,0.08149245408,0.08942534783999999,0.14279208767999998,0.12115692288,0.01875047616,0.007932893759999999,0.00504820512,0.00072117216,0.10384879104
Hunan,0.09177307776,0.33413155776000003,0.10469886336,0.04136251392,0.03102188544,0.014864653439999997,0.16545005568,0.02132754624,0.01034062848,1.2143775571199995,0.13313559168,0.08983420991999999,0.01874238912,0.21909206591999997,,1.2214867391999995,0.02972930688,0.70574789376,0.16609634495999998,0.1583408736,0.26045457984000003,0.07626213504,0.056227167360000004,0.11956351679999999,0.5299572095999999,0.49764274560000005,0.01098691776,0.005816603520000001,0.00387773568,0.0006462892799999999,0.10728402048
Guangdong,0.267879798,3.3157566107999994,0.4345605612,0.1607278788,0.15477499439999998,0.0535759596,1.0179432324,0.1369163412,0.0476230752,5.083763277599998,0.4643249832,0.6905345903999999,0.1011990348,3.5836364087999995,13.5011418192,,0.1845394164,6.411256498799999,0.4762307519999999,1.7918182043999995,1.8096768576,0.5774297867999999,0.1904923008,1.0477076544,14.1440533344,2.0656508868,0.0357173064,0.017858653199999998,0.0119057688,,0.24406826039999996
Guangxi,0.08676630900000001,0.18146553767999998,0.08974115388000001,0.03272329368,0.026773603920000003,0.013386801960000002,0.09271599876000003,0.01784906928,0.012395187000000002,0.20724752664,0.08131242672,0.052555592879999995,0.0198322992,0.2503827774,0.9464964793200001,1.3709076822,0.02231133660000001,0.21022237151999998,0.10759022316,0.17154938807999998,0.12097702512,0.059496897600000015,0.03074006376,0.23104628568,,0.44176446468,0.005453882280000001,0.005949689760000001,0.0024790374,,0.04908494052
