,Hebei,Shandong,Tianjin,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Sichuan,Heilongjiang,Anhui,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,1.0580406235200002,,0.28245285791999997,1.01945416752,0.16283484431999998,0.18598671792,1.24402734144,0.28013767056,0.09183576528,0.25235542224,0.21299723712000002,0.23074700688,0.3974404968,0.18289980144,0.15743274048,0.29248533648,0.154345824,0.10804207679999997,0.043216830720000016,0.09723786912,0.10804207679999997,0.07099907904,0.07485772464,0.07408599551999999,0.06019487136000001,0.07485772464,0.03549953952,0.028553977440000006,0.01697804064,0.0015434582399999998,0.69764312448
Henan,0.46561186583999997,0.74178059472,0.09164619287999999,,0.29954158344000004,0.3013868088,0.58555151424,0.06396781248,0.041825108160000006,0.21466121688,0.14946325416000006,0.03444420672000001,0.6569002281599999,0.56094850944,0.33214056480000004,0.2798591796,0.025833155040000003,0.14577280344,0.07749946512,0.09902709432,0.10702307088,0.06704318808,0.07011856368,0.06950348855999999,0.06519796272,0.06273766223999999,0.0430552584,0.02398792968,0.0215276292,0.0030753756,0.43239780936000005
Hubei,0.10704479507999999,0.14163568955999997,0.02757922668,0.6259082122800002,0.06123523212,0.39405573035999997,0.2360594826,0.040667673239999994,0.02243733696,0.12621002039999998,0.18370569636,0.02477455956,0.25335492984,,0.16687769364,0.21315470112,0.01916522532,0.5978615410799999,0.051886341720000013,0.31926460716,0.11078435124,0.062170121160000015,0.29729471471999996,0.08367256908,0.09769590468,0.14116824504,0.0327211164,0.0140233356,0.01589311368,0.00560933424,0.17669402856
Hunan,0.07524917819999999,0.08771376599999997,0.0212359644,0.17127266940000002,0.0406253232,1.1435105178,0.1297240434,0.028160735399999994,0.0166194504,0.08725211459999999,0.12741578639999998,0.0212359644,0.0978700968,0.6172279217999999,0.06924770999999999,0.1440352368,0.015234496199999998,,0.0664778016,0.4274891964,0.0983317482,0.0309306438,0.14265028259999998,0.1024866108,0.3190011173999999,0.3310040538,0.0221592672,0.0106179822,0.0101563308,0.007848073799999999,0.12880074060000002
Guangdong,0.13600597248,0.20589793055999997,0.051002239680000006,1.05404628672,0.0755588736,,0.33057007200000005,0.09822653568,0.030223549439999997,0.27578988864,1.3373920627200002,0.08500373280000001,0.30979138175999993,1.69629671232,0.23612148,0.35323773408000003,0.05478018336,3.2055852124799995,0.22667662079999998,1.37706047136,0.6384724819200001,0.06989195808,0.6743629468799999,0.5912481859200001,2.8580143939200005,1.05026834304,0.030223549439999997,0.01700074656,0.0094448592,0.0018889718399999998,0.3022354944
Guangxi,0.06258476664,0.058159581120000005,0.014855979959999996,0.09198064188,0.02244201228,1.2422127923999997,0.05721132708,0.01928116548,0.0094825404,0.03729799224,0.11537090819999997,0.01770074208,0.04203926244,0.08945196444,0.03982666968,0.06353302067999997,0.01137904848,0.35275050288000004,0.04614836328,0.07175122236,0.058791750479999995,0.01801682676,0.07175122236,0.18522562248,,0.27625801031999997,0.0047412702,0.00442518552,0.004109100839999999,,0.05310222624
Hainan,0.04404425544,0.0313668288,0.02117260944,0.07083675503999999,0.027576670319999996,0.22505699664,0.03881645064,0.02640041424,0.012677426640000001,0.03960062135999999,0.09266284007999999,0.02718458496,0.03267378,0.06181879176,0.03685602384,0.03777088968,0.0189507924,0.07920124271999998,,0.046135377359999986,0.0267924996,0.01150117056,0.05319291384,0.0274459752,0.07358135256000001,0.0418224384,0.010716999839999998,0.00444363408,0.0030059877599999995,0.00052278048,0.07462691351999999
Chongqing,0.046474631280000005,0.049598976240000016,0.01835552664,0.08357622768000003,0.027338018399999997,0.15504561864000002,0.08201405520000002,0.015621724800000004,0.012106836720000002,0.054676036799999994,1.7191708142400004,0.011325750479999999,0.039054312000000015,0.25814900232000004,0.09802632312,0.07849916712,0.008591948640000001,0.11481967728000002,0.045693545040000005,0.03319616520000001,0.045693545040000005,0.03397725144,,0.1425482388,0.05780038176000001,0.5248899532800001,0.029290734,0.012106836720000002,0.010935207360000004,0.010154121120000002,0.07498427904
Sichuan,0.08486792496000001,0.10282075524,0.0217610064,0.15123899448,0.05929874244,0.3019339638,0.13111006356,0.0380817612,0.02774528316,0.10282075524,,0.02556918252,0.06691509468,0.14307861708,0.3073742154,0.11206918295999999,0.02067295608,0.09629245332,0.07398742176,0.05766666696,0.0707232708,0.14362264224000001,1.6511163606,0.71104088412,0.08105974884,0.47547798983999995,0.05603459147999999,0.02284905672,0.04678616376,0.052226415359999986,0.18442452924000002
Guizhou,0.02158007832,0.02857902264,0.00816543504,0.059782649399999985,0.009915171120000002,0.20092802652,0.044326647359999985,0.009331925759999998,0.0037910948399999993,0.02974551336,0.4948836879599999,0.007582189679999999,0.02974551336,0.07348891535999999,0.03266174016,0.08340408647999999,0.00408271752,0.306203814,0.03586958964,0.04753449683999999,0.053366950439999984,0.01079003916,0.45813923028000003,0.5765380383599998,0.226007577,,0.00233298144,0.0032078494800000003,0.0011664907199999998,0.0008748680399999997,0.04316015664
Yunnan,0.0393025284,0.047434086000000014,0.012739440239999998,0.07724979720000001,0.024936776639999998,0.14934960792000002,0.06451035696,0.017889426719999997,0.008673661440000001,0.04445251488,0.7364480666400001,0.01301049216,0.038760424560000006,0.06830508384,0.046078826400000016,0.07481032992,0.0108420768,0.10137341808,0.02195520552000001,0.044723566799999996,0.052584072480000014,0.014094699840000002,0.16994955384,,0.15395749056,0.5797800568800001,0.007589453760000002,0.0054210384000000006,0.00433683072,0.00786050568,0.06478140887999999
Tibet,0.00393981408,0.00483338016,0.0007717161600000001,0.017383921920000003,0.0017871321600000003,0.0035742643200000006,0.0030868646400000004,0.00129973248,0.0006904828800000001,0.0014215824,0.18801442656,0.00109664928,0.00491461344,0.006092496,0.018074404800000003,0.0020714486400000005,0.0002030832,0.006986062080000001,0.0012184992,0.0020714486400000005,0.00125911584,0.02177051904,0.02753808192,0.019820920319999998,0.0004467830400000001,0.00389919744,0.00150281568,0.0010560326400000002,0.05312656512,,0.005605096320000001
Shaanxi,0.132956073,0.1345436082,0.037307077200000004,0.41196538439999997,0.37307077200000005,0.1432750518,0.1599441714,0.0392914962,0.19486994579999997,0.0904895064,0.41394980340000004,0.024606795600000002,0.0968396472,0.1817727804,,0.0865206684,0.018653538600000002,0.069454665,0.0511980102,0.0400852638,0.05556373199999999,0.4687197678,0.09842718240000001,0.0547699644,0.033338239199999994,0.0432603342,0.06389829179999999,0.148831425,0.0567543834,0.016272235799999996,0.2155079034
Gansu,0.032092767,0.035210350079999994,0.01173678336,0.08692555176000001,0.024757277400000003,0.034660188360000004,0.06840344051999997,0.01026968544,0.06822005328,0.02549082636,0.14414237064000002,0.0062351661600000005,0.02218985604,0.043462775880000006,0.5079826547999998,0.02769147324,0.0036677448,0.0220064688,0.01907227296,0.013020494039999995,0.01998920916,,0.02805824772,0.016138077119999997,0.013937430239999998,0.01265371956,0.08399135591999997,0.17788562279999995,0.2026429002,0.0056850044399999996,0.06253504883999997
Qinghai,0.0125986104,0.0179166168,0.0029755511999999995,0.0438102432,0.0063942696,0.0109525608,0.016460496,0.002532384,0.0048748392,0.0060777216000000005,0.062296646399999996,0.0021525264,0.012155443200000001,0.0169669728,0.0520404912,0.008610105600000001,0.0011395728,0.0074705328000000005,0.008546796,0.0027856224000000003,0.0063942696,0.2376642384,0.009179892,0.0058877928000000005,0.0041784336,0.0015194304000000001,0.016903663200000002,0.0096863688,,0.023424552,0.018676332
Ningxia,0.01938801744,0.02027331504,0.00513472608,0.03771367776,0.014076231840000003,0.01540417824,0.02177832096,0.00548884512,0.17918423424000002,0.01177445808,0.02151273168,0.004692077279999999,0.01221710688,0.01221710688,0.16254063936,0.01487299968,0.0030100118400000005,0.00637414272,0.011508868799999999,0.0053117856000000005,0.006639732,0.20653993008000002,0.0097382736,0.009384154559999998,0.004426488,0.004337958239999999,0.013367993759999999,,0.011420339040000001,0.00070823808,0.032313362400000004
Xinjiang,0.04276978524000001,0.05693101848000001,0.009869950440000002,0.18695688732000004,0.02288684160000001,0.031469407200000014,0.05335494948000001,0.011872549080000004,0.0193107726,0.021456414000000004,0.16850437127999998,0.008439522840000001,0.031898535480000004,0.042912828000000014,0.1079972838,0.031040278920000008,0.005292582120000001,0.027464209920000003,0.020312071919999997,0.007867351800000002,0.0207412002,0.31111800300000003,0.050064966000000016,0.015162532560000002,0.0071521380000000015,0.008296480080000002,,0.02374509816000001,0.032899834800000013,0.0008582565600000001,0.048777581160000014
Taiwan,0.00016176996000000002,0.0006764925599999999,0.00035295263999999995,0.00025491024,0.00048530988,0.01315238796,0.0054707659200000005,0.0008382625200000001,2.941272e-05,0.006706100160000001,0.00100003248,0.00025491024,0.0006764925599999999,0.0007108074000000001,0.00028922508,0.0018137844000000005,9.314028e-05,0.0006470798400000001,0.00025491024,0.00016176996000000002,0.007804175040000002,2.941272e-05,0.00032353992000000003,0.00041668019999999996,0.00057845016,0.00012745512,,,,,0.00113238972
Hong Kong,0.0007518420000000001,0.001127763,0.001127763,0.00161109,0.000483327,0.447936723,0.003974022,0.000644436,0.000161109,0.010042460999999999,0.001933308,0.00053703,0.0008055450000000001,0.001825902,0.0008592480000000001,0.005048082,,0.003651804,0.001503684,0.001825902,0.015090543,,0.001396278,0.000375921,0.003651804,0.001020357,,,,,0.009236916
Macau,0.003752406,0.00440282304,0.00220141152,0.00385247016,0.00415266264,0.37494040752,0.01135728216,0.0026016681600000004,0.00045028872,0.017110971359999998,0.00235150776,0.001250802,0.0019012190399999998,0.0064041062400000005,0.00135086616,0.012658116240000001,0.00110070576,0.0074047478400000016,0.00220141152,0.0042527268,0.00705452328,0.0002501604,0.00160102656,0.0013008340800000002,0.004853111760000001,0.00195125112,0.00015009624,5.003208e-05,,,0.007654908240000002
