,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.0752821776,0.19497542399999998,0.0254551248,0.2946295296,0.2675496096,0.0341206992,0.050910249599999985,1.188808488,0.0167895504,,0.11102767199999998,0.06174221759999999,0.9299244528,0.159771528,0.0238303296,0.6071318064,0.0362870928,0.1500227568,0.018955944,0.2707992,0.07257418560000001,0.3910340448,0.0752821776,0.0482022576,0.0200391408,0.12402603359999999,0.0064991808,0.0070407792000000005,0.0048743856,0.0010831967999999999,0.1343164032
Anhui,0.0649249182,0.20231442252,0.01926804024,0.46536505884,0.11560824144000001,0.025551096839999995,0.01843029936,1.6155832870799998,0.0075396679200000006,0.5977281178799999,0.0335096352,0.039373821359999985,0.33970392683999995,0.13487628168,0.010052890559999998,,0.01633594716,0.056966379840000005,0.007120797480000001,0.06115508424,0.03267189432,0.14869900619999998,0.02010578112,0.017592558480000003,0.00963402012,0.017592558480000003,0.0033509635200000003,0.0033509635200000003,0.0029320930800000003,0.0008377408800000001,0.09298923767999999
Fujian,0.023963833800000004,0.042779881080000005,0.00923051376,0.06035335920000001,0.38856912732,0.01473332004,0.0186385374,0.10011557232000001,0.006035335920000001,0.29324632176,0.049702766399999994,0.02112367572,0.07437663972000001,0.05378549364,0.005857826039999999,0.05343047388,0.0213011856,0.06763126427999999,0.0055028062800000005,,0.04739513796,0.21159177695999998,0.03337185744,0.04100478228,0.0097630434,0.047750157720000005,0.0028401580800000003,0.0030176679600000004,0.0015975889199999998,0.0005325296400000001,0.06035335920000001
Jiangxi,0.02262567168,0.04548702744,0.006599154240000001,0.05562144288,0.5064850879199999,0.00872031096,0.01037009952,0.12915487584000002,0.004477997520000001,0.37450200312,0.02451114432,0.017676306,0.09875162952000002,0.17911990079999998,0.004477997520000001,0.13646108232,0.02074019904,0.31275277416,0.0032995771200000005,0.2038667292,0.02993187816,,0.02286135576,0.047136816000000005,0.00494936568,0.02757503736,0.00282820896,0.0016497885600000005,0.00094273632,0.00047136816,0.047608184160000004
Shandong,0.7941792096000001,,0.153635859,0.67457960244,0.14039953884,0.11770870428000002,0.13567228164,0.8981788680000001,0.05010892632,0.22218108840000006,0.07185430944,0.09738149832,0.13992681312000002,0.09265424112,0.06901795512,0.21792655692,0.03639988044,0.0685452294,0.047745297719999996,0.06239979504,0.05719981212000001,0.048218023440000014,0.038290783320000014,0.03876350904,0.023636286000000003,0.026472640320000004,0.011818143,0.01229086872,0.00614543436,0.0014181771599999999,0.3639988044
Henan,0.35497474991999994,0.6414215558399999,0.048883266720000006,,0.25720821648000003,0.31751280719999997,0.03791879568,0.4011168988799999,0.02604061872,0.28827421775999995,0.08406094464,0.28142142336,0.13431477024,0.39152298672,0.01644670656,0.47649763728,0.04203047232,0.10050765119999999,0.014162441759999997,0.06304570847999999,0.06852794400000001,0.06258885552,0.039746207519999986,0.03791879568,0.03791879568,0.03106600128,0.013248735839999998,0.02375635392,0.01050761808,0.00411167664,0.2535533928
Hubei,0.05401434455999999,0.07236371519999997,0.011888324639999998,0.3450198564,0.3194341142399999,0.0219675564,0.01990002168,0.1434352212,0.006719487839999999,0.14446898855999998,0.07830787751999999,0.09252217872,0.06667799472,,0.007753255199999998,0.1330975476,0.02894548608,0.39360692232,0.005427278639999999,0.062026041599999984,0.15764952239999994,0.18323526456,0.03902471784,0.0413506944,0.010854557279999998,0.029462369759999992,0.0033597439199999995,0.004651953119999999,0.00361818576,0.00103376736,0.09691568999999997
Hunan,0.035764633080000004,0.05704606763999999,0.01004956632,0.08157883247999999,0.92869815816,0.014778774,0.013300896599999999,0.08689919112,0.00561593412,0.12443727708,0.056750492159999985,0.03487790664,0.05556819023999999,0.36769589712,0.007684962479999998,0.04670092584,0.03783366144,,0.0059115096,0.05586376572000001,0.0871947666,0.30060026316,0.050543407080000005,0.21754355328,0.006798236039999999,0.17734528800000002,0.00236460384,0.005320358639999999,0.0026601793199999995,0.00118230192,0.07123369067999999
Guangdong,0.07314842376,0.11549751120000006,0.02630776644,0.23356163376000005,,0.03400760051999999,0.05004892152000001,0.23548659228,0.016041321,0.26564427576000005,0.2342032866,0.09753123168,0.15527998728,0.30542675184,0.03400760051999999,0.10523106576,0.17132130827999997,1.0407609064799999,0.02502446076000001,0.3958998022800001,0.15592164012000004,0.54155499696,0.16041321000000006,1.2666227061600002,0.024382807920000003,0.19827072755999997,0.00769983408,0.01026644544,0.00513322272,0.00256661136,0.20982047868000006
Guangxi,0.02362864608,0.03317098392,0.0068159556000000005,0.03317098392,1.2102865160400005,0.008633543760000001,0.01431350676,0.03930534396,0.00272638224,0.042486123240000014,0.05066526996,0.01408630824,0.025219035719999998,0.03953254248,0.007270352640000002,0.019539072719999998,0.04793888772,0.21265781472,0.00545276448,0.03680616024,0.03839654988,0.03998693952,0.1090552896,,0.00704315412,0.15585818472,0.0011359926,0.00136319112,0.0015903896400000007,0.0011359926,0.03680616024
