,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Sichuan,Zhejiang,Shaanxi,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Hainan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.081997515,0.030831065639999995,0.19154619504,0.30568673591999995,0.038046846960000005,0.27026380944,0.051166449360000005,1.44381224412,0.01705548312,1.3565668881600002,0.12922808364,,0.06953389272,0.02492724456,0.77208860124,0.18105051311999998,0.02099136384,0.15940316916000002,0.030831065639999995,0.3411096624,0.07871761440000001,0.4952649906,0.08134153488,0.02361528432,0.045918608399999984,0.14890748724000002,0.00852774156,0.01115166204,0.00852774156,0.00065598012,0.12857210351999998
Anhui,0.06577045776000001,0.021758647680000003,0.20176200576000006,0.5617687219199999,0.025220250720000004,0.111265812,0.016318985759999998,2.04185127888,0.00840675024,0.43418392416,0.036594089280000006,0.7219914912000001,0.04153923648,0.00791223552,,0.16170631344,0.0074177207999999994,0.052418560319999995,0.014835441599999999,0.0568691928,0.028187339039999995,0.15280504847999998,0.01879155936,0.00939577968,0.01434092688,0.018297044640000003,0.00395611776,0.0034616030400000004,0.00197805888,0.00098902944,0.09445231152000001
Fujian,0.0259383384,0.0129691692,0.042099918479999984,0.06724015416,0.0139667976,0.4160110428,0.0189549396,0.10973912400000001,0.00738245016,0.1017580968,0.06364869192000001,0.34757373456,0.027335018160000002,0.00977675832,0.05826149856000001,0.06424726895999999,0.00638482176,0.06943493664,0.01875541392,,0.04150134144,0.25120283111999997,0.0369122508,0.0129691692,0.04150134144,0.05347288223999999,0.0039905136,0.0039905136,0.0021947824800000004,0.00159620544,0.057862447199999986
Jiangxi,0.026354283119999992,0.010914400079999996,0.04046314176,0.05483820527999999,0.01038199032,0.5843197116,0.012511629359999995,0.1317714156,0.0039930732,0.11872737647999998,0.03407422464,0.4472241984,0.01943295624,0.0045254829600000004,0.15280160111999996,0.1983226356,0.00425927808,0.3758812905599999,0.014907473280000002,0.23133204071999994,0.02422464408,,0.02342602944,0.006655121999999999,0.04179416616000001,0.025555668479999998,0.00239584392,0.00212963904,0.0007986146399999997,0.00026620488,0.052176156479999986
Shandong,0.92866298148,0.21228029964000006,,0.7315817486399999,0.12463234775999998,0.12361907663999998,0.13983141455999998,0.9757800885600001,0.058769724959999985,0.16111010808,0.07498206287999999,0.21228029964000006,0.09778066307999997,0.06940907171999999,0.23001254424000003,0.08764795187999999,0.049650284879999985,0.06028963164,0.0278649558,0.054716640479999995,0.043064022599999995,0.05218346268,0.03647776032,0.025331778,0.033944582519999995,0.027358320239999998,0.01317252456,0.014692431239999996,0.0075995334,0.0015199066799999998,0.38200321224
Henan,0.42008586768,0.07699828248,0.7039842969600001,,0.41275269792,0.28494602496000004,0.039284837999999996,0.45203753592,0.029332679040000007,0.17180569152,0.09375981336000001,0.32737365,0.30275515152000004,0.0157139352,0.5787966132000001,0.47246565168,0.014666339520000004,0.09952158960000002,0.04295142288,0.07018891056000001,0.047665603439999996,0.07176030408,0.0419038272,0.0419038272,0.03718964664,0.03299926392,0.014142541680000002,0.028285083360000005,0.013618743840000001,0.004190382720000001,0.28442222712
Hubei,0.05462987004,0.01482418584,0.06753240216,0.39366449064000003,0.025256020319999996,0.33656392296,0.0178439274,0.15565395132,0.0082356588,0.09278842248,0.07796423663999999,0.16498769795999998,0.0974552958,0.007961136839999999,0.150987078,,0.006588527039999999,0.4008020616,0.02305984464,0.05627700179999999,0.1564775172,0.19875389904,0.0315700254,0.012628010159999998,0.041178294,0.034589766960000004,0.004666873320000001,0.00494139528,0.00439235136,0.0016471317599999998,0.09498459816
Hunan,0.036580782600000014,0.011534481,0.043171914600000014,0.08403693300000001,0.015489160200000001,1.0895141196000002,0.015159603600000003,0.0945827442,0.005602462200000001,0.0728320086,0.059320188000000024,0.14006155500000006,0.034603443000000005,0.0085684716,0.052399499400000014,0.4149117594000001,0.007250245200000002,,0.0332852166,0.0586610748,0.08535515939999999,0.3618531468000001,0.05206994280000001,0.0095571414,0.22376893140000004,0.18092657340000004,0.005272905600000001,0.0046137924,0.005602462200000001,0.0019773396,0.08008225380000003
Guangdong,0.07499451096,0.033642397439999985,0.10793602512,0.25792504704,0.0420529968,,0.05116447944,0.22217999976,0.018222965280000003,0.19554643512000003,0.2635321132799999,0.25652328048,0.10583337527999999,0.03224063088,0.10933779167999999,0.33502220784000003,0.02312914824,1.13122561392,0.17662258656,0.41071760208,0.14928813863999998,0.6181790529600001,0.16260492095999998,0.024530914799999998,1.5917059288799997,0.21587205024,0.009111482640000002,0.011915015759999998,0.007008832800000001,0.0035044164000000004,0.18783671904
Guangxi,0.023239353600000002,0.008202124800000002,0.031714882560000004,0.033628711680000006,0.0095691456,1.58136966144,0.01339680384,0.039917007360000006,0.0030074457600000005,0.035542540800000015,0.057688277760000004,0.05386061952000001,0.018591482880000003,0.0071085081600000015,0.020505312,0.04429147392000001,0.0035542540800000007,0.25235203968000003,0.045658494720000005,0.038823390719999996,0.035542540800000015,0.04019041152,0.10799464320000003,0.006835104000000001,,0.17169781248000004,0.0008202124799999999,0.0021872332800000004,0.0019138291200000003,0.0008202124799999999,0.03745636992
Hainan,0.0231908832,0.0137134944,0.023047286400000002,0.031878489600000004,0.0114159456,0.16693128000000002,0.0162264384,0.027211593600000004,0.0066772512000000004,0.031878489600000004,0.0436534272,0.028073174400000005,0.019241971200000003,0.0162982368,0.0132109056,0.01974456,0.0090465984,0.035755603200000007,,0.015652051200000003,0.023980665600000003,0.012995510400000002,0.011200550400000002,0.0050976864,0.0385557408,0.013569897600000002,0.0037335168,0.0023693472,0.0013641696,0.0002153952,0.050402476800000005
Chongqing,0.02714970636,0.013434906239999996,0.03862535544,0.04954121676,0.02071214712,0.14330566656,0.013994693999999998,0.07417187819999999,0.008116922519999998,0.059897290320000005,1.26456054984,0.07137293939999999,0.0727724088,0.0055978776000000004,0.031907902319999994,0.19704529152,0.005038089839999999,0.09124540487999998,0.031907902319999994,0.04002482484,,0.02435076756,0.08396816399999997,0.01931267772,0.03554652276,0.28465207596000003,0.006997346999999999,0.007557134759999999,0.00615766536,0.006997346999999999,0.058497820919999985
Sichuan,0.05794231967999999,0.02404409184,0.06267230496000001,0.09105221663999999,0.03508072416,0.25344837792,0.02837991168,0.10800133056,0.014978286719999998,0.09499387104,,0.11903796287999999,0.2443825728,0.01418995584,0.03783988224,0.08238057696000001,0.01261329408,0.06227813952000001,0.054788996160000006,0.05833648512,1.26408856608,0.03232156608,0.4670860464,0.10603050336000001,0.059124816,0.29601824544,0.0118249632,0.02601491904,0.03783988224,0.05360649984,0.12337378272
Guizhou,0.015558933599999996,0.006668114399999999,0.01911526128,0.03467419488,0.00622357344,0.24849839664,0.007334925839999998,0.05045539896000001,0.0033340572,0.04489863696,0.30050968896,0.1533666312,0.02178250704,0.0026672457599999995,0.01955980224,0.03467419488,0.0035563276799999996,0.22738270104000002,0.02022661368,0.05401172664,0.31006731959999995,0.03289603104,0.37541484072,0.00488995056,0.18137271167999997,,0.0026672457599999995,0.00155589336,0.0011113523999999998,0.0011113523999999998,0.032673760559999994
Yunnan,0.020183359680000002,0.00922170744,0.023663249280000003,0.03497289047999999,0.00974369088,0.16320682224000002,0.010961652240000001,0.041932669680000006,0.006089806799999999,0.0582881508,0.44559986328,0.08212539456000001,0.028535094719999994,0.006089806799999999,0.01757344248,0.02923107264,0.00313190064,0.056374211520000016,0.011657630159999998,0.03079702296,0.08334335592,0.02296727136,,0.0069597792,0.11779426296,0.35494873920000003,0.00243592272,0.00382787856,0.00278391168,0.006785784720000001,0.04576054824
Tibet,0.00186344064,0.0009317203199999998,0.00238753332,0.0054350352,0.0009317203199999998,0.005629143599999999,0.0011840612399999998,0.0046003690800000005,0.00021351924,0.00302809104,0.075217005,0.00258164172,0.0073761192000000005,0.0005435035200000001,0.00151404552,0.00238753332,0.00021351924,0.00196049484,0.0001941084,0.0014558129999999998,0.01259763516,0.0010675962,0.011724147360000001,0.007182010799999999,0.0011646503999999998,0.00157227804,0.00025234092,0.00209637072,0.0322219944,,0.004231563119999999
Shaanxi,0.09079333416000002,0.020888036999999998,0.09079333416000002,0.28853341776,0.41608969704,0.10109809908,0.025901165880000004,0.1155804714,0.24731435808,0.06349963248,0.23645257884000004,0.06656321124,,0.0111402864,0.04539666708000001,0.10527570648,0.00668417184,0.037876973760000016,0.02423012292,0.025901165880000004,0.055422924840000005,0.018938486880000004,0.03397787352,0.32835994164,0.015317893800000003,0.023951615760000003,0.11530196424,0.025344151560000003,0.028407730320000005,0.004734621720000001,0.11056734252
Gansu,0.021263109120000002,0.011304437759999996,0.01991734272,0.04077672191999999,0.015745466879999996,0.03283670016,0.00430645248,0.038354342400000005,0.0625781376,0.02341633536,0.10483520255999998,0.024492948480000002,0.40399907328,0.00255695616,0.01116986112,0.016149196799999998,0.0016149196799999995,0.008882058239999999,0.00915121152,0.011573591039999996,0.01870615296,0.006997985279999999,0.009554941439999996,,0.007670868479999998,0.007805445119999998,0.16324146431999995,0.05086996992,0.16862452991999996,0.00551764224,0.03983468544
Qinghai,0.005967885600000001,0.0015914361600000001,0.006277331519999999,0.01794786336,0.0033596985600000003,0.008576072640000001,0.00119357712,0.01087481376,0.00349231824,0.003580731360000001,0.04124472048,0.007117256159999999,0.03479056272,0.00048627215999999995,0.0026523936,0.004288036320000001,0.00035365248,0.0028734264,0.0026523936,0.0034039051200000004,0.0054374068800000005,0.0008399246400000001,0.00278501328,0.20768241888,0.00190088208,0.00181246896,0.01100743344,0.01564912224,,0.020467637280000003,0.010963226880000001
Ningxia,0.014618847599999997,0.003195748079999999,0.01128711024,0.01863053136,0.011491094159999998,0.013598928,0.0023118177600000003,0.018494542080000002,0.1587674844,0.00870331392,0.013802911919999996,0.01033518528,0.12667401432,0.0015638767199999998,0.007003447919999999,0.00632350152,0.00095192496,0.0061195176,0.005303581920000001,0.006867458639999999,0.0070714425599999985,0.00278778024,0.00537157656,0.17223042311999998,0.00217582848,0.00353572128,,0.005507565840000001,0.01074315312,0.00040796783999999986,0.02298218832
Xinjiang,0.014381167680000001,0.005462614079999999,0.01666654704,0.05691152016,0.00646595136,0.01861748064,0.006354469439999999,0.02084711904,0.0119843064,0.012207270239999998,0.06889582655999997,0.01499431824,0.0448714728,0.0027313070399999995,0.00886281264,0.008695589759999999,0.0022296384,0.009420222239999998,0.0074692886399999985,0.004849463519999999,0.01934211312,0.00239686128,0.004570758719999999,0.11661008832,0.00267556608,0.004849463519999999,0.009698927039999998,,0.028873817280000002,0.0012820420799999998,0.023355462240000003
Taiwan,9.67626e-05,3.2075999999999996e-05,0.0001940598,0.0001293732,3.2075999999999996e-05,0.0001293732,9.67626e-05,0.0001293732,3.2075999999999996e-05,0.0015872274,0.0001293732,0.0001619838,,0.0001293732,3.2075999999999996e-05,0.0001293732,6.46866e-05,,6.46866e-05,0.0013931676,3.2075999999999996e-05,6.46866e-05,6.46866e-05,,3.2075999999999996e-05,6.46866e-05,,,,,0.0002587464
Hong Kong,3.234816e-05,,3.234816e-05,3.234816e-05,,0.01853145216,3.234816e-05,3.234816e-05,,0.0007116595200000001,,,,,,,3.234816e-05,3.234816e-05,0.00012939264,0.00016174079999999998,3.234816e-05,,,,9.704447999999998e-05,,,,,,0.00016174079999999998
Macau,0.00141594156,0.00049974408,0.00058303476,0.0008051432399999999,0.0002776356,0.24654041280000003,0.0007773796799999999,0.0021933212399999997,5.5527119999999994e-05,0.0038036077200000007,0.0012493602,0.00272082888,0.00058303476,0.00022210847999999997,0.00102725172,0.0016658136,0.00019434491999999998,0.00188792208,0.000694089,0.0023599026000000003,0.00061079832,0.0008884339199999999,0.0004164534,0.00019434491999999998,0.00197121276,0.0008051432399999999,8.329067999999999e-05,,2.7763559999999997e-05,2.7763559999999997e-05,0.0026375382
