,Hebei,Henan,Tianjin,Shandong,Shanxi,Inner Mongolia,Liaoning,Jiangsu,Heilongjiang,Anhui,Sichuan,Guangdong,Shaanxi,Hubei,Shanghai,Jilin,Hunan,Zhejiang,Jiangxi,Fujian,Gansu,Hainan,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0434541348,0.0659618154,0.0199056366,0.033826572,0.0197755344,0.0119694024,0.0219872718,0.035127594,0.0205561476,0.0313546302,0.10069910279999998,0.28284218279999995,0.0323954478,0.0504796536,0.038380149,0.016002570600000002,0.07246692539999999,0.0387704556,0.0460561788,0.0321352434,0.0119694024,,0.0454056678,0.0219872718,0.0430638282,0.07415825399999999,0.010408176,0.0044234748,0.0033826571999999995,0.00026020439999999996,0.06531130439999999
Chongqing,0.047651940360000006,0.09358669367999999,0.012020309280000002,0.05108631444,0.030050773199999995,0.01159101252,0.014166793080000002,0.06911677835999999,0.0085859352,0.04035389544,2.10956427864,0.13351129236,0.09186950663999999,0.2919217968,0.045505456560000004,0.00901523196,0.1330819956,0.06096013992,0.045505456560000004,0.045934753319999994,0.0386367084,0.040783192200000006,,0.14896597572,0.53318657592,0.06010154639999999,0.02532850884,0.012449606039999998,0.012020309280000002,0.008156638439999999,0.05709646908
Sichuan,0.10019591784,0.17519637096000004,0.02812516992,0.09082086119999999,0.06621133752000001,0.02402358264,0.039843990720000014,0.11074285656000002,0.025781405760000004,0.061523809200000015,,0.26836099632000004,0.307619046,0.18164172239999998,0.08261768664000001,0.0205079364,0.11191473864,0.09199274328000002,0.07207074792000001,0.07148480687999999,0.15996190392000004,0.07265668896000001,1.9757931868800005,0.7951219912800002,0.49687800192,0.10078185888,0.06445351440000001,0.02226575952,0.045703401120000015,0.047461224240000016,0.13066485192000002
Guizhou,0.02412172872,0.06575649336,0.006939127440000001,0.0264347712,0.011565212399999998,0.00363478104,0.006939127440000001,0.043286937840000005,0.007930431359999999,0.02742607512,0.6063475643999999,0.19132165656,0.036678245039999995,0.09516517632000002,0.03006955224,0.00462608496,0.396521568,0.07236518616,0.06079997376,0.06906083975999999,0.008260866,0.032052160079999996,0.5498432409599999,0.61857364608,,0.25476510744,0.0029739117600000005,0.0009913039199999998,0.0016521732,0.00033043464,0.03932172216
Yunnan,0.04583080116000001,0.08027878896000001,0.012880551960000002,0.04343441940000001,0.02306517444,0.009585527040000002,0.018871506359999998,0.050623564680000004,0.011682361080000002,0.03265070148,0.8342404002000001,0.13719285575999998,0.048227182920000014,0.08567064792000001,0.031152962880000006,0.008387336160000002,0.13779195119999998,0.07428783456,0.056614519080000016,0.059909544000000016,0.015876029160000003,0.016475124600000002,0.19021280220000006,,0.71382221676,0.18032772744000003,0.0077882407200000016,0.004193668080000001,0.0035945726399999995,0.00629050212,0.047028992040000016
Tibet,0.004788558000000001,0.0130887252,0.0006703981200000001,0.003543532920000001,0.0022665841200000003,0.0007661692800000001,0.0012450250800000002,0.002458126440000001,0.0008619404400000001,0.003415838040000001,0.14008128336000006,0.0021708129600000003,0.01969693524,0.004852405440000001,0.0011173302,0.0007342455600000003,0.005012024040000002,0.0017877283200000004,0.0016600334400000002,0.0008619404400000001,0.014206055400000002,0.0005427032400000001,0.01960116408,0.01411028424,0.003256219440000001,0.0003830846400000001,0.0010854064800000002,0.0005746269600000001,0.050758714800000014,,0.0031285245600000005
Shaanxi,0.18228707855999998,0.5134720183200001,0.03474283428,0.17281176012000002,0.49046053068000006,0.33163614539999997,0.04151091888,0.16288523604000002,0.02616992712,0.12814240176,0.4439863497600001,0.11641105512,,0.22876125948000006,0.06587602344000001,0.02301148764,0.07399772496,0.08076580956000001,0.05279105988,0.05955914448000001,0.5306178326400001,0.03654765684000001,0.11370382128000002,0.0518886486,0.04602297528000001,0.037450068120000006,0.06271758396,0.18093346164,0.04647418092,0.007670495880000002,0.15476353452000002
Gansu,0.05018553935999999,0.10736414567999998,0.01295774172,0.04278111552,0.035788048559999994,0.07342720307999998,0.01295774172,0.07342720307999998,0.006170353199999999,0.026326840319999996,0.16659953639999994,0.034553977919999986,0.5814529498800001,0.044220864599999986,0.02591548344,0.006170353199999999,0.025709805,0.03002905224,0.01378045548,0.01995080868,,0.017276988959999996,0.039078903599999985,0.0195394518,0.01604291832,0.01295774172,0.07980323471999999,0.21061472255999997,0.2097920088,0.0076101022799999985,0.049774182479999984
Qinghai,0.015777581760000003,0.046329932880000015,0.0017382081600000002,0.01811747736,0.009961269840000002,0.006551707679999999,0.00240674976,0.014908477680000002,0.001671354,0.00956014488,0.06157268136000001,0.01163262384,0.06123841056000001,0.012167457120000004,0.0034764163200000004,0.0013370832000000005,0.009225874080000002,0.0074208117600000015,0.0029415830400000005,0.00481349952,0.27269811864000004,0.004612937040000001,0.014173081920000004,0.00474664536,0.004011249600000001,0.00240674976,0.01076351976,0.01129835304,,0.02507031,0.01457420688
Ningxia,0.04084426296,0.056474609399999987,0.00444951468,0.02350256472,0.025213916519999997,0.20627493696,0.005704505999999999,0.023844835079999998,0.00319452336,0.014603535359999998,0.02578436712,0.014603535359999998,0.23742153971999996,0.016771247639999997,0.013348544039999995,0.0034227036,0.007301767679999999,0.014489445239999997,0.005362235639999997,0.006731317079999999,0.29788930332,0.006959497319999997,0.01220764284,0.006731317079999999,0.00319452336,0.00444951468,0.010382200920000001,,0.014489445239999997,0.00079863084,0.031831143480000004
Xinjiang,0.04152492863999999,0.15667464852,0.008605495080000001,0.05696018172,0.01966970304,0.0314168868,0.009288470880000002,0.041388333480000004,0.0081957096,0.02431393848,0.14328832284,0.031553481960000004,0.10285615548000003,0.0314168868,0.020762464319999997,0.0047808306,0.02226501108,0.02690924652,0.007512733800000002,0.01652801436,0.372221811,0.01666460952,0.04125173832,0.012293564400000002,0.006829758000000001,0.005190616079999999,,0.02035267884,0.03783685932,0.0010927612800000002,0.0437104512
Taiwan,0.00038572199999999996,0.0012265959599999999,0.00019286099999999998,0.00090258948,0.00022371876,3.0857760000000005e-05,0.00125745372,0.007321003559999999,0.00025457652,0.0013885992000000002,0.00116488044,0.01819064952,0.00070972848,0.00064801296,0.00927275688,0.0012265959599999999,0.00051686748,0.005862974399999999,0.0011957382,0.014526290519999999,0.00028543428,0.00028543428,0.00093344724,0.00044743752,0.00041657976,0.0008100162000000001,3.0857760000000005e-05,0.00012343104000000002,,,0.0013268836800000002
Hong Kong,0.0009293356800000002,0.0006389182800000001,0.0009874191600000002,0.002613756600000001,0.00029041740000000004,0.00011616696000000005,0.0015101704800000002,0.0037754262000000006,0.00017425043999999998,0.0007550852400000001,0.0016263374400000007,0.5059071108000001,0.00040658436000000017,0.0018586713600000004,0.009061022880000002,5.808348000000001e-05,0.0026718400800000005,0.006040681920000001,0.0011035861199999999,0.010280775960000002,,0.0020329218000000003,0.0015682539600000006,0.00034850087999999997,0.0011616696,0.0030203409600000003,,,,,0.007841269800000002
Macau,0.00259142976,0.0032392872,0.00183559608,0.00199756044,0.00226750104,0.00048589308,0.0021595248,0.007612324919999998,0.0007018455599999999,0.0030773228399999988,0.00264541788,0.4418927621999999,0.0022135129199999997,0.005236847639999999,0.01122952896,0.00102577428,0.006478574399999999,0.007990241759999999,0.004804942679999999,0.00394113276,0.0005398811999999999,0.0016196435999999998,0.00145767924,0.0005938693199999999,0.0008098217999999999,0.00372518028,0.0002699406,0.00010797624,,,0.007450360559999998
