,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Shandong,0.75620667528,,0.14668229087999998,0.6040733533199999,0.15312441852,0.8845536798000002,0.11942713548000003,0.136275777,0.051537021120000005,0.22894330536,0.08126991791999999,0.19921040856,0.10951616988,0.043112700360000006,0.09118088352,0.07879217652,0.21110356728,0.06789011436,0.053023665960000015,0.06689901780000003,0.044599345200000015,0.04757263488,0.05550140736000001,0.028246251960000003,0.04063495896,0.03518392788,0.014370900119999998,0.014370900119999998,0.00792877248,0.00297328968,0.57186271512
Henan,0.35454961008,0.60043936608,0.04964631264,,0.281016864,0.43979139216000007,0.2955360686399999,0.037937276639999996,0.03091185504,0.30865018896,0.08711522784,0.17048356415999996,0.26790274368,0.04730450544,0.36251175456,0.016392650399999997,0.44775353663999995,0.10350787824,0.01358248176,0.06884913168,0.04730450544,0.04636778256,0.06369715583999999,0.03559546944,0.04121580672,0.032785300799999986,0.01311412032,0.0257598792,0.01077231312,0.0042152529600000006,0.37141062192
Hubei,0.051719779800000004,0.07903843272000001,0.010343955960000002,0.33790256136,0.35381633976,0.15993347292,0.026522964,0.021218371200000002,0.00875257812,0.16311622860000002,0.079568892,0.08593440336000001,0.08354733660000001,0.028379571480000008,,0.010343955960000002,0.12837114576,0.36256891788,0.0074264299200000015,0.06471603215999999,0.039784446,0.14030647955999997,0.185660748,0.0119353338,0.04561949808,0.03235801608,0.004508903880000001,0.005304592800000001,0.0034479853200000002,0.0013261482000000002,0.11325305628
Hunan,0.03007796652,0.04866547392,0.0067590936,0.08381276064,1.28017232784,0.10375208676,0.016221824639999997,0.016221824639999997,0.00709704828,0.14329278432,0.061845706439999995,0.07874344043999999,0.03345751332,0.043596153719999996,0.35958377952000004,0.01081454976,0.046299791160000006,,0.00642113892,0.06116979708000001,0.06454934388,0.0726602562,0.30179352924,0.009462731040000002,0.20818008287999998,0.18148166316,0.0033795468,0.0050693202000000005,0.00270363744,0.0010138640399999998,0.08584048872000001
Guangdong,0.081787968,0.1206372528,0.0218101248,0.2208275136,,0.2412745056,0.0361230192,0.053843745600000006,0.020446992,0.26649246239999996,0.2528611344,0.17720726399999998,0.098827128,0.18743076,0.303297048,0.0429386832,0.1015533936,1.0346177952,0.029988921600000006,0.40416887520000006,0.18538606079999997,0.1547155728,0.5377558896,0.0258995232,1.4190212448,0.228324744,0.010223496,0.010223496,0.008178796799999999,0.003407832,0.2433192048
Guangxi,0.024150049559999998,0.03635776692,0.0039807774,0.0358269966,1.559137815,0.0424616256,0.00849232512,0.011676947040000002,0.00318462192,0.04485009203999999,0.050157795240000004,0.032907759839999995,0.014330798640000001,0.04803471396000001,0.0451154772,0.01008463608,0.02016927216,0.212308128,0.0053077032,0.040869314639999994,0.1114617672,0.031315448880000006,0.046707788160000006,0.007165399320000001,,0.15816955536,0.0013269258,0.00185769612,0.00238846644,0.0007961554799999999,0.03795007788
Hainan,0.0313919064,0.0251961354,0.012721983119999999,0.036596354039999994,0.1623292002,0.033044112,0.01792643076,0.022304775600000003,0.01016106444,0.03155712696000001,0.047335690439999994,0.0322180092,0.02238738588,,0.021643893360000003,0.020404739160000004,0.012391542,0.0322180092,0.01173065976,0.01668727656,0.016769886839999998,0.0313919064,0.017678599920000003,0.005947940160000001,0.04180080168,0.01792643076,0.00437834484,0.0034696317600000004,0.0033044112,0.00016522056,0.0813711258
Chongqing,0.0265315176,0.042395724,0.007658582400000002,0.0475926192,0.15563333520000006,0.0634568256,0.0158642064,0.013402519199999999,0.008205624,0.0749446992,1.222637976,0.0462250152,0.0596275344,0.0407545992,0.1720445832,0.0079321032,0.0265315176,0.076585824,0.0051968952,0.0407545992,0.0965528424,,0.025437434400000004,0.015590685600000001,0.0415751616,0.30278752560000005,0.006290978399999999,0.0098467488,0.0051968952,0.0087526656,0.06591851280000001
Sichuan,0.0443769678,0.059047039800000006,0.012836313,0.07665112619999999,0.251224983,0.09572221980000001,0.0304403994,0.0260393778,0.016137079199999998,0.1089252846,,0.07335036,0.2031804972,0.0627145578,0.07408386360000001,0.0143033202,0.032274158399999996,0.0575800326,0.0099022986,0.0553795218,0.4679752968,1.1549014181999997,0.0308071512,0.0909544464,0.062347806,0.30623775299999995,0.009168795,0.0271396332,0.027506385,0.0502449966,0.1294633854
Guizhou,0.012777762959999998,0.01964342664,0.00228855456,0.02746265472,0.21703125744,0.04138469496,0.006293525039999999,0.00533996064,0.00305140608,0.11671628256,0.26795159640000005,0.02536481304,0.01830843648,0.02422053576,0.0305140608,0.00324211896,0.01582916904,0.17106945335999998,0.00171641592,0.047868932879999986,0.33737108471999994,0.26985872520000004,0.025746238799999998,0.00419568336,0.16630163136,,0.00266998032,0.0019071288,0.0009535644,0.00133499016,0.035281882800000004
