,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Heilongjiang,Inner Mongolia,Guangdong,Jiangsu,Anhui,Jilin,Shaanxi,Hunan,Gansu,Shanghai,Sichuan,Zhejiang,Fujian,Guizhou,Hainan,Chongqing,Jiangxi,Hubei,Yunnan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0123410952,0.008031506400000001,0.025759587599999998,0.0334972584,0.0067582188,0.011165752799999998,0.008423287199999999,0.0042116435999999995,0.0779643792,0.1489746492,0.07904177640000001,0.0076397256,0.0135164376,0.0204705468,0.0092068488,0.2916808056,0.0332034228,,0.0356520528,0.0207643824,0.0043095888,0.0143979444,0.035260272,0.0050931504,0.017923971599999998,0.010284246,0.0038198628,0.000979452,0.0023506848000000003,0.00029383560000000004,0.0315383544
Anhui,0.02344229424,0.02203010784,0.0451899648,0.24797993184,0.00932043024,0.016663799519999998,0.00649605744,0.00367168464,0.15308100576,0.9763856769600001,,0.0056487456,0.01581648768,0.01496917584,0.007060932,0.71117707104,0.022312545120000003,0.25391111472,0.049426524000000006,0.007625806559999999,0.00508387104,0.008755555679999999,0.04208315472,0.016663799519999998,0.008755555679999999,0.01440430128,0.007343369279999999,0.00197706096,0.0031068100800000003,0.00028243728,0.1186236576
Fujian,0.010651726799999999,0.0070018343999999995,0.0147485448,0.0145995696,0.0064059336,0.008938512,0.0035754048,0.0026815536,0.2121406848,0.0590686668,0.017132148,0.0034264296,0.008938512,0.0184729248,0.0070018343999999995,0.088640244,0.024804370800000003,0.051396444000000006,,0.0151954704,0.007821198,0.013631230800000001,0.04283037,0.0037988676,0.0161638092,0.0291246516,0.0012662892000000002,0.0002234628,0.0017877024,,0.038063163600000005
Jiangxi,0.00856018368,0.006735882239999999,0.010524816000000001,0.008840845440000002,0.00378893376,0.00449058816,0.0015436396800000002,0.0021049632,0.53985289536,0.094723344,0.04181860224,0.0021049632,0.0056132352,0.06469253568000001,0.006595551359999999,0.18397378368,0.018944668799999998,0.12699944640000002,0.1312093728,0.01066514688,0.008700514559999999,0.01164746304,,0.0203479776,0.01178779392,0.029188823039999996,0.0014033088,0.0007016544,0.0016839705599999998,0.00014033088,0.04097661696
Shandong,0.21062416716,0.10813065516,,0.14964052751999998,0.033822858959999993,0.053979916320000015,0.038264244480000015,0.01844883216,0.07225792596000001,0.27229109688,0.04202233992,0.01861965468,0.026819135640000002,0.011615931360000002,0.0102493512,0.16245221652,0.0307480536,0.0538090938,0.021694460040000002,0.007345368359999999,0.00529549812,0.01144510884,0.011615931360000002,0.00546632064,0.0075161908800000015,0.01093264128,0.008541126,0.0044413855200000005,0.007174545839999998,0.0005124675599999999,0.28817759124000003
Henan,0.1109105136,0.032073002999999996,0.1653311574,,0.0718021422,0.019657647,0.0055869102000000006,0.009311517000000002,0.249341733,0.18643726260000001,0.2644470828,0.005793832800000001,0.0612490896,0.025865325,0.019657647,0.2313394668,0.0449022042,0.08545903379999999,0.033521461200000005,0.0097253622,0.0080699814,0.0161399628,0.0202784148,0.0639390834,0.012001510799999998,0.016760730600000003,0.019657647,0.0037246068,0.011794588200000001,0.0014484582000000002,0.2582394048
Hubei,0.0027002970000000004,0.0004447548000000001,0.0037486476,0.054736608600000014,0.0009212778,0.0006989003999999999,0.00022237740000000008,0.0010483506,0.0300527172,0.0067983948,0.0141050808,0.0007942050000000001,0.0155028816,0.08548822619999999,0.0013342644,0.004352243400000001,0.0089586324,0.0040980978000000005,0.0030815153999999997,0.0012389598000000007,0.0002859138,0.0489865644,0.0185526288,,0.000953046,0.002223774,0.000476523,0.00012707280000000002,0.00025414560000000004,3.1768200000000005e-05,0.0036851112
Hunan,0.008704208159999999,0.00551974176,0.00976569696,0.013799354400000002,0.0033967641600000003,0.00488284848,0.00169838208,0.00169838208,1.2455509579200001,0.06092945712,0.013799354400000002,0.00169838208,0.009553399200000002,,0.005307444000000001,0.08937735696,0.02717411328,0.06623690112000001,0.04309644528,0.07260583392000002,0.015073140959999997,0.0403365744,0.063689328,0.09001425024,0.029933984160000003,0.10721036880000001,0.0029721686400000003,0.0010614888,0.0014860843200000002,0.00021229776,0.07918706448
Guangdong,0.015380513280000003,0.00541813536,0.02167254144,0.05033622528,0.014157063360000003,0.017827413120000003,0.019225641600000003,0.006466806720000001,,0.036703497599999996,0.022895991360000003,0.01205972064,0.023420327039999998,0.23612583456,0.01555529184,0.04561720416,0.08389370880000001,0.02569244832,0.08896228704,0.05732736767999999,0.05924993183999999,0.03810172608,0.09577865088,0.01730307744,0.025867226880000004,0.32753502144,0.008039813759999999,0.0019225641600000003,0.004893799680000001,0.00034955711999999997,0.04299552576
Guangxi,0.0106175772,0.0025926642000000002,0.0060495498,0.009876816,0.004321106999999999,0.0035803458000000002,0.0038272662,0.0017284428000000002,0.8178003648000001,0.0164202066,0.0054322488,0.0020988234,0.0040741866,0.06444622439999999,0.002469204,0.0214820748,0.041976467999999996,0.0177782688,0.0151856046,0.0769157046,0.0125929404,0.010247196600000001,0.0109879578,0.0032099652,0.040001104800000006,,0.0009876816,0.0004938408,0.0014815223999999998,,0.0218524554
