,Hebei,Tianjin,Shandong,Henan,Shanghai,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07880837328000001,0.033182472960000015,0.18605886624000004,0.29745716832,1.15664620032,0.27553303440000004,1.27752520896,0.03673773792,0.046218444479999996,0.014813604,0.1273969944,,0.06636494592000003,0.17183780640000001,0.6346147953600001,0.025479398880000004,0.15583911408,0.018961413120000003,0.0325899288,0.08236363824,0.29804971248,0.43670504592,0.08591890320000001,0.053921518560000006,0.02251667808,0.14280314255999998,0.006517985760000001,0.00948070656,0.00533289744,0.0011850883200000002,0.13213734768000002
Anhui,0.0664288128,0.0262947384,0.2038995504,0.4765344696,0.4410135072,0.1213248456,1.7640540288000002,0.0272173608,0.0189137592,0.0087649128,0.0424406304,0.6915054888000001,0.05166685440000001,0.1420838496,,0.009226224,0.0544347216,0.0078422904,0.0189137592,0.0290626056,0.0581252112,0.14485171680000006,0.025833427200000002,0.020759004000000005,0.011994091200000001,0.0189137592,0.0036904896,0.0055357344,0.0027678672,0.0013839336,0.1093307544
Fujian,0.02565190944,0.0181860552,0.044603693279999995,0.05991826608,0.1110306528,0.40832479728,0.10777630608,0.01263452256,0.017228894400000003,0.00727442208,0.06432120576,0.30839720976,0.02565190944,0.06278974847999999,0.056855351520000014,0.007465854240000002,0.06910700976,0.00555153264,0.017994623039999998,0.0449865576,,0.22052984832,0.037520703360000005,0.04173221088,0.01186879392,0.05608962288000001,0.0024886180800000003,0.0024886180800000003,0.0028714824,0.00057429648,0.056855351520000014
Jiangxi,0.021809347200000002,0.009208391039999998,0.03949915103999999,0.05452336799999999,0.12867514847999995,0.5241513110399999,0.12794817023999994,0.009935369279999995,0.007996760639999998,0.004119543359999999,0.030775412159999994,0.405896184,0.019386086399999995,0.18198688608,0.1247979312,0.004604195519999999,0.3055731868799999,0.00339256512,0.019628412480000003,0.02229399936,0.21470090688,,0.0230209776,0.039256824960000006,0.00654280416,0.031987042559999984,0.00193860864,0.0014539564799999993,0.0009693043199999998,0.0004846521599999999,0.05185778112
Shandong,0.8680029724799999,0.21832230672,,0.7014859588799999,0.24158182608000003,0.14484337056,0.96949905696,0.13797123983999998,0.14590062144000002,0.06290642735999999,0.09568120464,0.24105320064,0.12264110207999998,0.0951525792,0.25638333839999994,0.06977855808,0.0687213072,0.048104915039999994,0.03488927904,0.03911828256,0.06290642735999999,0.058148798400000014,0.040175533439999994,0.03753240624,0.02537402112,0.030660275519999995,0.01427288688,0.013215636000000001,0.00687213072,0.0031717526399999995,0.42290035200000003
Henan,0.40015118448,0.07459542719999998,0.6825481588799999,,0.22272063263999994,0.30690690048,0.47900920752,0.36445194432,0.04475725632,0.03942901152,0.10603207152,0.3623206464,0.31489926768000004,0.4219969881599999,0.5461450919999999,0.01491908544,0.12148398143999994,0.01172213856,0.05008550111999999,0.04955267664,0.07512825168,0.07299695376,0.04742137871999999,0.043158782879999996,0.04955267664,0.03783053807999999,0.016517558879999998,0.02823969744,0.01491908544,0.00479542032,0.31276796976
Hubei,0.05646918887999999,0.02012763168,0.07016716043999999,0.35950186584,0.11209972644,0.35139490308000004,0.16241880564000002,0.027955044,0.0195685308,0.00810696276,0.08498333376,0.16856891531999998,0.09868130532,,0.14732308187999998,0.00642966012,0.40478903712,0.0069887610000000005,0.02767549356,0.15487094376,0.06401705076,0.1900942992,0.039975712919999996,0.04137346512,0.014816173319999999,0.033546052800000004,0.00531145836,0.006150109680000001,0.00335460528,0.0019568530800000003,0.10091770884
Hunan,0.032908524480000007,0.01044212796,0.04778064612,0.08733416112,0.08448630804,1.0508577865200002,0.09271343916,0.01677069036,0.015821406,0.0069614186400000005,0.062019911520000005,0.14618979144000002,0.03354138072,0.3781316034,0.049679214840000006,0.00759427488,,0.00537927804,0.032908524480000007,0.07847417376,0.05822277408,0.30250528272,0.05790634596,0.20915898732,0.008859987360000002,0.18732544704,0.00379713744,0.00537927804,0.0031642811999999998,0.00126571248,0.08005631436
Guangdong,0.07429454783999999,0.035192154239999995,0.11144182176,0.23331094848,0.22744558944,,0.23396265504,0.03649556736,0.048226285439999995,0.01564095744,0.27893040768000005,0.26980651584000004,0.10557646272,0.3225947472,0.11665547424,0.03193362144,0.9645257088,0.02085460992,0.17856759744000003,0.15315104159999998,0.38515857696,0.537657912,0.16683687936,1.2577936608,0.024113142719999998,0.21375975168,0.0097755984,0.00912389184,0.00586535904,0.00260682624,0.20854609920000003
Guangxi,0.020447439119999997,0.006895066679999999,0.028055788560000003,0.03590189892,0.04683890124,1.3305101083200002,0.03899279088,0.007608349440000001,0.010699241400000002,0.0030908919599999998,0.053496207,0.04374800928,0.015454459800000002,0.03899279088,0.0190208736,0.00499297932,0.2104184142,0.0033286528800000013,0.04208368284,0.0332865288,0.03851726904000001,0.04303472652000001,0.10509032664,,0.0059440230000000005,0.14764953132000005,0.0019020873600000003,0.0016643264400000007,0.0016643264400000007,0.00071328276,0.031622202360000004
