,Hebei,Tianjin,Shandong,Henan,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Heilongjiang,Liaoning,Sichuan,Anhui,Shanghai,Shaanxi,Hainan,Zhejiang,Jilin,Hubei,Gansu,Hunan,Yunnan,Jiangxi,Chongqing,Guangxi,Fujian,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07143552,0.02129328,0.14699232,0.21739752,0.02987928,0.01476792,0.16382087999999995,0.5137862400000001,0.03365712,0.02094984,0.10440576,0.4052592,0.4107542400000001,0.0412128,0.02644488,,0.02198016,0.11264832,0.02884896,0.1099008,0.10200168,0.2764692,0.06697080000000001,0.04018248,0.16176024000000006,0.22357944,0.00755568,0.0068688,0.00412128,0.00034344000000000003,0.04018248
Anhui,0.05596454591999999,0.02060619264,0.14354086464000002,0.21847247423999994,0.02388445056,0.0105372576,0.07774154495999999,0.7635999340799998,0.01194222528,0.008429806079999998,0.020840353919999995,,0.24259108608,0.028099353599999998,0.012410547839999998,0.33672392063999995,0.008195644799999997,0.07610241599999999,0.012644709119999998,0.031377611519999994,0.017562095999999996,0.07258999679999999,0.015454644479999996,0.014752160639999998,0.03723164352,0.015688805759999997,0.005151548159999999,0.00374658048,0.003044096639999999,0.0007024838399999997,0.048003062399999984
Fujian,0.01921169016,0.009094291199999998,0.03160266192,0.042629489999999985,0.012049935839999998,0.00363771648,0.24008928768,0.050018601600000004,0.00784382616,0.00579761064,0.04876813656,0.03137530464,0.04387995503999999,0.016938117359999998,0.013300400879999995,0.13595965344,0.006707039759999999,0.03887809488,0.00977636304,0.045357777360000004,0.03569509296,0.13300400880000002,0.03319416288,0.028305981360000003,,0.06331900248,0.0034103592,0.002728287359999999,0.00125046504,0.00034103591999999985,0.01784754648
Jiangxi,0.021666852000000004,0.0065000556000000004,0.033366952080000005,0.034666963200000005,0.00967786056,0.00375558768,0.3634253308800001,0.06268942512000003,0.006066718560000001,0.005200044480000001,0.01632236184,0.06601167576000001,0.06153385968,0.011411208720000005,0.012855665520000002,0.21190181255999999,0.004766707440000001,0.08912298456000001,0.006211164240000001,0.16567919496000005,0.01921127544,,0.014155676640000003,0.03076692984,0.13419003672000002,0.025566885360000003,0.0020222395200000004,0.00187779384,0.0013000111200000002,0.00028889136000000013,0.01921127544
Shandong,0.60417642096,0.18392445468,,0.3846315877200001,0.12809636136000002,0.06918573528000001,0.10686113568,0.5000553144,0.12090378492,0.08870844276,0.06987074256,0.15549665256000006,0.09727103376,0.0787758372,0.02603027664,0.14248151424,0.07500829716,0.06336317340000001,0.033565356719999995,0.04418296956,0.03870291132,0.037332896760000005,0.028770305760000003,0.03288034944,0.04247045136,0.028085298480000003,0.016782678359999997,0.015070160160000004,0.009247598280000002,0.00137001456,0.19454206752
Henan,0.24200843688,0.0701031996,0.41178009851999997,,0.24048445428000004,0.03627078588,0.19019302848000005,0.25480989072,0.017068605120000004,0.020421366840000003,0.06004491444,0.25420029768,0.09875407248000002,0.17586759204,0.03169883808,0.16946686512000003,0.01402063992,0.20817602316,0.044805088439999995,0.06918881003999999,0.029565262440000007,0.046938664080000005,0.031089245040000005,0.032308431119999995,0.04937703624000001,0.024078925080000004,0.025602907680000002,0.017373401639999998,0.01341104688,0.00243837216,0.16123735908
Hubei,0.050204428559999986,0.016149676319999997,0.06740734463999999,0.201870954,0.030719492999999997,0.0105323976,0.25734158136,0.08829659987999999,0.00895253796,0.0078992982,0.049502268719999985,0.08566350047999999,0.04599146952,0.05687494704000001,0.0201870954,0.09286063884,0.007723758240000001,,0.02317127472,0.22346236908,0.03019287312,0.10339303643999996,0.09022753943999998,0.04318283016,0.042305130360000005,0.035459071919999995,0.0096546978,0.0052661988,0.0049151188799999995,0.0015798596400000001,0.040725270719999984
Hunan,0.025988354280000004,0.009574656840000001,0.03497680764,0.054321522479999995,0.017195302080000002,0.0068390406,0.7180992629999999,0.05021809812,0.0074252440800000015,0.0068390406,0.03575841228,0.02950557516,0.0322411914,0.02403434268,0.0283331682,0.07210302803999999,0.006643639440000001,0.18778051476,0.01211487192,,0.03849402852,0.16003355004,0.043965261,0.14283824795999997,0.04025263896,0.12075791688,0.005862034800000001,0.00312641856,0.00254021508,0.00078160464,0.031068784440000007
Guangdong,0.05704133400000001,0.02066715,0.08060188500000001,0.15831036900000006,0.026040609000000003,0.014467005,,0.098375634,0.035134155000000014,0.02108049300000001,0.187244379,0.05786802,0.07274836800000002,0.05621464800000001,0.11077592400000004,0.11862944100000003,0.02066715,0.207084843,0.027280638000000003,0.652668597,0.138883248,0.30918056400000005,0.10746918000000004,0.920928204,0.22320522000000007,0.1922044950000001,0.011160261000000005,0.005786802000000002,0.00413343,0.001240029,0.05786802
Guangxi,0.02006603928,0.00454049064,0.02226305088,0.02240951832,0.008934513839999998,0.0035152185599999987,0.8316421243199998,0.01699022304,0.007030437119999997,0.005126360399999999,0.024752997359999997,0.010399188239999996,0.013035602159999998,0.011131525439999998,0.02987935776,0.02065190904,0.004686958079999999,0.02153071368,0.00600516504,0.12098210543999995,0.07674893856000001,0.02328832296,0.01889429976,,0.02079837648,0.09827965223999996,0.00161114184,0.0014646744,0.0017576092799999994,0.00043940231999999984,0.011424460320000001
