,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Heilongjiang,Shaanxi,Hunan,Zhejiang,Sichuan,Jilin,Shanghai,Hubei,Gansu,Hainan,Jiangxi,Chongqing,Xinjiang,Fujian,Yunnan,Guangxi,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.04032023184,0.014933419199999997,0.12096069552000001,0.18965442384,0.019413444959999998,0.021280122359999997,0.007093374119999998,0.9583521771600001,0.16762763052000001,0.5476831491599999,0.01194673536,0.04256024471999999,0.09856056671999998,,0.056000321999999984,0.008213380559999999,0.5656032521999999,0.013813412759999998,0.015306754679999996,0.009333387,0.35578871243999993,0.03696021252,0.01194673536,0.22250794608,0.04928028335999999,0.02837349648,0.09146719259999997,0.0037333547999999993,0.0037333547999999993,0.00037333548,0.013813412759999998
Anhui,0.07897413816000001,0.037129632120000006,0.2357436960000001,0.6223633574400002,0.035950913640000005,0.018859495680000005,0.011197825560000004,2.28023089956,0.16325250948000006,,0.008251029360000002,0.07190182728000001,0.04597002072000001,1.3036626388800003,0.0206275734,0.005893592400000002,0.4862213730000001,0.03830835060000001,0.02003821416,0.01001910708,0.15971635404000006,0.014144621760000003,0.01827013644,0.07366990500000002,0.017091417959999997,0.021806291880000002,0.017091417959999997,0.007661670120000002,0.005893592400000002,0.0005893592400000001,0.05481040932000002
Fujian,0.019233265319999998,0.007454754,0.03324820284,0.04487761908,0.01058575068,0.0071565638400000004,0.0044728523999999995,0.08692243163999999,0.41508070272,0.048157710840000006,0.00566561304,0.02191697676,0.05084142228,0.25450530156,0.032800917600000014,0.00283280652,0.057252510720000004,0.014014937519999998,0.0071565638400000004,0.01058575068,0.18741251556,0.03101177664,0.00849841956,,0.0342918684,0.03116087172,0.04129933716,0.00164004588,0.00164004588,0.00029819016,0.014014937519999998
Jiangxi,0.02084153328,0.00614996064,0.03826642176,0.04885802063999999,0.0068332896,0.0051249672,0.0027333158399999997,0.14828238432,0.97271877456,0.12812417999999998,0.00239165136,0.021866526719999998,0.29656476864,0.9795520641600001,0.02015820432,0.0017083224,0.11479926528,0.03963307968,0.0068332896,0.0136665792,,0.02289152016,0.0054666316799999995,0.38368921104,0.02596650048,0.04509971136,0.03177479664,0.0017083224,0.0013666579199999999,,0.01742488848
Shandong,0.7907640876,0.17693447219999994,,0.6452667197999999,0.1334061738,0.08222011920000001,0.0628742088,0.8794328436,0.0870565968,0.2011168602,0.0479617362,0.0963265122,0.0354675024,0.183383109,0.038288781,0.0290188656,0.1080146664,0.020555029800000003,0.0290188656,0.0076577562,0.0495738954,0.016121592,0.0431252586,0.032646223800000006,0.0193459104,0.0233763084,0.0177337512,0.0104790348,0.008060796,0.0008060796000000001,0.1475125668
Henan,0.42688729511999995,0.11138989752,0.8241564672000001,,0.36958266576,0.034125228720000005,0.042495567840000005,0.7971138331200001,0.6007327999200001,0.71341044192,0.0096580836,0.30390769728,0.10430730288000002,0.80226481104,0.08048403000000001,0.00901421136,0.23308175088000005,0.13521317040000005,0.11525313095999999,0.01996003944,0.11010215304,0.03154973976,0.09400534703999999,0.11976023664000003,0.034125228720000005,0.044427184560000006,0.030905867519999998,0.02446714512,0.027042634080000003,0.0038632334399999997,0.17513324928
Hubei,0.008555466240000002,0.0031453920000000003,0.01157504256,0.08920331712000001,0.0044035488000000005,0.0032712076800000003,0.00226468224,0.06907280832000001,0.44714892672,0.04139335872,0.00050326272,0.029818316160000007,0.20017274688,0.11059198272,0.01459461888,0.00075489408,0.04126754303999999,,0.0032712076800000003,0.0018872352,0.045167829119999996,0.07020514944,0.00050326272,0.0201305088,0.00603915264,0.015349512959999999,0.00956199168,0.00113234112,0.0018872352,,0.0032712076800000003
Hunan,0.02469595392,0.00598689792,0.02768940288,0.057623892479999994,0.01047707136,0.004490173439999999,0.0037418112,0.07633294848000001,1.8402227481599998,0.037418112,0.0026192678400000003,0.028063584,,0.289990368,0.033302119680000006,0.0018709056,0.04153410432,0.15491098367999998,0.01085125248,0.033302119680000006,0.30907360512,0.07932639744,0.0149672448,0.0860616576,0.05388208128,0.2675395008,0.20654797824,0.0018709056,0.00299344896,0.0011225433599999998,0.02469595392
Guangdong,0.03471826536,0.010092519,0.05490330336,0.15461739108,0.01897393572,0.02139614028,0.00767031444,0.09204377328,,0.07428093983999999,0.01453322736,0.050866295760000006,0.7948867964399999,0.141295266,0.13766195916,0.00968881824,0.04481078436000001,0.05288479956,0.016551731159999996,0.10415479607999999,0.44447453676000004,0.08154755352000001,0.01453322736,0.28057202820000005,0.08195125428,0.9971408772,0.17682093287999998,0.0020185038,0.00444070836,,0.023818344840000002
Guangxi,0.01354833216,0.0020617027200000005,0.014137390080000001,0.02444590368,0.005301521280000001,0.00559605024,0.0020617027200000005,0.02474043264,2.0743674652800004,0.01237021632,0.004123405440000001,0.00942492672,0.19998516384,0.05772767616000001,0.029452896000000006,0.0029452896000000004,0.012664745279999999,0.009719455679999999,0.00382887648,0.021795143040000003,0.0412340544,0.023856845760000002,0.00235623168,0.03328177248,0.1148662944,,0.18820400544,0.00058905792,0.00058905792,,0.005301521280000001
Hainan,0.013397250959999999,0.004212972,0.00615093912,0.02135976804,0.007119922679999998,0.008805111479999999,0.00556112304,0.007541219879999998,0.1331299152,0.00551899332,0.02333986488,0.010616689440000002,0.01752596352,0.00960557616,0.02199171384,0.00804677652,0.011712062159999998,0.00320185872,0.004212972,,0.007288441559999998,0.01807364988,0.007583349600000002,0.006614366040000001,0.005350474439999999,0.02245514076,0.01331299152,0.0004212972,0.00067407552,,0.015293088359999997
Chongqing,0.018414319680000003,0.00533046096,0.02834836056,0.03489028992,0.015022208159999998,0.00533046096,0.0036344052000000003,0.049427910719999996,0.25634671344000004,0.01623367656,0.0016960557600000006,0.06396553152000001,0.09231389207999999,0.13834969128,0.9318614932799999,0.0016960557600000006,0.02616771744,0.09740205936,0.03489028992,0.015022208159999998,0.02980212264,,0.025683130079999998,0.09061783632,0.09158701104,0.039009282480000004,0.27791085096,0.0016960557600000006,0.007995691440000001,0.00629963568,0.01187239032
Sichuan,0.044293994639999994,0.01232925624,0.08950126752,0.09452429784,0.05525333352,0.01232925624,0.01050269976,0.13744837512,0.51919867944,0.03013818192,0.00410975208,0.30640484952,0.05205685967999999,0.21188055168,,0.00502303032,0.07123570272,0.030594821039999998,0.19087515216,0.03242137752,0.02785498632,1.2717399492,0.09087118488,0.12603239712,0.53015801832,0.08630479367999999,0.37079096544,0.00821950416,0.03242137752,0.06986578536,0.03470457312
Guizhou,0.0093858912,0.0026816832000000003,0.0204478344,0.023129517599999996,0.006033787200000001,0.0020112624,0.0013408416000000002,0.0958701744,0.6255026064,0.0177661512,0.0010056312,0.018436572,0.2805711048,0.6680743272,0.2876105232,0.0006704208000000001,0.0294985152,0.013408416,0.0070394184,0.0093858912,0.0801152856,0.27587815920000003,0.0023464728000000003,0.16291225439999998,0.4354383096000001,0.25710637680000004,,0.0030168936000000003,0.001676052,0.0006704208000000001,0.0070394184
Yunnan,0.013962034799999998,0.0033907798799999995,0.022339255680000003,0.02433383208,0.0059837292,0.00438806808,0.00259294932,0.0608345802,0.28741845924000003,0.013962034799999998,0.00239349168,0.019945763999999998,0.055449223919999985,0.19726360596,0.46114606368,0.0013962034800000002,0.022738170959999998,0.00618318684,0.00937450908,0.005784271559999999,0.02134196748,0.06542210591999999,0.00638264448,0.05225790168,,0.16973845163999998,0.4368122315999999,0.0029918646,0.0013962034800000002,0.00518589864,0.00917505144
Tibet,0.00035380799999999994,6.318e-05,0.000256932,0.0007413119999999999,0.00012636,6.318e-05,2.9484000000000008e-05,0.000256932,0.000518076,0.00035380799999999994,2.9484000000000008e-05,0.000644436,0.000320112,0.00022323599999999997,0.016974359999999997,,9.6876e-05,,0.00174798,2.9484000000000008e-05,0.000193752,0.001229904,0.000614952,2.9484000000000008e-05,0.003529656000000001,0.000193752,0.000160056,2.9484000000000008e-05,0.01318356,,6.318e-05
Shaanxi,0.06447330432000001,0.013989490559999998,0.06163485696000001,0.16503543935999998,0.33635601216,0.006893372160000001,0.22464283391999998,0.10988846207999999,0.09914291136,0.0293982048,0.00385217856,,0.022099340159999998,0.07075843776,0.14922123264,0.00243295488,0.0293982048,0.03304763712,0.28546670591999995,0.00466316352,0.012975759360000002,0.03608883072,0.05149754496,0.023315817599999997,0.022504832640000003,0.00932632704,0.01763892288,0.08231497344,0.025343280000000003,0.0040549248,0.026559757439999998
Gansu,0.023056902719999998,0.011394399600000002,0.018231039360000003,0.030965956560000004,0.015013797120000004,0.0020107764000000003,0.057508205039999996,0.059518981440000014,0.02962543896,0.00697069152,0.0005362070400000001,0.37655139384,0.004959915120000001,0.030429749520000007,0.06756208704000001,0.00080431056,0.01997371224,0.0026810352,,0.0018767246400000004,0.005496122159999999,0.01018793376,0.20737807272000006,0.012064658400000004,0.0053620704,0.0033512940000000003,0.00442370808,0.15161254056,0.15925349088,0.004289656320000001,0.01568405592
Qinghai,0.0033944508,0.0007050013199999999,0.00493500924,0.0065016788399999996,0.00349889544,0.0006788901599999999,0.00467389764,0.00383834052,0.0027416718,0.00101833524,2.611116e-05,0.017285587919999998,0.00101833524,0.00203667048,0.01522280628,0.00010444464,0.0014361138000000002,0.00020888928,0.1484419446,0.00047000087999999994,0.00135778032,0.0011750022,0.01323835812,0.0007311124799999999,0.0008877794400000002,0.00044388972,0.0005483343599999999,0.0056138994,,0.017625033000000002,0.0008616682800000001
Ningxia,0.00543853116,0.00132751548,0.005567000400000001,0.007750977480000002,0.006551931240000001,0.0011990462400000002,0.10718616924000003,0.0053957080800000005,0.00612370044,0.0029119694400000003,0.00055670004,0.08718779087999999,0.00132751548,0.00522441576,0.004753361879999999,0.00055670004,0.0033402002400000005,0.0006851692800000001,0.1458125874,4.282308000000001e-05,0.0025693848000000004,0.0014131616399999998,0.008436146759999999,0.0029119694400000003,0.0018413924399999998,0.00102775392,0.00051387696,,0.00710863128,0.00012846924,0.00261220788
Xinjiang,0.00452656512,0.0015155909999999995,0.00802252836,0.017217113759999996,0.0017782934399999998,0.0013135122,0.009962484839999996,0.0053752960800000004,0.01452946572,0.0030109741199999995,0.0006062363999999999,0.016166304,0.0023239062,0.004728643919999999,0.016772540399999997,0.00054561276,0.004102199639999999,0.000505197,0.05961324599999999,0.0010508097599999998,0.0007072757999999999,0.004041576,,0.0016166304000000001,0.0014751752400000001,0.00109122552,0.0007072757999999999,0.004041576,0.008931882959999998,0.0006062363999999999,0.0048498912
Taiwan,0.00012925656,6.403536e-05,0.00016127423999999998,3.201768e-05,,6.403536e-05,,0.0021700872,0.00281874168,3.201768e-05,9.605304e-05,,0.00012925656,0.00055022976,3.201768e-05,,0.0033037502399999997,6.403536e-05,,,0.00016127423999999998,9.605304e-05,,0.0012629196000000001,,,0.00012925656,,,,0.0002905308
Hong Kong,0.00015908076000000005,0.0001289844,0.0002579688,,3.0096360000000013e-05,,,0.0005503334400000002,0.032688946440000005,9.458856000000002e-05,,0.00015908076000000005,0.00022357296,0.0002579688,0.0002579688,6.44922e-05,0.00097168248,,6.44922e-05,0.00019347660000000008,6.44922e-05,6.44922e-05,3.0096360000000013e-05,0.00119525544,0.0001289844,0.00032246099999999996,,,,,0.0004170495600000001
Macau,0.0004205358,2.47374e-05,0.00022263660000000006,0.000288603,0.000123687,5.772060000000001e-05,0.00015667020000000002,0.0005442228,0.0717631974,0.00035456940000000003,,0.00032158619999999997,0.0008080883999999999,0.0006101892000000001,0.0001896534,5.772060000000001e-05,0.00035456940000000003,,,0.0001896534,0.00038755260000000003,0.00022263660000000006,,0.0006761556,0.00015667020000000002,0.0005112396,0.00032158619999999997,2.47374e-05,,,0.0002556198
