,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Heilongjiang,Shanghai,Hubei,Zhejiang,Liaoning,Shaanxi,Hunan,Jilin,Jiangxi,Hainan,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.01506905856,0.05109352668000001,0.032728111559999995,0.006828167159999999,0.01812996108,0.050151710520000004,0.0258999444,1.0348205058,0.0070636212,0.11113430688,0.0072990752399999985,0.0376726464,0.16575964416,0.046855353960000005,0.004238172720000001,0.05274170496,0.08452800036000001,0.00447362676,0.02283904188,0.028725392879999995,0.02166177168,,0.030844479239999997,0.08594072459999999,0.31032842472,0.035318105999999995,0.01789450704,0.007769983320000001,0.006828167159999999,0.00894725352,0.01718814492
Sichuan,0.0255705984,0.09844680384,0.0511411968,0.01342456416,0.0271687608,0.06999951312000001,0.036118470239999985,,0.011187136799999995,0.16876594943999998,0.01022823936,0.053378624159999985,0.0751136328,0.06840135072,0.0095889744,0.17931382127999998,0.05082156432,0.00863007696,0.02940618816,0.04890376944,0.09429158160000001,1.0183490812799998,0.03547920528,0.49830703632,0.30652754831999995,0.049543034400000005,0.03452030784,0.01022823936,0.028127658239999995,0.0383558976,0.04123258992
Guizhou,0.0051249672,0.03450811248,0.01503323712,0.00307498032,0.004612470479999999,0.02630816496,0.01315408248,0.26752328784,0.00187915464,0.12744085104,0.00290414808,0.0179373852,0.032287293360000004,0.056203806960000005,0.0013666579199999999,0.01725405624,0.17971551647999998,0.00204998688,0.026820661680000003,0.0136665792,0.004099973759999999,0.25624835999999995,0.02699149392,0.39359748096,,0.16451144712000002,0.0017083224,0.0013666579199999999,0.0006833289599999999,0.00034166447999999997,0.0070041218399999996
Yunnan,0.0115480728,0.045173343600000006,0.0253038654,0.007302457799999999,0.0105291252,0.0320968494,0.0185108814,0.4666780008,0.005094738,0.0964603728,0.008151580799999999,0.029889129599999998,0.036682113599999996,0.0439845714,0.0052645626,0.02547369,0.06691089239999999,0.0057740364,0.024284917799999996,0.0123971958,0.00849123,0.1161600264,0.0270021114,,0.41607027,0.1221038874,0.0037361411999999997,0.0022077198,0.0018680705999999999,0.0049249134000000005,0.015284213999999999
Tibet,0.00109694088,0.0094894092,0.0022287052800000003,0.0006964704000000001,0.0008009409599999999,0.00242023464,0.0020023524,0.07227621576,0.00038305872,0.0021242347199999997,0.00034823520000000003,0.00038305872,0.00396988128,0.0010621173599999999,0.00022635287999999996,0.008357644800000001,0.0018630583200000004,0.00031341168000000003,0.0006964704000000001,0.00038305872,0.0079223508,0.0145388196,0.0006790586400000001,0.009158585759999999,0.0016192936800000005,0.00050494104,0.0011317644,0.0004701175200000001,0.025978345920000003,,0.0007312939200000001
Shaanxi,0.04218232139999999,0.2928930678,0.09032259780000003,0.0147757284,0.2981360682,0.08341137000000001,0.0574346862,0.20757515220000006,0.203762061,0.0717337782,0.0138224556,0.0338411844,0.1074815082,0.045042139800000006,0.011915910000000002,,0.039560821200000006,0.011915910000000002,0.0247850928,0.017873865,0.3305473434,0.048855231,0.0247850928,0.032649593399999996,0.025738365600000004,0.0204953652,0.0367010028,0.1151076906,0.034079502600000006,0.0054813186,0.0367010028
Gansu,0.01493178624,0.06268980096,0.025123322880000003,0.007110374399999999,0.01647236736,0.03875154048,0.01623535488,0.08793163007999999,0.05427585792,0.02263469184,0.0028441497600000002,0.01564282368,0.02393826048,0.01623535488,0.00402921216,0.31131589248,0.0136282176,0.003318174720000001,0.00841394304,0.00971751168,,0.018012948480000002,0.010902574080000001,0.012087636480000002,0.008887968000000001,0.009006474240000001,0.05297228928,0.1439850816,0.15204350592000002,0.006043818240000001,0.01386523008
Qinghai,0.0026240306400000003,0.02798966016,0.009025075079999998,0.00115298316,0.00369749772,0.008905800960000002,0.0047709648,0.03264135084,0.0032999173200000003,0.00711668916,0.00091443492,0.0027433047600000002,0.008349188399999999,0.00492999696,0.0003975804,0.02965949784,0.00461193264,0.0007951608,0.0020674180800000002,0.002981853,0.18077980787999998,0.0032999173200000003,0.00282282084,0.00210717612,0.0011132251200000002,0.0008746768800000001,0.02071393884,0.008269672320000001,,0.015465877560000002,0.00282282084
Ningxia,0.006124688640000001,0.02510028648,0.011265052320000002,0.0027342359999999997,0.007710545520000001,0.01022604264,0.00590594976,0.009515141279999998,0.13572747504000002,0.006890274720000001,0.0013124332799999998,0.00470288592,0.0065621664000000005,0.00645279696,0.00098432496,0.10554150960000001,0.0035545068,0.0017499110399999999,0.0020780193600000003,0.0027342359999999997,0.15590613672,0.0046482012,0.00278892072,0.0016405416000000001,0.00142180272,0.0015858568799999998,0.005140363679999999,,0.01006198848,0.0005468472,0.005249733119999999
Xinjiang,0.0085022784,0.06388683839999999,0.023830329600000002,0.0043110144,0.009220780800000002,0.018800812800000004,0.0106577856,0.054366681600000015,0.01197504,0.0120349152,0.0033530112000000013,0.010777536,0.010538035200000002,0.012933043200000004,0.0017962560000000004,0.054366681600000015,0.0110170368,0.0023950079999999997,0.0036523871999999996,0.008202902400000002,0.16088466240000002,0.0217346976,0.0049097664000000004,0.007244899200000002,0.0037721376,0.0025746336000000004,,0.0106577856,0.029937600000000005,0.00149688,0.017962560000000002
Taiwan,,,6.469631999999999e-05,,,3.2348159999999994e-05,,,6.469631999999999e-05,6.469631999999999e-05,,0.00045354816,,6.469631999999999e-05,3.2348159999999994e-05,,,,,,,3.2348159999999994e-05,0.00068032224,,,,,,,,0.00012956112000000002
Hong Kong,,,3.17844e-05,,,3.17844e-05,,,3.17844e-05,0.0147726828,,0.0009058554,6.35688e-05,0.0002578068,,,,,,,,,0.0011000934,,,3.17844e-05,,,,,0.0002578068
Macau,0.00060720192,0.00037806912000000004,0.00076759488,0.00016039296000000002,0.00054991872,0.0015810163199999998,0.00025204607999999997,0.00021767616000000002,5.7283199999999994e-05,0.10056638592,0.00018330623999999999,0.0017414092800000002,0.0005155488000000001,0.0014206233599999998,,0.00012602303999999999,0.00109983744,0.00016039296000000002,0.00025204607999999997,0.00054991872,,0.000572832,0.0010310976,0.00012602303999999999,0.00018330623999999999,0.00060720192,,2.2913279999999998e-05,,,0.0006759417599999999
