,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Guangdong,Inner Mongolia,Anhui,Sichuan,Heilongjiang,Shanghai,Hubei,Zhejiang,Shaanxi,Liaoning,Hunan,Jilin,Jiangxi,Gansu,Hainan,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.04883265792,0.8266165862399999,0.18188395776,0.01981615104,0.03963230208,1.0672412774399995,0.19957694976,0.01486211328,0.9320668185600001,0.17763763967999996,0.03821686272,0.8747415244799999,0.3290896512,,0.08704952063999999,0.02264702976,0.300780864,0.02689334784,0.6631333401599999,0.035385983999999995,0.02406246912,0.17126816255999996,0.15428289024,0.25548680448000005,0.45364831488000007,0.06511021055999999,0.00920035584,0.0063694771200000005,0.00424631808,0.00070771968,0.036093703680000006
Anhui,0.03087546984,0.52488298728,0.178851807,0.016190795159999997,0.02334486744,1.53850207032,0.07982438543999999,0.00903672288,,0.032005060200000005,0.01091937348,0.3049893972,0.12538452996000002,0.4556014452,0.0357703614,0.008283662640000002,0.04668973488,0.009413253,0.12199575888000005,0.015437734919999996,0.010542843360000002,0.02409792768,0.01807344576,0.045936674639999994,0.025604048160000004,0.01581426504,0.006401012040000001,0.005271421680000001,0.0033887710799999993,0.00150612048,0.034264240919999994
Fujian,0.0148715028,0.12708375119999998,0.0417174624,0.0100430928,0.012553866,0.0780271056,0.32388974279999994,0.005021546399999999,0.061803648,0.0844006068,0.011201911199999998,0.0712673316,0.0930917448,0.233695044,0.030129278399999997,0.005600955599999999,0.0923191992,0.006952910399999999,0.2613135492,0.013519548,0.0127470024,0.08053787879999999,0.0506017368,,0.1340366616,0.0450007812,0.0052146828,0.0027039096,0.0023176367999999995,0.0007725456,0.014678366399999997
Jiangxi,0.01953173736,0.09474970464,0.04425808572,0.00685688652,0.01475269524,0.10098323784000003,0.3835700762400001,0.005610179880000001,0.12965749056,0.029297606039999997,0.01018143756,0.08851617144,0.16560419867999998,0.29837845584,0.024310779480000003,0.007272455399999998,0.27614552076,0.00810359316,,0.014129341920000003,0.01579161744,0.02680419276,0.02368742616,0.1735000074,0.05007605004,0.03449221704,0.00332455104,0.00332455104,0.003532335480000001,0.00041556888,0.017038324079999997
Shandong,0.43024530240000003,0.8063214336,,0.1527393024,0.1385309952,0.8911272671999999,0.1216586304,0.060385305599999994,0.264185712,0.1007901792,0.14075104319999998,0.1358669376,0.104342256,0.17493978239999994,0.11766254399999998,0.09102196799999998,0.0679334688,0.07725767039999999,0.0590532768,0.041292892799999995,0.027528595199999995,0.0461769984,0.0461769984,0.0546131808,0.0395168544,0.0350767584,0.0235325088,0.0186484032,0.01110024,0.0008880191999999998,0.153183312
Henan,0.14578359264000001,,0.59168799972,0.044255733480000004,0.28747631916000005,0.32689739267999995,0.19375829532000002,0.028264165919999997,0.49685428511999996,0.08107352856000001,0.02342950596,0.10933769447999998,0.3581367339600001,0.1933863984,0.21793159512,0.02119812444,0.09594940536,0.01561967064,0.05838781644000001,0.04351193964,0.0297517536,0.04351193964,0.03421451664,0.05690022876000001,0.03309882588,0.03421451664,0.03198313512,0.0148758768,0.01599156756,0.0029751753600000003,0.08218921931999999
Hubei,0.03008750184,0.42694413768,0.0708672564,0.012432852,0.03332004336,0.12482583407999998,0.23771613024,0.010194938639999998,0.14248048391999998,0.08305145135999999,0.00969762456,0.06141828888000001,,0.11139835392000001,0.08727862103999999,0.008951653439999999,0.38069392824000003,0.008951653439999999,0.1914659208,0.022627790640000003,0.01914659208,0.16088110487999996,0.03704989896,0.05545051992,0.04998006503999999,0.04749349464,0.01268150904,0.006713740079999999,0.00547045488,0.0007459711199999997,0.03182810112
Hunan,0.024733317599999995,0.106563762,0.044730467999999995,0.010524816000000001,0.021312752400000003,0.0778836384,0.7109513208,0.007630491599999998,0.05262408,0.0557815248,0.0115772976,0.043151745599999985,0.3720522456,0.0941971032,0.035521254,0.0094723344,,0.009209214,0.2636466408,0.0155241036,0.031574448,0.08340916679999999,0.0463091904,0.0557815248,0.2020764672,0.1941828552,0.0099985752,0.003946806,0.0049992876,0.0023680836,0.024996438
Guangdong,0.03696121368,0.5036871276,0.09711377712000001,0.0217418904,0.03478702463999999,0.16088998895999998,,0.01594405296,0.11523201912,0.32685308568000004,0.04275905112,0.14059755791999998,0.5703622581600001,0.18625552776,0.09349012871999997,0.02319134976,1.2385630231199998,0.026090268479999998,0.6319642809599999,0.03406229495999999,0.14712012503999994,0.23771133503999994,0.23843606471999995,0.33627457151999995,0.3964271349599999,1.36394125776,0.01594405296,0.00797202648,0.005797837439999999,0.0014494593599999998,0.05797837439999999
Guangxi,0.01942150284,0.0537391098,0.028472300279999998,0.005656748400000001,0.011124938519999999,0.03035788308,0.8654825051999999,0.00301693248,0.0207414108,0.041859938160000006,0.009050797440000001,0.02696383404,0.04770524484,0.03224346588,0.01961006112,0.005656748400000001,0.20232303444,0.0075423312,0.04091714676,0.00791944776,0.029792208240000007,0.035260398360000014,0.11539766736,0.030546441360000006,0.17366217588000005,,0.0018855828,0.00169702452,0.0018855828,0.00037711656,0.011124938519999999
