,Hebei,Shandong,Henan,Tianjin,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Heilongjiang,Hubei,Anhui,Hainan,Hunan,Jilin,Fujian,Yunnan,Jiangxi,Chongqing,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.03134645568,0.02750207904,0.03008964024,0.00798447456,0.1578412332,0.01611680976,0.029646058319999995,0.02003511672,0.00761482296,0.02683670616,0.04310137656,0.01929581352,0.023140190159999997,0.019000092239999995,0.01863044064,0.013677109199999999,,0.034303668479999994,0.012420293759999998,0.015303576239999997,0.0155253672,0.01197671184,0.023214120480000003,0.04154883984,0.00465761016,0.01345531824,0.00436188888,0.005914425599999999,0.0017743276799999997,0.00014786063999999997,0.061214304959999986
Chongqing,0.024047723880000003,0.034858168560000014,0.041256186840000014,0.00639801828,0.13524086916,0.01831156956,0.0584646498,0.0121341726,0.008383610159999999,0.06265645488,0.9082979744399999,0.049639797,0.029342635560000007,0.009266095440000002,0.14516882856,0.0231652386,0.035740653840000004,0.07280503560000001,0.00617739696,0.03397568328,0.09310219704,0.01963529748,,0.03706438176000001,0.01588473504,0.25217016876000004,0.01014858072,0.004412426400000001,0.00375056244,0.00639801828,0.044124264
Sichuan,0.047659013279999995,0.06247194984000001,0.08791155828000001,0.010948692240000002,0.23443082208,0.031235974920000006,0.08952166008,0.02060930304,0.0128808144,0.09274186368,,0.18290756448,0.04798103364,0.010948692240000002,0.07309862172,0.03155799528,0.06923437739999999,0.05603154264,0.00869454972,0.052167298320000006,0.44632021896000007,0.02672768988,0.8977927636799999,0.06311599056,0.07470872351999999,0.27919165211999997,0.028981832400000008,0.008050509,0.027049710239999997,0.04218466716,0.09725014872000001
Guizhou,0.010826103600000001,0.016155877680000003,0.0258160932,0.0021652207199999995,0.16672199543999994,0.005995995839999999,0.0366421968,0.0038307751199999993,0.00233177616,0.09760148784,0.24950004912,0.01815454296,0.0183210984,0.00183210984,0.0266488704,0.013657546079999996,0.02348431704,0.16505644104,0.0016655543999999998,0.04180541543999999,0.30046601376,0.02431709424,0.2381742792,0.13974001415999998,0.00366421968,,0.00116588808,0.0014989989599999995,0.0006662217599999999,0.0008327771999999999,0.02348431704
Yunnan,0.0216634176,0.025398489600000004,0.033466245120000016,0.00433268352,0.13207214592,0.0119522304,0.040338777600000014,0.009860590079999999,0.00403387776,0.05946234624000001,0.3888956966400001,0.023755057920000003,0.03017938176,0.005826712320000001,0.029581770239999996,0.01508969088,0.016733122560000004,0.049900561919999996,0.004482086400000001,0.031225201919999997,,0.019571777280000004,0.07231099392000001,0.10069754112,0.005976115200000001,0.2985069542400001,0.0038844748799999997,0.0020916403200000005,0.0019422374399999998,0.00567730944,0.042430417920000005
Tibet,0.0019051200000000004,0.0031933440000000003,0.007602336000000001,0.000290304,0.002939328000000001,0.001161216,0.0022680000000000005,0.0007076160000000001,0.0003084480000000001,0.001669248,0.078890112,0.01052352,0.000471744,0.0002540160000000001,0.002068416,0.0012519360000000002,0.00108864,0.002068416,0.000290304,0.0013789440000000002,0.006894720000000001,0.00054432,0.010396512000000002,0.00108864,0.007711200000000001,0.001778112,0.00108864,0.0002540160000000001,0.028594944,,0.002522016
Shaanxi,0.06187760748000001,0.07781264351999999,0.21750289452,0.00951963192,0.09685190736,0.25371888552,0.08609058432,0.022557388680000002,0.14196668472,0.05815253412,0.18915094728,,0.02876584428,0.01014047748,0.0900226062,0.0393202188,0.031042278,0.03145617504,0.008484889320000001,0.0269033076,0.032490917640000005,0.017590624200000002,0.04325224068,0.01821146976,0.24109502579999997,0.020694852,0.027731101680000002,0.06249845304,0.02441992536,0.0041389704,0.09291988548
Gansu,0.016242359760000002,0.01987193736,0.035206902719999995,0.004446232559999999,0.02831070528,0.01261278216,0.02713109256,0.004446232559999999,0.034027289999999995,0.01941824016,0.08012292552,0.24055025544,0.01007207784,0.00154257048,0.01206834552,0.00898320456,0.00970912008,0.00934616232,0.00208700712,0.008710986240000001,0.00934616232,0.00617028192,0.014064613200000001,0.00653323968,,0.006351760799999999,0.041649402959999984,0.0925542288,0.11306134224,0.00326661984,0.028038486959999998
Qinghai,0.006456111480000001,0.006695226720000001,0.014620188960000002,0.00071734572,0.008129918160000001,0.0036550472400000006,0.00690018264,0.0010247796000000002,0.0022545151200000003,0.0070709792400000014,0.033339496319999995,0.028932944040000012,0.00215203716,0.00071734572,0.003689206560000001,0.00327929472,0.002937701520000001,0.003108498120000001,0.0005123898000000001,0.0027669049200000012,0.0036550472400000006,0.00126389484,0.005021420039999999,0.0016738066800000002,0.13694471388000004,0.00116141688,0.015098419440000002,0.00942797232,,0.018377714160000003,0.009496290959999999
Ningxia,0.011504067120000004,0.013063226399999999,0.012726110880000002,0.00101134656,0.010450581120000002,0.010787696640000002,0.012599692560000004,0.0026547847200000005,0.09140044536,0.007880075280000001,0.01310536584,0.07749443016000003,0.003286876320000001,0.0016434381600000005,0.005857382160000001,0.005309569440000001,0.00391896792,0.004635338400000001,0.00109562544,0.0031183185600000005,0.0036239918400000006,0.00122204376,0.0061102188,0.0019805536800000002,0.08491097160000001,0.00193841424,0.004677477840000001,,0.006068079360000001,0.0003792549600000001,0.016392242160000004
Xinjiang,0.017149676399999998,0.019145078999999995,0.052042257,0.0009707363999999998,0.017527184999999997,0.0071726633999999985,0.0190372194,0.0050694011999999995,0.009329855399999998,0.014507116199999996,0.071996283,0.051341169599999986,0.004044735,0.0023189814,0.009060206399999998,0.008197329599999999,0.008898416999999999,0.0097612938,0.0010246662,0.00808947,0.006525505799999999,0.0022650515999999995,0.020978692200000003,0.0021032622,0.1109335986,0.003775085999999999,,0.0084130488,0.022111218,0.0011864556,0.0238369716
Taiwan,3.225096e-05,3.225096e-05,9.700884e-05,,0.00019427364,,9.700884e-05,3.225096e-05,,6.475788000000001e-05,,,0.0007450995599999999,,,3.225096e-05,,,,0.00090712224,,,,3.225096e-05,,,,,,,0.00019427364
Hong Kong,,3.17844e-05,,,0.02961352548,3.17844e-05,3.17844e-05,6.35688e-05,,3.17844e-05,3.17844e-05,,0.0007119705600000001,,,,,6.35688e-05,,0.0005498701199999999,3.17844e-05,,,0.0001271376,,,,3.17844e-05,,,9.53532e-05
Macau,0.0010364112000000002,0.0008291289600000001,0.0005653152,0.00022612608,0.16607076192,0.0004145644800000001,0.0020728224000000003,0.0007349097600000001,1.884384e-05,0.0017147894400000002,0.00079144128,0.0004145644800000001,0.00194091552,0.00011306304,0.00109294272,0.00054647136,0.00054647136,0.00145097568,0.0004145644800000001,0.0015451948800000001,0.0003768768,0.00060300288,0.0003768768,0.00167710176,5.653152e-05,0.00060300288,,,,,0.00194091552
