,Hebei,Henan,Tianjin,Shandong,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Sichuan,Heilongjiang,Anhui,Shanghai,Shaanxi,Liaoning,Hubei,Zhejiang,Hainan,Hunan,Jilin,Gansu,Jiangxi,Chongqing,Yunnan,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hubei,0.05070730895999999,0.29530772964,0.01620971352,0.07460624555999999,0.035121045959999986,0.013508094599999998,0.25083492587999995,0.11388362832,0.061305967799999986,0.011014292519999998,0.10037553371999998,0.057773081519999984,0.07626878027999998,0.008728307279999998,,0.11055855888,0.025145837639999998,0.2649664709999999,0.008936124119999998,0.023483302919999997,0.12178066824,0.11263672727999995,0.034497595439999994,0.04821350687999999,0.04717442268,0.04759005636,0.012676827239999995,0.007065772559999998,0.0054032378399999975,0.0008312673599999999,0.03782266488
Hunan,0.02721033,0.07858343304,0.0097957188,0.043536528,0.01980912024,0.007183527120000001,0.7142167418400001,0.05877431280000001,0.04092433631999999,0.007183527120000001,0.03504690504,0.034829222400000005,0.026774964720000002,0.006312796559999999,0.25229417976,0.08402549903999999,0.029822521680000002,,0.007618892399999999,0.011537179920000001,0.19134304056,0.0576858996,0.0457133544,0.04310116272,0.15259553063999998,0.13779311111999998,0.00783657504,0.004353652800000001,0.0032652396000000003,0.0010884132000000002,0.03221703072
Guangdong,0.0546963516,0.26950384151999995,0.0223757802,0.09149207904,0.03033161316,0.0149171868,,0.13475192075999998,0.23966946792,0.03679572744,0.08453072519999999,0.1093927032,0.0820445274,0.0198895824,0.30928300631999994,0.15663046139999998,0.13524916032,0.7732075157999999,0.02386749888,0.028342654919999995,0.38038826340000004,0.14320499327999994,0.15812218008,0.26602316460000003,0.97260057936,0.24414462395999997,0.012928228559999998,0.0074585934,0.005469635160000001,0.0014917186799999998,0.06165770544
Guangxi,0.0212080032,0.0336832992,0.0049901184,0.025886239199999998,0.006393589199999999,0.0040544712,0.8066838276,0.024482768400000004,0.03118824,0.0081089424,0.013255002000000002,0.017777296799999998,0.012943119599999999,0.0049901184,0.0321238872,0.0318120048,0.030408533999999997,0.13426537319999998,0.0046782360000000005,0.0060817068,0.026198121600000002,0.0235471212,0.0874830132,0.0232352388,,0.1227257244,0.0020272356,0.0012475296,0.0014034707999999998,0.0001559412,0.012631237200000004
Hainan,0.027889272000000003,0.033267024,0.010880567999999998,0.023637096,0.019259856000000002,0.0093798,0.11699737199999999,0.020573028,0.036393624,0.02438748,0.009192204,0.024762672,0.018884664,0.008066628000000001,0.01657098,0.018947196,,0.026826227999999997,0.014757552,0.006503327999999999,0.014444892,0.018822132,0.01438236,0.013819572,0.031015872000000003,0.015883128,0.006378264000000001,0.0030015359999999995,0.002626344,0.000187596,0.036706284
Chongqing,0.0192964842,0.0377237574,0.0062583192,0.027640909800000002,0.012690480600000002,0.005562950400000001,0.09752547420000003,0.033030018,0.7348309794000001,0.0041722128,0.017384220000000002,0.02607633,0.0406790748,0.0033030018,0.1150835364,0.0441559188,0.023121012600000004,0.0571940838,0.0041722128,0.015819640200000002,0.0142550604,,0.07197067080000001,0.025207119,0.026597856600000004,0.23068859940000003,0.010604374199999999,0.0038245284,0.004693739400000001,0.0039983705999999996,0.018253431000000004
Sichuan,0.03590081352,0.06678053424000001,0.01154851344,0.050461982639999986,0.03163288464,0.014561169119999997,0.16243235207999998,0.05372569296,,0.010042185600000001,0.025105463999999997,0.04242823416,0.13833110663999998,0.00803374848,0.06125733216,0.06251260536,0.0464451084,0.04217717952,0.00828480312,0.07556744664,0.020586480479999995,0.7431217344000001,0.36026340840000004,0.033390267120000004,0.03866241456,0.22620023064,0.02585862792,0.01154851344,0.02686284648,0.029373392879999995,0.043683507360000005
Guizhou,0.008482818960000001,0.023263488360000004,0.0019279134,0.01465214184,0.00604079532,0.0025705512000000004,0.13482541044000002,0.02429170884,0.20423029284,0.00244202364,0.00976809456,0.01388097648,0.01426655916,0.0014138031600000002,0.023263488360000004,0.06477789024000001,0.012852756000000002,0.1182453552,0.0021849685200000003,0.0048840472800000005,0.01915060644,0.19009226124,0.24445941912,0.02557698444,0.10243646532,,0.0012852756000000002,0.00115674804,0.0012852756000000002,0.00077116536,0.008739874080000001
Yunnan,0.016939170360000002,0.032556845160000014,0.007208157600000002,0.02691045504000001,0.01273441176,0.0042047586000000005,0.09478727244,0.028231950600000007,0.3271302190800001,0.006247069920000001,0.013575363480000002,0.02606950332000001,0.02330637624000001,0.0045651664800000005,0.022945968360000003,0.03616092396,0.014896859040000003,0.03748241952000001,0.0042047586000000005,0.008169245280000003,0.017900258040000002,0.05646390120000001,,0.01958216148,0.07808837400000003,0.24615858204,0.00372421476,0.00216244728,0.0028832630400000003,0.0048054384000000006,0.0192217536
Tibet,0.00180482904,0.00621663336,0.00034377696,0.0019337454,0.0009597106800000001,0.00047269332,0.00262129932,0.0014467280399999998,0.053485965360000005,0.00047269332,0.00151834824,0.00113159916,0.007964166239999999,0.0007448500799999999,0.00285048396,0.0008307943199999997,0.00047269332,0.00213428196,0.00038674908,0.009167385600000001,0.00051566544,0.008580099959999999,0.006990131519999999,0.00047269332,0.0010026827999999998,0.00177618096,0.00113159916,0.00034377696,0.024350867999999998,,0.00090241452
Shaanxi,0.07846337160000001,0.2114208864,0.0139308336,0.07805364120000001,0.28947452760000003,0.15610728240000002,0.07231741559999999,0.06903957240000001,0.1528294392,0.011267586,0.044046018,0.0305249148,,0.010448125200000002,0.07620985440000001,0.0411779052,0.0196670592,0.031958971200000005,0.0075800124000000016,0.28046045880000003,0.017413542000000004,0.0393341184,0.027451936800000003,0.0229449024,0.019052463600000003,0.0223303068,0.0350319492,0.1020228696,0.035236814400000004,0.0047118996000000005,0.0448654788
Gansu,0.017821960200000004,0.0375706188,0.00645443964,0.02177169192,0.01839996972,0.03968998704,0.02186802684,0.03352455216,0.06387005196000001,0.00298638252,0.008959147560000002,0.01213819992,0.26617338395999995,0.0026973777600000004,0.01435390308,0.01820729988,0.00886281264,0.01050050628,0.0024083729999999997,,0.004816745999999999,0.0134868888,0.0086701428,0.007225118999999999,0.007128784080000001,0.00645443964,0.04980515364,0.11155583736,0.12465738648000001,0.004238736480000001,0.0154135872
Qinghai,0.0070203672,0.0162744876,0.0010530550799999997,0.00903074508,0.005361007679999997,0.00325489752,0.0067650811199999996,0.0063821519999999994,0.0221779782,0.0008935012800000001,0.0032868082799999998,0.0019465563599999995,0.026103001679999998,0.0009254120399999998,0.005233364639999997,0.0038292912,0.0032229867599999997,0.0035740051200000003,0.0006063044399999999,0.14200288199999994,0.0015317164799999994,0.00325489752,0.0035420943599999994,0.0022656639599999994,0.0013083411599999993,0.0009573228,0.010434818519999998,0.008009600759999997,,0.015061878719999996,0.0033187190399999998
Ningxia,0.015244614720000002,0.017737444800000002,0.00234901296,0.011984760000000002,0.010978040159999999,0.10632879072,0.007094977920000001,0.007909941600000001,0.00877284432,0.00206137872,0.004745964960000001,0.0045542088,0.09367288416,0.00148611024,0.00460214784,0.006088258080000001,0.0032119156800000004,0.003883062240000001,0.0016778664000000002,0.12133371024,0.00196550064,0.005177416320000001,0.0044583307200000005,0.003259854720000001,0.0022051958399999998,0.0022051958399999998,0.006088258080000001,,0.00968368608,0.0007670246400000001,0.007238795040000002
Xinjiang,0.01612270008,0.0473634216,0.00521476056,0.020715516719999997,0.01042952112,0.0100467864,0.012438878400000002,0.01420902648,0.038608364879999996,0.0031575614399999997,0.00803742912,0.0058845463200000005,0.04171808448,0.00301403592,0.0090899496,0.00880289856,0.0066978576,0.008085270959999998,0.0022485664800000003,0.12730713624,0.00363597984,0.015070179599999999,0.00440144928,0.006315122879999999,0.0027748267200000004,0.003109719600000001,,0.010525204800000002,0.021289618800000003,0.00090899496,0.01042952112
Taiwan,0.0002265732000000001,0.00019411812,3.184272e-05,0.0004206913200000001,0.00012920796,0.00016166304000000002,0.0004206913200000001,0.00012920796,9.675288000000002e-05,6.429780000000001e-05,6.429780000000001e-05,0.0017819676000000004,3.184272e-05,6.429780000000001e-05,0.00019411812,0.00019411812,3.184272e-05,0.00016166304000000002,0.00016166304000000002,3.184272e-05,6.429780000000001e-05,,6.429780000000001e-05,0.0010691805600000002,3.184272e-05,,3.184272e-05,,,,0.00012920796
Hong Kong,0.00012798324,3.1434480000000004e-05,,9.654876e-05,3.1434480000000004e-05,,0.02063673612,6.286896000000001e-05,3.1434480000000004e-05,6.286896000000001e-05,,0.00064665216,,3.1434480000000004e-05,3.1434480000000004e-05,6.286896000000001e-05,6.286896000000001e-05,,3.1434480000000004e-05,3.1434480000000004e-05,,,,0.00016166304,0.00012798324,3.1434480000000004e-05,,,,,6.286896000000001e-05
Macau,0.0007748395199999999,0.00099622224,0.00040586832,0.0010331193600000002,0.0006641481599999999,9.22428e-05,0.16231043088,0.0015127819199999995,0.0008301852000000001,0.00012913992000000002,0.00031362552000000003,0.00250900416,0.0002767284,0.0001844856,0.0019370988,0.0020662387200000003,0.0005350082399999999,0.00118070784,0.00031362552000000003,9.22428e-05,0.00108846504,0.00014758848000000002,9.22428e-05,0.00125450208,0.00121760496,0.0005719053599999999,,,,,0.0015496790399999998
