,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Sichuan,Anhui,Guangdong,Inner Mongolia,Shanghai,Hubei,Hainan,Zhejiang,Liaoning,Shaanxi,Hunan,Heilongjiang,Jilin,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.04865802839999999,1.0031836068,0.0196702668,0.23293737,0.046587474,1.2661440156,0.3530295252,1.3448250828,0.2339726472,0.0165644352,1.2661440156,0.5331677579999999,0.0217408212,,0.0300230388,0.1180216008,0.5766494004,0.0383052564,0.0300230388,1.1708985131999998,0.056940246000000014,0.3178301004,0.2764190124,0.2702073492,0.895514778,0.0952455024,0.0134586036,0.007246940400000001,0.005176386,0.0010352772,0.046587474
Anhui,0.029111821200000002,0.5772458260800001,0.013724144280000001,0.17591857668000002,0.02121004116,1.7833069900799998,0.04408361496,,0.08026544987999999,0.00914942952,0.3701360124000001,0.13474614384000005,0.006654130560000001,0.46204619076000003,0.0124764948,0.03451830228,0.05448069396000001,0.00748589688,0.00748589688,0.12726024696000002,0.01497179376,0.04408361496,0.025784755919999996,0.02204180748,0.027448288560000002,0.01538767692,0.00748589688,0.004158831599999999,0.00374294844,0.00124764948,0.03410241912
Fujian,0.0183018528,0.17308323648,0.010196746559999999,0.04784627232,0.025884048959999996,0.08471143296000001,0.16654686048000006,0.08444997792000003,0.35923922496,0.006536376000000001,0.08628016320000001,0.1294202448,0.017778942720000003,0.25413429888000005,0.00993529152,0.033727700160000006,0.14170863168,0.011504021760000002,0.00758219616,0.38277017856,0.027452779200000003,,0.11791622304000002,0.07791360192,0.22903461504,0.0679783104,0.00967383648,0.00549055584,0.00209164032,0.0013072752000000002,0.017778942720000003
Jiangxi,0.02032534296,0.09157823064,0.007079613840000001,0.056408536080000016,0.0137024784,0.10528070903999999,0.044076305520000005,0.14090715288,0.4227214586400001,0.00662286456,0.0993429684,0.19526031720000006,0.02032534296,0.29323303776,0.008221487040000001,0.026719832880000002,0.31995287064,0.01210385592,0.00753636312,,0.01986859368,0.17767546992000002,0.032657573520000004,0.03037382712,0.05755040927999999,0.039965562,0.0061661152799999995,0.003197244960000001,0.00365399424,0.0011418732,0.016442974080000002
Shandong,0.35798975784000003,0.7510274640000001,0.12225058164,,0.1230850566,0.9467118421200001,0.10931621976,0.2620251374400001,0.10764726984000002,0.05090297256,0.14937101784,0.10097147016000001,0.01835844912,0.17231907923999998,0.08219578356,0.11140240715999998,0.06342009696,0.08803710827999997,0.05465810988,0.05757877223999999,0.0375513732,0.051320210039999994,0.04088927303999999,0.043809935400000014,0.037134135719999996,0.02962386108,0.01961016156,0.013351599359999999,0.00917922456,0.00041723747999999997,0.15354339264
Henan,0.11959443288,,0.033731763119999994,0.5822988199199999,0.25179568631999993,0.28450527479999993,0.07802599751999999,0.5400489347999999,0.16082214335999998,0.02248784208,0.09983238984,0.36491634648000004,0.02146566744,0.14617097352,0.01839914352,0.20545710264,0.08041107167999999,0.0102217464,0.008177397119999999,0.05349380616,0.033731763119999994,0.04736075832,0.035435387519999986,0.02351001672,0.025554366,0.02828016504,0.021124942560000002,0.01124392104,0.00919957176,0.00204434928,0.08143324632
Hubei,0.0182209824,0.37785762252,0.00933825348,0.061040291040000014,0.021181892040000004,0.10841484528,0.07516155240000001,0.13529079432000002,0.21181892040000005,0.007288392960000002,0.0694674954,,0.017309933280000002,0.09748225584000003,0.00956601576,0.07607260152,0.38810692511999995,0.006377343840000001,0.0050107701600000006,0.19746989675999999,0.017309933280000002,0.051018750720000006,0.16467212844,0.02528161308,0.03917511216,0.035986440240000014,0.008654966640000001,0.00409972104,0.00364419648,0.0006832868400000001,0.030292383239999995
Hunan,0.02729158272,0.10916633088,0.012508642080000005,0.050887430280000014,0.018762963120000004,0.07135611732000001,0.06851324412000001,0.05884747524000001,0.7820744173200002,0.013930078680000004,0.052308866880000006,0.4204609462800001,0.029565881280000005,0.08812906920000002,0.01364579136,0.034967340360000015,,0.012508642080000005,0.010518630840000005,0.2902573537200001,0.01677295188,0.05515174008000001,0.09950056200000004,0.046054545840000016,0.21236262804000008,0.19132536636000005,0.01165578012,0.007107183000000001,0.004548597120000001,0.0022742985600000005,0.026154433440000003
Guangdong,0.037259526960000004,0.65642519556,0.02301323724,0.1205455284,0.039451263839999993,0.19068110856,0.6520417218,0.17314721352,,0.018629763480000002,0.17972242415999998,0.8690236729199999,0.16547613444,0.2082150036,0.0328760532,0.12821660747999994,2.1117384838799995,0.03506779008,0.02630084256,1.01148657012,0.04164300072,0.4230052178399999,0.3923209015199999,0.34629442704,0.7166979597600001,2.05913679876,0.01534215816,0.00767107908,0.0054793422,0.00109586844,0.07451905392000001
Guangxi,0.025334681040000005,0.07860854303999999,0.007576727040000002,0.04640745312,0.015390226800000004,0.039304271519999996,0.08618527008,0.03409527168,0.9541940616,0.006866408879999999,0.02462436288,0.06937440696000001,0.02864949912,0.04427649864,0.012075408720000002,0.02651854464000001,0.26850026448000003,0.01254895416,0.00852381792,0.06842731608000001,0.011838636000000001,0.04451327136,0.05493127103999999,0.1444313592,0.22446053856000006,,0.00378836352,0.003314818080000001,0.00284127264,0.0004735454400000001,0.015626999519999997
Hainan,0.014659341120000002,0.055482822720000005,0.01085533488,0.027370288800000003,0.01846334736,0.02477243088,0.07645124736,0.023473501919999997,0.18454069296,0.01150479936,0.04026679776,0.03173097888,,0.029225901600000003,0.0125253864,0.020782863360000004,0.05269940352,0.02282403744,0.013824315359999999,0.030060927360000007,0.01011308976,0.021153985919999996,0.03822562368,0.021339547200000003,0.027370288800000003,0.04518417168,0.00797913504,0.0030617611199999996,0.0025978579200000005,0.0004639032,0.04722534576
Chongqing,0.012488635079999998,0.05739457824,0.00584574408,0.03348017064,0.01355149764,0.04623452136,1.3429268445599998,0.02710299528,0.09937764936,0.00823718484,0.039857346,0.16660370627999996,0.02550870144,0.0425145024,0.005580028439999999,0.05261169671999999,0.08768616119999999,0.0053143128,0.00372001896,0.02736871092,0.02444583888,0.02896300476,,0.08077755455999999,0.32523594336,0.030291582959999994,0.01913152608,0.007705753559999999,0.00584574408,0.006377175359999999,0.020460104280000002
Sichuan,0.027244252799999997,0.09160880004000001,0.011238254279999998,0.0527857398,0.027584805960000004,0.06879173831999999,,0.037801400760000006,0.16142219784000003,0.013622126399999998,0.06538620671999999,0.08207331156,0.0459746766,0.07015395096,0.01225991376,0.16380606995999994,0.057212930879999985,0.01089770112,0.008854382159999999,0.03609863496,0.09910096956,0.042569145,1.2229263975599998,0.49175876304,0.30513563136000005,0.03984471971999999,0.03269310336,0.01055714796,0.02826591228,0.0357580818,0.04665578291999999
Guizhou,0.00419239152,0.025464896639999998,0.00201855888,0.011024436959999998,0.00357129648,0.023291064,0.26691559344000004,0.012111353279999999,0.09673555248,0.0023291064,0.01412991216,0.030899478239999997,0.008074235519999999,0.038197344960000004,0.00201855888,0.014440459680000003,0.17576989631999998,0.00124219008,0.00139746384,0.023291064,0.00357129648,0.02468852784,0.25822026288000005,0.3501423288,,0.14564678688000002,0.00186328512,0.00108691632,0.00046582128,0.0006210950400000001,0.006987319200000001
Yunnan,0.01077942168,0.0486812592,0.007302188879999999,0.028165585680000008,0.008693082000000001,0.04346541000000001,0.5005476615600001,0.01929864204,0.10153519776,0.006780603960000001,0.0356416362,0.040509762120000015,0.01234417644,0.045899472960000014,0.006606742320000001,0.028165585680000008,0.06502425336,0.007476050520000002,0.003824956080000001,0.027470139120000004,0.010953283320000002,0.030773510280000006,0.09718865676,,0.40544534447999997,0.11005441812000001,0.005215849200000001,0.0024340629600000012,0.0022602013200000003,0.00504198756,0.01790774892
Tibet,0.0011284595999999998,0.0096502752,0.0003696678,0.0025098498,0.0011479157999999998,0.0016148646,0.08163821519999999,0.0021207258,0.0024125688,0.0004669487999999999,0.0016732332000000002,0.0043971012,0.00011673719999999998,0.0019067076,0.0006031421999999999,0.0091833264,0.0028989738,0.00035021159999999995,7.78248e-05,0.0011284595999999998,0.0098448372,0.0004669487999999999,0.0103506984,0.0109343844,0.0023931126,0.0004669487999999999,0.0015370398,0.0007977041999999997,0.0307797084,,0.0012257406
Shaanxi,0.035465817600000005,0.27995829768,0.011969713440000002,0.08068473504000001,0.30278941776,0.06982332840000001,0.21345988968000004,0.05342038776000001,0.06117853536,0.21301656696,0.035244156240000005,0.10085591880000001,0.01285635888,0.039899044800000005,0.01285635888,,0.030145944960000007,0.00797980896,0.00576319536,0.02083616784,0.31852737431999995,0.021722813280000003,0.044110610640000006,0.01928453832,0.019506199680000003,0.012191374800000002,0.026599363199999997,0.09797432112,0.023496104159999996,0.0031032590400000004,0.037904092560000005
Gansu,0.0069851322,0.0444416382,0.004757988599999999,0.018728253,0.0090098082,0.0261183204,0.07521671339999997,0.011338185600000002,0.0183233178,0.048592224,0.0114394194,0.0175134474,0.004049352,0.016197408,0.0024296112,0.27383742899999997,0.0094147434,0.0023283774,0.0013160394,0.006074028,,0.0077950026,0.011641887,0.011135718,0.004656754799999999,0.0036444168,0.046668781799999996,0.13585575960000001,0.16531479539999994,0.0038468844,0.011743120800000001
Qinghai,0.0033494796,0.022141823040000005,0.00081092664,0.00779194728,0.00324370656,0.008003493359999999,0.029863254960000005,0.004583498400000001,0.00472452912,0.00349051032,0.0027148413600000003,0.00821503944,0.00126927648,0.00394886016,0.00063463824,0.022776461280000004,0.0037725717600000006,0.00081092664,0.0003525768,0.0015865956000000005,0.17219850912000004,0.0026090683200000004,0.00518287896,0.0014103072,0.00095195736,0.00063463824,0.00983689272,0.00736885512,,0.015407606160000004,0.0023975222400000004
Ningxia,0.004744837439999999,0.01818854352,0.00186404328,0.011862093600000002,0.0081904932,0.0101675088,0.00926373024,0.006608880719999999,0.005818074479999999,0.1587261096,0.00485780976,0.0045188928,0.00180755712,0.005309699039999999,0.00124269552,0.1025223804,0.0031067388,0.0011862093599999998,0.0010167508799999998,0.00242890488,0.16957145232,0.0022594464,0.00372808656,0.0022594464,0.0014686401599999998,0.0013556678399999993,0.005196726719999999,,0.00898129944,0.0002824308,0.00547915752
Xinjiang,0.00683015652,0.06442935048000001,0.0034957494000000013,0.02360975364,0.00666881424,0.018231677640000003,0.053189171640000005,0.010057002120000002,0.01247713632,0.009088948440000001,0.008389798560000002,0.01339140924,0.00586210284,0.013606532280000002,0.0032268456000000005,0.048564026280000006,0.01037968668,0.00193610736,0.00252769572,0.0034957494000000013,0.13122505439999999,0.0065074719599999995,0.01957619664,0.004947829920000001,0.002742818760000001,0.0017209843200000005,,0.00801333324,0.022856823000000002,0.0008067114000000001,0.01919973132
Taiwan,3.2348159999999994e-05,,,0.00019425744,,9.704448000000001e-05,3.2348159999999994e-05,,3.2348159999999994e-05,,0.00029147040000000003,3.2348159999999994e-05,,0.00038868336,3.2348159999999994e-05,,,,,,,0.00045354816,,,,,,,,,
Hong Kong,3.211488e-05,,,,,3.211488e-05,,,0.014578626240000003,,0.00012845952,,,3.211488e-05,,,,,,3.211488e-05,3.211488e-05,0.00012845952,,3.211488e-05,,,,,,,0.00019421856
Macau,2.330208e-05,0.00041943744,0.00060585408,0.00047769263999999993,0.00012816143999999998,0.00242341632,0.00080392176,0.00015146352,0.09884742336,5.82552e-05,0.0040778640000000005,0.0010602446400000002,0.00041943744,0.0015495883200000002,0.00015146352,2.330208e-05,0.0010252915199999999,2.330208e-05,5.82552e-05,0.00012816143999999998,2.330208e-05,0.0010951977599999998,0.000291276,0.000291276,0.00015146352,0.00096703632,,2.330208e-05,,,0.0009320832
