,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Guangdong,Jiangsu,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Guizhou,Shanghai,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.03248639784,0.013327752959999998,0.09273894767999999,0.14965955928,0.021379937039999998,0.020824613999999998,0.08218780992000001,0.0083298456,0.04831310448,0.3373587468,0.16965118872,0.66111207912,0.051089719680000006,0.01915864488,,0.006108553440000001,0.0111064608,0.07691224104,0.41343800328,0.23767826112000004,0.055254642480000005,0.15687875880000002,0.01138412232,0.027210828960000003,0.0019436306400000005,0.030820428720000008,0.006108553440000001,0.0033319382399999995,0.006663876479999999,0.0005553230400000001,0.018880983360000003
Anhui,0.05447574,0.037043503200000015,0.17940677040000005,0.4953660624,0.027601041600000004,0.027601041600000004,0.042127905599999994,0.011621491200000002,0.06609723120000001,,0.2636625816,2.5727076144000005,0.028327384800000008,0.013800520800000002,2.3366460744000004,0.0021790296,0.005810745600000001,0.020337609600000004,0.6297395544000001,0.15035304240000005,0.024695668800000004,0.11621491200000003,0.012347834400000002,0.014526864000000004,0.0014526864000000005,0.024695668800000004,0.0167058936,0.0043580592,0.0065370888,0.0007263432000000001,0.06537088800000003
Fujian,0.015798706559999997,0.01336813632,0.03281269823999999,0.047244209039999985,0.01336813632,0.01352004696,0.051497706959999986,0.006987889439999999,0.039041034479999986,0.04618083456,0.42504597072,0.10178012880000001,0.039041034479999986,0.010481834159999998,0.23196754728,0.0030382128,0.00425349792,0.0486114048,0.06410629007999999,0.14735332079999994,0.05210534952,,0.015342974639999996,0.02172322152,0.00106337448,0.044661728160000004,0.004405408559999999,0.00288630216,0.0031901234399999995,0.0009114638399999998,0.01200094056
Jiangxi,0.018435619440000002,0.009217809720000001,0.03493064736,0.04269301344,0.0097029576,0.00533662668,0.22996009511999999,0.00388118304,0.02765342916,0.10042561116,1.59468108156,0.19988092656,0.03299005584,0.009217809720000001,1.5937107858000001,0.00048514788,0.00097029576,0.059673189239999994,0.14942554704000002,,0.05142567528,0.5225042667600001,0.018920767319999997,0.02377224612,0.00048514788,0.06015833712,0.02037621096,0.00194059152,0.00194059152,0.00048514788,0.01649502792
Shandong,0.5954400460800001,0.18600689664000006,,0.4995302400000001,0.11661760512,0.09227685888,0.029426872320000005,0.046501724160000014,0.10862512128,0.17038522368000006,0.09917945856000003,0.8108738150400001,0.043595366399999995,0.02434074624,0.25757595648000003,0.023977451519999998,0.0254306304,0.018528030719999998,0.13332916224000002,0.047591608320000006,0.02506733568,0.04068900864000001,0.006539304960000001,0.0127153152,0.008355778559999999,0.026520514560000003,0.009808957440000002,0.010535546880000001,0.013441904640000002,0.0018164735999999999,0.14168494080000002
Henan,0.28645935120000005,0.0985221468,0.6317008236,,0.2872872684,0.0471912804,0.12832716600000002,0.035600439600000006,0.3700789884,0.6689570976,1.1160323856,1.4099429916,0.0902429748,0.06954504480000001,1.7808498972000002,0.004139586000000001,0.008279172000000001,0.0505029492,0.3460693896,0.18379761840000006,0.052158783600000015,0.17883011520000006,0.0198700128,0.0405679428,0.013246675200000002,0.055470452400000016,0.07699629960000001,0.018214178400000003,0.036428356800000006,0.004139586000000001,0.15730426800000002
Hubei,0.002785946400000001,0.0006282036000000001,0.003960414000000001,0.05511803760000001,0.0009832752,0.0013383467999999999,0.076203828,0.0006282036000000001,0.0145033092,0.0135746604,0.014913007200000003,0.005926964400000001,0.0022943088000000004,0.0010925280000000002,0.0044793648,0.0006008904000000001,0.0007647696000000003,0.0011744676000000002,0.002321622000000001,0.01638792,0.0007920828000000001,0.0026493804000000004,0.0004916376,0.044547829200000014,0.00027313200000000004,0.0020211768,,0.0004096980000000001,0.00010925280000000002,8.193959999999999e-05,0.0016114788000000002
Hunan,0.0187124742,0.008554273920000001,0.03047460084,0.052929569879999985,0.00962355816,0.00641570544,,0.00320785272,0.03261316932,0.04170208536,3.0544104315599996,0.12350232972000001,0.04330601172000001,0.01176212664,0.61697700648,0.00106928424,0.00213856848,0.22294576404,0.04704850656,0.28122175511999997,0.0855427392,0.14649194088,0.03528637992,0.07271132832,0.00106928424,0.26732106,0.0828695286,0.00160392636,0.0042771369600000005,0.00160392636,0.0294053166
Guangdong,0.02314015776,0.00791636976,0.039277373039999994,0.10961127360000003,0.014005884960000001,0.02039987592,0.54318475584,0.0060895152,0.03836394576,0.04688926704,,0.06759361872,0.10930679784,0.014919312240000001,0.10778441904,0.01004770008,0.0091342728,0.17690041656,0.03166547904,0.30691156608000003,0.083730834,0.20004057432000005,0.10291280687999999,0.053587733760000006,0.008525321280000001,0.7779355668000001,0.01552826376,0.0021313303200000003,0.0045671364,0.00030447576,0.022531206239999997
Guangxi,0.010474738559999999,0.0026186846399999996,0.01134763344,0.022258819440000004,0.004364474400000001,0.005237369279999999,0.15537528864000005,0.0013093423199999998,0.00960184368,0.01134763344,3.5107832073600007,0.025750398960000004,0.03535224264000001,0.0030551320800000013,0.09514554191999999,0.0013093423199999998,0.0017457897600000006,0.16235844768000005,0.013529870640000002,0.041462506800000014,0.11740436136,0.05281014024,0.03491579520000001,0.015712107840000003,0.00043644744000000016,,0.0030551320800000013,0.0008728948800000003,0.0008728948800000003,,0.007419606480000001
