,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Liaoning,Guangdong,Jiangsu,Sichuan,Anhui,Heilongjiang,Shanghai,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Gansu,Fujian,Jiangxi,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.1521852624,0.0397601136,1.1201383727999998,0.3304202544,0.06718088159999999,0.024678691200000002,0.07814918879999999,0.3715514064,1.7412187680000002,0.5525284752,1.6959745007999998,0.07266503519999999,1.5616127376,0.6868902384000001,0.17000876159999995,,0.049357382400000004,0.6389038944000001,0.056212574399999986,0.0877464576,0.4675240944,1.2942602496,0.35784102240000004,0.4538137104,0.1384748784,1.2394187136,0.0219366144,0.012339345600000001,0.0054841536,,0.1617825312
Anhui,0.09950311188000002,0.032722499880000006,0.8581308642000002,0.29984494788000005,0.03873275496,0.011352704040000005,0.030051275400000008,0.14691734640000004,2.6324917250400004,0.06744841812,,0.022037601960000004,0.5749810693199999,0.23573556035999998,0.05943474468000001,0.8073775990800001,0.018030765240000003,0.07612989767999999,0.02604443868000001,0.017362959119999997,0.08414357112000001,0.18097545852,0.04474301004000001,0.048749846760000014,0.030051275400000008,0.04808204064,0.010017091800000004,0.005342448960000001,0.00400683672,0.0013356122400000007,0.14758515252
Fujian,0.042272079120000014,0.019358241840000002,0.21254559408,0.08217376128,0.02844476352,0.009481587840000002,0.02804969736,0.5886485784000001,0.14854487615999998,0.2710153857600001,0.13076689896,0.020148374160000003,0.13590275904000002,0.19792814616,0.05649446087999999,0.42430105584,0.01422238176,0.1797551028,0.02607436656,0.024494101919999997,,0.49304256768,0.1856810952,0.12326064192,0.08256882743999999,0.2883982968,0.00869145552,0.004740793920000001,0.00355559544,0.00079013232,0.0750625704
Jiangxi,0.05548975631999999,0.016766688959999998,0.15529147631999998,0.08702709983999997,0.03153734352,0.01477065456,0.024351619679999995,0.7213668321599999,0.17605023407999998,0.07505089343999997,0.23114078351999995,0.021157964639999995,0.15369464879999994,0.3237567796799999,0.04471117056,0.5253562540799999,0.016367482079999995,0.49461732432,0.035529412319999995,0.0359286192,0.3369306067199999,,0.05269530815999999,0.05269530815999999,0.07465168655999999,0.10618903008,0.009980172,0.007984137599999998,0.01077858576,0.005988103199999999,0.07225644528
Shandong,1.4133478168800002,0.33767847648000004,1.2871722571200002,,0.23510410055999997,0.10529758944,0.28684515744000005,0.22511898432,1.4968596981600002,0.2541665952,0.4357141632000001,0.24690469248,0.2632439736,0.21422613024,0.1951636356,0.34130942784,0.15068448144000002,0.11709818136,0.056279746080000005,0.06626486232,0.11437496784,0.10166663808000002,0.08441961912000001,0.08805057048,0.06989581368,0.08351188127999999,0.041755940639999996,0.02632439736,0.018154756799999998,0.0009077378400000002,0.6962349232800001
Henan,0.618790752,0.109198368,,0.9949184639999998,0.494425944,0.047015964,0.065215692,0.3617195939999999,0.6931063080000001,0.16379755199999999,0.850078962,0.038674422,0.263137734,0.674148258,0.41328549,0.351103086,0.025782947999999997,0.16986412800000006,0.07431555599999999,0.075073878,0.12284816400000002,0.109198368,0.077348844,0.07810716599999999,0.07431555599999999,0.067490658,0.05308253999999999,0.028816236000000002,0.02274966,0.003033288,0.43982676
Hubei,0.10301087519999998,0.0283157856,0.6991069823999999,0.14694916319999998,0.06883665119999999,0.0224573472,0.036615239999999986,0.4452413183999999,0.2382431616,0.1967458896,0.2704645728,0.0239219568,0.1323030672,,0.16989471359999994,0.21871503360000005,0.018063518400000003,0.6434518175999999,0.0478439136,0.0595607904,0.11131032959999998,0.34174224000000003,0.31342645439999994,0.07713610559999999,0.1044754848,0.13425588,0.026851176,0.0126932832,0.01220508,0.0053702352,0.15036658560000002
Hunan,0.06918681419999999,0.0178850268,0.1614358998,0.0804826206,0.0324754434,0.011766465,0.0254155644,1.2500692416,0.1138993812,0.10731016079999997,0.08613052380000001,0.0230622714,0.084718548,0.6528034782,0.056479032,0.1586119482,0.0155317338,,0.0649508868,0.0244742472,0.09836764739999998,0.4650106968,0.1421388972,0.103544892,0.3487580226,0.34169814359999995,0.016473051000000002,0.0075305376,0.0080011962,0.0042359274,0.10919279519999997
Guangdong,0.1336566096,0.0457246296,0.9531826631999999,0.1952089956,0.07210422359999999,0.029896873200000007,0.0932078988,,0.2954514528,1.1730126131999998,0.2743477776,0.08441470079999999,0.23917498560000006,1.5106714164,0.23917498560000006,0.34469336159999997,0.056276467200000006,2.9633077260000005,0.2479681836,0.0756215028,0.6788348855999999,1.2820482684,0.6225584184,0.5574887532,2.7364432175999998,1.0305628056000002,0.035172792,0.012310477200000005,0.008793198,0.0017586396000000002,0.2602786608
Guangxi,0.05912151119999999,0.0129115944,0.08562425759999999,0.06116018400000001,0.018687834,0.007814912399999999,0.019367391599999995,1.4671648584,0.056743059599999986,0.11042811,0.0421325712,0.014950267199999999,0.041453013599999984,0.08732315159999998,0.03873478319999999,0.06897509639999999,0.0098535852,0.368659998,0.0489281472,0.0173287188,0.06557730839999999,0.07169332679999997,0.06999443279999999,0.1940136948,,0.28031751,0.0044171244,0.0037375667999999997,0.0037375667999999997,0.0003397788,0.047908810799999986
Hainan,0.041403312000000005,0.014281142399999997,0.06132490559999999,0.0343227456,0.0212416992,0.0128410272,0.023281862400000002,0.2264581152,0.030362428799999994,0.07872629759999998,0.027002159999999997,0.0268821504,0.032402592,0.05508440639999999,0.029522361599999995,0.0358828704,0.0201616128,0.0753660288,,0.013321065600000001,0.026402112000000002,0.036002879999999994,0.0441635328,0.026162092799999998,0.06672533759999999,0.043203455999999994,0.011280902399999996,0.0039603168,0.0037202976,0.0002400192,0.0712857024
Chongqing,0.039427997400000005,0.012194226,0.0715394592,0.0499963266,0.026420823000000003,0.008535958199999999,0.014633071199999997,0.156492567,0.0768236238,1.9299395016,0.034550307,0.010161855,0.0577193364,0.272337714,0.08292073679999999,0.07844952059999999,0.0093489066,0.113812776,0.0483704298,0.0300790908,0.0504028008,0.034550307,,0.15689904119999998,0.054874017,0.5097186467999999,0.0280467198,0.0117877518,0.0089424324,0.0065035872,0.06625529459999999
Sichuan,0.0875374776,0.023155074720000002,0.15869697552,0.10448021520000003,0.06607667664,0.02089604304,0.035579748960000004,0.30835782432000003,0.1298943216,,0.06438240288,0.02654362224,0.08979650927999999,0.14231899584000002,0.29480363424,0.11690488944,0.01524846384,0.08979650927999999,0.0762423192,0.14570754336,0.08301941423999999,0.055346276160000006,1.84901743008,0.74604521232,0.09036126720000001,0.4777852003200001,0.05986433952,0.022025558880000004,0.05986433952,0.04687490736,0.14118948
Guizhou,0.022354542,0.0076644144,0.054608952599999996,0.030977008200000006,0.0105385698,0.0041515578,0.008941816800000002,0.2950799544,0.0552476538,0.536509008,0.0284222034,0.0073450638,0.033851163600000005,0.0696184308,0.0316157094,0.0964438812,0.0057483108,0.3241408590000001,0.0408768768,0.0102192192,0.0648281718,0.0555670044,0.4978675854,0.5978243232,0.2471773644,,0.0031935059999999996,0.0015967529999999998,0.0025548048,0.0009580518,0.0389607732
Yunnan,0.04225626143999999,0.015568096320000004,0.07172444376,0.047816295839999995,0.023352144480000003,0.008896055040000002,0.01862611524,0.16819104059999998,0.06783241967999999,0.75866669388,0.03725223048,0.01278807912,0.044202273480000005,0.0667204128,0.045592282080000004,0.08173250568,0.011120068799999999,0.09952461575999999,0.01834811352,0.015568096320000004,0.05949236808000001,0.040588251119999995,0.16263100619999998,,0.166801032,0.604653741,0.0097300602,0.005282032679999999,0.00500403096,0.00639403956,0.0569903526
Tibet,0.00455709564,0.0004839393599999999,0.01778477148,0.00508136328,0.0031456058399999998,0.00076623732,0.0010485352800000001,0.0032665906800000005,0.00500070672,0.18002544192000003,0.00447643908,0.0008468938800000001,0.00177444432,0.0068558076,0.0209707056,0.00250035336,0.0006049242,0.0068558076,0.0016937877600000002,0.02012381172,0.0012098484,0.0018147726000000003,0.02415663972,0.02093037732,0.001008207,0.00366987348,0.0011291918400000002,0.0011291918400000002,0.054402849719999986,,0.00540398952
Shaanxi,0.17047087632,0.03722927184,0.5114126289600001,0.16851144096,0.6343671978000001,0.35367808248000004,0.043107577920000015,0.1371604752,0.17634918240000005,0.49475742840000003,0.11952555695999999,0.026942236200000004,0.07641797904000001,0.21651760728,,0.09895148568,0.02057407128,0.06955995528,0.05241489588000001,0.5848914549600001,0.05437433124,0.053884472400000015,0.11070809784000002,0.05682362544,0.03575969532,0.05045546052,0.07494840252000001,0.19594353600000006,0.0563337666,0.013716047520000005,0.18761593572
Gansu,0.038537224200000005,0.016873054919999998,0.0906145542,0.03937046148,0.02978823276,0.07832430431999997,0.008748991440000001,0.039162152159999984,0.06645067308,0.16748069327999998,0.022289097240000003,0.005416042320000001,0.0354125844,0.04541143176,0.5949314179199999,0.0291633048,0.00479111436,0.022289097240000003,0.021455859959999997,,0.01812291084,0.0135401058,0.031246398,0.0177062922,0.014789961719999998,0.01166532192,0.08998962624000001,0.2249740656,0.22934856132,0.005624351640000001,0.06540912648000001
Qinghai,0.01210960368,0.00212089104,0.04125475152,0.01614613824,0.006909999839999999,0.00519960384,0.00232613856,0.014162078879999996,0.016214554080000002,0.06198475104,0.01204118784,0.00150514848,0.00472069296,0.015530395680000001,0.055622077920000006,0.00971504928,0.00095782176,0.00506277216,0.00745732656,0.29063048831999994,0.004789108799999999,0.0028050494399999995,0.00930455424,0.006704752319999999,0.00218930688,0.0031471286399999995,0.01724079168,0.014435742239999997,,0.0246297024,0.015872474879999997
Ningxia,0.023754963960000004,0.005473494000000002,0.04269325320000001,0.022550795280000004,0.01784359044,0.22014392868000004,0.0041598554400000005,0.018500409720000003,0.023317084440000004,0.024630723000000004,0.013026915719999999,0.0035030361600000013,0.015873132600000003,0.013464795240000002,0.21718824192,0.015216313320000003,0.0026272771200000003,0.005582963880000002,0.00941440968,0.2904235916400001,0.008319710880000001,0.0043787952000000005,0.01247956632,0.009742819320000002,0.006787132560000001,0.0025178072400000003,0.015106843440000003,,0.013793204880000005,0.0006568192800000001,0.029775807360000007
Xinjiang,0.0390597714,0.009998235,0.15717225419999994,0.049991174999999985,0.021329567999999997,0.0175968936,0.0117312624,0.0395930106,0.0469250496,0.14850711719999998,0.0274618188,0.0091983762,0.021329567999999997,0.037326744,0.1038483342,0.0345272382,0.008665137,0.0265286502,0.0210629484,0.29288163059999994,0.0165304152,0.0085318272,0.044525473200000006,0.014130838799999997,0.0065321802,0.008131897800000001,,0.0221294268,0.0307945638,0.0005332392,0.053990469000000006
Taiwan,9.44784e-05,0.00012754584000000002,0.00032122656,0.0009684036,0.00019368072,9.44784e-05,0.00045349632000000003,0.011337408,0.00498845952,0.00064717704,0.00100147104,0.00025509168000000004,0.005635636560000001,0.00042042888,0.00084085776,0.00216827928,0.0005479747200000001,0.0007416554400000001,0.00032122656,6.141096e-05,0.00748268928,0.0005479747200000001,0.0007416554400000001,0.00028815912,0.00042042888,0.00032122656,,,,,0.0020076660000000004
Hong Kong,0.0008320838400000003,0.00106982208,0.0007132147199999999,0.00196134048,0.00017830367999999998,0.0002971728,0.00106982208,0.5120881689600001,0.0051113721600000005,0.00249625152,0.00106982208,0.0004754764800000001,0.0098067024,0.0017236022399999998,0.00041604192000000014,0.005349110400000001,0.0002971728,0.00285285888,0.00154529856,0.00017830367999999998,0.013907687039999998,0.0013075603200000002,0.0008320838400000003,0.0006537801600000001,0.00291229344,0.00112925664,5.943456000000001e-05,,,,0.008380272959999999
Macau,0.0031195368000000003,0.0016175376000000007,0.0029462292,0.0017908452,0.0020796912,0.00034661519999999995,0.00144423,0.4732452864,0.008260995600000001,0.0024840756,0.002599614,0.0008087688000000001,0.0121893012,0.004563766800000001,0.0021374604,0.0099363024,0.0009820764,0.0064123812,0.0020796912,0.00034661519999999995,0.007105611600000001,0.0034083828000000004,0.0012709224,0.0008087688000000001,0.003754998,0.001733076,5.77692e-05,0.00017330759999999995,,,0.006527919599999999
