,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Inner Mongolia,Anhui,Heilongjiang,Jiangsu,Jilin,Shaanxi,Sichuan,Gansu,Hunan,Guangdong,Zhejiang,Hubei,Jiangxi,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.12905465615999998,0.4418087328,1.2277632153599998,0.10231360128,0.08487378287999997,0.022090436639999995,0.02557840032,2.69387061552,0.08254847375999998,1.22892586992,0.058132728,0.18835003872,0.42553156896,0.10580156495999997,0.42785687808,0.21857905727999996,,0.3708868046399999,1.5498185284799997,0.5394717158399999,0.06278334624,0.24183214847999995,0.48715226063999995,0.20230189344,0.13603058351999994,0.39181458672,0.012789200159999998,0.01627716384,0.0069759273599999975,0.00116265456,0.09533767391999998
Anhui,0.10408773456,0.23763426192,1.13710940208,0.04075133004,0.02896781292,0.01669331592,0.0098195976,,0.01865723544,1.5824281532399995,0.012765476880000001,0.06922816307999999,0.07462894176,0.02160311472,0.09181323756,0.1055606742,0.4001486022,0.14778494388,0.21897702648000003,0.09230421744,0.02307605436,0.061372485,0.20768448924,0.03338663184,0.02651291352,0.03387761172,0.00441881892,0.00441881892,0.0029458792799999995,0.0004909798800000001,0.08592147900000001
Fujian,0.039867979680000006,0.08078511672000001,0.19724158368000005,0.026228934,0.031474720800000015,0.0122401692,0.007344101520000002,0.18430197624000005,0.02238202368,0.11820506255999999,0.01643679864,0.05805337392000001,0.28362220632,0.030075844320000007,0.16716573936000004,0.2993595667200001,0.31719524184000003,0.13044523176000006,0.8312823482400001,,0.021332866319999998,0.16017135695999998,0.06329916072000001,0.07728792552000001,0.07064326223999999,0.15107865984000002,0.0041966294399999994,0.007344101520000002,0.0017485956000000006,0.0010491573599999999,0.045813204720000014
Jiangxi,0.027527101560000003,0.05232874752,0.12073768308,0.014717460239999999,0.014172369119999998,0.00436072896,0.00517836564,0.24283809395999997,0.01035673128,0.10602022284,0.00872145792,0.027254556000000003,0.0640482066,0.01308218688,0.44261398944,0.41999270796,0.27336319668000003,0.279359199,,0.25864573644,0.03297801276,0.043062198480000015,0.0558718398,0.03216037608,0.06786384444,0.052601293079999986,0.0038156378400000007,0.00218036448,0.00109018224,,0.0381563784
Shandong,1.0734827778000002,,1.1176954128,0.1638815004,0.215168157,0.0978572988,0.06602420160000001,0.3690281268,0.2139891534,0.9119592846,0.138532923,0.1391224248,0.1638815004,0.0666137034,0.0583606782,0.0966782952,0.15268096620000002,0.0937307862,0.0754562304,0.1008048078,0.05482366740000001,0.048339147599999986,0.08606726279999999,0.0577711764,0.033601602599999995,0.0277065846,0.014737545,0.0170955522,0.0106110324,0.0011790036,0.209273139
Henan,0.46743044544,0.8093160230399999,,0.28695969792000003,0.044276984639999996,0.03755136672,0.02466059904,0.97689600288,0.031386216960000005,0.34076464128,0.02017685376,0.35533681344000007,0.19336151520000006,0.06109102944,0.15749155295999998,0.24436411776,0.17542653408,0.41026269311999997,0.10536801408,0.09135631008,0.12610533599999998,0.10032380063999999,0.08687256480000001,0.07230039263999999,0.07622366976,0.044276984639999996,0.014011704,0.031386216960000005,0.01064889504,0.003923277120000001,0.19055917440000006
Hubei,0.07481506356,0.09363357648000002,0.7178574196800002,0.040849942680000015,0.017900536680000002,0.014687619840000003,0.01055672676,0.27172096704000004,0.016523572320000002,0.20700364212000005,0.01101571488,0.16385875884,0.20057780844000006,0.029834227800000012,0.7981803406800001,0.4897403240400001,0.16707167568000006,,0.3267995414400001,0.10051839828000002,0.033506132760000015,0.4218100822800001,0.091797624,0.043603871400000015,0.07022518236000001,0.061045419960000014,0.004130893080000001,0.008720774280000001,0.0027539287200000003,0.0004589881200000001,0.08537179032000003
Hunan,0.042998688000000014,0.054356832000000015,0.18010771200000006,0.025555824000000005,0.018659808000000003,0.007301664000000002,0.009329904000000002,0.10181764800000001,0.015414624000000004,0.077884416,0.008924256000000002,0.05881896,0.133052544,0.021499344000000004,,0.8510495040000001,0.109119312,0.6608005920000001,0.4965131520000001,0.10749672000000003,0.06896016000000002,0.17361734400000006,0.034885728000000005,0.07382793600000001,0.318028032,0.29287785600000005,0.00405648,0.009735552,0.0032451840000000012,0.001216944,0.079912656
Guangdong,0.15870545460000002,0.2329054074,1.0965104136,0.1071777096,0.11542214880000005,0.0350388666,0.037099976400000005,0.4184052894,0.0845055018,0.24939428579999998,0.0680166234,0.35244977580000003,1.0655937666,0.10305549,4.2706195056,,0.27412760340000003,1.1047548528000002,2.2136319252,1.0346771196,0.29679981120000004,0.5255829989999999,0.13397213700000002,0.35244977580000003,4.8003247242,0.6080273910000001,0.016488878400000004,0.030916647,0.010305549,0.004122219600000001,0.16694989380000005
Guangxi,0.04347281016,0.04651867583999999,0.08860700159999997,0.02049036912,0.01993657536,0.00886070016,0.006091731360000001,0.04485729456,0.0124603596,0.04347281016,0.01079897832,0.03710418192,0.14813983079999998,0.014398637759999998,0.5562858319199999,0.8320751243999999,0.05482558223999999,0.05759455103999999,0.11851186464000002,0.07725422952000001,0.04347281016,0.07282387943999999,0.02242864728,0.11795807088,,0.20961093816,0.0035996594399999994,0.0035996594399999994,0.00193827816,0.0008306906399999999,0.03904246008
Hainan,0.0476018856,0.037580436,0.061757183160000007,0.025554696480000003,0.02267352972,0.018289145519999998,0.00964564524,0.03056542128,0.021921921000000004,0.04146374772,0.01540797876,0.037079363520000005,0.08756241588000001,0.0131531526,0.06902273412,0.25955554464,0.041964820199999996,0.024552551519999997,0.042591160800000014,0.036954095400000005,,0.04547232756,0.029062203839999995,0.018414413640000002,0.07691462568,0.028686399480000006,0.005887601639999999,0.01139939892,0.0021295580400000004,0.00012526812,0.08330329980000001
Chongqing,0.050348628,0.058740066000000014,0.119005848,0.037380042,0.017545734,0.01144287,0.008391438000000001,0.058740066000000014,0.013731443999999999,0.073997226,0.008391438000000001,0.135788724,4.593930876,0.06102864,0.214363098,0.20215737,0.067894362,0.29675176200000003,0.064080072,0.06636864599999999,0.12968586,,0.040431474,0.34023466799999996,0.17927163000000002,0.669026466,0.008391438000000001,0.016782876000000002,0.008391438000000001,0.008391438000000001,0.04577148
