,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Hunan,Guangdong,Anhui,Inner Mongolia,Jiangsu,Shaanxi,Jilin,Zhejiang,Sichuan,Guizhou,Gansu,Shanghai,Heilongjiang,Jiangxi,Fujian,Yunnan,Chongqing,Hainan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.0100461384,0.0075346038,0.029133801360000003,0.02411073216,0.0050230692,0.005525376120000001,0.2436188562,1.8535125348,0.09192216636,0.00200922768,0.24211193544,0.009041524559999998,0.00200922768,1.4391093257999998,0.025617652919999997,0.04621223664,0.00602768304,0.1532036106,0.00050230692,,0.65450591676,0.028631494439999995,0.02059458372,0.012557673,0.058267602720000006,0.02109689064,0.00050230692,0.00100461384,0.00150692076,,0.02059458372
Shandong,0.40702253759999996,0.14998501728000002,0.34680550464000004,,0.0933921576,0.06272607599999999,0.02509043040000001,0.09171946224,0.10844641584000002,0.038193210719999995,0.64928458224,0.06161094576,0.024532865280000003,0.22218970032,0.03596295024,0.01728451872,0.01979356176,0.10314954720000002,0.01589060592,0.03875077584,0.0334539072,0.018678431519999997,0.01449669312,0.0058544337600000005,0.0223026048,0.008084694239999999,0.004739303520000001,0.008084694239999999,0.007527129120000002,0.00111513024,0.14691840912
Henan,0.19002825504,0.06943340087999998,,0.41660040528000003,0.20830020264000002,0.0274079214,0.11024075052000001,0.7905662661599999,0.58835671272,0.02009914236,1.10179844028,0.121812984,0.00669971412,1.2857360461199998,0.05907929724,0.031062310919999996,0.03715296012,0.33620383584,0.0030453246,0.12607643844,0.13643054208000002,0.03288950568,0.02009914236,0.01035410364,0.03471670043999999,0.07430592023999999,0.005481584279999999,0.007917843959999999,0.01339942824,0.00243625968,0.21256365708
Hubei,0.00547975044,0.0038440040399999992,0.06534806868,0.007442646120000001,0.0016357464000000001,0.0015539590799999998,0.16488323712000003,0.28486523556,0.021837214440000002,0.0009814478399999998,0.030997394280000003,0.01652103864,0.00065429856,0.034596036360000006,0.01275882192,0.006951922199999999,0.003925791359999999,0.026826240959999997,0.00040893660000000003,0.03623178276,0.013085971200000001,0.00547975044,0.05095350036,0.00032714928,0.013085971200000001,,0.00032714928,0.0004907239199999999,0.00040893660000000003,,0.004743664559999999
Hunan,0.012364024679999999,0.007065156959999998,0.04768980948000001,0.01825165548,0.007065156959999998,0.004121341560000001,,3.6638726468400002,0.03591454788,0.0029438154,0.13423798224000003,0.016485366240000004,0.0017662892399999996,0.56344626756,0.032970732480000015,0.25552317671999997,0.0088314462,0.049456098719999994,0.0005887630800000001,0.27612988452000004,0.14189190228,0.06829651728,0.0824268312,0.0176628924,0.29261525076,0.09008075123999999,0.0005887630800000001,0.0005887630800000001,0.0017662892399999996,0.00117752616,0.04297970484
Guangdong,0.01476849672,0.005478635880000001,0.07360428204,0.025725768480000005,0.00976626396,0.013815690480000002,0.4409110875600001,,0.03168080748000001,0.0033348218400000014,0.049784126039999994,0.01691231076,0.0073842483600000015,0.09361321308000002,0.07217507268000001,0.13672769544000002,0.012862884240000002,0.025963970040000003,0.005478635880000001,0.23772515688000004,0.16102425456,0.053595351000000006,0.03787404804000001,0.07765370856,0.6493374525600001,0.015959504520000004,0.007146046800000002,0.0011910078000000005,0.0026202171600000004,0.00023820156000000004,0.02143814040000001
Guangxi,0.00790228224,0.0014816779199999998,0.02024959824,0.008890067520000001,0.00197557056,0.003457248480000001,0.13582047600000002,4.21487978976,0.008890067520000001,0.00098778528,0.024200739359999997,0.00642060432,0.00197557056,0.06568772112000001,0.031115236320000007,0.16347846384,0.0029633558399999997,0.0098778528,0.0014816779199999998,0.035066377440000004,0.029633558400000006,0.10668081024000002,0.01284120864,0.019261812960000003,,0.00642060432,,,0.00049389264,,0.008396174880000001
Hainan,0.018014383800000002,0.00384102,0.019397151,0.007144297200000002,0.0101018826,0.0095257296,0.0133283394,0.1211073606,0.0024582528,0.0047244546000000005,0.006145632,0.0091032174,0.0099098316,0.011983982399999999,0.024006375,0.0189746388,0.004801275000000001,0.008335013399999999,0.0095641398,0.012291264,0.0049549158,0.0030344058000000003,0.0149031576,,0.0143270046,0.0018820998000000002,0.0012291264,0.000576153,0.0008066141999999999,3.84102e-05,0.016670026799999998
Chongqing,0.009748965600000005,0.003323511000000001,0.0212704704,0.011299937400000005,0.005982319800000001,0.0037666458000000006,0.12075423300000003,0.3505196268000001,0.015952852800000004,0.0015509718000000007,0.06935059620000003,0.036337053599999995,0.0008862696000000002,0.27164163240000005,0.5825006946,0.2798396262,0.007976426400000002,0.031241003400000005,0.0006647022,0.038331160200000006,0.1247424462,0.09283674060000004,,0.008419561200000002,0.0418762386,0.06004476540000001,0.0011078370000000002,0.0006647022,0.0028803762000000005,0.0035450784000000007,0.013072476600000002
Sichuan,0.02379192264,0.0075931668,0.08706831264,0.032903722800000014,0.01974223368,0.0151863336,0.08352483480000003,0.9572452279200001,0.033916145040000005,0.0045559000799999996,0.24601860432000006,0.19033538112,0.0020248444800000003,0.59429185488,,0.4986179532,0.05669564544000001,0.0708695568,0.0020248444800000003,0.04100310072000001,0.18982917,0.5112732312,1.12024520856,0.0177173892,0.13110868007999998,0.0151863336,0.008099377920000001,0.0025310556,0.01316148912,0.037965834,0.03948446736
Guizhou,0.003974158079999999,0.00264943872,0.010266575040000002,0.007948316159999998,0.00231825888,0.0016558992,0.27852224544000004,0.7650254304,0.01523427264,0.00132471936,0.10498400927999997,0.0072859564799999995,0.0006623596799999999,0.654080184,0.20003262336,,0.00264943872,0.032786804159999995,,0.10034749151999997,0.182148912,0.4437809856,0.2136109968,0.0066235968,0.24540426144000002,0.004967697599999999,0.00033117984,0.00033117984,0.00033117984,0.00033117984,0.017221351679999997
Yunnan,0.008012293200000001,0.001863324,0.0141612624,0.0106209468,0.0039129804,0.0026086536000000005,0.06745232880000003,0.25825670640000004,0.0119252736,0.000931662,0.05813570880000001,0.0106209468,0.0016769916,0.3171377448,0.3545905572000001,0.4421667852000001,0.0042856452,0.019937566800000004,0.0014906592,0.0218008908,0.048260091600000006,,0.037266480000000005,0.0033539832,0.14366228039999998,0.0033539832,0.0007453296000000001,0.0007453296000000001,0.0007453296000000001,0.0026086536000000005,0.0078259608
Tibet,0.00022609368,9.65034e-05,0.00061486452,0.00025918055999999995,0.00015991992,0.0001930068,0.00025918055999999995,0.00032259707999999994,9.65034e-05,6.341651999999999e-05,9.65034e-05,0.0001930068,3.0329640000000005e-05,0.0002895102,0.01075599324,0.00025918055999999995,0.0026221352399999997,0.00012959027999999998,,0.00032259707999999994,9.65034e-05,0.0019741838399999997,0.0010367222399999998,3.0329640000000005e-05,0.00012959027999999998,0.00012959027999999998,0.0002895102,,0.0067690242,,9.65034e-05
Shaanxi,0.04176921816,0.00968791752,0.09878499504,0.039069306719999995,0.24442139448000005,0.00587627784,0.022075746480000002,0.13515439031999998,0.028904934240000006,0.14023657656000002,0.15500668031999998,,0.00365282136,0.12641938272,0.08750889431999999,0.021599291519999998,0.17088851232000002,0.0341459388,0.0015881832,0.01159373736,0.019217016719999997,0.01699356024,0.02429920296,0.00444691296,0.011434919040000002,0.020169926640000002,0.00301754808,0.042880946400000015,0.01445246712,0.0026999114399999997,0.047645496
Gansu,0.011132235,0.01220092956,0.02680642188,0.017811576000000003,0.008905788000000001,0.0023155048800000003,0.006679341,0.041590029960000004,0.008905788000000001,0.04221343512,0.0774803556,0.22362433668,0.00053434728,0.05013958644,0.05129733888,0.00436383612,,0.02680642188,0.00017811576,0.00659028312,0.00961825104,0.0053434728,0.0097963668,0.00160304184,0.0049872412800000005,0.0024045627600000003,0.014160202920000003,0.0895031694,0.10277279352,0.0037404309600000004,0.02564866944
Qinghai,0.0013154594400000001,0.00058124952,0.00264621492,0.00079539408,0.0017437485599999998,0.00032121684,0.0006730257600000001,0.0028450634399999996,0.0007342099199999999,0.00157549212,0.0029980238399999995,0.007418579399999998,9.177624e-05,0.002676807,0.00951413688,0.0012236832,0.095217849,0.00090246636,,0.000382401,0.00032121684,0.0007342099199999999,0.000764802,0.00021414456000000005,0.00041299307999999996,0.00024473664,0.00215674164,0.0033651288,,0.008519894279999999,0.00232499808
Ningxia,0.0038235758400000006,0.0019768147199999996,0.0055923048000000005,0.0022109112000000004,0.0035894793600000008,0.0004942036799999999,0.0016126646400000002,0.00548826192,0.00200282544,0.061073170560000015,0.00522815472,0.052073461439999996,0.00033813936,0.006606722880000001,0.003953629439999999,0.0008843644800000001,0.08502904367999999,0.002835168480000001,0.00010404288000000004,0.0007543108800000001,0.0014826110399999998,0.0013785681600000002,0.0005982465600000001,0.00015606432,0.0005462251200000001,0.0004942036799999999,0.0010664395199999998,,0.003979640160000001,5.202144000000001e-05,0.004291768800000001
Xinjiang,0.0020365344000000006,0.00128980512,0.004729285440000001,0.0038128449600000006,0.0011314080000000002,0.00035073648,0.0011879784000000007,0.01236628944,0.0011314080000000002,0.006697935360000002,0.004333292640000001,0.0058946356799999995,0.00019233936000000006,0.003529992960000001,0.009809307360000002,0.0007127870399999999,0.032301698400000016,0.00375627456,0.0002489097600000001,0.0006109603200000001,0.00106352352,0.0006788448000000001,0.0014482022400000006,0.0009616968000000002,0.0009956390400000005,0.00041862096000000015,,0.0015500289600000002,0.0030774297600000004,2.2628160000000005e-05,0.0066074227200000005
Taiwan,0.00022499532000000002,0.00012826835999999998,0.00012826835999999998,0.00038690783999999987,,3.15414e-05,3.15414e-05,0.00391954464,0.0004520933999999999,,0.004697565839999999,,,0.00236350224,0.0005488203599999999,3.15414e-05,3.15414e-05,0.003433807079999999,,0.00016191252,0.0029480695199999994,6.308279999999999e-05,0.00022499532000000002,3.15414e-05,,,,,,,0.0006476500799999999
Hong Kong,3.00348e-05,0.000125145,9.51102e-05,0.00045052199999999997,3.00348e-05,6.0069599999999985e-05,0.00029033639999999995,0.039620907,3.00348e-05,6.0069599999999985e-05,0.0005155973999999999,3.00348e-05,,0.0003554118,0.0001902204,0.0001902204,,0.0010362006,6.0069599999999985e-05,6.0069599999999985e-05,0.0012914964,9.51102e-05,0.00016018559999999999,0.0001902204,0.00029033639999999995,3.00348e-05,,,,,0.0004855626
Macau,0.00015807636000000002,2.8372680000000012e-05,6.07986e-05,6.07986e-05,,2.8372680000000012e-05,0.0003202059600000001,0.035024046839999996,2.8372680000000012e-05,2.8372680000000012e-05,0.00022292820000000005,2.8372680000000012e-05,2.8372680000000012e-05,6.07986e-05,2.8372680000000012e-05,6.07986e-05,,0.00028778004,2.8372680000000012e-05,0.00022292820000000005,0.0006444651600000001,6.07986e-05,2.8372680000000012e-05,6.07986e-05,0.00019050228,,,,,,0.00022292820000000005
