,Hebei,Henan,Tianjin,Shandong,Shanxi,Heilongjiang,Liaoning,Inner Mongolia,Jilin,Anhui,Hunan,Shaanxi,Guangdong,Gansu,Jiangsu,Sichuan,Shanghai,Zhejiang,Guizhou,Fujian,Chongqing,Jiangxi,Hainan,Guangxi,Yunnan,Xinjiang,Ningxia,Hubei,Qinghai,Tibet,Beijing
Zhejiang,0.01839599424,0.05754644352,0.014622456960000004,0.04276675584,0.008647689600000001,0.015723072,0.01792430208,0.00455969088,0.014622456960000004,0.1226399616,0.03883598784,0.021226147200000003,0.11886642432,0.0149369184,0.25298422848,0.0455969088,0.4001521824,,0.04748367744,0.08490458880000001,0.02232676224,0.07578520704,0.007075382400000002,0.022641223680000003,0.025471376640000005,0.00361630656,0.00455969088,0.00581753664,0.0047169216,0.00062892288,0.05078552256
Anhui,0.0473117436,0.28989195624,0.04215046248,0.07612889651999999,0.01548384336,0.0086021352,0.028387046160000005,0.00688170816,0.00903224196,,0.030537579959999995,0.039139715160000005,0.24215010588,0.010752669,1.3815029131199998,0.04043003543999999,0.97376170464,0.58580540712,0.01333330956,0.09419338044,0.014623629840000001,0.08086007087999998,0.00903224196,0.022795658280000002,0.01333330956,0.010752669,0.0060214946400000005,0.018494590680000002,0.00473117436,0.00043010676,0.17591366483999998
Fujian,0.01034798328,0.02058928632,0.00704089584,0.016962158159999997,0.00661417488,0.004800610800000001,0.00885445992,0.0034137676799999997,0.003627128160000001,0.0218694492,0.028483624080000002,0.01184150664,0.33092210448000003,0.005334012,0.06710187096,0.03179071152,0.10913388552000002,0.10497335616,0.033604275600000004,,0.0165354372,0.07403608656,0.0096012216,0.037978165439999996,0.022402850400000004,0.0017068838399999999,0.00117348264,0.004480570079999999,0.00117348264,,0.051633236160000005
Jiangxi,0.013347996479999995,0.01950861024,0.011037766319999998,0.01822514904,0.005903921519999999,0.0038503836,0.008470843919999999,0.00231023016,0.0030803068799999988,0.06673998240000001,0.14092403976,0.014631457679999996,0.98082104904,0.012834612,0.13168311911999994,0.032086529999999995,0.21331125144000002,0.31675822415999993,0.0269526852,0.32574245255999995,0.021048763679999995,,0.017455072319999997,0.0436376808,0.02618260848,0.00231023016,0.00205353792,0.0218188404,0.00205353792,0.00025669224,0.07675097976
Shandong,0.29364674039999994,0.1843309548,0.24568165079999998,,0.0479650896,0.0674857656,0.108758052,0.030675347999999998,0.0409934196,0.059956361999999985,0.019520676,0.0658125648,0.11851839,0.015616540800000004,0.3971063232,0.050196024000000006,0.2236511736,0.108758052,0.011154672,0.035416083599999995,0.016732008,0.022588210800000005,0.007808270400000002,0.016732008,0.01394334,0.0119912724,0.0103180716,0.006135069599999999,0.011154672,0.0005577336,0.539607258
Henan,0.16261078859999994,,0.07980897599999999,0.206173188,0.1044167436,0.0093110472,0.0355815018,0.0142991082,0.011638808999999998,0.342513522,0.0621844938,0.14265854460000002,0.44227474200000005,0.0302609034,0.2929654494,0.0704979288,0.28697977620000004,0.22313259539999994,0.0226125432,0.06584240519999998,0.0262704546,0.0355815018,0.0113062716,0.031591052999999994,0.025272842400000002,0.0359140392,0.011971346399999996,0.064844793,0.0176244822,0.0023277618,0.4509207143999999
Hubei,0.0021493836000000006,0.05446207368,0.00079361856,0.0027776649600000005,0.00142189992,0.0005621464800000001,0.0006944162400000001,0.0004629441600000002,0.0007605511200000001,0.015144887520000002,0.08749644624000001,0.016632922320000004,0.035580565439999996,0.0009258883200000004,0.0069441624,0.014814213120000003,0.00383582304,0.00591907176,0.0013226976000000005,0.0034059463200000004,0.049799564640000016,0.01742654088,0.00029760696,0.00142189992,0.00105815808,0.0003637418400000001,0.0003306744000000001,,0.00013226976000000002,,0.00317447424
Hunan,0.016238475000000002,0.027785835,0.010103940000000002,0.01732104,0.006134535000000001,0.002525985000000001,0.0072171000000000015,0.003247695,0.0028868400000000003,0.024538140000000003,,0.018403605000000003,2.111362605,0.00649539,0.076862115,0.055932525,0.09526572,0.12521668500000002,0.16058047500000006,0.076862115,0.07000587000000001,0.1226907,0.023455575000000003,0.28218861,0.05268483,0.00433026,0.0014434200000000002,0.09310059,0.002525985000000001,0.000360855,0.1010394
Guangdong,0.02006060904,0.08278175376000001,0.00812581632,0.03021787944,0.01422017856,0.028186425360000003,0.02590103952,0.00939547512,0.02133026784,0.03529651464,0.39587961384,0.033011128800000004,,0.01802915496,0.04773917088,0.11604681432,0.05408746488,0.04926276144,0.11325356496,0.12087151776,0.05408746488,0.15743769119999998,0.07948064088000001,0.5505240556800001,0.039867286320000014,0.013712315039999999,0.004570771679999999,0.0215841996,0.0071100892800000015,0.00025393176,0.054341396640000005
Guangxi,0.014858160480000004,0.01879120296,0.003933042479999999,0.008740094399999999,0.00524405664,0.005681061360000001,0.005681061360000001,0.0028405306800000003,0.006118066080000001,0.00917709912,0.11733576732,0.009832606200000002,1.47073938516,0.004370047199999999,0.02578327848,0.06052515372,0.02709429264,0.042607960199999996,0.11733576732,0.0284053068,0.023161250159999997,0.02490926904,0.02556477612,,0.07429080240000001,0.0017480188800000002,0.00131101416,0.004588549559999999,0.00240352596,,0.033649363439999996
