,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Shanghai,Anhui,Sichuan,Hubei,Heilongjiang,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.14599788624,0.040743596160000006,1.50411775824,0.32934406895999996,0.07978954247999999,0.08318484216,0.030557697119999998,1.7349981364800002,0.35480881656,1.5788143512000004,2.18487534408,0.6722693366399999,1.05593820048,0.07130129328,0.20202033096000002,,0.050929495199999994,1.0151946043200002,0.04413889584,1.9760644137599999,0.5194808510400001,0.6060609928799999,0.08827779168,0.4787372548800001,0.17825323320000006,1.67048744256,0.020371798080000003,0.013581198720000002,0.005092949520000001,,0.18843913224
Anhui,0.105150474,0.034019271000000004,0.7948138770000001,0.2795765544,0.043297254,0.0321636744,0.0142262406,2.3337219906,0.1348400196,0.5109075972,,0.0698941386,0.2461758156,0.024122755800000003,0.0754609284,0.6946116606000001,0.016700369399999998,0.09463542660000003,0.024122755800000003,0.1973117718,0.0853574436,0.051338172599999995,0.027215416800000003,0.0395860608,0.027833949000000004,0.043297254,0.009277983,0.006185321999999999,0.0043297254000000005,0.0018555966000000001,0.1478291958
Fujian,0.05317752384,0.02326516668,0.24879484368000002,0.08973707148,0.037034346960000006,0.03038715648,0.01234478232,0.15241058171999994,0.5569396023600001,0.12297302388,0.16950335724,0.30292196615999994,0.26683721784000003,0.02516436396,0.06647190480000001,0.42826898664000007,0.01804237416,0.284879592,0.02801315988,0.69273220788,,0.26208922464,0.03418555104,0.13816660212,0.12059902728,0.43586577576,0.01139518368,0.00617239116,0.00284879592,0.0014243979599999998,0.08451427896
Jiangxi,0.05999174927999999,0.01698561576,0.17419291055999997,0.08384389056,0.03288704328,0.02493632952,0.014817239279999997,0.17455430664000002,0.5673918456,0.1337165496,0.20274320088000006,0.0758931768,0.29959735032,0.02204516088,0.04409032176,0.4300613352000001,0.01770840792,0.4907758766400001,0.0307186668,,0.28947826008000005,0.05710058064000001,0.034694023680000005,0.05095684728,0.0740861964,0.09576996119999999,0.009396298079999999,0.007950713759999999,0.006866525520000001,0.0021683764800000003,0.0740861964
Shandong,1.30416575256,0.35658661104,1.26072372888,,0.26155718424,0.33486559920000003,0.10317480624,1.4887943532,0.19367902224000005,0.2669874372,0.4660967124000001,0.23259583512,0.23802608808000003,0.23621600376,0.2081596968,0.31585971384,0.15204708288,0.13394623968,0.054302529599999996,0.12037060728,0.11856052295999998,0.08145379440000003,0.07511849928,0.08507396303999999,0.06516303552,0.07783362576,0.035296644239999994,0.025341180480000003,0.01538571672,0.00090504216,0.7213186015199999
Henan,0.6026818802399999,0.110651508,,0.92430893016,0.4352292648000001,0.06639090480000001,0.047211310080000006,0.6985798538400001,0.3282661404000001,0.23826958056000005,0.8461151978400001,0.17630473608000002,0.6616960178400001,0.03983454288,0.42195108384,0.30539816208000004,0.028031715360000004,0.20138574456,0.07007928840000001,0.11655292176000005,0.11581524504000006,0.08188211592000001,0.08040676247999999,0.06270252120000001,0.07524302544000001,0.06417787464000001,0.044998279919999995,0.028031715360000004,0.022130301600000003,0.00221303016,0.4632609801600001
Hubei,0.13727314943999994,0.030740705279999992,0.7425470361599998,0.16854386687999998,0.08427193343999999,0.04081093631999999,0.0291506688,0.25917594623999995,0.42294970368,0.12932296703999996,0.29733682176,0.20829477888,,0.028620656639999995,0.18073414655999995,0.22843524095999995,0.01961044992,0.7043861606399998,0.04611105791999999,0.3487480012799999,0.13250304,0.3736585727999999,0.06837156863999999,0.08851203071999998,0.12720291839999998,0.14840340479999994,0.031270717439999984,0.017490401279999998,0.015900364799999997,0.00371008512,0.16483378175999994
Hunan,0.08796767832,0.02125061892,0.20805838524,0.09340388315999999,0.04151283696000001,0.03113462772,0.01877961672,0.14183552627999998,1.1465450208,0.08055467172,0.1161371034,0.13689352187999998,0.6854560102799999,0.025204222440000004,0.07709526864,0.1507311342,0.021744819359999997,,0.0568330506,0.44379199511999995,0.10971249767999999,0.18483096456,0.037065033,0.10328789196,0.36373152384,0.35285911416,0.02273322024,0.01136661012,0.00938980836,0.006918806160000002,0.13293991836
Guangdong,0.13646238479999998,0.05198567039999999,1.0960312175999998,0.2036105424,0.07581243599999997,0.0953070624,0.032491044,0.31191402239999994,,0.25776228239999993,0.3379068576,1.3992809616,1.8324948816,0.0801445752,0.24476586479999995,0.3444050664,0.06064994880000001,4.070044778399999,0.2361015864,1.8974769696,0.6844779936000001,0.8339367959999999,0.0714802968,0.6064994879999999,3.942246672,1.3126381775999998,0.0368231832,0.0151624872,0.0086642784,0.0021660696,0.281589048
Guangxi,0.052769452320000014,0.013868894519999998,0.0947144016,0.06832967544,0.023002068960000004,0.023002068960000004,0.00913317444,0.05851996956,1.2380525352,0.03145871196,0.04532760648,0.1386889452,0.1082450304,0.01420716024,0.047018935080000004,0.06562354967999999,0.011501034480000002,0.40321273824,0.05378424948,0.09031694724,0.06799140971999999,0.08693429004,0.01995767748,0.21885792084000003,,0.31695497964,0.004735720080000001,0.00541225152,0.00405918864,0.00033826572,0.05006332656
