,Hebei,Henan,Shandong,Tianjin,Shanxi,Anhui,Sichuan,Jiangsu,Inner Mongolia,Guangdong,Hubei,Liaoning,Heilongjiang,Shaanxi,Hainan,Hunan,Zhejiang,Shanghai,Gansu,Jiangxi,Jilin,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.02238517944,0.10128739608,0.05563049543999999,0.007092334079999998,0.01484957448,0.14295485879999995,0.04366218168,0.09596814551999998,0.00820051128,0.38808365544,0.1894983012,0.011525042879999996,0.01019523024,0.025266440159999997,0.0188390124,0.30740835527999993,0.29455349975999995,0.07070170535999999,0.02260681488,,0.007757240399999999,0.16977274703999998,0.03391022232,0.03014241984,0.04144582728,0.06649063200000001,0.00576252144,0.00376780248,0.00576252144,0.0006649063199999999,0.01640102256
Shandong,0.3742964316,0.7510607517600001,,0.12133785420000005,0.12791889035999998,0.24925674456,0.12092653944,0.8822701601999999,0.05429354832,0.1007721162,0.10529657856000002,0.08267426675999999,0.10406263428,0.11845865088000003,0.018509164200000004,0.06786693540000001,0.18221243868,0.11146629996,0.041954105520000014,0.057584066399999995,0.07033482396000001,0.052236974520000014,0.04154279076,0.046478567879999995,0.032493866040000007,0.0390749022,0.020977052760000003,0.01110549852,0.009871554240000002,0.00041131476000000013,0.10858709664
Henan,0.11830396032,,0.5499184089600001,0.033476120639999996,0.23530787711999998,0.52521758208,0.07865263296,0.26033371488,0.019175641919999997,0.15795528768000006,0.32891101056,0.01852562016,0.012675424320000002,0.19240644096,0.02340078336,0.07767760032000001,0.15828029855999998,0.08515285055999999,0.033151109760000005,0.047776599360000005,0.00845028288,0.050701697280000006,0.0373762512,0.0260008704,0.0308760336,0.026975903039999995,0.021775728959999997,0.0097503264,0.0097503264,0.0026000870400000003,0.06532718687999997
Hubei,0.02185839432,0.38207581092,0.06892085556,0.008029614240000002,0.02252752884,0.13092732108000002,0.07248957300000003,0.10661543352,0.008475703920000001,0.20943910476000005,,0.010037017800000004,0.008475703920000001,0.07672742496000001,0.016505318159999997,0.35776392335999996,0.09546319152000002,0.050185089,0.01762054236,0.1828967688,0.0066913452000000005,0.0513003132,0.16460709192000006,0.026319291119999998,0.043493743800000005,0.04393983348,0.008475703920000001,0.0046839416400000005,0.0035687174400000007,0.0011152242000000002,0.025204066919999997
Hunan,0.02710068192,0.10892389463999998,0.04534152552,0.00833867136,0.019543761,0.050813778600000005,0.06097653431999999,0.06488528652,0.00990217224,0.6845528019599999,0.38618471736000004,0.011465673119999999,0.01120508964,0.03726343764,0.026058348,,0.08182321272000001,0.04065102288,0.01902259404,0.273612654,0.00964158876,0.050813778600000005,0.09407063627999998,0.049510861199999985,0.18397193688,0.19778286132,0.00833867136,0.005993420039999999,0.006254003519999999,0.0026058348000000003,0.02423426364
Guangdong,0.038620333439999995,0.7212915216,0.11018153952,0.02044605888,0.042028009920000005,0.16811203968000002,0.62701247232,0.17265560832,0.01817427456,,0.8973548064000001,0.030669088320000006,0.04089211776,0.13176349056,0.16356847104,2.21385381984,0.18060685344,0.13403527488,0.042028009920000005,1.01889526752,0.02498962752,0.40551350112,0.4191442070400001,0.36234959904,2.30813286912,0.8541909043199999,0.015902490240000004,0.007951245120000002,0.005679460799999999,0.00113589216,0.06020228448
Guangxi,0.026307685440000003,0.08428202927999999,0.051641012159999986,0.0063333316799999975,0.0158333292,0.03848716944,0.08964100223999999,0.0450640908,0.00682051104,0.9195510419999998,0.07526921111999997,0.012179484,0.015346149839999997,0.02996153064,0.0389743488,0.27817941455999995,0.04798716695999999,0.02606409576,0.01120512528,0.0657692136,0.010230766559999998,0.04701280823999999,0.059679471599999985,0.16296149591999998,,0.24261532128000002,0.00389743488,0.00389743488,0.0029230761599999995,0.00048717936,0.012910253039999998
Hainan,0.016587908999999998,0.05557418099999999,0.029427138000000005,0.011995776,0.016587908999999998,0.024178986000000003,0.071318637,0.028489967999999997,0.013401531,0.187246566,0.035050158000000005,0.010964888999999998,0.024835005,0.024928722000000004,,0.054168426000000006,0.031582629,0.034394139,0.008996832,0.025772175,0.016306758,0.021648627,0.036174762,0.021180042000000003,0.04948257599999999,0.033550686,0.010027719,0.005904171000000001,0.00281151,0.0006560190000000001,0.032051214
Chongqing,0.015476783400000003,0.055954524600000013,0.035477549640000015,0.008095548240000002,0.018334035720000003,0.02785821012,1.13123381436,0.047620872000000015,0.007143130800000001,0.09905141376,0.15881560812,0.0057145046400000005,0.0050001915600000005,0.050001915600000016,0.026191479600000008,0.08476515216000001,0.04738276764000001,0.031905984240000004,0.02809631448,0.02714389704,0.004523982839999999,0.029524940640000007,,0.08166979548000003,0.03381081912,0.26381963088000004,0.017619722640000002,0.007143130800000001,0.008095548240000002,0.004523982839999999,0.015000574680000003
Sichuan,0.034262766720000004,0.10818151344,0.05424938064,0.011738170079999999,0.034580014560000004,0.039655980000000014,,0.06789103776000001,0.01364165712,0.16306538975999998,0.07836021648000001,0.01142092224,0.013324409280000001,0.15513419375999998,0.0460009368,0.05615286767999999,0.06789103776000001,0.04822167168000001,0.10437453936,0.0380697408,0.00983468304,0.0380697408,1.05516631584,0.46984405104,0.0444146976,0.25792249392000005,0.0364835016,0.0111036744,0.02982129696,0.033311023200000005,0.035214510239999997
Guizhou,0.00393156504,0.0287306676,0.014214119759999998,0.0031754948399999997,0.0042339931200000005,0.014667761880000001,0.26129786112,0.024496674480000005,0.0015121403999999998,0.10766439648,0.032359804560000004,0.0022682106,0.00196578252,0.016935972480000002,0.01013134068,0.17283764772,0.043247215439999986,0.0128531934,0.00483884928,0.02404303236,0.00241942464,0.02888188164,0.23997668147999995,0.30741814331999995,0.13639506408,,0.0013609263599999998,0.00060485616,0.0007560701999999999,0.00030242808,0.006199775639999999
Yunnan,0.012813471000000002,0.05090283,0.029313008999999998,0.007196607,0.009478458,0.017201646,0.5014806390000001,0.036860670000000005,0.005792391,0.09987486300000002,0.045637020000000014,0.006318972,0.007372134,0.027733266000000003,0.01228689,0.07863609600000003,0.045988074,0.029664063,0.009829512000000002,0.031945914000000006,0.005967918000000001,0.032121441,0.105491727,,0.119533887,0.391600737,0.005792391,0.002106324,0.002632905,0.004739229,0.016148483999999998
Tibet,0.0011795738399999998,0.008745116399999999,0.00280657224,0.00046776204000000004,0.00158632344,0.0027862347600000003,0.08519370372000001,0.00270488484,0.00028472472000000003,0.0019930730399999996,0.00404715852,0.0008948491199999999,0.0006101244,0.0092535534,0.0005084369999999999,0.00309129696,0.00126092376,0.0011185614,0.010982239199999999,0.0010168739999999999,0.00038641212,0.00128126124,0.01376847396,0.009456928199999999,0.0005694494400000001,0.0017693607599999996,0.0013422736800000003,0.0005084369999999999,0.03219423084,,0.00126092376
Shaanxi,0.0400549374,0.27747554399999996,0.09152217539999999,0.0138737772,0.306565722,0.0642221622,0.2143722348,0.0821238102,0.1996033752,0.060418062000000015,0.107409888,0.014992630200000003,0.0116360712,,0.0138737772,0.041397561000000006,0.04027870800000001,0.024167224800000005,0.2967198156,0.0230483718,0.009622135799999999,0.0250623072,0.0472155966,0.019244271599999998,0.0154401714,0.019691812800000003,0.029985260400000005,0.0908508636,0.0205868952,0.003580329600000001,0.029537719200000007
Gansu,0.0077579985600000016,0.04943237544,0.02267722656,0.004475768400000001,0.01113969024,0.0134273052,0.07986760056,0.030037379040000006,0.048338298720000006,0.019792842480000003,0.01909661184,0.0027849225600000004,0.0034811532,0.25740641376,0.005370922080000001,0.010145075040000002,0.01631168928,0.0134273052,,0.00566930664,0.00228761496,0.00865315224,0.01153753632,0.0077579985600000016,0.00457522992,0.00566930664,0.048636683279999995,0.12790751472,0.13994235864000001,0.00417738384,0.01133861328
Qinghai,0.0024850929600000004,0.026327579040000004,0.009003960000000002,0.0006122692800000001,0.00363759984,0.005258312639999999,0.03565568160000001,0.00835567488,0.0024850929600000004,0.0063027720000000025,0.008319659040000002,0.00111649104,0.0006122692800000001,0.024526787039999998,0.00187282368,0.00417783744,0.0050422176,0.0023410296000000003,0.16704146592000005,0.00205290288,0.00028812672000000004,0.0026291563199999997,0.0034215048000000004,0.0017647761600000005,0.0006122692800000001,0.0011885227200000002,0.007671373920000002,0.0076353580800000015,,0.01390211424,0.003241425600000001
Ningxia,0.003948497279999999,0.020754921599999997,0.009820621440000002,0.00172113984,0.008150103359999999,0.006479585279999999,0.01093430016,0.011238030719999998,0.12670626527999998,0.0076945075199999985,0.0061758547199999994,0.0012149222399999995,0.0013161657599999998,0.09000548927999999,0.0017717615999999995,0.0035941449599999993,0.007238911679999999,0.004758445439999997,0.14801802624000002,0.00222735744,0.0010124352,0.0027841968,0.0045559584,0.00232860096,0.0010630569599999998,0.00096181344,0.005315284799999999,,0.008150103359999999,0.00020248704,0.005264663039999999
Xinjiang,0.007079412960000002,0.06491364948000003,0.026033970240000003,0.003596798520000001,0.007992885600000001,0.01301698512,0.05783423652000001,0.021923343360000003,0.008392529880000001,0.014044641840000005,0.013930457759999999,0.0024549577200000004,0.0036538905600000007,0.05269595292000001,0.00844962192,0.01204642044,0.015586126920000004,0.00993401496,0.14592725424000005,0.0039964428000000005,0.0019982214,0.006108848280000002,0.020496042360000005,0.005537927880000002,0.0022836816000000003,0.003368430360000001,,0.007764517440000001,0.011132947800000004,0.0005709204000000001,0.017298888119999998
Taiwan,3.229632e-05,,0.00012954815999999998,3.229632e-05,3.229632e-05,3.229632e-05,6.477407999999999e-05,0.00012954815999999998,3.229632e-05,0.00016184448,,3.229632e-05,,,,,9.70704e-05,0.0004536,,,,0.00042112224,,,,,,,,,
Hong Kong,,,6.341328e-05,3.170664e-05,,,3.170664e-05,,,0.0134451252,,,,3.170664e-05,,3.170664e-05,3.170664e-05,0.00071264448,,3.170664e-05,,0.00025818263999999997,,6.341328e-05,3.170664e-05,,,,,,0.00016155288000000004
Macau,0.00024363180000000004,0.00030860028000000004,0.0008283481200000003,0.00037356876000000007,0.00014617908,0.00024363180000000004,0.0007958638799999999,0.00180287532,1.6242120000000006e-05,0.14699118600000002,0.00066592692,0.00011369484000000004,0.00011369484000000004,0.00011369484000000004,0.00043853724000000014,0.0005684742,0.0013805802000000002,0.00358950852,,0.00034108452000000005,1.6242120000000006e-05,0.0006334426800000001,0.00017866332000000002,8.12106e-05,0.00115319052,0.00027611603999999997,,,1.6242120000000006e-05,,0.0005035057200000001
