,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Sichuan,Anhui,Heilongjiang,Zhejiang,Shaanxi,Hubei,Jilin,Hainan,Hunan,Gansu,Jiangxi,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.13506756479999998,0.042208614000000005,0.316564605,1.0735057493999998,0.05768510579999999,0.36018017280000003,1.68834456,0.077382459,0.026732122200000003,1.9964674422,0.5796649656,1.653170715,0.06612682859999999,,0.18009008640000002,0.7006629924000001,0.049243383,0.0464294754,0.6443848404,0.08019636659999999,1.3140948492,0.4347487242,0.3883192488,0.45022521600000004,0.1435092876,1.2690723276,0.019697353200000003,0.0112556304,0.0056278152000000005,,0.1997874396
Anhui,0.09372532032,0.035062709760000005,0.27915311231999995,0.7019284780799999,0.03236557824,0.14025083904000002,2.7119657433599995,0.028994163839999997,0.01146280896,0.7484539968,0.06540543936000001,,0.0235999008,0.80307091008,0.060011176320000005,0.235999008,0.016857072,0.02292561792,0.07484539968000001,0.02157705216,0.18812492352,0.0809139456,0.043828387200000006,0.04315410432,0.02764559808,0.04180553856,0.008765677440000001,0.0060685459200000005,0.0033714144000000002,0.0006742828800000001,0.17396498304000002
Fujian,0.04244786208,0.02204023608,0.08367126659999999,0.20530071755999998,0.0244891512,0.62773857576,0.16366916051999994,0.03306035412,0.010203813,0.16040394036,0.28203339131999994,0.13591478916,0.019183168439999995,0.4232541632399999,0.058365810360000006,0.20366810748,0.0163261008,0.02489730372,0.17836265124000003,0.020815778519999998,0.5073335823599999,,0.1857093966,0.11428270559999998,0.08285496156000001,0.29468611944,0.00857120292,0.00530598276,0.0020407626,0.00040815252,0.09428323212
Jiangxi,0.05207874912,0.014717907360000003,0.08226932832,0.14793383808000002,0.02868105024,0.67475944512,0.17548274160000005,0.02302031664,0.01207623168,0.18680420879999998,0.06566450976,0.20227688064,0.018869112,0.4962576456000001,0.03849298848,0.31398202368,0.01396314288,0.039625135200000015,0.47323732896000004,0.031322725919999996,,0.29511291168000003,0.0452858688,0.05245613136,0.06679665648000001,0.09283603104,0.00981193824,0.008302409279999999,0.010189320480000002,0.0037738223999999997,0.07887288816
Shandong,1.2009887593200002,0.34110427428,,1.06689371292,0.16510452588,0.20952351,1.3836932600400005,0.27405675108000005,0.08967606228000001,0.28411387956,0.22377110868,0.40815179748,0.23131395504000002,0.30674241864,0.16091405568,0.18605687688,0.13828551660000002,0.05279992451999999,0.10643794308,0.06620942916000001,0.09470462652,0.10308556692,0.07710465168,0.08716178016000001,0.0670475232,0.0670475232,0.0335237616,0.0251428212,0.01927616292,0.0016761880800000002,0.88335111816
Henan,0.47942307864,0.09411599304,0.76303435968,,0.22928929848000001,0.29940255504,0.5905936476,0.06127014312000001,0.03979401048,0.25960854456000004,0.14275311695999998,0.694816056,0.03663575568,0.2968759512,0.33035345208000005,0.6108064783199999,0.0252660384,0.06948160560000001,0.16107099479999998,0.06316509599999999,0.09348434207999999,0.10232745552,0.07327151136,0.06695500176,0.05621693544,0.06190179408,0.044215567199999986,0.02273943456,0.01958117976,0.0031582548,0.50721572088
Hubei,0.10266673536000002,0.029333352960000007,0.13245842196000002,0.6283754204399999,0.04995836676,0.4134169432800001,0.22916682,0.036208357560000015,0.01741667832,0.14162509476,0.17554178412000002,0.25254183564,0.023375015640000003,0.21908347992,0.16683344496000002,,0.0160416774,0.044000029440000005,0.5889587274000001,0.05591670408,0.31441687704000004,0.09945839987999999,0.28416685680000003,0.07700005152,0.09579173076,0.126041751,0.026583351119999998,0.0137500092,0.012375008280000002,0.003208335480000001,0.18654179148
Hunan,0.06259456440000001,0.02040119136,0.09458734176,0.16691883840000002,0.03292010424,1.2820294116,0.11313387936,0.023646835440000003,0.01669188384,0.09319635144,0.11498853312000001,0.08855971704,0.0185465376,0.150690618,0.06073991064000001,0.63568257624,0.012982576320000005,0.05749426656000001,,0.025037825760000004,0.4270340282400001,0.09319635144,0.13028942664,0.08902338048,0.32039143704,0.32039143704,0.015764556960000002,0.01066425912,0.0074186150400000015,0.00510029784,0.12194348472
Guangdong,0.12173087916,0.052926469199999986,0.19759215167999997,0.9579690925199996,0.07056862559999999,,0.31403038391999993,0.09526764456,0.0264632346,0.27698185548,1.2261298697999998,0.26816077728,0.07762548815999999,0.35989999056,0.23640489576,1.5489813319199996,0.05116225355999999,0.23111224884,2.95682541264,0.06704019432,1.2790563389999998,0.6280607678399999,0.6245323365600001,0.53632155456,2.6957214979199997,0.91562791716,0.02999166588,0.014113725119999997,0.007056862559999998,,0.2999166588
Guangxi,0.04668999408,0.01247198472,0.0591619788,0.07962882552,0.01982725776,1.3863090708,0.05404526711999999,0.017908490880000003,0.006715684079999999,0.0351773928,0.10457279496,0.03965451552,0.014710546079999998,0.06427869047999997,0.03389821488,0.08858307095999997,0.01055321784,0.04700978856,0.34729680527999995,0.0127917792,0.07227355247999999,0.05884218431999999,0.06204012912,0.17908490879999994,,0.26191167912,0.004477122720000001,0.004157328239999999,0.0038375337599999993,0.00031979448,0.052126500239999984
