,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08859669839999999,0.033540178680000005,0.17402922899999998,0.30565860948,0.31641678,1.3194579726000002,0.04682968344,1.25490894948,0.05189235192,0.018352173240000002,,0.13162938048,0.08669819772,0.1771933968,0.6638424044400001,0.026579009520000002,0.16200539136,0.0221491746,0.36071512920000004,0.08606536416,0.45184316184,0.07847136144,0.033540178680000005,0.028477510200000007,0.1455517188,0.055689353280000006,0.01961784036,0.01012533696,0.01012533696,0.00189850068,0.15377855508000002
Anhui,0.08427210839999999,0.033605442,0.2099047608,0.5139047591999999,0.14372789039999995,1.9346394456,0.035156462400000005,0.5206258476,0.0201632652,0.011891156399999998,0.7899863903999998,0.043945578,0.055836734400000004,0.160272108,,0.0082721088,0.0651428568,0.0098231292,0.07599999959999999,0.0315374148,0.16595918279999994,0.0237823128,0.015510204,0.014476190400000003,0.0268843536,0.0237823128,0.009306122399999998,0.0056870748,0.0041360544,0.0015510203999999994,0.1225306116
Fujian,0.0331209648,0.0157001976,0.0434443824,0.06753235680000001,0.4740169248,0.1152781632,0.020861906399999998,0.1210850856,0.0206468352,0.007742563199999998,0.3518564832,0.0714036384,0.0324757512,0.0683926416,0.0628007904,0.0116138448,0.08366269679999999,0.00537678,,0.0438745248,0.2402345304,0.039573100800000004,0.0212920488,0.012474129599999998,0.054197942400000004,0.041938884,0.0083877768,0.0030109968000000004,0.0015054984000000002,0.001075356,0.068822784
Jiangxi,0.02837471796,0.01007700264,0.03951245772,0.05621906736000001,0.58101875748,0.13869137844,0.012463661159999995,0.14532098544000002,0.01007700264,0.0055688698800000005,0.43781924627999996,0.03606506208,0.025988059440000003,0.18218160036,0.14187358979999998,0.006099238440000001,0.32299445304,0.0039777642,0.24503027472,0.024131769480000002,,0.02731398084,0.0172369782,0.00848589696,0.02996582364,0.04269466908,0.0029170270799999997,0.0034473956399999994,0.00185628996,0.00106073712,0.05887091016
Shandong,0.90651219984,0.23919644735999998,,0.70700542848,0.14870398608000002,0.97583683392,0.14129524656,0.21273666336,0.13388650704000002,0.06403267727999999,0.2614226659200001,0.08308372176000002,0.11853983232000002,0.09631361376,0.23390449056,0.07144141680000002,0.06244509024,0.042335654400000006,0.05239037232,0.039689676,0.05503635072000001,0.03228093648,0.021167827200000003,0.030164153760000003,0.028047371039999998,0.03228093648,0.021697022880000003,0.015875870400000002,0.01217150064,0.0021167827200000004,0.44293678416
Henan,0.44694747,0.09952030332,0.7008136329599999,,0.37066843512,0.57447648144,0.4499271198,0.25207837308000003,0.049462186680000006,0.042311027159999993,0.43681666068,0.10905518268,0.33074112780000003,0.44575561008000003,0.5685171818399999,0.0178778988,0.13170052115999994,0.014302319039999997,0.08343019439999999,0.055421486279999994,0.08104647456,0.042311027159999993,0.036351727559999984,0.055421486279999994,0.04409881704,0.04827032676,0.04588660692,0.01906975872,0.01906975872,0.005363369640000001,0.37186029504
Hubei,0.06592477247999998,0.019058820479999995,0.06998648832,0.40242230784,0.4224184473599999,0.17809061759999995,0.03718032191999999,0.11778975935999995,0.01937126016,0.011872707839999998,0.19871163648,0.09654386111999998,0.11872707839999998,,0.15840691776,0.00999806976,0.413982576,0.006248793599999999,0.07623528191999998,0.16215619391999994,0.19933651583999995,0.03843008064,0.025620053759999997,0.0187463808,0.046241072639999985,0.05498938368,0.01031050944,0.00531147456,0.00687367296,0.0018746380799999995,0.12528831167999996
Hunan,0.0450488304,0.01773576,0.0485959824,0.0979013952,1.2039033887999997,0.10783342079999997,0.021637627199999995,0.0936448128,0.0191546208,0.010641456,0.1723915872,0.07271661599999997,0.0468224064,0.3834471312,0.0542714256,0.0095773104,,0.00886788,0.0759090528,0.08655050879999998,0.3039909264,0.0553355712,0.039373387200000005,0.0127697472,0.20041408800000002,0.228791304,0.0099320256,0.006739588799999999,0.0060301584,0.0028377216,0.0982561104
Guangdong,0.08020914192,0.03526436412,0.09472976244000003,0.24062742575999999,,0.22472388900000004,0.047710610279999996,0.24408471636,0.05600810772000001,0.02281811796,0.28695511980000005,0.2703601249200001,0.11339913168,0.31737927708,0.11616496416,0.03526436412,0.9839449047600002,0.02281811796,0.4231723694400001,0.16249265820000006,0.5441775404400001,0.15834390948000002,0.28972095228000005,0.03180707352,0.21850076592000006,1.3912137374400002,0.036647280360000006,0.011063329920000002,0.011754788040000002,0.004840206840000002,0.20328868728
Guangxi,0.02264172912,0.00816155352,0.023958108720000003,0.03264621408,1.5172591269600002,0.046599837840000005,0.01132086456,0.04133431944000001,0.01211069232,0.0052655183999999996,0.05344501176,0.05686759872000001,0.022115177280000002,0.03791173248,0.020008969919999998,0.006581898000000001,0.21904556544,0.0028960351200000003,0.042387423119999997,0.03396259368,0.04265069904000001,0.10767985127999999,0.04186087128,0.008951381280000002,0.16244124264,,0.00236948328,0.0018429314400000003,0.0018429314400000003,0.00078982776,0.03975466392
