,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Hainan,Jilin,Hunan,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.8489477354399999,0.21071997071999995,,0.7005611591999998,0.16989987167999998,0.99512781984,0.13956060887999994,0.16107390431999996,0.06398826335999998,0.18148395384,0.24105923352,0.09046616543999997,0.11418595271999997,0.10039537871999997,0.2559530534399999,0.10260187056,0.04799119751999999,0.06784962407999999,0.06784962407999999,0.06729800111999998,0.05405905007999999,0.0496460664,0.058472033759999986,0.027581148,0.04468145976,0.02041004952,0.03364900055999999,0.01489381992,0.00937759032,0.00220649184,0.5654135339999998
Henan,0.38427219071999996,0.0671443344,0.6543990129599999,,0.29750105087999995,0.49118663088,0.3238422897599999,0.042352580159999986,0.031506187679999985,0.17354227967999994,0.335721672,0.09245258352,0.28768764816,0.01756082592,0.5118464260800001,0.43282270944,0.056297941920000004,0.01446185664,0.12499176096,0.07282577807999999,0.05371546751999999,0.051649487999999986,0.07385876783999999,0.04286907504,0.042352580159999986,0.028923713280000006,0.036671136479999984,0.01704433104,0.012912371999999998,0.00361546416,0.37910724192
Hubei,0.04976250552,0.01449127908,0.07601086007999999,0.36829722492,0.36337565844,0.16323195491999998,0.02242046952,0.02160020844,0.00929629224,0.07901848404,0.15995091059999994,0.07901848404,0.08503373196000001,0.010389973680000001,0.13835070215999998,,0.03171676176,0.0073823497200000004,0.38579612795999996,0.061519581,0.03937253184,0.1449127908,0.19631581848000002,0.013944438359999999,0.047848563,0.00628866828,0.03390412464,0.0041013054,0.0041013054,0.00191394252,0.109368144
Hunan,0.031598268480000004,0.008929945439999998,0.048427781039999986,0.08758215719999997,1.3322791677599997,0.08929945439999999,0.014081837039999996,0.014081837039999996,0.0072126482399999985,0.05770118591999999,0.14768755919999996,0.053236213199999986,0.03125480904,0.01167762096,0.04671048384,0.3877657077599999,0.04396280832,0.007899567120000001,,0.06491383415999999,0.056327348159999985,0.07143956351999999,0.30258776664000003,0.008243026559999998,0.22290517656,0.00583881048,0.18546809760000002,0.00377805384,0.00274767552,0.0017172972,0.08139988727999999
Guangdong,0.07962842052,0.027639617039999998,0.13095913788000002,0.24875655336000005,,0.2270397114000001,0.04277559780000001,0.05988583692000001,0.020400669720000004,0.15859875492000006,0.27507999816,0.26060210351999996,0.10529377920000002,0.0460660284,0.10726803756000002,0.31324899312000004,0.19150306092,0.03487856436,0.9877872661200002,0.4053810499200001,0.17044430508000002,0.15662449656000002,0.5172556903200001,0.026981530919999996,1.2253563554400002,0.015135980760000002,0.20729712780000004,0.0098712918,0.0065808612,0.003290430600000001,0.21453607512000003
Guangxi,0.022838031,0.004402512,0.032193369,0.032468526,1.720281564,0.040723236,0.009080181,0.01100628,0.0038521980000000007,0.023113188,0.047602161,0.053380458000000006,0.018160362,0.01100628,0.01926099,0.03852198,0.051179202000000014,0.005778297,0.20279070899999999,0.036320724,0.107036073,0.031092741,0.036871037999999995,0.006603768,,0.002476413,0.141155541,0.001100628,0.002201256,0.0008254709999999999,0.032193369
Hainan,0.028692403199999997,0.012104607600000004,0.03030635088,0.03972104568,0.18381070800000002,0.03559651272,0.02169862992,0.021788293680000004,0.01156662504,0.03362391,0.032009962319999995,0.06025404672,0.02564383536,0.021788293680000004,0.01318057272,0.023850560160000003,,0.01318057272,0.03469987512,0.02008468224,0.01829140704,0.03209962608,0.015870485519999998,0.00618679944,0.042769613519999986,0.004752179279999999,0.016856786880000002,0.0033175591200000003,0.0026899128000000003,0.0006276463200000001,0.08778082104
Chongqing,0.0257948712,0.006788124,0.03692739456,0.04507314336,0.16671632543999998,0.0597354912,0.0162914976,0.0108609984,0.00651659904,0.039642644160000004,0.07358326416000001,1.2319087435200002,0.054848041919999986,0.00461592432,0.02335114656,0.16671632543999998,0.04670229312,0.0040728744,0.08308663776000001,0.04235789376,0.0991066104,,0.02090742192,0.0162914976,0.043987043520000005,0.0108609984,0.30302185536,0.00597354912,0.0040728744,0.00705964896,0.05349041712
Sichuan,0.0490187376,0.012254684399999998,0.0687843576,0.084992166,0.2790905544,0.09329372640000001,0.033601554,0.0264859308,0.0154171836,0.0660171708,0.10989684720000001,,0.21900306960000002,0.0142312464,0.0308343672,0.08617810320000001,0.07629529319999999,0.0090921852,0.062064046800000015,0.06404060880000001,0.537624864,1.2404903112,0.0312296796,0.0956656008,0.0695749824,0.02964843,0.3225749184,0.00988281,0.0312296796,0.04941405,0.12847653
Guizhou,0.01229455584,0.00331757856,0.01873456128,0.02615032512,0.2410123248,0.0400060944,0.00624485376,0.00468364032,0.0029272752,0.019905471360000003,0.12040858655999999,0.2741881104,0.0185394096,0.0029272752,0.013855769280000001,0.029858207040000008,0.024003656640000003,0.00175636512,0.18578439936000002,0.048592768320000014,0.36044515296,0.26911416672,0.02497941504,0.0042933369600000005,0.16178074271999998,0.0021466684800000003,,0.00156121344,0.0009757584,0.0013660617600000002,0.02615032512
