,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Hunan,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Gansu,Heilongjiang,Zhejiang,Shanghai,Guizhou,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Guangxi,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.031003965000000012,0.01215355428,0.07887408696000002,0.12079144764000002,0.018106315560000003,0.0198425376,0.008185046760000002,0.3001183812000001,0.07366542084000001,0.035964599400000005,0.14187414384000002,0.5687367339600001,0.05555910528000002,0.00917717364,0.0198425376,0.005456697840000001,,0.38717751491999997,0.07515361116000001,0.22372461144000005,0.13716154116000004,0.05555910528000002,0.0071929198800000016,0.031500028439999994,0.028027584360000003,0.0014881903200000002,0.00520866612,0.003224412360000001,0.004464570960000001,0.0017362220400000006,0.01438583976
Anhui,0.058388299200000014,0.037914480000000014,0.14104186560000004,0.458765208,0.02805671520000001,0.024265267200000003,0.0144075024,,0.045497376000000006,0.0576300096,0.2858751792,2.5319289744000004,0.030331584000000005,0.0045497376,0.016682371200000004,0.0022748688,2.6706959712,0.6680531376000002,0.02578184640000001,0.14786647200000005,0.14180015520000006,0.023506977600000003,0.0098577648,0.012890923200000005,0.026540136000000002,0.0015165792000000002,0.0181989504,0.0090994752,0.0068246064000000006,0.0015165792000000002,0.0697626432
Fujian,0.01577824272,0.00935006976,0.027611924760000003,0.04178312424,0.012710251079999998,0.01051882848,0.0043828452,0.03696199452,0.0452894004,0.0262970712,0.4289344502399999,0.09919839636,0.0321408648,0.00306799164,0.01051882848,0.00204532776,0.22221025164,0.0642817296,0.053324616599999985,0.1490167368,,0.053032426919999986,0.012271966559999998,0.021622036319999996,0.05069490948,0.00029218968,0.00409065552,0.00248361228,0.0021914226,0.00029218968,0.013732914959999995
Jiangxi,0.016683770880000004,0.0104273568,0.030760702560000006,0.033367541760000015,0.006777781920000001,0.004692310560000001,0.0031282070400000003,0.10375220016000004,0.24504288480000005,0.02398292064,1.8492917284800003,0.23305142448,0.032324806080000004,0.0010427356800000002,0.009384621120000002,0.0005213678400000001,1.6063343150400002,0.16840181232000004,0.06360687647999999,,0.5463934963200001,0.05161541616,0.017205138720000002,0.029196599040000014,0.06777781920000002,0.0005213678400000001,0.02137608144,0.0020854713600000005,0.002606839200000001,0.0005213678400000001,0.022940184960000002
Shandong,0.56262974868,0.19120750488,,0.40573299815999997,0.09793555127999999,0.06628970988,0.06229234044000001,0.14890201164,0.029980270800000007,0.09527063832,0.09127326888,0.7238569827600001,0.044970406200000014,0.018987504840000002,0.022984874280000005,0.016988820119999998,0.27981586080000004,0.12291911028000002,0.018987504840000002,0.046969090920000005,0.037975009680000005,0.021652417800000004,0.00699539652,0.012991450680000002,0.019653733080000003,0.00599605416,0.00799473888,0.009327195360000002,0.01132588008,0.0016655705999999999,0.14190661512
Henan,0.26052961175999995,0.09024881976,0.5304246670799999,,0.234136089,0.04001598611999999,0.0383131782,0.7143279224399999,0.15240130883999994,0.22732485731999996,1.1928169479599997,1.39970811024,0.09110022372000001,0.00595982772,0.06896372076,0.0034056158399999995,2.1472407871199994,0.3984570532799999,0.0468272178,0.17794342763999996,0.191565891,0.04767862176,0.015325271279999997,0.042570198,0.0553412574,0.006811231679999999,0.07322074055999997,0.01873088712,0.034056158399999995,0.004257019799999999,0.19071448704
Hubei,0.00304085664,0.0008856864,0.00283419648,0.05346593568,0.0011513923199999998,0.00109234656,0.0005018889600000001,0.01647376704,0.08198503776,0.016385198400000002,0.023618304000000003,0.00593409888,0.0028637193599999997,0.00109234656,0.0010037779200000002,0.0005609347200000001,0.0054026870400000005,0.00253896768,0.00185994144,0.01685756448,0.0028046736,0.0011513923199999998,0.00035427456,0.045849032639999995,0.0023913532800000003,0.00023618304000000006,,0.00020666016000000004,0.00011809152,0.00011809152,0.00194851008
Hunan,0.0199542852,0.008945024400000001,0.0282112308,0.050229752400000015,0.008945024400000001,0.0048165516000000025,0.0034403940000000003,0.053670146400000014,,0.0337158612,4.142234376,0.1678912272,0.0488535948,0.0013761576000000002,0.009633103200000005,0.0006880788000000001,0.8346395844000001,0.05573438280000002,0.2325706344,0.31376393280000003,0.2043594036,0.1190376324,0.0316516248,0.07431251040000003,0.28624078080000004,0.0006880788000000001,0.08738600760000001,0.0020642364,0.0027523152000000005,0.0013761576000000002,0.0399085704
Guangdong,0.021853028880000003,0.007483914,0.033527934720000006,0.10297865663999999,0.01107619272,0.014967828,0.0053884180799999995,0.0419099184,0.5565038450400001,0.03113308224,,0.053584824239999995,0.11076192720000004,0.00778327056,0.016165254240000003,0.007483914,0.10447543944,0.03472536096000001,0.18440364096,0.3056430477600001,0.19727597304,0.08082627120000001,0.09609345575999999,0.05508160704,0.77742898632,0.007483914,0.016165254240000003,0.0020954959200000004,0.0044903484,0.00029935656,0.022451742
Guangxi,0.012769027920000002,0.0017412310799999994,0.00986697612,0.02263600404,0.0034824621599999998,0.0034824621599999998,0.0011608207199999998,0.0116082072,0.16425613188,0.00812574504,4.90911082488,0.025538055840000004,0.041209135559999985,0.0011608207199999998,0.0034824621599999998,0.0017412310799999994,0.10157181300000001,0.01044738648,0.18340967375999997,0.045852418439999994,0.05107611168000001,0.12130576523999995,0.03076174908,0.01625149008,,0.0005804103599999999,0.004643282879999999,0.0005804103599999999,,,0.0069649243199999995
