,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Shanghai,Inner Mongolia,Zhejiang,Shaanxi,Anhui,Hubei,Hainan,Heilongjiang,Hunan,Jilin,Sichuan,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangxi,0.025237737000000003,0.0052879068000000005,0.0317274408,0.0353328318,1.3832683469999998,0.0074511414,0.0343713942,0.009614375999999999,0.0249973776,0.0038457504,0.0459086454,0.021391986600000003,0.0170655174,0.0334099566,0.046629723600000006,0.0103354542,0.20262297420000003,0.0050475474,0.0319678002,0.0509561928,0.11705502779999999,0.0286027686,0.0341310348,0.0055282662,,0.1451770776,0.0028843128000000003,0.0016825158000000002,0.0012017969999999999,0.0007210782000000001,0.0353328318
Hainan,0.033476016959999993,0.014245113600000001,0.03240763343999999,0.03953019024,0.18260454996,0.02056638276,0.035701815959999994,0.0235934694,0.036146975760000005,0.0106838352,0.030359898360000002,0.02742184368,0.013621889880000002,0.025908300359999997,,0.02234702196,0.03276376128,0.01255350636,0.04131082944,0.01727220024,0.01655994456,0.03311988912,0.0186967116,0.007300620719999999,0.0431805006,0.0182515518,0.0056980454400000005,0.00391740624,0.00302708664,0.00017806392000000002,0.08609390532
Chongqing,0.0240660882,0.0083900124,0.0395213742,0.044378749799999985,0.13755204540000002,0.0170008146,0.054535080600000015,0.008831592000000001,0.0401837436,0.0050781654,0.05939245620000001,0.052989552,0.020975031,0.14461731900000002,0.0355471578,0.005961324600000001,0.06844483800000001,0.0037534266,0.8968481676000001,0.034443208800000014,0.0847832832,,0.0200918718,0.015455286,0.0351055782,0.2647269702,0.0094939614,0.0050781654,0.0046365858,0.0101563308,0.0516648132
Sichuan,0.03308393484,0.0107590032,0.039001386599999986,0.05218116552,0.18478587996,0.022862881800000002,0.05594681664,0.011027978279999998,0.04115318724,0.007800277319999998,0.06724377,0.15089501987999998,0.02474570736,0.04814653932,0.048415514400000005,0.00753130224,0.03819446136,0.00484155144,,0.04142216232,0.41260777272,0.8814313371600001,0.021249031319999997,0.06805069523999999,0.04196011248,0.23078061864,0.011027978279999998,0.005648476679999999,0.0255526326,0.0322770096,0.06401606903999997
Guizhou,0.012345372,0.0042797289600000005,0.020246410080000003,0.027324423360000002,0.18896649408,0.004444333920000001,0.03506085648,0.00477354384,0.02353850928,0.0021398644800000003,0.08345471472,0.018435755520000003,0.014320631519999997,0.029628892800000008,0.02337390432,0.0024690744,0.15703313183999998,0.0024690744,0.19736134704,0.039011375519999995,0.33102057456,0.22649642496,0.021234039840000003,0.004608938880000001,0.1382681664,,0.0016460496,0.00197525952,0.0013168396799999999,0.0008230248000000001,0.02534916384
Yunnan,0.022932564480000004,0.00759253824,0.02897560512,0.0410616864,0.1495265184,0.012550930560000005,0.044780480639999995,0.01224103104,0.03687804288,0.0046484928,0.057331411200000015,0.029285504639999998,0.015494976,0.032539449600000006,0.016269724800000003,0.007282638719999998,0.052373018880000004,0.0046484928,0.34538301504,0.03129985152,,0.07174173887999999,0.01936872,0.007747488,0.11140887744,0.32554944576,0.00418364352,0.00247919616,0.0026341459200000003,0.00495839232,0.04354088256
Tibet,0.00218909952,0.0005723136,0.00216048384,0.00585190656,0.0035197286400000002,0.0009013939199999999,0.00213186816,0.0009013939199999999,0.0008727782399999999,0.00044354304,0.00210325248,0.00938594304,0.0016454016,0.00233217792,0.0002861568,0.0007010841599999999,0.0011303193600000002,8.584704e-05,0.05007744,0.0012877055999999999,0.00796946688,0.008670551039999998,0.0006438527999999999,0.0068677632,0.00108739584,0.00151663104,0.0016740172799999998,0.00054369792,0.02063190528,,0.00466435584
Shaanxi,0.07865890560000002,0.015255060480000002,0.07484514048000003,0.2483714534400001,0.09796609152000003,0.3031943270400001,0.09319888512000002,0.02288259072,0.045288460800000006,0.20046102912000005,0.05911335936000001,,0.042666497280000014,0.09153036288,0.030271760640000006,0.009534412800000005,0.032417003520000015,0.009057692160000002,0.13753390464,0.029795040000000012,0.036469128960000013,0.04838714496,0.01906882560000001,0.3081998937600001,0.019307185920000008,0.020737347840000003,0.02788815744,0.11322115200000002,0.030510120960000005,0.005482287360000001,0.12823785216000005
Gansu,0.0182072448,0.00664028928,0.02131318656,0.03191622912,0.02634695424,0.0128521728,0.03180912768,0.005783477760000001,0.01242376704,0.0444470976,0.0219557952,0.32515997183999995,0.009746231040000001,0.01295927424,0.01006753536,0.00203492736,0.007497100799999998,0.00182072448,0.059119994879999985,0.00835391232,0.00942492672,0.01295927424,0.005140869119999999,,0.00653318784,0.00599768064,0.044768401919999985,0.12413056896,0.1488710016,0.0037485504,0.03769970688
Qinghai,0.004956318720000001,0.0010716364800000002,0.0063293529599999995,0.01580663808,0.00810425088,0.004186080000000001,0.007300523520000001,0.00140652288,0.0026456025600000003,0.002712579840000001,0.0053581824000000005,0.030608616960000005,0.003114443520000001,0.004956318720000001,0.0045544550400000005,0.0009376819200000002,0.0029804889600000004,0.0002344204800000001,0.02310716160000001,0.00204280704,0.00354979584,0.00478887552,0.0016744320000000002,0.13827459456000002,0.0013060569600000002,0.0013060569600000002,0.0154047744,0.00830518272,,0.01620850176,0.011084739840000002
Ningxia,0.01185492672,0.002849742,0.012595859640000002,0.01601555004,0.011683942199999998,0.01191192156,0.01270984932,0.0019948194,0.004274613,0.13952336832,0.0082642518,0.11131092252,0.0051295356,0.007295339520000002,0.0051295356,0.0018238348800000005,0.00558549432,0.00193782456,0.0088342002,0.00473057172,0.00438860268,0.0051295356,0.0017098451999999998,0.13313994624000003,0.00205181424,0.00119689164,0.00490155624,,0.009689122800000002,0.0005129535600000001,0.020632132080000004
Xinjiang,0.018415589760000003,0.0024450076800000002,0.0226293264,0.055142726400000015,0.017375160960000004,0.010716416640000002,0.01862367552,0.0062945942400000005,0.0054622512000000005,0.005618315520000001,0.010612373760000002,0.04624706016000001,0.009363859200000005,0.009103752,0.010092159360000002,0.003277350720000001,0.009780030720000001,0.0016126646400000002,0.042553537919999995,0.007491087360000002,0.0072830016,0.016126646400000003,0.0030172435200000003,0.11101375296000003,0.0027571363200000003,0.0032253292800000005,,0.00905173056,0.023357626560000004,0.0007283001600000003,0.03001637088
Taiwan,,,3.2319e-05,,0.00012958379999999998,,6.4638e-05,6.4638e-05,0.0007451838,3.2319e-05,0.0001942218,,3.2319e-05,,,,,3.2319e-05,3.2319e-05,0.0012312000000000002,3.2319e-05,,,,,,,,,,3.2319e-05
Hong Kong,,,,,0.0229699638,3.171636e-05,3.171636e-05,3.171636e-05,0.00016102152,,3.171636e-05,,,3.171636e-05,,,3.171636e-05,,6.343272e-05,0.00032204304,,,,,3.171636e-05,6.343272e-05,3.171636e-05,,,,0.0003879154800000001
Macau,0.0016772378400000002,0.00030681180000000004,0.0016158754800000002,0.0008590730400000001,0.17116007616000006,0.000511353,0.004009007520000001,0.0006136236000000001,0.0029658474,2.0454120000000006e-05,0.00341583804,0.0005727153600000001,0.00038862828000000004,0.0019431414000000001,0.0008590730400000001,0.00038862828000000004,0.0019022331600000004,0.00022499532,0.0009204354000000002,0.00233176968,0.0005727153600000001,0.00053180712,0.0007977106800000001,8.181648000000001e-05,0.0019022331600000004,0.00038862828000000004,2.0454120000000006e-05,6.136236e-05,,,0.0030067556400000003
