,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Guangdong,Inner Mongolia,Shanghai,Shaanxi,Zhejiang,Hubei,Anhui,Heilongjiang,Hainan,Jilin,Hunan,Sichuan,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07169959944000001,0.024468910920000003,0.18550848744000004,0.27883177560000005,0.030159355320000008,0.04097119968,1.2831952121999999,0.25948426464,0.01251897768,0.98672305896,0.06942342168,,0.16331575428,0.6948032612400001,0.025037955360000003,0.03812597748,0.021054644280000003,0.14908964328000002,0.08308048824000001,0.28679839776000005,0.07226864388,0.08478762156000001,0.42905950776,0.0199165554,0.048368777400000014,0.18095613192000004,0.009673755479999999,0.0056904443999999995,0.004552355520000001,0.0005690444400000001,0.11893028795999998
Anhui,0.06125578344,0.01784936736,0.18822969216,0.4811215838399999,0.01866070224,0.0182550348,1.6660761760799998,0.10182252743999998,0.0073020139199999985,0.30668458464000004,0.03894407424,0.5508963835199999,0.1500969528,,0.00892468368,0.0182550348,0.0073020139199999985,0.04705742303999999,0.02068903944,0.049085760239999984,0.02068903944,0.02190604176,0.11520955295999998,0.009330351119999998,0.017038032479999996,0.01582103016,0.00446234184,0.00283967208,0.00283967208,0.0008113348799999999,0.08072782056
Fujian,0.02088989352,0.01026170208,0.05112526572,0.0650518614,0.01337686164,0.017224999919999998,0.09565372296,0.40607021088,0.0054973404,0.07916170176000001,0.028586170080000008,0.28696116888,0.05845505292,0.05533989336,0.01026170208,0.022539095640000003,0.00623031912,0.06615132947999999,0.04434521256,,0.03866462748,0.04196303172,0.23418670104000003,0.009162234,0.03994734024,0.05625611676,0.004397872319999999,0.0020156914800000003,0.00238218084,0.0005497340399999999,0.052957712520000005
Jiangxi,0.0223388928,0.0070543872,0.03809369088,0.0517321728,0.007759825919999999,0.007994972159999999,0.1128701952,0.5220246528,0.0023514624,0.0846526464,0.021868600319999997,0.3764691302400001,0.20128518144,0.13356306431999998,0.007994972159999999,0.02022257664,0.0042326323200000005,0.32285578752,0.01622509056,0.21703997952,0.018341406719999998,0.023749770240000002,,0.005408363520000001,0.047029247999999996,0.02798240256,0.0016460236800000002,0.0014108774399999998,0.0011757312,0.00094058496,0.04068029952
Shandong,0.7844761709999999,0.1703169504,,0.6391513818,0.09580328460000001,0.1332915264,0.8927755361999999,0.13838252220000002,0.042116419800000006,0.1369940688,0.0930263778,0.196697565,0.09487764900000001,0.2165987304,0.0911751066,0.043042055400000015,0.05692658940000001,0.062017585199999996,0.0546125004,0.06016631400000001,0.0407279664,0.044893326600000005,0.0472074156,0.0217524366,0.039339513000000007,0.0273062502,0.0152729874,0.0106448094,0.006479449200000001,0.0018512711999999999,0.360997884
Henan,0.38520488952,0.06151920840000001,0.6109330618800001,,0.30948894072000005,0.033598952280000004,0.3861513388800001,0.23803201404000005,0.02508090804,0.11546682192,0.30191734584,0.25601455188000005,0.603361467,0.50918975568,0.016562863799999997,0.059626309679999996,0.013250291040000002,0.09937718280000002,0.0686175786,0.06577823052000001,0.04826891736000001,0.044956344599999996,0.060572759040000014,0.039277648440000014,0.040697322480000006,0.038804423760000005,0.024134458680000002,0.011830617000000002,0.00993771828,0.00378579744,0.24276426084
Hubei,0.0491726214,0.0128491272,0.06721081920000001,0.3647175336,0.0219917754,0.0158143104,0.13442163840000002,0.2873756718,0.006918760800000001,0.0664695234,0.0845077212,0.12898546919999998,,0.13615132859999998,0.0088955496,0.0360763956,0.0051890706,0.4069713942,0.0415125648,0.0526320018,0.13615132859999998,0.034593803999999985,0.190265922,0.0113665356,0.0390415788,0.027675043200000003,0.0056832678,0.0029651832,0.0019767888,0.001235493,0.08623741139999999
Hunan,0.032498508960000005,0.009954498240000002,0.04011077232,0.08285655888000001,0.01405340928,0.013175071200000004,0.08051432400000001,0.92313332208,0.006441145920000001,0.04801581504,0.035426302560000004,0.11535506784000002,0.3899821075200001,0.04040355168,0.01112561568,0.04216022784,0.00527002848,,0.03396240576,0.055628078399999996,0.07173094320000001,0.054456960960000016,0.33435402911999995,0.005855587200000001,0.226904004,0.17273982240000002,0.00351335232,0.00351335232,0.0023422348800000003,0.00117111744,0.06441145919999999
Guangdong,0.07666876800000001,0.0299705184,0.1212760512,0.23906715840000006,0.0362434176,0.054365126400000005,0.20909664,,0.016727731200000002,0.17982311039999999,0.1101242304,0.2530069344,0.3164329152,0.1017603648,0.0404253504,0.1923689088,0.031364496000000006,1.2260032992,0.17285322239999998,0.4537397087999999,0.13870077120000002,0.1756411776,0.5987133792,0.0236976192,1.4908590432,0.223036416,0.0118488096,0.0076668768000000016,0.0062728992,0.0020909664000000002,0.1958538528
Guangxi,0.0219136266,0.0041223654,0.0286395912,0.034714656,0.008461697399999999,0.0091125972,0.0334128564,1.1516587127999998,0.0036884322,0.024083292599999997,0.020611827,0.041874553799999985,0.036233422200000004,0.018008227800000002,0.0080277642,0.0533737836,0.0047732652000000006,0.21805143300000002,0.034714656,0.0394879212,0.030809257199999995,0.1121717322,0.033846789599999996,0.005641131599999999,,0.1466694216,0.0023866326000000003,0.0026035991999999995,0.0008678664,0.0002169666,0.033629823
Hainan,0.030284020800000002,0.01302627744,0.02497394592,0.0381661632,0.02082544992,0.02331454752,0.03219232896,0.16735032864000002,0.00937560096,0.03011808096,0.0253058256,0.030035111040000007,0.02389533696,0.01294330752,0.022318908480000003,,0.0132751872,0.035262216,0.04214871936,0.018917141759999995,0.029703231360000006,0.017755562880000002,0.0182533824,0.00597383424,0.04596533568,0.01916605152,0.0053100748800000005,0.0024890976,0.0028209772800000003,,0.06645890592
Chongqing,0.02168802216,0.008075327399999999,0.035300716919999996,0.041530255200000005,0.015919931159999998,0.01061328744,0.055373673600000006,0.12712872564000002,0.00507592008,0.040145913359999987,0.055373673600000006,0.05837308092,0.16312161347999998,0.02284164036,0.0062295382799999995,0.04199170248,0.00484519644,0.07060143383999999,0.98888152104,0.03368565144,,0.08444485223999999,0.01776572028,0.01338197112,0.0369157824,0.26810086968,0.01015184016,0.00415302552,0.00253796004,0.01015184016,0.048913411680000005
Sichuan,0.036693946080000005,0.00976532436,0.045571513680000016,0.066581757,0.027520459560000002,0.013020432480000002,0.060071540760000014,0.1938268926,0.009469405440000002,0.04527559476000001,0.15506151408000002,0.07368381108000002,0.05652051372000001,0.023081675760000003,0.01065308112,0.05030621640000001,0.006510216240000001,0.039949054200000014,,0.041724567720000015,1.0371958146,0.4350008124000001,0.02041840548,0.06835727052000001,0.0429082434,0.24531678468,0.011540837880000002,0.006510216240000001,0.028112297400000003,0.03373475688,0.05947970292
Guizhou,0.01132434432,0.00318497184,0.016986516479999998,0.02459506032,0.006016057920000001,0.004423572,0.03768883343999999,0.18048173760000003,0.00283108608,0.02087925984,0.01822511664,0.08705589696,0.03149583264,0.01610180208,0.00194637168,0.023002574400000003,0.00159248592,0.1884441672,0.2309104584,0.03945826224,0.26346794832000003,0.34380001584000003,0.02335646016,0.0033619147200000003,0.1521708768,,0.00159248592,0.0017694288,0.00159248592,0.00106165728,0.0274261464
Yunnan,0.019594305000000003,0.0068971953599999995,0.026805009240000004,0.03636703008,0.013794390719999999,0.01144307412,0.044361506519999996,0.14280329484,0.003918861,0.035583257880000004,0.030723870239999996,0.0556478262,0.028842816960000003,0.01818351504,0.0073674586799999985,0.01849702392,0.00485938764,0.05502080844,0.37574039268,0.03166439688,0.07790695668,,0.017399742840000003,0.0075242131200000005,0.105809247,0.33200590391999996,0.00407561544,0.00203780772,0.00250807104,0.003918861,0.04342097988
Tibet,0.0015772968,0.000546588,0.0021238848,0.0069182424,0.0010307088,0.0007339895999999999,0.0017022311999999999,0.003045276,0.0003748032,0.0003748032,0.0104944896,0.001093176,0.0027173232,0.0012493439999999999,0.00045288720000000003,0.0007964567999999999,0.0003748032,0.0017022311999999999,0.0602183808,0.0010307088,0.0090265104,0.0101977704,0.0003748032,0.0064341216,0.00040603680000000003,0.0018427824,0.0009057744000000001,0.0007339895999999999,0.024580843199999997,,0.0028110240000000005
Shaanxi,0.08068290119999999,0.016381073879999996,0.07897144571999999,0.26454211848000003,0.32199812388,0.02249341488,0.09241859592,0.09633049415999996,0.22762357883999995,0.036429552359999985,,0.05867847359999999,0.10024239239999996,0.0415639188,0.011246707439999998,0.03251765412,0.00684582192,0.03325113504,0.16918959887999996,0.0268943004,0.05085467711999999,0.037652020559999985,0.018337023,0.30268312631999994,0.020537465759999998,0.02102645304,0.02640531312,0.11417852987999998,0.0220044276,0.00415639188,0.10488777155999998
Gansu,0.019438840080000002,0.00535441104,0.02141764416,0.04108928472,0.01303682688,0.00535441104,0.0314280648,0.03154446504,0.04271888808,0.01233842544,0.3756235744800001,0.02083564296,0.015248431440000002,0.010243221120000002,0.00197880408,0.01012682088,0.00209520432,0.0093120192,0.08182936872,0.0098940204,0.015248431440000002,0.01035962136,0.005936412239999999,,0.00616921272,0.00628561296,0.049470102,0.1326962736,0.14410349712,0.00337560696,0.02770325712
Qinghai,0.004435274879999999,0.0011282716799999998,0.006575100479999999,0.01552346208,0.00587479392,0.0014006131200000002,0.007586654399999999,0.00809243136,0.00346262688,0.0040851216,0.03408158592,0.00540792288,0.00595260576,0.0024899788800000003,0.0005446828800000001,0.00326809728,0.00042796512000000005,0.0040851216,0.030074276160000007,0.00206201376,0.004435274879999999,0.00478542816,0.00093374208,0.18095143392000002,0.00163404864,0.00093374208,0.01431737856,0.00805352544,,0.0167295456,0.00929851488
Ningxia,0.0132112782,0.0024882228,0.0138629556,0.016173448200000003,0.0122633838,0.0021920057999999997,0.0119671668,0.0098344044,0.1328237028,0.0037915776,0.1154061432,0.0081755892,0.006339043800000001,0.0057466098,0.0024882228,0.005035689,0.0009478944,0.0034361172,0.0116117064,0.0031399002,0.0069314778,0.0039693078,0.0019550322,0.161142048,0.0030214134000000003,0.0029029266,0.0060428268000000005,,0.0077608854,0.0003554604,0.016410421799999998
Xinjiang,0.01597470336,0.00382003776,0.01652042304,0.05675484672,0.008036962560000001,0.0056556403199999996,0.01552820544,0.01567703808,0.0094260672,0.006151749119999999,0.0466342272,0.010765560959999998,0.009029180159999999,0.008086573439999998,0.0022821004800000003,0.00878112576,0.0015379372799999998,0.00937645632,0.046931892479999994,0.006499025279999999,0.017463029760000002,0.0063998035200000004,0.00292704192,0.10299218688,0.0031750963199999997,0.0031750963199999997,,0.00907879104,0.0220768416,0.0009922176,0.02361477888
Taiwan,3.2367600000000005e-05,3.2367600000000005e-05,,6.473520000000001e-05,,,9.710280000000001e-05,0.00016183799999999998,,0.0005182315200000001,,,6.473520000000001e-05,,,,,6.473520000000001e-05,3.2367600000000005e-05,0.00045349632,3.2367600000000005e-05,,,,,,,,,,
Hong Kong,,,9.5904e-05,,,,,0.024331104000000003,,0.000648,,6.48e-05,9.5904e-05,3.1103999999999985e-05,,,,,6.48e-05,0.0002592,,,,,3.1103999999999985e-05,,,3.1103999999999985e-05,,,3.1103999999999985e-05
Macau,0.0017143552800000003,0.00033767604,0.00111692844,0.0008831527200000002,0.0007013271600000001,0.00046755144,0.00212995656,0.23317829316,7.792524e-05,0.00228580704,0.00020780063999999997,0.00179228052,0.0016624051199999998,0.00041560127999999995,0.00018182556000000005,0.00046755144,0.0003636511200000001,0.0022598319600000004,0.00059742684,0.0016364300400000002,0.00044157636,0.00020780063999999997,0.0010649782799999998,2.5975079999999997e-05,0.0017143552800000003,0.00028572588000000003,2.5975079999999997e-05,2.5975079999999997e-05,2.5975079999999997e-05,,0.00288323388
