,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Gansu,Guangdong,Jiangsu,Sichuan,Heilongjiang,Shanghai,Jilin,Guizhou,Fujian,Jiangxi,Zhejiang,Chongqing,Yunnan,Hainan,Hubei,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Anhui,0.014894257319999998,0.0101133846,0.03935026008,0.23499828216,0.0033098349599999994,0.011584422359999996,0.016365295079999998,0.007906827959999998,0.004596993,,0.004596993,0.10885679423999997,0.4727547601199999,0.0082745874,0.00202267692,0.4560217056,0.00147103776,0.0038614741199999992,0.03898250064,0.03898250064,0.24161795208,0.0051486321600000004,0.005332511879999999,0.00294207552,0.017468573399999996,0.0009193986,0.009561745439999998,0.0011032783199999997,0.00294207552,0.00018387972,0.06969041388
Fujian,0.0062692639199999995,0.00346939848,0.01406019384,0.010042995600000002,0.00511279776,0.009495195840000002,0.02148592392,0.00249553224,0.0035911317600000004,0.01174726152,0.00511279776,0.21498097248000006,0.034633118160000004,0.0146079936,0.0017042659200000006,0.06792717024000001,0.0031041986400000003,0.007851796559999999,,0.028546454160000005,0.058188507840000014,0.007425730079999999,0.017894792160000002,0.00724313016,0.004138931520000001,0.00018259992,0.02227719024,0.0012173328,0.0023129323199999998,6.0866640000000014e-05,0.01771219224
Jiangxi,0.004913686800000001,0.0039020454,0.0102609342,0.0124287372,0.0020232828,0.0030349241999999997,0.07948611000000001,0.0017342424,0.0020232828,0.0338177268,0.006358888800000001,0.6652264806,0.0414772974,0.008815732199999999,0.00028904040000000004,0.1313688618,0.0010116414,0.0052027272,0.17183451780000006,,0.17226807840000002,0.006069848399999999,0.0109835352,0.0041910858,0.0219670704,0.0004335606,0.0182095452,0.00028904040000000004,0.0010116414,,0.0221115906
Shandong,0.222338196,0.09767806848000002,,0.15330030192000002,0.03557411136000001,0.05336116704,0.01447082496,0.021706237439999998,0.018540744480000003,0.03949329312,0.007386150240000001,0.05908920192000001,0.28323625104,0.0211032864,0.010702380959999999,0.13174480224,0.01145606976,0.0069339369599999996,0.01944517104,0.00934574112,0.05396411807999999,0.0097979544,0.00874279008,0.00467287056,0.00964721664,0.0022610664,0.008139839040000001,0.0034669684799999998,0.0055772971200000005,0.0006029510400000001,0.18103604975999998
Henan,0.09159915456,0.01909080576,0.17934343488,,0.058190244479999986,0.015970193280000003,0.038365176960000004,0.0073426175999999985,0.02790194688,0.26910693504,0.01083036096,0.28489356288,0.11362700735999999,0.030838993919999995,0.00238635072,0.19971919872000002,0.00348774336,0.00807687936,0.037630915200000004,0.0247813344,0.10481586624,0.00972896832,0.01138105728,0.00495626688,0.06424790400000001,0.00348774336,0.01615375872,0.0029370470399999998,0.012115319040000001,0.0012849580800000002,0.17860917312
Hubei,0.00276997968,0.0010134072,0.00283754016,0.055872516960000014,0.00097962696,0.0008782862400000001,0.09387528696,0.0007769455200000001,0.016417196640000003,0.014356602000000003,0.0010134072,0.03820545144000001,0.0061480036800000025,0.014559283440000003,0.00047292336000000017,0.00550617912,0.0005404838400000001,0.0015876712799999999,0.0023646167999999998,0.01736304336,0.0037158264000000008,0.048204402480000005,0.0008107257600000001,0.00023646168000000009,,0.00033780240000000014,0.0023646167999999998,0.00013512096000000006,0.00013512096000000006,,0.003749606640000001
Hunan,0.008436256920000001,0.004626334440000001,0.011974042080000002,0.01442327796,0.00244923588,0.004082059800000001,,0.00244923588,0.005442746400000001,0.015783964560000002,0.004354197120000001,1.8837345290400005,0.03537785160000001,0.02204312292,0.0010885492800000005,0.07293280176000001,0.0013606866000000005,0.060414485040000014,0.058237386480000014,0.06313585824000001,0.08354615723999999,0.031295791800000014,0.040004186040000014,0.016056101880000003,0.09524806200000002,0.0008164119599999999,0.12273393132000003,0.0005442746400000001,0.0016328239199999998,0.0019049612400000005,0.050889678840000015
Guangdong,0.009692784,0.0028432166400000005,0.016542351360000002,0.04368214656,0.0058156704,0.01150210368,0.36431944128,0.00426482496,0.01111439232,0.015508454400000003,0.01731777408,,0.01524998016,0.04019274432,0.0090465984,0.026622846720000003,0.00852964992,0.0704342304,0.06461856,0.061387632,0.019385568,0.022745733120000004,0.02106565056,0.04238977536000001,0.022616496000000003,0.007237278720000001,0.25304628096,0.0012923712,0.00374787648,0.00012923712000000002,0.023133444480000005
Guangxi,0.007079814720000002,0.0016090488,0.005792575679999999,0.00933248304,0.00273538296,0.003539907360000001,0.08141786928,0.00096542928,0.00305719272,0.003539907360000001,0.00193085856,1.24717372488,0.008206148880000002,0.028962878400000006,0.00112633416,0.01464234408,0.00209176344,0.07160267160000001,0.014320534319999998,0.00836705376,0.013033295280000004,0.00949338792,0.04135255416,0.008527958640000001,0.0045053366400000005,0.00032180976000000005,,0.00032180976000000005,0.00048271464,,0.010297912320000002
Hainan,0.014507660520000003,0.00169203816,0.0095568822,0.016325034840000002,0.00827218656,0.012878290440000002,0.014852334960000003,0.00723816324,0.00288273168,0.0031020699600000003,0.00338407632,0.07971379776000001,0.0032900742000000005,0.02384520444,0.015165675359999999,0.005828131440000001,0.01369297548,0.0097135524,0.00275739552,0.0045121017600000006,0.0064234782,0.012878290440000002,0.0018487083600000002,,0.0019113764399999998,0.00065801484,0.008616861,0.0012533616,0.0029767338,6.266808000000001e-05,0.022811181120000003
