,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Heilongjiang,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Shanghai,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07054398215999999,0.017877584519999996,0.15365059127999994,0.2512525392,0.23337495468,0.03382245719999999,0.044935550279999986,1.0301354107199998,0.016911228599999998,0.10823186304000001,0.028507499639999993,,0.058464533159999985,0.033339279239999985,0.14108796431999998,0.5580705437999999,0.7793660494799999,0.020293474319999998,0.13045804919999998,0.07972436339999997,0.24690393756,0.06426266868,0.3749460969599999,0.023675720039999997,0.04686826211999999,0.009663559199999998,0.15510012515999996,0.007247669399999998,0.006281313479999997,0.0009663559199999998,0.09470288015999996
Anhui,0.05652082800000001,0.015941772000000003,0.15325839900000002,0.39709504799999995,0.10108532699999999,0.019564902,0.017391023999999998,1.506497454,0.007246260000000002,0.027173475,0.009782451,0.5155713989999999,0.031883544000000014,0.017753337,0.11883866400000001,,0.261952299,0.0068839470000000005,0.038405178000000005,0.021014154,0.047825316,0.019564902,0.109780839,0.007608572999999999,0.015941772000000003,0.004710069,0.014854833000000001,0.003260817,0.002173878,0.000724626,0.066665592
Fujian,0.023480662319999998,0.00766035792,0.04213196856,0.059784097679999995,0.37019512295999996,0.01398847968,0.016486422480000002,0.09225735407999999,0.00716076936,0.05961756816000001,0.00932565312,0.25295834088,0.02597860512,0.017985188160000002,0.05428862352,0.04895967888,0.060283686240000016,0.00699423984,0.0591179796,0.0391344372,,0.040633202880000004,0.19550565647999998,0.009492182640000001,0.04046667336,0.0043297675200000005,0.046961324639999996,0.0024979428,0.00233141328,0.00033305904,0.05012538552
Jiangxi,0.02161714392,0.004690512359999999,0.03303752184,0.04547757636,0.4772086487999999,0.008565283439999998,0.00795347748,0.09911256552000001,0.0040787064,0.02426830308,0.005506253639999999,0.32079025836,0.01590695496,0.01815024348,0.15213574872000002,0.10563849576,0.07504819775999999,0.004282641719999999,0.2763323586,0.022025014559999997,0.18741655908,0.01896598476,,0.005302318319999999,0.036504422280000004,0.0020393532,0.02467617372,0.0010196766,0.00122361192,0.00081574128,0.03609655164
Shandong,0.7046077474800001,0.14673980412000004,,0.5843923394400001,0.13647229596000002,0.11465384112000004,0.13946698584,0.7747690532400001,0.05219316648,0.07914537540000002,0.08641819368000002,0.19166015232000005,0.0877016322,0.035508465720000014,0.08898507072000003,0.18909327528000006,0.11251477692000003,0.06032161044000001,0.058182546240000015,0.045348161040000015,0.055615669200000016,0.03893096844000001,0.04278128400000001,0.02395751904000001,0.037219717080000006,0.014973449400000003,0.024813144720000003,0.01026750816,0.008984069640000002,0.00128343852,0.3242821327200001
Henan,0.323660367,0.053599806000000014,0.533936529,,0.2506821696,0.2717097858,0.0342214146,0.36489098700000006,0.023089147200000004,0.0799874028,0.014430717,0.2622267432,0.22635610379999999,0.0523628874,0.39004166520000005,0.4275615293999999,0.1121472864,0.012369186,0.0940058136,0.0441167634,0.0655566858,0.0465906006,0.0552490308,0.033396802200000006,0.04123062,0.0218522286,0.0300983526,0.0127814922,0.012369186,0.0037107558000000003,0.2209961232
Hubei,0.043664436720000005,0.01053212544,0.05880436704000001,0.30521221848,0.2843673868800001,0.018211800240000003,0.018211800240000003,0.12111944256,0.0068019976800000005,0.0636315912,0.0087767712,0.12989621376000002,0.07350545879999999,0.02720799072,,0.10883196288,0.04695572592000001,0.00636315912,0.33461440200000003,0.031596376319999994,0.053318885040000014,0.1173893148,0.1612731708,0.01053212544,0.03752069688,0.005485482000000001,0.027427410000000003,0.0032912892000000003,0.0028524506400000003,0.0015359349600000006,0.0702141696
Hunan,0.029683966320000005,0.005883308640000001,0.039846044880000014,0.06605351064000002,0.92769080328,0.013371156000000002,0.01123177104,0.07835497416000002,0.007487847360000002,0.047601315360000014,0.010696924800000002,0.11205028728000004,0.0280794276,0.040113468000000006,0.3179660896800001,0.036904390560000014,0.037171813680000006,0.006685578000000001,,0.04974070032000001,0.055356585840000014,0.06097247136,0.26073754200000004,0.008557539840000001,0.19040526144000006,0.004278769920000001,0.15831448704000006,0.0024068080800000004,0.0024068080800000004,0.0008022693600000001,0.05722854768000001
Guangdong,0.07834764528,0.02163330504,0.11752146791999996,0.21808710216,,0.033326983439999985,0.050282817120000003,0.190022274,0.016371149760000002,0.23328888408000004,0.04209724223999999,0.22276457351999998,0.0906260076,0.16312681367999998,0.27714017808,0.09238005936,0.11459804832,0.029818879920000006,0.9091834956,0.15786465840000002,0.36367339824,0.13798540512,0.48938044104,0.02455672464,1.22900559984,0.01286304624,0.18534480264000003,0.0087702588,0.007016207039999999,0.00233873568,0.16429618152
Guangxi,0.0231529914,0.0033075702,0.02910661776,0.033957720719999994,1.28951136864,0.0088201872,0.01014321528,0.03285519732,0.004189588920000001,0.049172543640000003,0.009040691879999998,0.04343942196,0.018963402480000002,0.04432144067999999,0.031311664559999994,0.01521482292,0.01940441184,0.00485110296,0.17949080952,0.09283247028,0.031311664559999994,0.0264605616,0.02954762712,0.00595362636,,0.00198454212,0.12723120036,0.0022050468,0.0017640374399999997,0.00044100935999999994,0.030650150519999995
Hainan,0.02955798216,0.01014322176,0.032648495039999996,0.03661069104,0.15198983855999998,0.0170374428,0.0221882976,0.02987495784,0.00847909944,0.04897274256,0.02147510232,0.03201454368,0.023693932080000004,,0.0194147604,0.015452564399999999,0.03019193352,0.01355071032,0.032648495039999996,0.01608651576,0.01806761376,0.02765612808,0.013471466400000002,0.0063395136,0.03668993496,0.004516903439999999,0.015214832639999997,0.0051508548,0.00309051288,0.00031697568000000004,0.06822901512
Chongqing,0.0209239362,0.00594680292,0.029954266560000005,0.0374428332,0.13545495540000002,0.01343536956,0.0099113382,0.049336439040000006,0.00418478724,1.0230703542,0.00594680292,0.06123004488,0.04228837632,0.03656182536,0.14514604164,0.02070368424,0.028632754800000007,0.00286327548,0.0693793674,0.07532617032000001,0.03479980968,,0.015637889159999998,0.01277461368,0.03722258124,0.007048062720000001,0.22377599136,0.00396453528,0.00396453528,0.006167054880000001,0.035680817520000005
