,Hebei,Henan,Shandong,Tianjin,Shanxi,Inner Mongolia,Liaoning,Guangdong,Jiangsu,Heilongjiang,Sichuan,Anhui,Hubei,Shaanxi,Shanghai,Zhejiang,Jilin,Hainan,Gansu,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.10050977664,0.8920242676800001,0.22421411712,0.02609388432,0.05025488832,0.02029524336,0.05508708912,0.2754354456,1.00413132624,0.05508708912,0.4252336704,1.232211204,0.4928844816,0.12757010112,0.84563514,,0.03962404656,0.03962404656,0.06378505056,0.48128719968,0.28413340704,0.27930120624000004,0.39140826479999996,0.93551407488,1.0437553728000002,0.096644016,0.01159728192,0.00773152128,0.0048322008,,0.12177146015999998
Anhui,0.06970127759999999,0.3968269056,0.1949925312,0.0230912208,0.0307882944,0.0098351496,0.024374066399999998,0.1086142608,1.5441184871999998,0.015394147199999996,0.0483205176,,0.16163854560000002,0.049603363199999986,0.457548264,0.5922470519999999,0.0145389168,0.017532223199999995,0.014966531999999998,0.0594385128,0.061576588799999984,0.0316435248,0.0393405984,0.12358079279999999,0.03506444639999999,0.018815068799999998,0.005986612800000001,0.0034209215999999997,0.0034209215999999997,0.0008552303999999999,0.1056209544
Fujian,0.0289268496,0.1609231536,0.05616864,0.0120762576,0.0199398672,0.005616864,0.0185356512,0.3847551839999999,0.0966100608,0.0160080624,0.20726228160000001,0.08369127359999999,0.14491509119999998,0.0429690096,0.08706139199999999,0.2653968239999999,0.0120762576,0.0179739648,0.016288905599999997,0.1275028128,,0.1519361712,0.0991376496,0.3364501536,0.2656776672,0.0570111696,0.0053360208,0.002808432,0.002808432,0.0002808432,0.0497092464
Jiangxi,0.03189487104,0.08746171668,0.05432095224,0.00797371776,0.01669497156,0.0074753604000000005,0.012957291359999998,0.5202850838399999,0.1146221928,0.011960576639999998,0.043357090319999986,0.11387465675999998,0.17367753996,0.025665404040000003,0.11412383544,0.3513419387999999,0.008721253799999999,0.028904726879999995,0.017442507599999997,0.267867081,0.21454284348,0.03338994312,0.03338994312,,0.06229467,0.05008491467999999,0.00398685888,0.00423603756,0.0034885015200000003,0.0014950720799999993,0.05631438167999999
Shandong,0.7195693449599998,0.72016304904,,0.25529275439999993,0.16979936687999994,0.08430597935999998,0.20839013208,0.16742455055999994,0.8905561199999998,0.19532864232,0.17217418319999994,0.31881909095999994,0.1573315812,0.14308268327999998,0.20423420352,0.2612297952,0.11399118335999996,0.04155928559999999,0.0504648468,0.0949926528,0.08608709159999997,0.061745224319999986,0.06649485696,0.07658782632,0.05105855087999999,0.04927743864,0.02909149992,0.020779642799999998,0.0118740816,0.0011874081599999998,0.4969303149599999
Henan,0.33531934176,,0.5336634326399999,0.07413355872,0.32255462304000004,0.035348451839999996,0.04271271264,0.27738715680000003,0.47524029696,0.02651133888,0.11930102496000003,0.4246723728,0.4344913872,0.28229666400000003,0.1865612736,0.26904099456,0.01865612736,0.056950283520000006,0.06087788927999999,0.11979197568,0.08689827743999999,0.06185979072000001,0.05253172704000001,0.08395257312000001,0.043203663360000005,0.05596838208,0.04074890976,0.021601831680000003,0.01914707808,0.0029457043199999995,0.33040983456
Hubei,0.06878377440000001,0.4133279534400001,0.09817320528000002,0.01657063656,0.0453347604,0.01438206192,0.02563758864,0.33047477063999997,0.16601901912,0.01813390416,0.1141185348,0.17352270360000002,,0.11130465312000001,0.09004421376,0.16195452336000002,0.00969225912,0.03783107592,0.03407923368,0.375184224,0.07847603352,0.16977086136,0.055027019520000005,0.20572601616,0.07878868704,0.06565723920000001,0.018446557680000003,0.007816338,0.0093796056,0.00281388168,0.11380588127999999
Hunan,0.038633296680000005,0.10481902200000004,0.049414681800000006,0.009882936359999999,0.0209638044,0.00868500468,0.013776214319999997,0.91761566688,0.07846452504000001,0.016471560600000004,0.07157641787999999,0.0569017548,0.3644707136400001,0.04043019420000001,0.05450589144000001,0.11050919748000003,0.009583453440000002,0.044922437999999995,0.016471560600000004,,0.06588624240000003,0.08205832008000001,0.06349037904,0.24467754564,0.18627837624,0.20215097100000004,0.0104819022,0.002994829200000001,0.005091209640000001,0.0023958633600000005,0.08115987132000001
Guangdong,0.09045701892,0.7720697671199999,0.13504850712000002,0.031851063,0.04713957324,0.02293276536,0.06752425356000001,,0.20766893075999995,0.06879829607999999,0.90329614668,0.18983233548,1.0854842270399998,0.17963999531999994,0.15543318743999998,0.24461616384,0.04331744568,0.17836595279999998,0.05605787087999999,2.18116079424,0.4331744568,0.45355913712,0.49815062532,0.9364212521999998,0.8230314679199999,2.07541526508,0.02038468032,0.007644255119999999,0.007644255119999999,0.0012740425199999998,0.191106378
Guangxi,0.03898424376,0.06077667816000001,0.04285845432,0.00774842112,0.013317598800000002,0.005327039520000001,0.014528289599999999,1.21408073424,0.03486789504,0.0096855264,0.0762735204,0.024698092320000004,0.05714460576,0.02397167784,0.02566664496,0.0472169412,0.009201250079999999,0.038015691120000014,0.010654079040000002,0.21889289664,0.04358486880000001,0.047701217520000005,0.11719486944,0.043100592480000005,0.13801875119999998,,0.003389934240000001,0.0024213816,0.00290565792,0.00048427632,0.03583644768
Hainan,0.032342347439999995,0.0454680216,0.02590819344,0.011581477199999999,0.01895930712,0.010037280239999998,0.01870194096,0.15287549904,0.02179033488,0.018616152240000003,0.060995779919999986,0.01955982816,0.037146515760000005,0.02453557392,0.02136139128,0.025050306239999997,0.015870913200000003,,0.010037280239999998,0.05087271096,0.02007456048,0.035430741360000004,0.016471434240000003,0.02436399648,0.02496451752,0.04615433136,0.009694125359999998,0.00154419696,0.00231629544,,0.0484706268
Chongqing,0.027054174960000003,0.04641404328,0.0335074644,0.0099281376,0.015140409839999997,0.00521227224,0.01042454448,0.12236429592,0.051626315519999987,0.00819071352,1.07521730208,0.02283471648,0.15562355687999996,0.05758319808,0.039216143519999996,0.055845774,0.00521227224,0.03946434696000001,0.0198562752,0.07148259071999999,0.03648590568,,0.10871310672000001,0.022338309599999998,0.31248813096,0.03946434696000001,0.014892206399999998,0.00670149288,0.0049640688,0.0049640688,0.049640688
Sichuan,0.056846156400000014,0.0957030228,0.0640418724,0.016190361,0.041375367,0.017269718400000002,0.0248252202,0.23529991320000002,0.08454966300000001,0.0176295042,,0.0388568664,0.0978617376,0.203278977,0.064761444,0.0867083778,0.011872931399999998,0.06296251500000001,0.09282473640000001,0.0640418724,0.0604440144,1.1380024854000002,0.38892844979999996,0.0352590084,0.2856699252,0.0604440144,0.046412368200000005,0.0133120746,0.031661150400000004,0.0327405078,0.1147716702
Guizhou,0.0178733304,0.0357466608,0.02422829232,0.0053619991200000005,0.006950739599999999,0.00258170328,0.0053619991200000005,0.22262225976,0.03932132688,0.007149332159999999,0.27187321464,0.0208522188,0.054017176320000006,0.023831107200000003,0.024625477439999998,0.08519620823999999,0.0033760735200000004,0.035548068239999994,0.00814229496,0.18052063704,0.05024391768,0.28974654504,0.34197638831999994,0.044286140880000005,,0.14318523576,0.0023831107199999996,0.0013901479200000002,0.0015887404800000002,0.0003971851200000001,0.027207180719999998
Yunnan,0.028595034720000002,0.050287819680000005,0.02925239184,0.011175071040000002,0.01610524944,0.006244892639999999,0.011503749599999998,0.11898163872000002,0.045028962719999996,0.008216964,0.37896637968,0.023664856319999997,0.045357641280000006,0.02908805256,0.029909748960000003,0.054067623120000005,0.00640923192,0.01281846384,0.01216110672,0.065735712,0.034182570239999994,0.11848862088,,0.027608999039999995,0.32259800664,0.09465942527999999,0.0065735712,0.003944142720000001,0.00230074992,0.00361546416,0.04075614144
Tibet,0.0036477151200000005,0.01505455308,0.00352406376,0.0004636926000000001,0.00191659608,0.00049460544,0.0009273852,0.002782155600000001,0.0027203299200000003,0.00111286224,0.13561462908,0.00414232056,0.0047605773600000005,0.01524003012,0.00129833928,0.00191659608,0.00037095407999999995,0.00213298596,0.01907322228,0.00485331588,0.00098921088,0.01904230944,0.01353982392,0.001545642,0.0027203299200000003,0.00098921088,0.00095829804,0.00102012372,0.041979636720000005,,0.003864105000000001
Shaanxi,0.10610221752,0.31830665255999996,0.11214792792000003,0.020857700880000003,0.28777581504,0.18046445544,0.029321695440000007,0.10187022024000003,0.11154335688000004,0.01874170224,0.31135408560000005,0.07919880624000003,0.13814448264000004,,0.04957482528,0.06710738544000001,0.013905133920000002,0.04020397416000001,0.3748340448,0.045342827999999995,0.038994832080000014,0.07647823656000001,0.038994832080000014,0.031135408560000005,0.032646836160000005,0.0272056968,0.04836568320000001,0.13028505912000002,0.03597197688,0.01420741944,0.13240105776000002
Gansu,0.0271544724,0.0600387876,0.0240404274,0.0082210788,0.019680764400000002,0.048579102000000006,0.006352651800000001,0.029645708399999998,0.0376176636,0.0036122921999999997,0.1047564738,0.0151965396,0.030517641000000005,0.3345729948,0.017438652,0.0215491914,0.0023666742,0.015570225000000004,,0.0108368766,0.0117088092,0.01868427,0.01245618,0.009093011400000002,0.006726337200000001,0.009093011400000002,0.066017754,0.128298654,0.1184582718,0.0041105394,0.040731708600000006
Qinghai,0.01007107344,0.029317065479999998,0.01399708512,0.0014935914000000002,0.006571802160000001,0.0045661222799999995,0.0012802211999999999,0.01147931676,0.0130155822,0.00093882888,0.045789244920000007,0.009388288800000002,0.00951631092,0.03806524368,0.0031578789600000003,0.00699854256,0.00132289524,0.0064437800399999995,0.14385418884,0.004139381879999999,0.00349927128,0.006571802160000001,0.0038406636,0.0011948731200000005,0.0017069616,0.00200567988,0.00849213396,0.00879085224,,0.016898919840000002,0.01147931676
Ningxia,0.01667223324,0.03248096436,0.01600800084,0.004184664120000001,0.01315180152,0.11577570732000002,0.0036532782000000008,0.013948880400000002,0.017469312119999997,0.00192627396,0.016273693800000003,0.009963486,0.010428448680000002,0.13370998212000001,0.0076386726,0.010362025440000002,0.0021255436800000005,0.004915319760000001,0.16154131968000002,0.004450357080000001,0.0050481662400000005,0.008103635279999999,0.00591166836,0.0021255436800000005,0.0016605810000000002,0.00312189228,0.01009633248,,0.00923283036,0.00039853944,0.02065762764
Xinjiang,0.03070858068,0.12064795127999998,0.03865902228,0.00616159224,0.01808725464,0.014310794879999996,0.007453538999999999,0.02951601444,0.03388875732,0.006062211719999999,0.1187597214,0.02226123648,0.028820350799999995,0.077019903,0.016397785800000002,0.02057176764,0.005764070159999999,0.016199024759999996,0.21843838296,0.019279820880000003,0.010931857199999999,0.032298669,0.01013681304,0.005267167560000001,0.00486964548,0.004074601319999999,,0.016298405279999997,0.01908105984,0.00029814156,0.039950969039999985
Taiwan,0.0001920672,0.00032011200000000005,0.0006451488000000001,0.0003841344,0.0002560896,2.95488e-05,0.0002265408,0.012538540800000001,0.005766940799999999,0.0002560896,0.0007731936000000001,0.0005811264,0.0011622528,0.0002265408,0.0075447935999999995,0.0019403712,0.0001920672,0.00012804479999999998,0.0001575936,0.0007436448000000001,0.0075447935999999995,0.0008076671999999999,0.0002560896,0.00032011200000000005,0.0002265408,0.0004186080000000001,,,,,0.0016153344
Hong Kong,0.0005584464,0.0007539026400000001,0.0014519606400000002,0.00067013568,0.00030714552,2.7922320000000007e-05,0.00067013568,0.22346232695999999,0.0026526204,0.0004188348,0.00175910616,0.00064221336,0.00106104816,0.0005584464,0.00759487104,0.00276430968,8.376696e-05,0.00234547488,5.5844640000000014e-05,0.00203832936,0.00946566648,0.00067013568,0.00053052408,0.00114481512,0.00064221336,0.00234547488,2.7922320000000007e-05,5.5844640000000014e-05,2.7922320000000007e-05,,0.00589160952
Macau,0.0017714700000000005,0.002519424,0.0008266860000000001,0.0010825650000000002,0.001476225,0.000570807,0.001220346,0.134080596,0.005983631999999999,0.00045270900000000003,0.0019683,0.001476225,0.003838185,0.0010825650000000002,0.0056883870000000005,0.006318242999999999,0.000925101,0.001456542,0.00025587900000000003,0.0031295970000000005,0.003228012,0.00118098,0.000354294,0.002834352,0.000472392,0.002283228,5.9049e-05,,5.9049e-05,,0.00373977
