,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Guangdong,Shaanxi,Heilongjiang,Hunan,Sichuan,Zhejiang,Jilin,Shanghai,Gansu,Jiangxi,Fujian,Hainan,Yunnan,Chongqing,Guangxi,Guizhou,Ningxia,Hubei,Xinjiang,Qinghai,Tibet,Beijing
Hunan,0.0224780508,0.005425736400000002,0.027516234599999998,0.0480565224,0.0062008416000000005,0.002712868200000001,0.0023253156,0.0383677074,0.087199335,2.07340641,0.027128682,0.0011626578,,0.030229102800000008,0.3821268636,0.0015502104,0.04611875940000001,0.006588394200000001,0.26314821540000005,0.0992134656,0.025190919000000003,0.0496067328,0.0651088368,0.23873240160000006,0.1972642734,0.0007751052000000001,0.0926250714,0.0034879734000000003,0.0031004208000000003,0.0015502104,0.019377630000000003
Guangdong,0.035238602880000004,0.006437821680000001,0.045403584480000016,0.13451658984,0.017280468720000004,0.01558630512,0.006437821680000001,0.059634558720000015,0.07420436568000001,,0.04608124992000001,0.008470818000000001,0.6427656698399999,0.11554195752000003,0.12265744464000004,0.007454319840000002,0.037610431920000006,0.015247472400000003,0.355774356,0.2483643837600001,0.09588965976000002,0.07115487120000001,0.060989889600000013,0.8426769746400001,0.17754834528000002,0.00203299632,0.018635799600000003,0.008470818000000001,0.0044048253600000005,0.0003388327200000001,0.017958134160000003
Guangxi,0.012612215159999999,0.0017043534,0.0119304738,0.02658791304,0.006135672239999999,0.004431318839999999,0.0017043534,0.011248732439999999,0.02488355964,2.56641534972,0.008180896319999999,0.0023860947600000005,0.17009446932,0.02692878372,0.06885587736000001,0.00204522408,0.01295308584,0.0030678361199999995,0.03715490412,0.038177516160000015,0.0238609476,0.11862299664,0.018747887400000003,,0.19327367555999997,0.00034087068,0.004772189520000001,0.0010226120399999998,0.00034087068,,0.004772189520000001
Hainan,0.01461192048,0.0027126090000000004,0.006293252879999999,0.02191788072,0.008752685040000001,0.00788465016,0.0065102616,0.0043401744,0.006908110919999999,0.11834208864,0.010090905479999999,0.01323753192,0.013092859440000002,0.01931377608,0.01233332892,0.007450632719999998,0.006112412279999999,0.005244377399999999,0.0067996065599999975,0.0059677398,,0.00303812208,0.01323753192,0.01721602512,0.01150146216,0.0007233624000000001,0.00159139728,0.00224242344,0.0010488754800000001,0.00010850436,0.01197164772
Chongqing,0.013148574479999998,0.0031737938400000004,0.02244325644,0.03037774104,0.00997478064,0.0036271929600000005,0.0027203947200000003,0.01541557008,0.0521408988,0.29402932932000003,0.04806030672,0.0011334978,0.0918133218,0.7966222538400001,0.21967187364,0.0009067982400000001,0.0272039472,0.011108278440000001,0.02788404588,0.11040268572,0.01405537272,0.08773272972000001,,0.03332483532,0.25934429664,0.0006800986800000001,0.05848848647999999,0.00816118416,0.0031737938400000004,0.007481085479999999,0.008387883720000001
Sichuan,0.041427816119999995,0.011637027,0.07820082144,0.08751044303999997,0.038634929639999996,0.01256798916,0.007913178359999998,0.03118723236,0.17967569688,0.6977561389200001,0.28021961016,0.00325836756,0.05027195664,,0.38821122071999997,0.00325836756,0.07959726467999999,0.08518303764,0.02839434588,0.18293406444,0.032583675599999994,0.54368190144,1.16184077568,0.08378659440000001,0.37657419372,0.00558577296,0.011637027,0.01955020536,0.02467049724,0.0674947566,0.032583675599999994
Guizhou,0.00956359872,0.0018391535999999998,0.017655874559999996,0.022069843199999998,0.0058852915200000005,0.00147132288,0.0011034921599999998,0.02096635104,0.11145270815999997,0.69667138368,0.014713228799999999,0.00036783072,0.29095409952,0.28396531583999995,0.8916216652799999,0.00036783072,0.03052994976,0.004413968639999999,0.09894646367999999,0.18906499008,0.00956359872,0.44544300192,0.2446074288,0.26410245696,,0.0011034921599999998,0.00698878368,0.00036783072,0.00036783072,0.0007356614400000001,0.0055174607999999995
Yunnan,0.011191284,0.003658689,0.020876049,0.0215217,0.006671727,0.0030130380000000004,0.0023673870000000003,0.015710841,0.08092159199999999,0.34197981299999997,0.018939096000000002,0.001076085,0.05810859,0.45109483200000006,0.285808176,0.0012913019999999998,0.022813002000000002,0.006241292999999999,0.02797821,0.06112162799999999,0.004949991,,0.050145561,0.168945345,0.46271655,0.000860868,0.00430434,0.0023673870000000003,0.0012913019999999998,0.003873906,0.007532594999999999
Tibet,0.00016095024,9.510696e-05,0.00025605720000000003,0.00090717408,0.00022679352,6.218532e-05,2.926368e-05,0.00019387188,0.00038774376,0.00070964424,0.00090717408,,0.0004206654,0.012956494320000001,0.00022679352,2.926368e-05,,0.0023959638,0.00012802860000000002,,,0.00233012052,0.00129491784,2.926368e-05,0.00022679352,2.926368e-05,6.218532e-05,0.00022679352,0.01214808516,,9.510696e-05
Shaanxi,0.054774030599999995,0.00946940868,0.06052994568,0.15355296036,0.29967893351999997,0.00631293912,0.19013087232,0.031564695600000005,0.13034362536,0.12495905964000001,,0.00204242148,0.02060988948,0.1355425164,0.10787698908,0.00259944552,0.03564953856,0.2255947362,0.0120688542,0.024137708400000003,0.0040848429600000005,0.021352588199999998,0.029150924760000006,0.01355425164,0.01875314268,0.05904454824,0.019310166719999997,0.01244020356,0.01801044396,0.004641867,0.025437431160000003
Gansu,0.01888354944,0.008767362240000002,0.020344776480000003,0.02944934496,0.01382545584,0.0033720624,0.05058093599999999,0.01034099136,0.06867767088,0.03889111968,0.36598117248000006,0.0005620104000000001,0.00584490816,0.0517049568,0.045410440319999995,0.00044960832,0.02203080768,,0.010453393440000002,0.01663550784,0.0015736291200000006,0.005957310239999999,0.01022858928,0.0024728457600000004,0.004945691520000001,0.1135261008,0.00213563952,0.039565532160000014,0.13859176464,0.005058093600000001,0.0162983016
Qinghai,0.0027019008000000004,0.0005488236,0.0029974211999999997,0.005234932800000001,0.0023219460000000005,0.0006754752000000001,0.0036517878,0.0011609730000000007,0.003356267400000001,0.005783756400000001,0.012876246,8.443440000000001e-05,0.0006965838,0.010005476400000005,0.002870769600000001,0.0001266516,0.0011187558000000002,0.1246885002,0.0011187558000000002,0.0006965838,0.0002533032,0.0007599096000000001,0.0008021268000000001,0.0004010634,0.00014776020000000005,0.0051504984,0.00033773760000000005,0.0045805661999999995,,0.013931676000000002,0.0016464708000000002
Ningxia,0.00444851028,0.00224176896,0.005744532959999999,0.007986301920000001,0.00511403544,0.00077060808,0.08588777328,0.00252199008,0.00690044508,0.0068303898,0.07096599864,0.00014011056,0.0017513820000000001,0.0047287314,0.006269947559999999,0.0001751382,0.0028372388400000003,0.10998678960000001,0.0038530404,0.00346773636,0.0004903869600000001,0.0014361332399999995,0.00115591212,0.00119093976,0.0012259673999999998,,0.0009457462800000001,0.0022767966,0.005814588240000001,0.0001751382,0.00231182424
Xinjiang,0.00433402164,0.00092571336,0.006143370479999999,0.00977609412,0.00171116712,0.00067324608,0.00796674528,0.00178129692,0.004432203360000001,0.0169714116,0.00861193944,0.00025246728,0.0010940248800000005,0.00935531532,0.0032961006000000004,0.00018233748,0.004011424560000001,0.04039476480000001,0.0007714278000000001,0.0007714278000000001,0.00092571336,0.00164103732,0.00248259492,0.0008415576000000001,0.00042077880000000007,0.00235636128,0.0004768826400000001,,0.00465661872,0.0003787009200000001,0.00235636128
Taiwan,,,6.35364e-05,0.00016141679999999998,3.09096e-05,0.00016141679999999998,,0.00025758,0.0030772224000000003,0.005247763199999999,9.61632e-05,,0.00016141679999999998,6.35364e-05,0.0008088011999999999,,0.0036284436,,6.35364e-05,0.0019112436,6.35364e-05,3.09096e-05,3.09096e-05,0.00016141679999999998,6.35364e-05,,,,,,0.00032283359999999995
Hong Kong,6.371136e-05,3.185568e-05,0.0001592784,6.371136e-05,3.185568e-05,0.00012742272,,3.185568e-05,0.00022298976,0.03077656884,0.00012742272,3.185568e-05,6.371136e-05,0.0001592784,0.0002588274,6.371136e-05,0.00097159824,,,0.00106716528,0.0002588274,0.00012742272,0.00012742272,0.0002588274,9.556703999999998e-05,,,,,,0.0007764822000000001
Macau,6.238944e-05,,6.238944e-05,0.0003821353200000001,0.00018716831999999998,6.238944e-05,,0.00031974588,0.0003821353200000001,0.06615620244,0.00018716831999999998,3.119472e-05,0.00099823104,0.00012477888,0.00099823104,6.238944e-05,0.00045232344000000006,,0.0009046468800000001,0.00051471288,0.00028855116,,0.00012477888,0.00048351816,0.00048351816,,,,3.119472e-05,,0.0003821353200000001
