,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Shanghai,Liaoning,Anhui,Heilongjiang,Zhejiang,Shaanxi,Sichuan,Hubei,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.09030385440000002,0.026087780160000004,0.19866847967999998,0.3638910873600001,0.034114789440000015,0.27760073760000004,1.3445240544,0.018060770880000004,1.35857132064,0.03545262432,0.7545388723199999,0.03478370688,,0.0769255056,0.12308080896,0.19599280992000004,0.04414855104,0.19264822272,0.030101284800000006,0.31439119680000005,0.1036822032,0.12241189152,0.46891112544,0.02408102784,0.06020256960000001,0.26689805856000004,0.011371596480000004,0.006689174400000001,0.005351339520000001,0.0006689174400000001,0.09030385440000002
Anhui,0.06791169924,0.023998871159999997,0.21547922615999995,0.5361449939999999,0.02502009972,0.11795189868,2.15019673308,0.01123351416,0.5116355085600001,0.0153184284,,0.01072289988,0.6888186637199999,0.039317299560000005,0.03114747108,0.15931165535999997,0.0204245712,0.05667818507999999,0.00919105704,0.057188799360000014,0.029105013959999995,0.02604132828,0.14246138412,0.011744128440000001,0.0204245712,0.02144579976,0.00561675708,0.004595528519999999,0.0025530714,0.00102122856,0.08578319904
Fujian,0.030453096960000006,0.014055275520000002,0.052600803840000016,0.07410963456000001,0.017675573760000004,0.4802219136000001,0.11499770880000006,0.0063887616000000026,0.10520160768000003,0.015120069120000003,0.06048027648000001,0.011073853440000002,0.3215676672000001,0.031730849280000015,0.06303578112000002,0.06942454272000001,0.021082913280000004,0.07623922176000003,0.00830539008,,0.05366559744000001,0.046212042240000015,0.2461802803200001,0.01000905984,0.047063877120000014,0.08710011648000003,0.005323968000000001,0.0027684633600000004,0.0019166284800000003,0.0004259174400000001,0.04557316608000001
Jiangxi,0.028102920840000004,0.008667255959999998,0.04543743276000001,0.061458724079999985,0.00840461184,0.6169510378799999,0.12843297468,0.0044649500399999995,0.13368585708,0.007616679479999998,0.13210999235999998,0.008667255959999998,0.40709838600000003,0.0210115296,0.02547647964,0.19514458116,0.02285003844,0.33907355892,0.005515526519999999,0.23585441976,0.0223247502,0.02678970024,,0.00840461184,0.043073635679999986,0.0380833974,0.00210115296,0.00157586472,0.00157586472,0.00026264412,0.04123512684
Shandong,0.92650757472,0.23392591991999998,,0.7931640528,0.14713767936,0.15633378432,1.11330345672,0.07241932656000001,0.18909490824,0.12932022599999998,0.29140157592,0.12702119975999998,0.23450067648000003,0.12242314728,0.12357266039999998,0.1206988776,0.044256255120000004,0.07644262248,0.08563872743999999,0.05919992568,0.054601873200000005,0.05402711663999999,0.062073708479999996,0.0316116108,0.043681498560000004,0.0373591764,0.016667940239999998,0.014368913999999998,0.01034561808,0.0017242696799999995,0.36324614592
Henan,0.4064597334,0.0753284448,0.7046348273999999,,0.35467142760000003,0.28038921120000004,0.478649493,0.0376642224,0.17733571380000002,0.0324330804,0.5843185613999999,0.0230170248,0.3002675508,0.29555952300000005,0.0936374418,0.47655703619999995,0.051788305800000003,0.1192700376,0.017785882800000003,0.070620417,0.0564963336,0.0502189632,0.0763746732,0.0434184786,0.043941592800000005,0.0402797934,0.029294395200000007,0.017262768600000002,0.015693426,0.0031386852,0.2657420136
Hubei,0.06446300112,0.01655930304,0.08811914832000001,0.421375122,0.034597115279999986,0.33680439576,0.17061996168,0.012123775439999998,0.09492029064,0.01596789936,0.16914145248,0.011236669920000001,0.15583486968000002,0.09965152008,0.06712431767999999,,0.03341430792,0.43290749376000004,0.00975816072,0.06416729927999999,0.15613057151999998,0.04612948704,0.21527093951999998,0.023360445360000003,0.0561833496,0.053817734879999996,0.0118280736,0.006801142320000001,0.0056183349600000005,0.0014785092,0.07599537288
Hunan,0.037650351960000016,0.011193347880000004,0.05596673940000002,0.09700901496,0.016620425640000002,1.1909043759600002,0.09565224552,0.00814061664,0.06648170256000001,0.013228502040000005,0.05359239288000001,0.012550117320000005,0.12516198084000002,0.036971967240000014,0.04646935332000001,0.43891491384,0.04613016096000001,,0.007801424280000002,0.06275058660000002,0.07869262752,0.05291400816000001,0.3154488948000001,0.010854155520000002,0.23336434368000006,0.19503560700000008,0.0057662701200000025,0.0033919236000000005,0.0027135388800000005,0.0013567694400000005,0.060715432440000015
Guangdong,0.09439598088,0.03642049656,0.13676268096000002,0.30771603216000004,0.043853250960000006,,0.22595573376000005,0.0260146404,0.19548144072000004,0.045339801840000006,0.12635682480000002,0.051286005360000005,0.26237623031999996,0.11595096864000005,0.26460605664000003,0.4273833780000001,0.20588729688,1.17957812328,0.037907047440000015,0.3961658095200001,0.19473816528000004,0.20365747056000005,0.5894174239200001,0.030474293039999996,1.4040473061600005,0.30176982864,0.017095335120000003,0.010405856160000004,0.006689478960000001,0.002973101760000001,0.15088491432
Guangxi,0.028661875919999996,0.0061219540799999994,0.03923616024,0.044245031760000005,0.0083481192,1.63261384488,0.04090578408,0.00445233024,0.030609770400000007,0.012243908159999999,0.022539921840000005,0.01057428432,0.04814082072,0.02031375672,0.042575407919999995,0.051480068399999995,0.044801573039999994,0.23096463120000002,0.006400224720000001,0.044245031760000005,0.03589691256,0.11770848072,0.042575407919999995,0.006956766,,0.16751892527999998,0.0027827064,0.0013913532,0.0016696238399999993,0.00027827064,0.028661875919999996
