,Hebei,Henan,Shandong,Tianjin,Heilongjiang,Shanxi,Liaoning,Inner Mongolia,Jilin,Anhui,Hunan,Shaanxi,Guangdong,Jiangsu,Gansu,Sichuan,Shanghai,Zhejiang,Guizhou,Jiangxi,Chongqing,Fujian,Hainan,Xinjiang,Yunnan,Guangxi,Ningxia,Hubei,Qinghai,Tibet,Beijing
Chongqing,0.02211775956,0.03947600124,0.019877986440000002,0.008399149199999999,0.00307968804,0.01231875216,0.00811917756,0.003919602960000001,0.00307968804,0.02575739088,0.10162970532,0.03583636992,0.49526983116000006,0.09015086808,0.01763821332,0.9440643700799999,0.08119177559999999,0.11394845748,0.23629606416,0.03583636992,,0.14082573492,0.013718610359999998,0.01651832676,0.12654718127999998,0.06187373244,0.00587940444,0.07811208756,0.00587940444,0.0033596596799999995,0.042275717639999995
Sichuan,0.05723099063999999,0.09661011264,0.04567978152,0.018901978559999998,0.00840087936,0.03465362736,0.02047714344,0.01207626408,0.006300659520000001,0.040429231919999996,0.11656220112,0.15279099336000002,1.0648114588800002,0.21107209392,0.07823318904,,0.16329209256,0.223148358,0.4174186932,0.048305056320000005,1.1908246492799999,0.20319626952,0.026252748000000003,0.055130770800000006,0.5229547401600001,0.15909165288,0.01365142896,0.0446296716,0.039379122,0.04095428688,0.12706330032
Guizhou,0.006050991599999999,0.01875807396,0.00887478768,0.0034288952399999994,0.0010084985999999998,0.0024203966399999987,0.0016135977599999998,0.0008067988799999999,0.0008067988799999999,0.015127478999999997,0.15651898271999998,0.014522379839999997,0.39210425568,0.05607252215999999,0.0024203966399999987,0.2507127519599999,0.0332804538,0.15066969083999998,,0.048811332239999984,0.19040453568,0.09116827343999998,0.007866289079999998,0.0008067988799999999,0.3568068046799999,0.16761246732,0.0006050991599999997,0.006252691319999997,0.0012101983199999994,,0.02581756416
Yunnan,0.012532164480000002,0.018228602880000003,0.01182010968,0.003987506880000001,0.00555402744,0.008687068559999999,0.00612367128,0.0031330411200000004,0.003560274000000001,0.012104931600000002,0.04542909624,0.01694690424,0.13500559008000004,0.031330411200000005,0.0058388493599999996,0.4269480580800001,0.020079945360000004,0.061948767599999996,0.3244121668800001,0.013244219280000004,0.07775638416000001,0.02221610976,0.00441473976,0.005981260320000001,,0.10495687752000002,0.00170893152,0.00526920552,0.0041299178399999996,0.0021361644000000004,0.025491561840000003
Tibet,0.00047709,0.002814831,0.0009064709999999998,0.0002576286,0.0002194614,0.0006774677999999999,0.0003148794,0.000381672,0.00012404339999999998,0.0003530466,0.001192725,0.004856776199999999,0.0025858278,0.0009350964,0.0061830864,0.0252666864,0.0009064709999999998,0.001288143,0.0005152571999999999,0.0005438825999999999,0.004017097799999999,0.0003530466,0.0002194614,0.00015266879999999998,0.0033682554,0.00047709,0.000381672,0.00012404339999999998,0.0338161392,,0.0015457716
Shaanxi,0.04840212347999999,0.09112842792,0.04761381528,0.02396456928,0.00504517248,0.15293179079999994,0.009617360039999998,0.08639857872000001,0.00362621772,0.02538352404,0.0346855608,,0.15450840719999998,0.09412399907999998,0.15908059476,0.13290876251999995,0.05596988219999999,0.05076704808,0.0165544722,0.009617360039999998,0.031532328,0.01955004336,0.0047298492,0.024279892560000002,0.013558901039999998,0.009617360039999998,0.0662178888,0.02065367484,0.03405491424,0.0015766163999999998,0.14552169371999998
Gansu,0.01999072224,0.02823431904,0.025864284959999997,0.020712036959999992,0.0015456743999999998,0.0139110696,0.00443093328,0.03307743215999999,0.0014426294400000002,0.01123190064,0.00803750688,0.22608064224,0.03761141039999999,0.04245452352,,0.07522282079999998,0.02823431904,0.020608992,0.0056674728,0.00340048368,0.014632384319999997,0.006904012319999999,0.00237003408,0.08779430591999997,0.004740068159999999,0.0030913488,0.12643616591999998,0.0032974387199999995,0.09665617248,0.00267916896,0.07244060688
Qinghai,0.0021706542,0.004371667199999999,0.003946644000000001,0.0010018403999999999,0.0003187674,0.0012295314000000002,0.00044020260000000004,0.0015482988000000005,0.0002884086,0.0013509666,0.0010018403999999999,0.013919509800000002,0.0046600758,0.003946644000000001,0.063373995,0.013737357000000002,0.0018063486,0.0022313718,0.0013509666,0.00015179400000000002,0.0017152722,0.0008652258,0.0005768172,0.006405706800000001,0.0013813254000000002,0.0006375348,0.0035216208000000003,0.00044020260000000004,,0.006511962600000001,0.0066637566
Ningxia,0.004871560320000001,0.006172488360000001,0.00478852236,0.0040688600399999995,0.00135628668,0.0048438809999999995,0.001383966,0.0530058978,0.0008027002799999999,0.0015500419200000005,0.0012178900800000002,0.05117906268,0.007168943880000001,0.006089450400000001,0.07506631584000001,0.006504640200000001,0.006200167680000001,0.00445637052,0.0004982277600000001,0.00102413484,0.002491138800000001,0.0008580589199999999,0.0004151898000000001,0.0044840498400000005,0.00146700396,0.00130092804,,0.0004705484400000001,0.0048438809999999995,0.00011071728,0.017631726840000004
Xinjiang,0.002579762520000001,0.009943190640000002,0.005945412959999999,0.0029727064799999997,0.0007346343600000001,0.0015717758400000002,0.0018622126800000003,0.0022893256800000004,0.00061504272,0.0015717758400000002,0.0018622126800000003,0.014675602680000004,0.015666504840000005,0.0069533996400000025,0.031913883360000006,0.017784985320000002,0.00720966744,0.0036560872800000008,0.0011959164,0.00061504272,0.004271130000000001,0.0018109591200000004,0.0022551566400000004,,0.0018963817200000003,0.0013496770800000006,0.0036560872800000008,0.00041002848,0.005825821320000001,0.00011959164000000005,0.01728953424
Taiwan,0.00057890376,0.0004177656,0.0011637756,0.0008414992800000002,0.00012532968,0.00019097856,0.00103247784,0.00012532968,2.98404e-05,0.0008414992800000002,0.001193616,0.0005132548799999999,0.019629015120000003,0.00867758832,5.96808e-05,0.0011637756,0.00563386752,0.00187397712,9.548928e-05,0.0004834144800000001,0.00025662744,0.00754365312,0.00016113816,2.98404e-05,9.548928e-05,0.00061471224,,0.00016113816,,,0.0014204030399999998
Hong Kong,0.0007323696000000001,0.0014464299599999998,0.0016844500799999998,0.0008605342799999997,0.00031125708,0.00018309240000000002,0.0010619359199999998,0.00012816468000000002,0.0003844940399999999,0.00097038972,0.00225203652,0.0006957511199999999,0.12117055032,0.004632237720000001,0.00021971088,0.00388155888,0.007158912840000001,0.005657555159999999,0.0014464299599999998,0.0009337712400000001,0.00181261476,0.006884274239999997,0.0014464299599999998,0.00014647392,0.0007689880799999999,0.0021055626000000003,0.00012816468000000002,9.154620000000001e-05,,,0.006371615519999999
Macau,0.00079391664,0.0013893541200000002,0.000902178,0.0007758730800000001,0.0005052196800000001,0.0006134810400000001,0.00041500188,1.804356e-05,0.0006315245999999999,0.00095630868,0.00212914008,0.00041500188,0.14445674136,0.0029771873999999998,1.804356e-05,0.0013893541200000002,0.00375306048,0.0029952309600000003,0.0008660908800000001,0.00212914008,0.00041500188,0.0012269620800000002,0.00095630868,1.804356e-05,0.000451089,0.0019667480399999998,,,,,0.00232761924
