,Hebei,Shandong,Henan,Guangdong,Tianjin,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Jilin,Hunan,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0697737564,0.17996817167999998,0.2598470928000001,0.27139585248000003,0.01587954456,1.02206523168,0.03031549416,0.04042065888,0.012992354640000002,,0.11933718335999999,0.058224996720000005,0.7011059522399999,0.144359496,0.03753346896,0.5331677385600001,0.024059916,0.26995225751999996,0.01876673448,0.12896114976,0.07506693792000001,0.08036011944,0.35945514504000003,0.04763863368,0.01972913112,0.14050990944,0.00914276808,0.0072179748,0.004811983200000001,0.00144359496,0.11885598504
Anhui,0.0569939328,0.17276285879999995,0.37437889608,0.10935710856,0.012467422799999996,1.3564556006399997,0.02350999728,0.017810604,0.008192877840000001,0.5264814542399999,0.035264995919999986,0.037046056319999986,0.27820163448,0.11256301728,0.02066030064,,0.008192877840000001,0.04844484288,0.007124241599999998,0.044882722080000007,0.030278026800000003,0.022441361040000003,0.1086446844,0.01994787648,0.0106863624,0.01531711944,0.003918332879999999,0.00249348456,0.00249348456,0.0007124241599999999,0.08834059584
Fujian,0.025052328,0.047599423200000004,0.052776904320000005,0.36810220608,0.006680620799999999,0.10238051376,0.01202511744,0.01987484688,0.00400837248,0.25987614911999996,0.05578318368,0.02304814176,0.06162872688000001,0.0509397336,0.0225470952,0.04726539216,0.01068899328,,0.00551151216,0.05745333888,0.04108581792,0.03574132128,0.18972963072000001,0.04192089552,0.008350775999999999,0.05227585776,0.0041753879999999995,0.00217120176,0.0023382172800000003,0.0008350775999999999,0.05294391984
Jiangxi,0.02325260520000001,0.037415555640000014,0.047139372360000015,0.5018334976800001,0.004439133720000001,0.11076695568000004,0.008666880120000001,0.008032718160000002,0.0035935844400000008,0.3604153806000001,0.02726896428000001,0.016276823640000004,0.08138411820000002,0.13401956088000005,0.021984281280000004,0.10400256144000004,0.005918844960000003,0.19806991884000005,0.004861908360000001,0.23886767160000005,0.02367537984000001,0.02494370376,,0.042066076680000015,0.0069757815600000024,0.02726896428000001,0.0012683239200000002,0.0014797112400000006,0.0008455492800000003,,0.043334400599999996
Shandong,0.7245144986399998,,0.5772303583199998,0.14640219935999998,0.13758278976,0.7955107459199999,0.12038494103999997,0.13361405543999996,0.04762481184,0.21431165328,0.07628789303999997,0.09348574175999998,0.12082591151999998,0.08290245023999998,0.0396873432,0.19534992263999995,0.07011430631999999,0.06261780815999997,0.04894772328,0.059090044319999986,0.05247548711999998,0.044097047999999986,0.04674287087999999,0.040128313679999986,0.02248949448,0.025576287839999996,0.014992996319999997,0.011024261999999998,0.006614557199999999,0.0026458228799999995,0.3876130519199999
Henan,0.31496350392,0.54972409968,,0.26567213328,0.047620476719999985,0.39015373032,0.27277343244,0.037595113199999995,0.0271520262,0.27695066724,0.08813965428,0.22724157311999998,0.10944355176,0.323735697,0.053050881960000004,0.40560949908,0.014202598319999999,0.06558258636000001,0.011696257440000002,0.0918991656,0.055557222839999996,0.0480382002,0.06224079852000001,0.04344324192,0.03592421928,0.03383560188,0.0250634088,0.01503804528,0.0125317044,0.0033417878400000003,0.2623303454400001
Hubei,0.04718855232,0.06987535632,0.28018202940000003,0.31602717972,0.00862098552,0.13544021988,0.021552463799999998,0.01520015868,0.007259777280000002,0.1406581848,0.0760007934,0.07463958516,0.05626327392000001,,0.029039109120000007,0.10277122212,0.00657917316,0.0578513502,0.0056717009999999995,0.3037763055600001,0.13861637244,0.0351645462,0.14655675384000005,0.04355866368,0.010209061800000002,0.031988393639999994,0.0049910968799999995,0.00476422884,0.00272241648,0.00090747216,0.08802479952
Hunan,0.02736692244,0.047270138760000004,0.07270202628,0.98742067632,0.005805104760000001,0.08818230563999999,0.014927412240000002,0.01188664308,0.00635797188,0.1326881088,0.052798809960000005,0.02791978956,0.04035929976,0.29053167156,0.0442293696,0.04063573332,0.00801657324,0.06247398456,0.0055286712,,0.07159629204,0.05445741132,0.23220419039999998,0.19101558996,0.00856944036,0.15563209428,0.00442293696,0.00359363628,0.00248790204,0.0008293006799999999,0.0663440544
Guangdong,0.06856411536,0.1123032924,0.20332806624000002,,0.018323168759999998,0.22224230496,0.033099917760000014,0.044921316960000006,0.016549958880000003,0.25061366304,0.24056547371999998,0.09102477383999999,0.12353362164000001,0.2801671610400001,0.18441382752,0.09870868332,0.035464197600000004,0.3812401242,0.02482493832,0.8777388906,0.15308711964000002,0.15899781924,0.46635419844,1.15435963188,0.025416008280000003,0.18204954767999998,0.01063925928,0.008866049400000001,0.00531962964,0.0017732098800000002,0.20037271644000001
Guangxi,0.0213169968,0.03096574272,0.031863300479999995,1.29741974208,0.00246828384,0.0403900992,0.006956072639999999,0.010995082560000001,0.0038146204799999997,0.045775445760000005,0.050936402879999995,0.011892640320000002,0.01884871296,0.03747303648,0.04128765696,0.0190731024,0.00628290432,0.03859498368,0.00359023104,0.18197983584,0.031638911039999995,0.09873135359999999,0.031863300479999995,,0.0044877888,0.13037026463999998,0.00134633664,0.00179511552,0.0022438944,0.0006731683199999999,0.03388280544
