,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Inner Mongolia,Guangdong,Anhui,Sichuan,Shanghai,Heilongjiang,Hubei,Zhejiang,Shaanxi,Liaoning,Hainan,Hunan,Jilin,Chongqing,Jiangxi,Yunnan,Gansu,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.6649231064400001,0.7874218364400001,0.17443819151999998,,0.15287841504000002,0.88297084584,0.06712930404,0.14650848108,0.26508725172000003,0.11465881127999998,0.15973834392,0.12935865888,0.11367882144000001,0.21020782068,0.12004875539999998,0.10240893828,0.04556952756,0.07447922784,0.08476912116,0.05585942088,0.06663930912,0.0587993904,0.04605952248,0.06222935484,0.04605952248,0.04605952248,0.02302976124,0.02106978156,0.01077988824,0.00146998476,0.15826835915999998
Henan,0.2665576836,,0.0567710208,0.5801288687999999,0.3038136659999999,0.4071546648,0.035481888,0.25946130599999995,0.4918676724,0.093139956,0.14724983519999998,0.0212891328,0.4071546648,0.2536954992,0.2643400656,0.025280845199999995,0.0567710208,0.1188643248,0.019958562000000003,0.054996926399999986,0.0780601536,0.0527793084,0.052335784799999986,0.07939072439999999,0.0483440724,0.0447958836,0.035925411600000005,0.019958562000000003,0.0168538968,0.0035481888,0.1299524148
Hubei,0.05119211988,0.43415393472,0.014826133080000001,0.08783784504,0.03972284712,0.15469531308,0.012028749479999998,0.31582460843999993,0.15413583635999994,0.07524961883999999,0.08000517096,0.011749011119999998,,0.14518420884000002,0.09678947256,0.01090979604,0.03440781828,0.39275265744000004,0.0097908426,0.15721295831999998,0.1930194684,0.0475555212,0.02489671404,0.06517903788,0.05902479395999999,0.056507148720000004,0.01426665636,0.00671372064,0.0055947672,0.00167843016,0.03888363204
Hunan,0.0329434776,0.1099087704,0.0107868024,0.0516017304,0.0192413232,0.08687748960000001,0.006996844799999999,0.9160035984,0.050144054400000006,0.0565578288,0.055683223199999986,0.0096206616,0.3754973376,0.11836329119999997,0.0373165056,0.0075799152000000005,0.047811772799999985,,0.00728838,0.0775483632,0.2737515528,0.0565578288,0.01457676,0.059181645599999985,0.201159288,0.1775449368,0.0096206616,0.0040814928,0.0032068872000000003,0.0011661408,0.0314858016
Guangdong,0.061743034079999995,0.38538509184,0.0271397952,0.10991617056,0.03663872352,0.20965491792,0.01831936176,,0.12552155280000002,0.2863248393599999,0.16216027632000002,0.04138818768,0.47766039552,0.21915384624,0.1085591808,0.0271397952,0.18862157664,1.12833698544,0.02849678496,0.20151297936,0.5733281735999999,0.20761943328,0.02985377472,0.35756680175999994,1.25996499216,0.29378828304,0.014248392479999997,0.00746344368,0.00474946416,0.00203548464,0.06920647776000001
Guangxi,0.02388355632,0.047348102880000006,0.004818612240000001,0.02954018808,0.009427719600000002,0.035825334480000005,0.00398059272,1.0885873564800004,0.021579002640000004,0.04336751016,0.025350090480000004,0.008589700079999998,0.043786519919999996,0.040853451600000014,0.01843642944,0.00670415616,0.03896790768000001,0.19127795544000006,0.00607564152,0.0303782076,0.03938691744,0.11397065472000002,0.0073326708000000015,0.033311275920000015,,0.16110925272000004,0.0027235634400000004,0.0012570292800000002,0.0010475244,0.00041900976000000013,0.011732273280000005
Hainan,0.0289357596,0.0487071144,0.0134920404,0.033602817599999994,0.0218927448,0.0333482508,0.011116083600000002,0.16911721079999997,0.0184985208,0.046246302,0.034027095599999994,0.0280872036,0.0262203804,0.0302085936,0.0231655788,0.0106918056,,0.039288142799999995,0.015274008000000004,0.0295297488,0.0190076544,0.0210441888,0.007637004000000002,0.0196016436,0.038609298,0.025796102400000003,0.0060247476,0.0043276356,0.002969946,0.0003394224,0.039882132
Chongqing,0.016204179599999997,0.04652914427999999,0.007870601520000001,0.03078794124,0.014815249919999999,0.05069593332,0.006481671840000001,0.12708706572,0.02291733972,1.00789997112,0.040973425560000006,0.00532423044,0.16528263191999998,0.056946116879999994,0.053936769239999995,0.00439827732,0.0381955662,0.08171536283999999,0.0034723242,,0.02013948036,0.0914378706,0.016204179599999997,0.033797288880000005,0.03310282404,0.28449909612,0.013657808519999998,0.005787207,0.00439827732,0.00532423044,0.0208339452
Sichuan,0.03815636544,0.08970092928000001,0.01405760832,0.0552263184,0.03246638112,0.07765155071999999,0.0133881984,0.20383532064,0.0317969712,,0.0552263184,0.010710558719999999,0.07832096063999999,0.08133330528,0.18609595776,0.008367624,0.06325923744,0.05422220352000001,0.00870232896,1.12159632096,0.0267763968,0.48097102752,0.08066389536,0.046858694400000005,0.048197514239999996,0.27914393664000003,0.033135791039999994,0.012049378559999999,0.030123446400000007,0.03280108608,0.045854579519999994
Guizhou,0.01002706776,0.03271125384000001,0.0032875632000000012,0.01873911024,0.006903882720000001,0.034519413600000014,0.0027944287200000013,0.16914512664,0.014794034400000003,0.25034793768,0.02054727000000001,0.0029588068800000004,0.028601799840000008,0.0706826088,0.01808159760000001,0.0024656724000000005,0.022026673440000002,0.15320044512000006,0.0026300505600000005,0.26908704792000004,0.023012942400000003,0.2914424776800001,0.0037806976800000007,0.03419065728,0.13972143600000006,,0.0014794034400000002,0.0019725379199999997,0.0009862689599999998,0.0006575126400000001,0.009862689600000002
