,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07552033056,0.16693967808000001,0.02335168116,0.2832012396,0.26432115695999997,1.00660651128,0.03030750108,0.041734919520000004,0.015402172680000001,0.80687511072,,0.06508660068000001,0.03825700956,0.15302803824,0.5390760438000001,0.026332746839999997,0.022357992599999998,0.14408484119999998,0.2533905828,0.08545721616,0.07999192908,0.07999192908,0.3626963244,0.04918758372,0.02037061548,0.19078820352,0.010433729880000001,0.005465287080000001,0.00447159852,0.00099368856,0.11328049583999998
Anhui,0.058713190199999994,0.1651992246,0.0185985882,0.38801760479999997,0.1134149202,1.4032817136000002,0.0222453702,0.015316484399999997,0.007658242199999998,0.3446208989999999,0.5047146288000001,0.0368324982,0.017504553599999997,0.11924977140000001,,0.0105756678,0.008387598599999999,0.047043487800000006,0.0481375224,0.0240687612,0.022974726600000002,0.020057301000000003,0.1046626434,0.01823391,0.009116955,0.017504553599999997,0.004376138399999999,0.004376138399999999,0.0014587128,0.0007293564,0.08460534239999999
Fujian,0.026528170680000004,0.048325202639999995,0.01064506212,0.06302552652000001,0.36987366636,0.09834009767999999,0.01334856996,0.018924554880000003,0.00490010796,0.07924657356,0.24348467484,0.025683324480000002,0.0219660012,0.054915003,0.047311387199999985,0.009462277440000002,0.00726567732,0.06353243423999999,,0.04021467912,0.04089055608,0.0397077714,0.18096605604,0.038018079,0.007941554279999999,0.06437728044,0.004562169479999999,0.0027035078399999996,0.00152072316,0.0005069077200000001,0.056435726160000005
Jiangxi,0.021403524240000003,0.0383648076,0.00666336132,0.05088385008,0.4632045717600001,0.10742146127999999,0.006865281359999999,0.008076801599999999,0.0032307206400000003,0.0918736182,0.31963942331999995,0.01877856372,0.02099968416,0.14215170816,0.09793121939999998,0.007471041479999999,0.004644160919999999,0.24553476864,0.18132419592,0.02342272464,0.01696128336,0.0171632034,,0.03654752724,0.005855681159999999,0.02766304548,0.00222112044,0.0020192004,0.0010096002,0.0008076801600000001,0.04502816892
Shandong,0.7218382132800001,,0.16356695472000002,0.6137255822400001,0.15983893295999999,0.82296080352,0.11603467728,0.14585885135999999,0.06477437807999999,0.15424690032,0.21249724032,0.104850612,0.04380425568,0.09413254944,0.21529325664,0.10112259024,0.06896840256,0.06477437807999999,0.06058035360000001,0.05079429648,0.06663838896,0.04147424208,0.053590312800000005,0.04007623392,0.024698144159999998,0.028892168639999997,0.01677609792,0.014446084319999998,0.007922046240000001,0.00186401088,0.37420018416
Henan,0.32587271999999995,0.5448591878399999,0.0586570896,,0.26417415168,0.39843371232,0.27416758175999995,0.03953922336,0.027807805439999996,0.1325215728,0.28025053920000004,0.23636634624000002,0.05344312608,0.38713679136,0.42754500864,0.01694538144,0.013903902719999998,0.0999343008,0.07734045887999999,0.04909815648,0.07038850752,0.0456221808,0.06865051968000001,0.0456221808,0.03953922336,0.03823573248,0.026504314559999995,0.01433839968,0.011296920959999998,0.0030414787200000004,0.2650431456
Hubei,0.048741095519999986,0.06521068944,0.012686038559999994,0.29556244223999995,0.2882178936,0.13442749631999998,0.02047571136,0.0144665352,0.0073445486399999985,0.06877168271999999,0.13108906511999996,0.07856441423999999,0.0300458808,,0.10927798128,0.007789672799999999,0.006454300319999999,0.31559302944,0.052969775039999986,0.03872580191999999,0.03850323984,0.11395178496,0.15156477647999994,0.042509357279999986,0.011573228159999996,0.031158691199999995,0.0057866140799999995,0.005341489919999999,0.0033384312,0.0013353724799999994,0.08813458367999998
Hunan,0.028953106560000007,0.042654130199999994,0.0090478458,0.07083170712,0.90116544168,0.08013806279999999,0.016027612559999998,0.011115924840000001,0.0051701976,0.046790288279999995,0.11529540648,0.031538205359999995,0.0400690314,0.29495977308000004,0.0400690314,0.00956486556,0.0077552964,,0.05635515384,0.05015091672,0.0310211856,0.05402856492,0.2287812438,0.1732016196,0.008013806279999999,0.1473506316,0.0051701976,0.00336062844,0.003619138320000001,0.0015510592799999998,0.06592001939999999
Guangdong,0.06827434919999999,0.1119938886,0.026950401,0.2299767552,,0.2144054124,0.034137174599999986,0.048510721799999997,0.0155713428,0.1712847708,0.2401580178,0.0964225458,0.1862572158,0.30424008239999994,0.104807115,0.0383294592,0.028148196599999994,0.9115224516,0.3587397822,0.17667485100000002,0.17068587300000002,0.1395431874,0.4683380796,1.1265267618,0.0233570142,0.22578447059999995,0.012576853799999996,0.008983467,0.005988978000000001,0.0017966933999999995,0.2078175366
Guangxi,0.020236392,0.03156877152,0.0044520062400000004,0.03622314168,1.11138264864,0.032580591119999995,0.008296920719999998,0.01092765168,0.00364255056,0.02408130648,0.04188933144,0.017808024960000002,0.04512715416,0.0394609644,0.01679620536,0.00930874032,0.00546382584,0.1649265948,0.03460423032,0.10037250432,0.031164043680000003,0.02570021784,0.03156877152,,0.005059098,0.12566799432,0.0020236392000000003,0.00182127528,0.0014165474400000002,0.0008094556799999999,0.032782955040000006
