,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Anhui,Sichuan,Jiangsu,Shaanxi,Jilin,Guangdong,Gansu,Zhejiang,Hunan,Hainan,Jiangxi,Fujian,Hubei,Chongqing,Yunnan,Shanghai,Guangxi,Xinjiang,Ningxia,Guizhou,Qinghai,Tibet,Beijing
Zhejiang,0.0597392172,0.2006773704,0.5289530687999999,0.0481393692,0.049299354,0.011599848000000001,0.0498793464,0.0162397872,1.3212226872,0.2192371272,0.7168706063999999,0.08931882960000001,0.035379536399999995,0.1049786244,0.060319209599999986,,0.182697606,0.0359595288,0.7476102036000001,0.2720164356,0.121798404,0.133398252,0.09511875359999998,0.3688751664,0.06843910319999999,0.01449981,0.0063799164,0.1687777884,0.007539901199999998,0.0011599848,0.0359595288
Anhui,0.04088663568,0.14293427184000002,0.8278698959999999,0.017909022240000003,0.012840431040000001,0.00777183984,0.01047508848,0.00540649728,,0.04021082352,1.3174958059200002,0.037169668800000014,0.00777183984,0.04764475728,0.014529961440000001,0.25647071472,0.044603602560000004,0.014529961440000001,0.135162432,0.04088663568,0.06251262480000001,0.03074945328,0.01959855264,0.14394799008,0.01385414928,0.004054872960000001,0.00236534256,0.01757111616,0.00236534256,0.00067581216,0.047982663360000004
Fujian,0.026043145920000003,0.04238394336,0.10230020063999999,0.015659930880000002,0.0204259968,0.00970234848,0.01480884768,0.0057873657600000005,0.08102312063999999,0.13327962912,0.06536318976,0.03285181152,0.010383215040000001,0.18706808735999997,0.02008556352,0.16459949088,0.07132077216000003,0.01293646464,0.35268887808,,0.04663935936000001,0.06519297312000001,0.03302202816,0.03455397792,0.035234844480000006,0.0057873657600000005,0.00306389952,0.05889495744,0.00221281632,0.00051064992,0.024000546239999997
Jiangxi,0.0137681856,0.02631253248,0.05583764159999999,0.008413891199999999,0.007190052479999999,0.0018357580799999995,0.00780197184,0.0029066169599999995,0.13630503743999994,0.03304364544,0.06700516991999997,0.014227125119999998,0.004742375039999999,0.22136182848,0.0122383872,0.1805162112,0.30488882112,0.01912248,,0.14273019071999998,0.09974285567999998,0.02462975424,0.01713374208,0.0298310688,0.042069455999999984,0.00168277824,0.0015297984,0.02891318976,0.00137681856,0.00030595968,0.015145004159999998
Shandong,0.5076189129600001,,0.65107643184,0.06979014431999997,0.08798330160000001,0.0805270896,0.09424651968,0.03191258736,0.16672090032,0.07277262911999999,0.49270648896,0.06114093839999999,0.07038664128,0.0477197568,0.03012309648,0.06382517472,0.023263381439999998,0.03459682368,0.02922835104,0.04294778112,0.027737108639999997,0.02505287232,0.034000326719999995,0.03638631456,0.019087902719999997,0.013421181600000002,0.0065614665600000005,0.01550892096,0.009543951359999999,0.0008947454399999998,0.12407136768
Henan,0.27346634208000004,0.5698390143600001,,0.1744405146,0.023611140360000005,0.020791899720000003,0.019029874320000004,0.015153418440000004,0.7474511746800001,0.10889316972000002,0.21990076992000004,0.23505418836,0.0105721524,0.11699848656000003,0.03735493848,0.0933873462,0.07964354807999999,0.09479696652,0.050746331520000014,0.04722228072000001,0.19946127528000004,0.056737217879999996,0.04087898928,0.042641014680000006,0.039821774039999994,0.02713519116,0.01021974732,0.02502076068,0.008105316840000001,0.0024668355600000005,0.12263696784000001
Hubei,0.06361326899999999,0.07633592279999997,0.465034932,0.0293937174,0.012283941599999999,0.028516292999999998,0.007896819599999999,0.006580683,0.17943328979999998,0.17767844100000002,0.2601563346,0.1675880604,0.006580683,0.8129337066000001,0.02193561,0.22549807079999995,0.7199267201999999,0.020619473399999998,0.2474336808,0.0688778154,,0.375098931,0.0267614442,0.11932971839999999,0.0561551616,0.003948409799999999,0.0030709853999999997,0.068000391,0.002193561,,0.125032977
Hunan,0.01881149184,0.031956871679999985,0.08680483583999997,0.012918735359999996,0.009292423679999995,0.003852956159999999,0.008612490239999998,0.00498617856,0.04578218495999999,0.07683247871999999,0.04487560703999999,0.033996671999999985,0.005666111999999999,0.4471695590399999,0.014051957759999996,0.04850191872,,0.036489761279999984,0.3222884505599999,0.04487560703999999,0.2998506470399999,0.12352124159999996,0.04147593983999999,0.016998335999999996,0.2028468096,0.007252623359999998,0.003626311679999999,0.20647312127999995,0.0022664448,0.0006799334399999997,0.05371474175999999
Guangdong,0.08500477932000003,0.14231137212000006,0.51862466484,0.06972302124000003,0.07831901016000001,0.023877747000000005,0.07163324100000001,0.028653296400000007,0.18242598708,0.5539637304,0.14422159188000006,0.20439351432000005,0.05157593352000001,,0.07258835088000001,0.14613181164000005,1.7277937729200004,0.17287488828000006,0.8815664192400002,0.4995224672400002,0.34861510619999997,0.26647565652000005,0.18051576732000005,0.08022922992,2.0916906372,0.0334288458,0.017191977840000004,0.27793697508000004,0.013371538320000004,0.0028653296400000003,0.09742120776000003
Guangxi,0.0316491138,0.0253835532,0.0456261336,0.012531121200000002,0.014458986000000004,0.0049803174,0.0091573578,0.0046590066,0.025704863999999997,0.09060964560000001,0.0220097898,0.023295033,0.007390148399999999,0.4798776798000001,0.0097999794,0.027311418000000004,0.2997829764,0.0247409316,0.044180235,0.029560593599999997,0.023295033,0.0445015458,0.0902883348,0.014137675200000003,,0.0041770404,0.0024098310000000003,0.16499309580000002,0.0017672094000000004,0.0008032769999999999,0.0202425804
