,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Sichuan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.024997815000000003,0.03379704588,0.00679940568,0.042796259280000006,0.13618809612,0.05519517552,0.01539865404,0.01159898616,0.007199370720000001,0.034396993439999995,0.062194563720000005,0.05019561252,0.041196399120000005,0.14298750180000006,0.0053995280400000005,0.020398217040000003,0.06919395192000001,0.7167373516800001,0.0053995280400000005,0.036396818639999995,0.09319185432,,0.019798269480000002,0.0389965914,0.01359881136,0.23997902399999999,0.008599248359999999,0.0037996678799999996,0.0037996678799999996,0.00639944064,0.048995717400000006
Sichuan,0.046754220600000014,0.0548046162,0.0126948546,0.0901025046,0.2365577784,0.0801943254,0.0331304742,0.0210548808,0.0120755934,0.051089049,0.095985486,0.16565237100000002,0.061616489400000016,0.07276319099999999,0.0136237464,0.027557123399999998,0.0554238774,,0.0095985486,0.055733508000000015,0.4331732094,0.8493167358,0.0291052764,0.0554238774,0.08483878439999999,0.2641149018,0.016100791200000002,0.008669656800000002,0.031891951800000005,0.0352978884,0.08638693740000003
Guizhou,0.011110271040000001,0.01717041888,0.0033667488,0.02676565296,0.20890676304000003,0.044104409280000006,0.005555135520000001,0.004713448320000001,0.0016833744,0.020537167680000003,0.10504256256000001,0.01666540656,0.024745603680000002,0.027775677599999996,0.00185171184,0.0134669952,0.16177227983999998,0.20099490336,0.00185171184,0.044441084160000005,0.31731607440000004,0.21833365968,0.02424059136,0.14544354816,0.00437677344,,0.0015150369599999998,0.0008416872,0.0011783620800000002,0.00134669952,0.0227255544
Yunnan,0.021131098560000002,0.02778074496,0.005024177279999999,0.03531701088,0.1462922208,0.04595644512,0.01078720416,0.011378283840000001,0.0041375577600000005,0.029553984,0.06132451680000001,0.027928514879999998,0.01980116928,0.029406214080000003,0.0063541065599999995,0.016845770880000003,0.04817299392,0.35184017952,0.004285327679999999,0.02896290432,,0.07491934944,0.01980116928,0.10122239519999998,0.005024177279999999,0.28696918464000004,0.0044330976,0.0022165488,0.0022165488,0.004580867519999999,0.04108003776
Tibet,0.00229638564,0.0028085291999999998,0.00037997748,0.0058318282800000005,0.0032380689600000003,0.0019990119600000003,0.0014538268800000002,0.00054518508,0.00024781140000000004,0.0008590795199999999,0.0014538268800000002,0.00978028992,0.0007764757199999999,0.00203205348,0.0004460605200000001,0.0009912456000000002,0.0024946347600000003,0.06514135668,0.00031389444000000003,0.00071039268,0.00906989724,0.009945497519999999,0.00028085292,0.0005782265999999999,0.0092516256,0.00138774384,0.0022303026,0.00028085292,0.025458491160000003,,0.00270940464
Shaanxi,0.07220836368,0.07700702076,0.011425373999999999,0.23056404731999997,0.1005432912,0.09163149948,0.28586285747999995,0.023536270440000003,0.18691911864,0.03701821176,0.06009746724,,0.02902044996,0.08500478256,0.01005432912,0.039760301519999985,0.03450462948,0.1690955352,0.00616970196,0.028106420039999996,0.03336209208,0.04958612316,0.017366568480000004,0.02033716572,0.27900763308000004,0.02307925548,0.02787791256,0.10876956048,0.02650686768,0.00502716456,0.11219717268
Gansu,0.0192386016,0.020628056159999998,0.00716103504,0.035698294079999984,0.03056800032,0.033026266079999984,0.012932615519999998,0.005664699359999999,0.04211116127999999,0.01100875536,0.020093650559999995,0.3149786606399999,0.01036746864,0.017742265919999996,0.0017100979199999998,0.010901874240000001,0.00993994416,0.06808327344,0.0021376224,0.007481678399999999,0.00865737072,0.014856475679999996,0.0048096504,0.006305986079999999,,0.005664699359999999,0.05044788864,0.12312705023999998,0.13541837903999998,0.005344055999999999,0.03110240592
Qinghai,0.0049319604,0.00768705552,0.00098639208,0.015646219200000002,0.00843535296,0.0090135828,0.00343536552,0.0013605408000000002,0.0027210816000000004,0.0024829869600000005,0.00448978464,0.028775437920000008,0.0034013520000000003,0.0052720956,0.00034013520000000005,0.0026870680800000005,0.003741487200000001,0.030612168,0.00037414872,0.00207482472,0.005102028000000001,0.00479590632,0.00091836504,0.0016666624800000002,0.13986359424,0.0009523785600000002,0.014795881200000001,0.008061204240000001,,0.01680267888,0.00823127184
Ningxia,0.013131515880000002,0.013297737600000002,0.00288117648,0.01922631228,0.010638190079999998,0.01074900456,0.011136855239999998,0.00321361992,0.12909886920000002,0.004820429879999999,0.008698936680000002,0.10366694604,0.005263687800000001,0.005817760200000001,0.0022162896,0.00393391404,0.00454339368,0.013242330359999999,0.00121895928,0.0033244344000000004,0.00459880092,0.006815090520000001,0.0022162896,0.0024933258000000005,0.13480581492000002,0.00238251132,0.00459880092,,0.0074799774000000015,0.00044325792,0.01706542992
Xinjiang,0.016131613319999998,0.0206998578,0.0015703340400000001,0.04577761655999999,0.01813022028,0.015370239240000002,0.008517872519999999,0.00561513384,0.010230964199999998,0.00504410328,0.01123026768,0.04430245428,0.01037372184,0.009659933639999998,0.00271239516,0.00789925608,0.0077089125599999996,0.042827292,0.0017130916799999998,0.00789925608,0.0062813361600000004,0.01556058276,0.00209377872,0.00371169864,0.09393452712,0.00271239516,,0.0085654584,0.022317777719999998,0.00080895996,0.02564878932
Taiwan,6.443064000000001e-05,,,,0.00019408248,9.68436e-05,,,,0.00191157408,9.68436e-05,3.201768000000001e-05,,6.443064000000001e-05,,,,,,0.00097199352,,3.201768000000001e-05,6.443064000000001e-05,,,3.201768000000001e-05,6.443064000000001e-05,,,,6.443064000000001e-05
Hong Kong,,9.662328000000002e-05,,,0.02478517704,6.267455999999999e-05,,,,0.00042044184,,,3.1337279999999994e-05,,,,3.1337279999999994e-05,,3.1337279999999994e-05,9.662328000000002e-05,,,,6.267455999999999e-05,,,,3.1337279999999994e-05,,,0.00019324656000000004
Macau,0.00113075352,0.0012219433199999999,0.00034652124,0.0005106628800000001,0.16198956071999998,0.0023526968399999997,0.00038299716,0.00041947307999999997,0.00012766572000000006,0.0018055580399999997,0.0019332237600000002,0.00021885552000000004,0.0004377110400000001,0.00138608496,0.0002735694,0.00038299716,0.00089366004,0.00038299716,0.0004377110400000001,0.00138608496,5.471388000000001e-05,0.00014590368,0.0005471388,0.0015502266000000002,,0.00034652124,1.823796e-05,1.823796e-05,,,0.0013131331200000001
