,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Shaanxi,Sichuan,Heilongjiang,Zhejiang,Hunan,Jilin,Shanghai,Jiangxi,Gansu,Hainan,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Anhui,0.07621938,0.04146334272,0.23902397568000003,0.6134135702400001,0.03231701712,0.023170691519999998,0.01097559072,2.29450821552,,0.17621920656,0.07195109472,0.023780446559999998,0.004268285280000001,1.48536327744,0.047560893119999996,0.0054877953600000005,0.4969503576000001,0.15060949488000006,0.0121951008,0.01097559072,0.02073167136,0.09451203119999999,0.013414610880000002,0.02073167136,0.023780446559999998,0.026219466719999997,0.0054877953600000005,0.004878040320000001,0.006707305440000001,0.053658443520000015,0.0012195100800000002
Fujian,0.015540647040000003,0.00676305936,0.029642345280000006,0.05453615952000001,0.012087169920000002,0.007770323520000001,0.0043168464,0.09166103856000002,0.046334151360000006,0.4036251384000001,0.02590107840000001,0.03223245312000001,0.0035973720000000006,0.23138296704,0.05007541824,0.0034534771200000008,0.0589969008,0.1705154328,0.00848979792,0.0100726416,0.035254245600000005,,0.02820339648,0.042448989600000014,0.035398140480000014,0.00834590304,0.002446212960000001,0.0018706334399999998,0.0015828436800000005,0.011367695520000002,0.00028778976000000005
Jiangxi,0.02140992,0.0072576,0.03773952,0.05443200000000001,0.00762048,0.00471744,0.00217728,0.17019072000000002,0.11866176,1.05452928,0.02757888,0.02649024,0.00145152,1.09553472,0.24712128,0.00145152,0.11321856,,0.00834624,0.016329600000000003,0.03229632,0.4129574400000001,0.02322432,0.04100544,0.048988800000000006,0.02612736,0.00145152,0.00145152,0.00145152,0.01669248,
Shandong,0.7388254944,0.17772167879999998,,0.6297866478,0.12611254500000002,0.0799359516,0.048504825,0.8540729586000001,0.1963475316,0.08614456919999999,0.1070986536,0.043460323200000005,0.034923473999999996,0.19789968600000002,0.0372517056,0.025998586200000003,0.10593453779999999,0.051997172400000014,0.0236703546,0.007760771999999999,0.0190138914,0.0380277828,0.015521543999999998,0.0170736984,0.021342122999999998,0.0139693896,0.0166856598,0.0069846948,0.0089248878,0.14202212760000002,0.0015521544000000002
Henan,0.399784734,0.10613754,0.8377789823999999,,0.3700662228,0.0382095144,0.042455016,1.0033535448,0.7365945276000001,0.6856485084,0.3530842164,0.09481620240000001,0.0077834196,1.0946318292000001,0.1195816284,0.0063682524,0.27312726959999994,0.1443470544,0.0721735272,0.0198123408,0.0375019308,0.1535456412,0.0339640128,0.0339640128,0.050238435599999985,0.0934010352,0.0382095144,0.0162744228,0.024765426,0.1726503984,0.0056606688
Hubei,0.0033968159999999996,0.0006793632000000001,0.0056047464,0.06528680351999999,0.0020380896,0.00129079008,0.00057745872,0.00988473456,0.01837677456,0.02673294192,0.01824090192,0.00349872048,0.0007133313599999999,0.009986639039999998,0.09331053552,0.00105301296,0.003362847839999999,0.019293914880000002,0.0010869811199999998,0.00030571344,0.00122285376,0.0036685612799999996,0.042052582080000005,0.0015625353599999993,0.00292126176,,0.00027174527999999996,0.00047555424000000007,0.00033968160000000003,0.0014606308799999998,3.3968159999999995e-05
Hunan,0.02537817156,0.0071236972800000015,0.034282793160000005,0.06767512416,0.012466470240000005,0.00578800404,0.0044523108,0.10730069027999999,0.04407787692,2.292940062,0.03205663776,0.041406490440000006,0.0022261554,0.45947847456,,0.0017809243200000004,0.04585880124,0.30186667223999997,0.011130777,0.032501868839999996,0.0712369728,0.1313431686,0.07479882144,0.21504661164,0.278269425,0.11130777,0.0035618486400000007,0.0022261554,0.003116617560000001,0.022706785080000003,0.0017809243200000004
Guangdong,0.03083040144,0.00932081904,0.05233998383999999,0.14303872295999998,0.015056707679999996,0.01900013112,0.006094381679999999,0.09177421824,0.06309477504,,0.04266067175999999,0.12224612663999998,0.011113284239999998,0.13013297352,0.6607026727199999,0.008962326,0.04373615087999999,0.38107810151999993,0.01326424248,0.10969887024,0.08675531567999999,0.2670773148,0.06847217064,0.17279364528000002,0.8743645245599999,0.02258506152,0.00967931208,0.0017924652,0.00573588864,0.0215095824,0.00071698608
Guangxi,0.0108946134,0.0019808388000000002,0.014856291000000002,0.0241002054,0.003631537800000001,0.0042918174,0.0016506990000000005,0.026741323800000008,0.014196011400000003,2.4387427026000004,0.009574054200000001,0.030042721800000005,0.0026411184,0.0699896376,0.1762946532,0.002310978600000001,0.0138658716,0.044568873000000016,0.0026411184,0.029712582000000005,0.12017088720000002,0.041267475000000005,0.019478248200000003,0.176624793,,0.007263075600000002,0.0009904194000000001,0.0003301398,0.0006602796,0.005612376600000001,
Hainan,0.0111297564,0.0022977561600000004,0.008867902680000001,0.01945912248,0.0077190246,0.00922692708,0.006139317240000001,0.006749658719999999,0.003949268400000001,0.11930380812,0.0077908294800000015,0.01791531756,0.014109658920000004,0.010950244199999999,0.01637151264,0.0064265367600000005,0.006713756280000001,0.0077190246,0.003231219600000001,,0.0036261464399999998,0.005457170880000001,0.012996683280000004,0.01102204908,0.020248976159999998,0.00438009768,0.0029799025199999996,0.0008975610000000002,0.00111297564,0.008867902680000001,0.00010770732
