,Hebei,Tianjin,Shandong,Shanxi,Henan,Heilongjiang,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Jilin,Shanghai,Sichuan,Gansu,Anhui,Shaanxi,Hunan,Zhejiang,Guizhou,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.03242437128,0.006982647119999999,0.014380104959999997,0.024473832480000002,0.036572478480000004,0.03277004688,0.016454158559999998,0.009817187039999998,0.12700121543999998,0.015901077599999997,0.022883724719999998,0.020256590159999997,0.06056236512,0.008572754879999998,0.004839458399999999,0.01396529424,0.0238516164,0.0179751312,0.028760209919999995,0.013688753759999998,0.004355512559999999,,0.04362426071999999,0.0029036750399999995,0.02392075152,0.005323404239999999,0.0008987565599999998,0.0028345399199999994,0.00400983696,0.00027654048,0.06740674199999999
Chongqing,0.015732403199999998,0.005080255199999999,0.009013356,0.006882926399999999,0.0167156784,0.0019665504,0.005408013599999999,0.0022943088,0.2772836064,0.037692216,0.0019665504,0.051785827199999995,0.6450285311999999,0.008193959999999998,0.009504993599999996,0.0178628328,0.0460500552,0.049655397599999984,0.1291368096,0.012618698400000001,0.06784598879999999,0.008193959999999998,,0.0635851296,0.026876188799999992,0.0085217184,0.061126941599999984,0.0021304296,0.0029498255999999994,0.0036053424,0.040150404
Sichuan,0.03696377328,0.01471007304,0.02602551384,0.023008062959999995,0.04677048864,0.005280539040000001,0.01584161712,0.00641208312,0.8015103899999999,0.15162690671999995,0.005280539040000001,0.14672354904,,0.05582284127999999,0.02564833248,0.09127788912000001,0.05770874808,0.13540810824000002,0.22894908551999998,0.026779876559999995,0.150872544,0.02338524432,0.96407555616,0.37454109048,0.08335708055999999,0.03847249872,0.031306052880000004,0.0075436272,0.0245167884,0.039604042799999996,0.12296112335999998
Guizhou,0.0048547512,0.00311202,0.0046057896,0.0019916928,0.010829829599999998,0.0004979232,0.001867212,0.0017427312,0.2489616,0.0356015088,0.0003734424,0.028630584,0.17041421519999994,0.0019916928,0.010207425599999998,0.007468847999999998,0.08103700079999998,0.058505976,,0.017427311999999997,0.0393359328,0.005228193599999999,0.12759282,0.2392520976,0.10456387199999999,0.000622404,0.0039833856,0.0003734424,0.0003734424,0.000622404,0.0301243536
Yunnan,0.007407981360000001,0.0027542494800000005,0.006933110760000001,0.0033240942,0.00987730848,0.00351404244,0.0038939389200000007,0.0018994824,0.08281743264000001,0.02070435816,0.0016145600400000002,0.02288876292,0.31892309496,0.0027542494800000005,0.00845269668,0.007882851960000001,0.022603840559999998,0.02811233952,0.23306649048,0.008167774320000001,0.015005910960000004,0.0038939389200000007,0.038654466840000005,,0.05840908380000001,0.0015195859200000002,0.0025643012400000005,0.0009497412,0.0016145600400000002,0.002374353,0.025453064160000004
Tibet,0.0002589084,,0.0003862404,9.33768e-05,0.0013242528000000002,0.00012733200000000002,0.00016128720000000002,2.9710800000000014e-05,0.0005814828000000001,0.0005475276,9.33768e-05,0.0002589084,0.0166847364,0.003692628,0.0002589084,0.0010356336,0.00016128720000000002,0.00019099800000000006,0.0002886192000000001,0.00012733200000000002,2.9710800000000014e-05,2.9710800000000014e-05,0.0016171164000000002,0.0014897844,6.366600000000001e-05,2.9710800000000014e-05,0.00012733200000000002,9.33768e-05,0.012342715200000002,,0.0002589084
Shaanxi,0.02367175104,0.015700651200000002,0.02814039792,0.13031540496,0.061353313919999986,0.00386477568,0.008091874079999999,0.06799589711999998,0.12270662783999997,0.07053215616,0.00410632416,0.06304415327999999,0.09988029648,0.11872107792,0.018116136,,0.016546070880000003,0.03695691744,0.01014503616,0.006763357440000001,0.015700651200000002,0.00531406656,0.01968620112,0.007608777119999998,0.007850325600000001,0.01582142544,0.02101471776,0.04661885663999999,0.0235509768,0.00253625904,0.13248934127999998
Gansu,0.013438467,0.015069726,0.016234910999999998,0.008855405999999998,0.015613478999999996,0.001009827,0.004039308,0.018565281,0.033246612,0.029751057,0.001631259,0.032236785000000004,0.058492287,,0.0068357520000000005,0.16646609699999998,0.004893777,0.018254565,0.003340197,0.00233037,0.006058961999999999,0.0020973330000000003,0.011263455,0.0028741229999999997,0.00388395,0.056627990999999996,0.00233037,0.09259336800000001,0.081485271,0.0020973330000000003,0.063852138
Qinghai,0.0018356025600000001,0.0012526747199999998,0.0038448432,0.00096741216,0.00391925952,0.0005829278399999999,0.0005829278399999999,0.0011658556799999998,0.00346035888,0.0035843860799999994,0.00032247071999999994,0.00245573856,0.009351650879999998,0.054882036,0.0011286475199999999,0.00711916128,0.00096741216,0.0016495617600000001,0.0007069550399999997,0.0002480544,0.00040928976,0.0005457196800000001,0.0022945032000000003,0.0007689686399999999,0.0006449414399999999,0.0022572950399999997,0.00012402719999999998,0.00261697392,,0.006275776319999999,0.00783851904
Ningxia,0.0035637278399999997,0.00261912528,0.0033275771999999996,0.00319876776,0.003520791359999999,0.00019321416000000002,0.0022541652,0.02754375192,0.0063331308000000005,0.00588229776,0.0006440472,0.00581789304,0.007213328640000001,0.06511317191999999,0.00148130856,0.04177719504,0.0009660708,0.00251178408,0.00038642832000000004,0.0012236896800000001,0.0006011107200000001,0.00057964248,0.0019965463199999997,0.0012451579199999998,0.0007084519199999999,0.0027049982399999996,0.00015027768000000006,,0.0034349184,6.440472e-05,0.01730340144
Xinjiang,0.00119371644,0.0015182218799999999,0.0039751916399999995,0.0011010006,0.00478645524,0.00054470556,0.00041722128,0.0014834534400000002,0.0186590628,0.00413744436,0.00022020012,0.0052732134,0.0131540598,0.0230630652,0.0009387478800000004,0.005702024159999999,0.0011010006,0.003465254520000001,0.0007764951600000001,0.00031291596000000005,0.00122848488,0.0011241795599999998,0.0027814752000000003,0.0004519897200000001,0.00041722128,,0.00028973700000000003,0.00126325332,0.00300167532,9.271584e-05,0.0132120072
Taiwan,6.14304e-05,0.0005170392,0.0005170392,3.07152e-05,0.0004197744,,0.0010033632,6.14304e-05,0.0132484896,0.008293104,6.14304e-05,0.0074177207999999994,0.0011978928,,0.0011313432,0.0002252448,0.0005477544,0.0021039912000000004,0.0001586952,0.00025596,0.0067368672,0.0002252448,0.0004812048,6.14304e-05,0.0007115687999999999,,3.07152e-05,,,,0.0018429120000000004
Hong Kong,0.0006088608,0.0005412096,0.0012853728,0.00012177215999999997,0.0005412096,0.00037884672,0.0007441632000000001,0.00012177215999999997,0.09525288960000002,0.0024895641600000003,9.471168e-05,0.005831533440000001,0.00167774976,5.412096e-05,0.00028413504000000003,0.0007035724799999999,0.0018671731200000001,0.0018130521600000001,0.00035178623999999994,0.0005141491199999999,0.00414025344,0.0008659353599999999,0.0007982841599999999,0.00014883264,0.0014206752,9.471168e-05,0.00014883264,,,,0.00472205376
Macau,0.00031611383999999987,0.00031611383999999987,0.00040643208,0.0004515912,0.0006472807199999999,0.00015053039999999998,0.00034621991999999994,0.00018063647999999995,0.12683691504,0.00209237256,0.0005419094399999999,0.00189668304,0.00076770504,0.0002257956,0.0004515912,0.00040643208,0.00109887192,0.0031611384,0.0006773867999999999,0.0011891901600000001,0.0011590840799999998,0.0004515912,0.00025590168,0.00028600776,0.00121929624,,,,,,0.00102360672
