,Hebei,Shandong,Henan,Tianjin,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Sichuan,Shanghai,Heilongjiang,Anhui,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.14653342260000002,0.33718443480000004,1.4054603544000002,0.045693217800000005,0.0835082946,0.0299369358,1.6339264433999998,0.370272627,0.0835082946,0.7153352028000001,1.4290947774,0.0835082946,2.0530435446,0.1985291532,0.8902299330000001,,0.055146987,0.8650198818000001,0.05829824340000001,1.6906490586000005,0.441175896,0.0992645766,0.4837178574,0.49947413939999996,1.5850819692000002,0.17647035840000005,0.025210051200000003,0.014180653799999998,0.006302512800000001,,0.1938022686
Anhui,0.10027132235999997,0.27259389432,0.66887576712,0.03122220816,0.03842733312,0.015010677,2.25160155,0.14290164503999994,0.03542519772,0.07865594748,0.5439869344799999,0.02882049984,,0.07565381208,0.22936314456,0.70009797528,0.017412385319999998,0.08826278075999999,0.02761964568,0.17952769692,0.08225850995999999,0.02942092692,0.04863459348,0.046833312239999994,0.04983544764,0.030021354,0.011408114519999998,0.00660469788,0.005403843719999999,0.0030021354,0.14890591584
Fujian,0.053993906639999985,0.1006666056,0.24571803275999995,0.02562422688,0.04072421772,0.012354537959999998,0.15969384252,0.5637329913600001,0.035233311960000006,0.33631797779999995,0.14688172907999994,0.027912104279999995,0.16747262568,0.06863632199999999,0.2333634948,0.40358157336,0.0183030192,0.23016046644000002,0.03386058552,0.58432388796,,0.037063613880000006,0.23016046644000002,0.15008475743999994,0.3893967334799999,0.11347871903999998,0.013269688919999998,0.00732120768,0.00320302836,0.00091515096,0.09792115272
Jiangxi,0.0676033776,0.09164013408,0.17088631559999998,0.01915429032,0.036430709039999995,0.0169008444,0.18177797088,0.59115397968,0.0262902024,0.0826263504,0.15398547119999995,0.024412330800000003,0.2197109772,0.04694679,0.30947323968,0.45632279880000004,0.01802756736,0.44806016376,0.040562026560000006,,0.2873143548,0.042064323840000015,0.0525804048,0.06046746552,0.10591195824,0.07549043831999999,0.01089165528,0.010140506640000001,0.00863820936,0.0026290202400000005,0.08037290448000001
Shandong,0.8957677248,,0.8627271120000001,0.2790096192,0.17401389408,0.09765336672,1.1490790895999998,0.20411756352000002,0.24303206304000002,0.22100498784000003,0.25184289311999997,0.24964018560000004,0.36858639168,0.16593729984000002,0.18502743167999997,0.27533844,0.16006341312,0.11454079104,0.05727039552,0.09985607424,0.11233808351999999,0.07562629152000001,0.07856323488000001,0.08590559328,0.0844371216,0.07122087647999999,0.0440541504,0.03010366944,0.01909013184,0.0014684716800000002,0.66668614272
Henan,0.43177888511999996,0.6249754033199999,,0.08402515236,0.27660834828,0.04477252644,0.5900160333600001,0.31708761876,0.061332228,0.16253040419999998,0.23980901148000003,0.04170591504,0.65257490592,0.3434604767999999,0.58081619916,0.29684798352,0.028826147159999992,0.15823714824000001,0.08157186324,0.10119817619999999,0.11223797724000001,0.07543864044,0.076665285,0.06930541763999999,0.06501216168,0.07114538447999999,0.05151907152,0.028826147159999992,0.02207960208,0.0036799336799999993,0.42073908408
Hubei,0.12206778732000001,0.16548101712000002,0.69767614008,0.028090913399999997,0.07865455752,0.02655868176,0.24975375731999996,0.42749262756,0.044945461439999994,0.2017438326,0.13636861596,0.03268760832,0.28039839012,0.1838677968,,0.2221735878,0.021451242960000002,0.64966621536,0.060778521719999985,0.32534385156,0.12564299448,0.07507935035999999,0.31615046172,0.09040166676000001,0.15373390788,0.11338514136,0.03677355936,0.014811572519999996,0.017365291919999998,0.00715041432,0.18029258964
Hunan,0.08768967984000002,0.0966072744,0.2155085352,0.020807720640000003,0.046074238560000015,0.019816876800000004,0.14218609104000002,1.15730560512,0.034184112480000015,0.14416777872000006,0.08669883600000003,0.032202424800000004,0.11246077584000004,0.07877208528000001,0.6509844028800001,0.16596634320000006,0.023284830240000002,,0.08174461680000003,0.43498044576000006,0.10800197856000003,0.042110863200000015,0.15159910752000005,0.11493788544,0.3562083604800001,0.33639148368000005,0.025266517920000002,0.01288096992,0.01040386032,0.009908438400000002,0.13178223072000006
Guangdong,0.14698015056,0.22751721936,1.16174721744,0.0604028016,0.0906042024,0.038255107680000004,0.3523496760000001,,0.10268476272,1.4677880788800002,0.27785288735999997,0.0906042024,0.3422825424,0.2617454736,1.86040628928,0.38859135696,0.06644308176,3.5295370401599997,0.23959777968,1.51409689344,0.64832340384,0.08456392223999999,0.7349007528,0.6442965504,1.15369351056,3.07450260144,0.03624168096,0.016107413759999998,0.0100671336,0.0020134267199999997,0.3221482752
Guangxi,0.06429632256,0.07199848619999999,0.1054861542,0.013729943879999998,0.02444599764,0.010046300400000001,0.062287062479999995,1.24674587964,0.02277161424,0.1306019052,0.04118983164,0.017748464040000002,0.04487347512,0.04755248856,0.1054861542,0.06898459607999999,0.015404327280000001,0.3733874982,0.05893829568,0.0770216364,0.07266823956,0.02076235416,0.08104015655999999,0.1992516246,0.28598468471999994,,0.00468827352,0.00468827352,0.00435339684,,0.05224076208
