,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Shanghai,Heilongjiang,Hubei,Hainan,Anhui,Jilin,Hunan,Fujian,Jiangxi,Yunnan,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.02327580360000001,0.038127983040000014,0.00532018368,0.051871790880000004,0.5375602260000001,0.00842362416,0.10751204519999999,0.007536926880000002,0.003768463440000001,0.028374312960000005,0.37418625215999995,0.01729059696,0.07847270928000001,0.004876835040000001,0.15384197808000002,0.0199506888,0.10241353583999999,0.0050985093600000005,0.26645253264,0.20859553512000004,,0.023940826560000003,0.021502409040000003,0.00532018368,0.042118120800000006,0.026822592720000003,0.00199506888,0.0011083716,0.0011083716,0.0004433486400000001,0.04522156128000001
Shandong,0.7138879271999999,,0.147608406,0.5962485006,0.1529759844,0.11361374279999999,0.8176611095999999,0.14045163480000006,0.051439293,0.0823028688,0.2070990666,0.100642095,0.1203232158,0.09080153460000001,0.0925907274,0.038020347,0.2017314882,0.059937958799999996,0.059937958799999996,0.0590433624,0.0518865912,0.045624416400000006,0.041598732600000014,0.02236491,0.040704136200000005,0.0277324884,0.015655436999999998,0.0102878586,0.006262174800000001,0.0013418946,0.35336557799999996
Henan,0.33926369183999994,0.5661570492,0.052956134639999985,,0.26133637176,0.27898841664,0.40384434384,0.033581939039999995,0.02712387384,0.0925656012,0.2850159441599999,0.26047529639999994,0.11495356055999995,0.015499356479999997,0.36294326424,0.05209505928,0.41589939888000005,0.01377720576,0.09773205336,0.06587226504,0.06371957664,0.03960946656,0.0473591448,0.03401247672,0.04133161727999999,0.03185978832,0.0236795724,0.012485592719999996,0.012485592719999996,0.00301376376,0.24712862832
Hubei,0.05040582048,0.06497264016,0.01132974864,0.30035394864000003,0.30890906496,0.01988486496,0.13618820303999998,0.016185355199999998,0.006936580800000001,0.07653360816,0.14728673232000006,0.07722726624,0.054798988320000006,0.00994243248,,0.02959607808,0.11375992512,0.00624292272,0.32995002672,0.057573620639999996,0.15584184864,0.032139491039999996,0.1248584544,0.01132974864,0.040463387999999996,0.02867120064,0.0060117033600000005,0.0032370710400000005,0.00254341296,0.0011560968,0.08231409216
Hunan,0.0318119562,0.041556159,0.006591666600000001,0.07365470939999999,1.0386173807999999,0.011463768,0.0825391296,0.014902898400000001,0.0054452898,0.0561724632,0.1272478248,0.0326717388,0.0412695648,0.0103173912,0.3106681128,0.0424159416,0.0418427532,0.006878260799999999,,0.058178622599999986,0.25764818580000004,0.0547394922,0.06706304279999999,0.0080246376,0.2043416646,0.16278550560000002,0.0040123188,0.0025793478,0.0022927536,0.0008597825999999999,0.0610445646
Guangdong,0.07423889759999999,0.11010006,0.021390868800000004,0.22586240880000005,,0.0358611624,0.21013382879999998,0.048444026400000006,0.015728580000000002,0.25165728000000004,0.242220132,0.0956297664,0.12645778319999998,0.040894308,0.29695559039999997,0.182451528,0.1025503416,0.0270531576,0.9915296831999999,0.3818899224,0.5146391376,0.17616009600000002,0.14659036560000002,0.022020012000000002,1.3249755792,0.2176835472,0.0113245776,0.006920575200000001,0.004404002400000001,0.003145716,0.182451528
Guangxi,0.02099775312,0.03296158920000001,0.0048831984,0.031008309839999998,1.50622254648,0.00659231784,0.03613566816,0.01049887656,0.00317407896,0.050541103440000006,0.048587824080000015,0.018800313840000003,0.015870394800000003,0.00634815792,0.034426548720000005,0.047122864560000005,0.01782367416,0.005127358320000001,0.17750426184,0.037600627680000005,0.031740789600000006,0.09693148823999999,0.027590070960000004,0.00585983808,,0.13062555720000002,0.0017091194400000007,0.0019532793600000003,0.0009766396800000002,0.00073247976,0.025880951519999997
Hainan,0.028602084960000003,0.025840992599999998,0.00941603292,0.026761356719999997,0.1525680522,0.015575392800000002,0.028106504280000003,0.017699310000000003,0.008495668800000002,0.04545182808,0.02343388644,0.01833648516,0.02329229196,0.01755771552,0.01897366032,,0.013734664560000002,0.011044369440000002,0.0290268684,0.017840904480000003,0.0116815446,0.014867420400000003,0.025203817439999998,0.005238995760000001,0.03731014548,0.013097489400000002,0.0030442813200000003,0.005522184720000001,0.0008495668800000001,0.00021239172000000003,0.05727496716
Chongqing,0.022416335279999998,0.0335089548,0.0062395984800000005,0.035357724720000004,0.14813268984000005,0.015714544320000003,0.05384542392000001,0.00855056088,0.0060085022400000005,1.04594158224,0.06262708103999999,0.04876130664,0.02634497136,0.0060085022400000005,0.1432796688,0.039055264560000004,0.02172304656,0.003928636080000001,0.07302641184000001,0.036051013440000015,0.01779441048,0.09105191856,,0.016870025519999998,0.03397114728,0.24473091816,0.00762617592,0.004159732320000001,0.003928636080000001,0.0064706947200000005,0.04344609312
Sichuan,0.045251654400000015,0.06201152640000001,0.01039112064,0.08413455744,0.2530740672,0.02949737472,0.0938552832,0.02145263616,0.01106151552,,0.09787765248,0.18636977664,0.0486036288,0.011731910399999998,0.0720674496,0.06636909312000001,0.02949737472,0.00905033088,0.05497238016,0.052290800639999996,0.02815658496,0.42670634111999994,1.04782719744,0.07240264704,0.06033553920000001,0.276537888,0.02480461056,0.00905033088,0.02446941312,0.035866126080000005,0.10089442944
Guizhou,0.011506652640000002,0.016803365759999998,0.0025570339200000004,0.024839758080000003,0.21168587952000004,0.006757875360000001,0.039451380480000006,0.004200841439999999,0.0025570339200000004,0.27433321056000004,0.11981530367999998,0.01936039968,0.017716592160000003,0.0031049697600000004,0.028675308960000007,0.02264801472,0.01388104128,0.0025570339200000004,0.16839894816000006,0.04273899552,0.025022403360000004,0.32255156448000005,0.26465301071999997,0.00347026032,0.14629886928000002,,0.0012785169600000002,0.0016438075199999998,0.0007305811200000001,0.00036529056,0.023195950559999998
Yunnan,0.02170870308,0.0257693238,0.00499768704,0.030923188559999995,0.13524990552000002,0.010307729520000001,0.038107363679999985,0.00999537408,0.00499768704,0.4624422289199999,0.0601284222,0.026394034679999998,0.02826816732,0.00718417512,0.030142299959999994,0.01577394972,0.01436835024,0.00374826528,0.052163358479999984,0.02779963416,0.020615459040000002,,0.07777650456,0.006403286519999999,0.0999537408,0.29189615868,0.00484150932,0.0020303103600000003,0.0020303103600000003,0.004685331599999999,0.03795118596
Tibet,0.00134865324,0.00254366244,0.00030728808,0.006435978120000001,0.0033630973200000002,0.0011950091999999998,0.00228758904,0.0006145761599999999,0.00022193028,0.07431250068,0.0015705835199999998,0.01043072316,0.00037557432,0.00022193028,0.0019632294,0.00037557432,0.00148522572,0.00029021652,0.00167301288,0.0008706495600000001,0.0006145761599999999,0.00653840748,0.00993564792,0.00780170292,0.0010242936000000001,0.0013827963600000002,0.0015705835199999998,0.00044386056,0.026324345519999997,,0.0029021652
Shaanxi,0.08997915779999999,0.0911239308,0.011676684599999999,0.22437550800000006,0.0975346596,0.27932461199999997,0.0936424314,0.021750687,0.20514332160000004,0.2067460038,0.06067296900000001,,0.030908871000000008,0.0112187754,0.087002748,0.029306188800000008,0.038235418199999996,0.0077844564,0.0334273716,0.0247270968,0.0192321864,0.029535143399999998,0.0485383752,0.2440656036,0.0167136858,0.0208348686,0.023353369199999998,0.1055480706,0.0261008244,0.0061817742,0.1011979332
Gansu,0.01929318912,0.020599498799999998,0.00462232656,0.030748520160000004,0.02682959112,0.012761640719999998,0.02883929832,0.004421355839999999,0.03858637823999999,0.11234263247999997,0.02069998416,0.27301872312,0.01085241888,0.0026126193599999995,0.0135655236,0.007435916640000001,0.00864174096,0.00180873648,0.00934513848,0.0073354312800000005,0.0047228119199999976,0.0085412556,0.0165800844,,0.007636887359999999,0.0060291216,0.042806763359999986,0.10169118432,0.12701349504,0.00432087048,0.0296431812
Qinghai,0.00564101496,0.00546582816,0.0007708219200000001,0.01412005608,0.00914475096,0.00304825032,0.005991388560000001,0.0016817932800000002,0.004344632639999999,0.03545780832,0.0059563511999999996,0.032514670079999995,0.0023475031200000003,0.0007357845599999999,0.0038541096,0.0031533624000000004,0.00231246576,0.0003503736,0.00427455792,0.0025577272800000003,0.00136645704,0.0035738107200000008,0.00483515568,0.14726202408,0.0024526152,0.0017168306399999997,0.013454346240000001,0.008759340000000001,,0.0150660648,0.00763814448
Ningxia,0.0129269844,0.0108320976,0.0019926972,0.013182458400000001,0.0115985196,0.0089926848,0.012160562399999998,0.0026058348000000003,0.1194085476,0.0133868376,0.0066934188,0.09447428519999998,0.004240868399999999,0.0021970764,0.004854005999999999,0.0050072904,0.00383211,0.00127737,0.0032700672,0.0036788256,0.002299266,0.0039342996,0.0067956084,0.126970578,0.0017372232,0.0012262751999999998,0.00510948,,0.008481736799999999,0.0004598532,0.0162481464
Xinjiang,0.017802614159999997,0.02217331584,0.0010660248,0.05095598544,0.015777167039999998,0.00783528228,0.01817572284,0.004690509119999999,0.00970082568,0.07174346904000001,0.01241918892,0.05228851644,0.003731086799999999,0.00255845952,0.009007909559999996,0.00842159592,0.007142366159999998,0.0025051582799999997,0.007888583519999999,0.006396148799999999,0.00245185704,0.007142366159999998,0.02084078484,0.10217847707999998,0.0023985558,0.0029315682,,0.00991403064,0.02665062,0.0005330123999999999,0.02489167908
Taiwan,6.464447999999999e-05,3.232224e-05,,3.232224e-05,0.00025913520000000003,,0.00012956760000000002,,3.232224e-05,6.464447999999999e-05,,3.232224e-05,0.0009395740800000001,,3.232224e-05,,3.232224e-05,,,0.0008746509600000001,,,3.232224e-05,,3.232224e-05,,,,,,6.464447999999999e-05
Hong Kong,6.24672e-05,6.24672e-05,3.12336e-05,,0.02974063392,,,3.12336e-05,,,,,0.0005809449600000001,3.12336e-05,3.12336e-05,,3.12336e-05,,3.12336e-05,0.00019364832,,,,,6.24672e-05,,,,,,0.00015929136000000002
Macau,0.00099706464,0.0007669727999999999,0.0002876148,0.00072862416,0.16558942752,0.00044100935999999994,0.00184073472,0.0012463308000000002,0.00015339456,0.00093954168,0.0021858724800000004,0.00015339456,0.0029720196,0.00034513776,0.0017640374399999997,0.00040266072,0.0002876148,0.00015339456,0.00166816584,0.00145724832,0.000958716,0.0007094498399999999,0.0006135782400000001,5.752296e-05,0.00128467944,0.0005177066400000001,,1.917432e-05,,,0.0028186250399999994
