,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Guangdong,Inner Mongolia,Anhui,Shaanxi,Shanghai,Jiangsu,Heilongjiang,Gansu,Sichuan,Jilin,Guizhou,Fujian,Yunnan,Jiangxi,Chongqing,Zhejiang,Hainan,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.007578567359999998,0.004210315199999999,0.018034183439999997,0.017542979999999996,0.004701518639999999,0.007297879679999998,0.021262091759999997,0.05992681967999997,0.0023858452800000003,0.0477169056,0.004210315199999999,0.27177584615999995,0.07845220655999999,0.0033682521599999998,0.00554358168,0.017472808080000003,0.007929426959999998,0.009403037279999998,0.0291213468,0.00905217768,0.02673550152,0.008701318079999997,,0.00224550144,0.007508395439999998,0.005754097439999998,0.0005613753599999999,0.0010525787999999998,0.0024560171999999988,,0.0182446992
Anhui,0.0220501116,0.0170387226,0.0614730384,0.2402125794,0.009354592800000002,0.015034167000000003,0.023386482,0.19711463399999998,0.005011389000000001,,0.0076841298,1.2942747324,0.9892481886,0.0020045556,0.005011389000000001,0.0170387226,0.0023386482000000005,0.0036750185999999997,0.04242976019999999,0.006681851999999999,0.0474411492,0.0096886854,0.1827486522,0.0036750185999999997,0.0173728152,0.010022778000000001,0.0016704629999999999,0.0003340926,0.0020045556,0.0003340926,0.0995595948
Fujian,0.007960822559999999,0.008306945279999998,0.01895021892,0.011681641800000005,0.005018779440000001,0.00986449752,0.02604573468,0.34543047456000003,0.003288165840000001,0.014277562200000003,0.005018779440000001,0.12598867008000006,0.05676412608000001,0.00406694196,0.005797555560000002,0.021978792720000005,0.0031151044800000003,0.011854703160000002,,0.0177387894,0.034352679960000014,0.012979602000000002,0.04032329688000001,0.01021062024,0.0056244942000000025,0.01955593368,0.0006057147600000001,0.0012114295200000005,0.00181714428,,0.02924736984
Jiangxi,0.00597113856,0.004413450240000001,0.01064420352,0.00934612992,0.00207691776,0.00337499136,0.13318235136,1.5288710860799999,0.00077884416,0.04179796992,0.0025961472000000005,0.2824608153600001,0.07658634240000002,0.00103845888,0.005192294400000001,0.014538424320000003,0.00077884416,0.007269212160000002,0.25727818752000003,0.01090381824,,0.01064420352,0.10799972352,0.00597113856,0.018432645119999997,0.016355727360000002,0.00025961472,0.00025961472,0.00077884416,,0.03141338112
Shandong,0.23133474936,0.16080586236,,0.15711665904000002,0.032117770080000003,0.052733906280000006,0.01714394484,0.10698689627999998,0.02083314816,0.05251689432,0.01801199268,0.3331133586,0.40841650872,0.02083314816,0.008463466440000001,0.02560741128,0.014105777400000004,0.006076334880000001,0.02083314816,0.00933151428,0.013671753480000002,0.0119356578,0.05056378668000001,0.0043402392,0.009765538200000002,0.00911450232,0.00368920332,0.0043402392,0.006293346839999999,0.00043402392,0.35568260244000005
Henan,0.11545462656,0.03274914888,0.19954778004,,0.07021639548,0.01859485572,0.04468316076000001,0.47847061584,0.00804851964,0.29030177735999996,0.0360795708,0.5428587729600001,0.29640755088000004,0.00249781644,0.01165647672,0.037744781760000005,0.0027753516,0.01026880092,0.04912372331999999,0.01082387124,0.02719844568,0.01637457444,0.07965259092,0.00666084384,0.0638330868,0.0124890822,0.006105773520000001,0.00166521096,0.0074934493200000014,0.0013876758,0.2900242422
Hubei,0.00238057704,0.0007077391199999999,0.00299180628,0.05771290824,0.0006433992,0.0006755691599999999,0.08930380896,0.03181609044,0.0006433992,0.014347802160000001,0.015859790279999997,0.004632474239999999,0.00479332404,0.0006112292399999999,0.00073990908,0.0138330828,0.0006755691599999999,0.00102943872,0.00199453752,0.0007077391199999999,0.01595630016,0.0508285368,0.0028952964,0.0003216996,,0.0014476482,0.0004182094799999999,,3.216996e-05,9.650988e-05,0.00324916596
Hunan,0.00932574708,0.005021556120000001,0.01649939868,0.022955685120000003,0.005021556120000001,0.00430419096,,5.9326098732000005,0.00215209548,0.02797724124,0.007173651600000002,0.19727541899999998,0.07819280244,0.0014347303200000002,0.005021556120000001,0.03515089284,0.0007173651600000001,0.08464908888,0.09684429660000002,0.04232454444,0.09325747080000002,0.053085021839999996,0.06599759472,0.022955685120000003,0.10186585272,0.17288500356,0.0014347303200000002,0.0007173651600000001,0.00215209548,,0.07532334180000001
Guangdong,0.012328831799999999,0.00420630732,0.024077483280000003,0.0384369462,0.00899279496,0.014794598160000004,0.35565053616000003,,0.00551171304,0.02204685216,0.013634237519999998,0.059178392640000015,0.03394054872,0.0101531556,0.014504508,0.06556037616,0.00841261464,0.06904145807999999,0.08847749880000001,0.024802708680000004,0.07571353176,0.030749556960000004,0.01914595056,0.053811724680000006,0.02045135628,0.25281357444,0.007687389240000001,0.0008702704800000001,0.005656758120000001,0.00029009016,0.03640631508
Guangxi,0.00727390368,0.0030307932000000004,0.006667745040000001,0.010304696880000002,0.0015153966000000002,0.0045461898,0.08758992348000001,2.62981925964,0.00121231728,0.006061586400000001,0.0021215552400000006,0.02727713880000001,0.01636628328,0.00181847592,0.00181847592,0.03697567704,0.0027277138800000005,0.06758668836000001,0.013638569400000005,0.03879415296,0.00939545892,0.013032410760000002,0.0090923796,0.008789300279999999,0.0030307932000000004,,0.00030307932,0.00030307932,0.00030307932,,0.013638569400000005
Hainan,0.01661824512,0.00294617088,0.00847024128,0.01905804288,0.01615790592,0.010725903359999999,0.01597377024,0.14196860928,0.007825766400000001,0.0034065100800000003,0.00589234176,0.0186437376,0.007779732479999998,0.01735478784,0.0068590540799999995,0.0347556096,0.01206088704,0.01376414208,0.005754240000000001,0.0017953228800000004,0.005247866879999999,0.02402970624,0.007825766400000001,,0.00234772992,0.0089766144,0.0025318656,0.00041430528,0.0043732224,9.206784e-05,0.03484767744
Chongqing,0.0069615612,0.0020251814399999996,0.008607021119999999,0.009113316479999998,0.005189527439999998,0.0037972152,0.04721204232,0.3684564482399999,0.0012657384,0.011518219440000001,0.008353873440000001,0.0810072576,0.028352540160000002,0.0013923122399999998,0.0030377721599999987,0.3644060853599999,0.0008860168800000001,0.09163946016,0.04404769631999999,0.04227566255999999,0.0070881350400000005,,0.015442008479999996,0.004556658239999999,0.056705080320000004,0.0202518144,0.0035440675200000002,0.0006328692,0.0012657384,0.0030377721599999987,0.021390978959999998
