,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Guangdong,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Yunnan,Jiangxi,Gansu,Guizhou,Guangxi,Hainan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangdong,0.07293319056,0.035462927520000014,0.09969766416,0.23686559136,0.04884516432,0.23218180848000006,0.05821273008,0.03077914464,0.20675555856,,0.2877180912,0.25359338736000003,0.09769032864,0.31448256480000003,0.10839611808000002,0.03211736832,1.00099131264,0.02810269728,0.15590305872000002,0.42220957104,0.16058684160000006,0.5319439128000001,0.04148493408,0.22214513088000004,1.34892946944,0.10237411152000002,0.02743358544,0.010036677600000002,0.01538957232,0.006022006559999999,0.19939532832
Guangxi,0.026221274640000004,0.0089974962,0.02596420332,0.04447333836,0.014395993920000003,0.045758694960000006,0.010025781479999999,0.00616971168,0.045758694960000006,1.40952204756,0.06066883152000001,0.0552703338,0.022365204840000003,0.04421626704,0.0205657056,0.007712139600000002,0.22827933216,0.0048843550800000005,0.034961699520000014,0.04138848252,0.1105406676,0.04498748100000001,0.010025781479999999,0.17403728364,,0.01722377844,0.00308485584,0.0028277845200000004,0.00205657056,0.0007712139599999999,0.042673839119999994
Hainan,0.015489694800000004,0.005618296080000002,0.01239175584,0.02194810992,0.01359942696,0.02305076616,0.009923906159999999,0.006510922560000001,0.026306227440000003,0.10622255112,0.023260795919999997,0.028249002720000006,0.013441904640000002,0.017169932880000002,0.01044898056,0.01328438232,0.028511539920000002,0.007403549040000001,0.02121300576,0.015752231999999998,0.010921547520000002,0.00908378712,0.004463132400000001,0.015962261760000002,0.02032037928,,0.002677879440000001,0.0024153422400000004,0.00126017856,5.2507440000000014e-05,0.0370177452
Chongqing,0.028225966319999997,0.01494315864,0.03486737016,0.04898035332,0.02407508892,0.06862783968,0.013006082519999995,0.013836258,0.05894245908,0.16824889727999998,0.08827532603999999,1.1019195871199998,0.07665286932,0.200625741,0.030716492760000002,0.0055345032,0.09657708083999998,0.00387415224,,0.047873452680000005,0.103771935,0.0235216386,0.032100118559999995,0.30771837791999995,0.03791134692,0.0221380128,0.0179871354,0.009408655440000002,0.00885520512,0.0110690064,0.06281661132000001
Sichuan,0.06445578240000001,0.0267152256,0.06275957759999999,0.0941393664,0.0517342464,0.12721536,0.031379788799999996,0.0262911744,0.1072849536,0.2972598912,0.1560508416,,0.2603674368,0.0924431616,0.040284864,0.014841791999999996,0.0729368064,0.01060128,1.1610521856,0.0737849088,0.5092854912,0.036044352,0.1369685376,0.33754475520000005,0.067848192,0.034348147200000005,0.0479177856,0.017386099199999998,0.0453734784,0.08565834239999999,0.14375335679999998
Guizhou,0.015370644240000004,0.006460125840000001,0.01871208864,0.028513658880000008,0.009801570240000002,0.06304191768000003,0.007351177679999999,0.00690565176,0.044552592,0.2575139817600001,0.15994380528000002,0.29850236640000005,0.02762260704,0.03697865136,0.017375510880000004,0.0033414444000000004,0.21585730824,0.0013365777599999998,0.2967202627200001,0.06059152512000001,0.35731178784,0.0323006292,0.01024709616,,0.18333391608,0.015370644240000004,0.0024503925600000004,0.0020048666399999997,0.0017821036800000005,0.0013365777599999998,0.04098838464
Yunnan,0.021448359359999995,0.008648531999999999,0.02179430064,0.0319995684,0.01107012096,0.046010190240000005,0.01003229712,0.00674585496,0.057080311200000004,0.15463575215999995,0.07714490544,0.4351941302399999,0.025253713439999995,0.02871312624,0.016259240159999994,0.00674585496,0.057080311200000004,0.0034594128,0.08371778975999998,0.030788773919999995,,0.02023756488,0.010551209039999995,0.3611626963199999,0.11537141687999998,0.010551209039999995,0.00363238344,0.0034594128,0.0025945595999999995,0.013318739279999998,0.05171822136
Tibet,0.00271272564,0.0010806793199999998,0.00266861628,0.005601888719999999,0.0021834133199999995,0.004322717279999999,0.0016761556799999998,0.00063958572,0.0056239434,0.0078073567199999985,0.0033964207200000004,0.0695825154,0.010520082359999995,0.0026465616,0.00112478868,0.00048520295999999997,0.00293327244,0.00048520295999999997,0.015173619840000001,0.0016761556799999998,0.015548549399999997,0.0016320463199999999,0.007608864599999999,0.0016982103600000002,0.0012130074,0.00048520295999999997,0.0039698424000000005,0.00070574976,0.03850747128,,0.006506130600000001
Shaanxi,0.09661724712000001,0.02643598944,0.09315539136000002,0.27789260328000004,0.42927011424,0.13721537375999998,0.028638988560000005,0.26876589264,0.07899325416,0.13312408968000006,0.09315539136000002,0.24012690408000004,,0.11046467016,0.05003955144000001,0.01038556728,0.04909540896000001,0.01038556728,0.06829297272000001,0.036192128399999995,0.03398912928,0.02643598944,0.3682155672,0.031471416,0.024232990319999998,0.01636513632,0.048465980639999996,0.13721537375999998,0.043430554079999996,0.00818256816,0.16553964816000002
Gansu,0.02340460008,0.0168320754,0.02629009872,0.04424431248,0.01859543568,0.05754966732,0.00849619044,0.09329778936,0.0392748426,0.0504962262,0.041358813839999994,0.1058016168,0.39451178628,0.0192366576,0.01474810416,0.00368702604,0.01570993704,0.00256488768,0.0248473494,0.01570993704,0.01378627128,0.008816801400000001,,0.01106107812,0.00929771784,0.00577099728,0.0849619044,0.16800014304000002,0.2116032336,0.007374052079999999,0.06316035912000001
Qinghai,0.00669848292,0.00216250236,0.00812256984,0.018196666200000003,0.004535980560000001,0.0121311108,0.00216250236,0.005379883920000001,0.0084390336,0.012553062479999998,0.010548792,0.05068694556,0.036657052200000005,0.00601281144,0.005063420159999999,0.0006329275199999999,0.005854579560000001,0.0006329275199999999,0.00785885004,0.00258445404,0.00416677284,0.0018987825600000003,0.22722097968000002,0.0034283574000000005,0.002637198,0.00216250236,0.02568630852,0.01313324604,,0.024684173280000003,0.014610076919999998
Ningxia,0.01368949248,0.0057039552,0.011907006480000001,0.014972882400000003,0.014616385199999997,0.0139033908,0.003564972,0.17297244144,0.01048101768,0.01561457736,0.012833899200000002,0.01447378632,0.13682362535999998,0.00591785352,0.006702147359999999,0.0021389832,0.0064882490400000005,0.0010694916,0.007343842320000001,0.00434926584,0.0041353675200000006,0.0026380792800000004,0.17696521008000002,0.00342237312,0.0021389832,0.0010694916,0.00934022664,,0.01062361656,0.00028519776,0.025739097840000003
Xinjiang,0.01977458184,0.007898131800000003,0.021178694160000004,0.046452715920000005,0.011642431320000002,0.022231778400000003,0.009243739440000004,0.01246149684,0.0181364508,0.022641311160000004,0.01907252568,0.045575145720000015,0.05657402556000001,0.008366169240000002,0.008658692640000002,0.003802804200000001,0.013573085759999999,0.0028667293199999997,0.015679254240000003,0.006435514800000003,0.0056749539600000004,0.00362729016,0.10361178828000002,0.0034517761200000005,0.0028082246400000003,0.005031402480000001,,0.01216897344,0.031943555280000015,0.002281682520000001,0.041245799400000005
Taiwan,0.00012920796,3.184272e-05,0.00012920796,0.00019411812,,0.00012920796,0.00012920796,6.429780000000001e-05,0.0014255740800000005,0.0002265732000000001,0.00038823624,0.00016166304000000002,,6.429780000000001e-05,3.184272e-05,6.429780000000001e-05,,0.00016166304000000002,3.184272e-05,0.0018138103200000004,0.00012920796,3.184272e-05,,,3.184272e-05,,3.184272e-05,,,,0.00058296672
Hong Kong,,,3.1084559999999994e-05,,,,,,0.00032293404000000004,0.015616537560000003,3.1084559999999994e-05,,3.1084559999999994e-05,3.1084559999999994e-05,,,3.1084559999999994e-05,,3.1084559999999994e-05,0.0004524530400000001,,6.389604000000003e-05,,,0.000129519,3.1084559999999994e-05,,,,,0.000129519
Macau,0.00025780356,0.00025780356,0.00025780356,0.00041739623999999996,0.00025780356,0.0012890178,0.00028235627999999996,8.593452000000003e-05,0.001841454,0.10976293476,0.00132584688,0.0007120288799999999,0.00038056716,0.00054015984,0.00022097448,6.13818e-05,0.0009330033599999999,,8.593452000000003e-05,0.000613818,0.00022097448,0.00044194896,0.00031918536,0.0001841454,0.0009943851600000002,0.0001227636,,,8.593452000000003e-05,,0.00063837072
