,Hebei,Shandong,Henan,Tianjin,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Guangdong,Sichuan,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Fujian,Jiangxi,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.15943530023999994,0.3652180714799999,1.6481160687599998,0.05376306635999999,0.09084104315999998,1.7482266061199996,0.10567223387999997,0.03522407796,0.3893187564,0.8991409373999998,1.5276126441599998,2.4267535815599994,0.08898714431999998,0.24286074804,1.1290243935599995,,0.06674035823999999,1.0567223388,0.055616965199999986,0.4857214960799999,2.085636195,0.6433028974799999,0.10938003155999998,0.5969554264799999,0.21134446775999996,1.98181785996,0.0278084826,0.016685089559999998,0.007415595359999998,0.00185389884,0.22061396196
Anhui,0.1057401864,0.288677196,0.7713195192000001,0.0337330656,0.0493021728,2.4385114152000003,0.035679204000000006,0.0168665328,0.15050136960000002,0.0817378128,0.5695698384000001,,0.029192076000000008,0.0784942488,0.2439160128,0.7317480384,0.0207588096,0.094063356,0.023353660800000002,0.09341464320000001,0.2004522552,0.0577354392,0.028543363199999998,0.04865346,0.035030491200000013,0.050599598400000015,0.0123255432,0.0090819792,0.0058384152000000005,0.0051897024,0.16217820000000002
Fujian,0.0582958458,0.10713831119999999,0.307234863,0.030460892399999995,0.0451661508,0.17383716179999995,0.0414898362,0.015755633999999998,0.590836275,0.40859610840000005,0.15125408640000002,0.1922187348,0.028885328999999998,0.0808789212,0.2867525388,0.42855324479999996,0.0257342022,0.2825510364,0.030460892399999995,,0.6864204545999999,0.2935799802,0.0409646484,0.1607074668,0.128671011,0.4794964614,0.0136548828,0.008403004799999999,0.0042015024,0.0010503756,0.10346199659999998
Jiangxi,0.07332708384,0.10082474027999999,0.19248359508,0.019925838,0.03865612572,0.19965689675999998,0.027497656439999997,0.019925838,0.6009632740799999,0.09444847212000003,0.15422598612,0.22516196940000002,0.03068579052,0.05140866204,0.33037039404,0.4722423606,0.0219184218,0.488183031,0.042641293319999996,0.30446680464000003,,0.06455971512000001,0.04144574304,0.06336416484,0.08089890227999999,0.11317875984,0.01235401956,0.01036143576,0.00836885196,0.0019925838,0.08209445256
Shandong,1.12499172432,,1.07988379632,0.34011377712,0.22644179856,1.47232276992,0.35454831408,0.11457413712,0.21471373728,0.2616259824,0.30132095904,0.4555900728,0.29951664192,0.20478999311999999,0.22824611568000003,0.33740730144000003,0.1894532976,0.14073673535999998,0.06405325776000001,0.12991083264,0.12810651552000002,0.09382449024,0.09111801456,0.10284607583999998,0.07758563616,0.09653096592,0.04149929376,0.03337986672,0.01984748832,0.00180431712,0.7713455687999999
Henan,0.5022172368,0.78065238132,,0.10044344736,0.46750516308,0.7289535481199999,0.07533258552000001,0.05317594272,0.37370870856,0.1809459162,0.27769658975999995,0.8456452001999999,0.0480060594,0.40768222751999994,0.64475830548,0.33530386104000004,0.03249640944,0.18685435428,0.09527356404,0.13441696632000003,0.1181687616,0.08936512596000001,0.08641090691999999,0.07828680455999999,0.07976391408,0.0701627022,0.05096027843999999,0.03175785468,0.027326526119999996,0.00295421904,0.461596725
Hubei,0.14194325952,0.18060260256,0.7731868608000001,0.03519731232,0.09866787552000002,0.28157849856,0.043852389119999995,0.032312286720000014,0.47141318304,0.23714910432000005,0.14886732096,0.32427687744,0.0346203072,0.19848976127999998,,0.25619027328,0.025965230400000004,0.71202431808,0.05885452224000001,0.14367427488,0.38024637408,0.35312713344,0.08424274752000001,0.10847696256,0.14367427488,0.18694965888000006,0.044429394239999996,0.01904116896,0.020772184319999998,0.0057700512,0.20022077664
Hunan,0.10284262848,0.1119013056,0.24298569216,0.02984034816,0.0559506528,0.1518660576,0.035168981759999995,0.02344598784,1.20746837376,0.16572050496,0.09218536128,0.12095998272,0.030373211519999995,0.09111963456,0.7023139084800001,0.17957495232,0.026643168,,0.07087082687999999,0.12415716287999999,0.47211693696,0.17850922560000002,0.04582624896,0.12735434304,0.35808417792,0.35701845120000003,0.02557744128,0.01492017408,0.013854447360000001,0.00905867712,0.13428156672
Guangdong,0.16202913408,0.24891432192,1.32910854912,0.06575095296000001,0.09627818112,0.37571973119999996,0.11271591935999999,0.039920221440000014,,1.8081512063999998,0.30527228160000003,0.39685396608,0.09862642944,0.29118279168,2.15334370944,0.410943456,0.07279569792,4.2151057344,0.25595906688000003,0.71151924096,1.819892448,0.9158168448,0.08688518784,0.71151924096,3.70318760064,1.4159937369600002,0.042268469759999996,0.021134234879999998,0.00939299328,0.0023482483200000003,0.3639784896
Guangxi,0.06448159872,0.07730464392000001,0.1135755432,0.022348735919999998,0.030775308480000003,0.0751064076,0.02418059952,0.00952569072,1.31014884672,0.15570840600000002,0.039934626480000006,0.05349041712,0.020150499600000003,0.049826689920000014,0.11833838856000002,0.07730464392000001,0.0146549088,0.42755696424,0.06045149880000001,0.07290817127999999,0.09232592544,0.09232592544,0.022348735919999998,0.22019000472000005,,0.32167524816,0.005495590799999999,0.006594708960000001,0.005129218080000001,,0.06191698967999999
Hainan,0.04791812256,0.04279480128,0.08393205743999999,0.02591797824,0.032397472799999986,0.04460303232,0.02802758112,0.014315162399999998,0.24923451168,0.11783638944,0.04761675072,0.0399317688,0.03073992768,0.037370108159999985,0.06494563151999999,0.046260577439999985,0.0233563176,0.08664440400000001,,0.034808447519999994,0.0557537904,0.053493501599999986,0.01476722016,0.029082382559999995,0.08860332095999998,0.05605516224,0.01175350176,0.00843841152,0.0028630324799999995,0.00030137184,0.07895942208
