,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Shanghai,Inner Mongolia,Guangdong,Zhejiang,Sichuan,Shaanxi,Hubei,Hunan,Anhui,Heilongjiang,Jilin,Chongqing,Yunnan,Fujian,Hainan,Jiangxi,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.09609681887999998,0.04804840943999999,0.18871186895999995,0.33355345103999995,1.4783590324799998,0.05083382447999999,0.06127913087999999,1.3669424308799998,0.023676027839999995,0.30500294688,,0.15528688847999994,0.08495515871999998,0.20890612799999994,0.20751342048,0.7478839382399999,0.0313359192,0.024372381599999996,0.09331140384,0.09261505007999997,0.37672738416,0.034817687999999986,0.46934243424,0.034817687999999986,0.17548114751999996,0.05779736207999999,0.01880155152,0.01114166016,0.009748952640000001,0.0034817687999999995,0.16085771855999995
Anhui,0.08857661039999999,0.036210564,0.22896218160000004,0.5364734328,2.0238919848,0.0384389064,0.0284113656,0.5476151448,0.0161554824,0.15431271119999998,0.8852090184000001,0.055151474400000004,0.0662931864,0.18606659039999998,0.0802203264,,0.010584626399999998,0.0100275408,0.0345393072,0.0267401088,0.0830057544,0.0172696536,0.1749248784,0.019497996,0.02785428,0.0284113656,0.0122558832,0.0066850272,0.005570856,0.0016712568,0.130915116
Fujian,0.0327245184,0.01963471104,0.046749312000000015,0.07503264576,0.13370303232000005,0.02243966976,0.02080344384,0.12178195776000003,0.010284848640000002,0.4761417427200001,0.37820193408,0.07620137856,0.036931956480000014,0.08368126847999999,0.09069366528000003,0.07433140608000001,0.01145358144,0.0067786502400000006,0.05212548288,0.04581432576,,0.026179614720000008,0.26857479744,0.0163622592,0.06942272832000003,0.04861928448,0.00560991744,0.006544903680000002,0.00303870528,0.0016362259200000005,0.06802024896000003
Jiangxi,0.031081909680000002,0.012617408879999998,0.04185286848,0.07108832808,0.16433405712000002,0.013232892240000002,0.01046321712,0.15633277344000002,0.00523160856,0.6862639464,0.530854398,0.03815996832,0.026158042800000003,0.20464821719999998,0.38283064992,0.14679278136,0.007078058640000001,0.00369290016,0.032620618080000004,0.024619334399999998,0.284661054,0.018772242480000003,,0.01138644216,0.04062190176,0.052316085600000006,0.00369290016,0.0033851584800000003,0.00246193344,0.00092322504,0.06401026943999999
Shandong,0.9796782005999998,0.29926248659999993,,0.7924133447999999,1.0760202486,0.1722114108,0.162577206,0.20954395439999995,0.0818907408,0.159566517,0.2938432463999999,0.1041698394,0.15053445,0.11320190639999995,0.09634204800000001,0.2751769746,0.0921270834,0.05720309099999999,0.049375299599999985,0.043956059400000004,0.06804157139999999,0.027096201,0.06804157139999999,0.03673040579999999,0.034923992399999985,0.0379346814,0.0295047522,0.0204726852,0.012644893799999998,0.0024085512,0.4642482438
Henan,0.5089724456399999,0.13152450816,0.7466755931999999,,0.68502348,0.48157150643999996,0.05891201927999999,0.27606446244000005,0.05274680796,0.44663530896000003,0.55418399532,0.12398924988,0.3870382662,0.49869709343999996,0.16440563519999998,0.60076559196,0.01986568092,0.01849563396,0.07055741843999999,0.05274680796,0.1061786394,0.044526526200000006,0.1061786394,0.06028206624,0.0479516436,0.05754197232,0.05754197232,0.02329079832,0.02534586876,0.00548018784,0.42608460456
Hubei,0.07037207423999997,0.025374545999999998,0.07950691079999997,0.3958429175999999,0.20536465896,0.03890763719999999,0.02131461864,0.12450443903999996,0.014209745759999996,0.47974808304,0.23446080504,0.10318982039999998,0.12450443903999996,,0.44726866416,0.1573221852,0.007443200159999998,0.006766545599999999,0.19013993136,0.0439825464,0.08965672919999998,0.030111127919999994,0.20434967712,0.020637964079999998,0.0439825464,0.05650065575999999,0.012856436639999998,0.007781527439999998,0.007104872879999998,0.0023682909600000004,0.12924102095999998
Hunan,0.046153216799999994,0.02127061296,0.04735721376,0.11197171728,0.12481435152,0.025283936160000003,0.02247460992000001,0.09230643359999999,0.009230643359999999,1.3890111595200003,0.19424484288,0.08949710736000001,0.057791854079999996,0.4209976036800001,,0.06060118032000001,0.010033308,0.0072239817599999995,0.09872775072,0.06662116512,0.08548378416,0.05137053696,0.33591515184000004,0.015250628160000003,0.20989680336000005,0.27972862704,0.01284263424,0.00842797872,0.0080266464,0.0028093262400000012,0.09953041536
Guangdong,0.08472412080000001,0.042362060400000005,0.10706047992,0.27111718656,0.26418521304000003,0.050064253200000006,0.0616175424,0.231065784,0.033119429039999995,,0.3196410012,0.31116858911999995,0.12246486552,0.39358205208,1.2362019444,0.12092442696,0.032349209760000004,0.027727894080000003,0.18639306576,0.19409525856,0.46521244511999993,0.22413381048,0.5884475299199999,0.042362060400000005,0.26957674800000003,1.5073191309600003,0.02926833264,0.0154043856,0.01694482416,0.00616175424,0.231065784
Guangxi,0.02806394688,0.006943656959999999,0.027195989759999997,0.03992602752,0.05439197951999999,0.011572761599999998,0.011572761599999998,0.04600172736000001,0.00665433792,1.60600999104,0.06307155072000001,0.06885793152000001,0.02806394688,0.05149878911999999,0.2574939456,0.022856204159999997,0.00810093312,0.0043397856,0.0419512608,0.11891012544,0.04542308928,0.04802696063999999,0.04426581312,0.01099412352,0.17966712384,,0.004918423680000001,0.0023145523199999997,0.00202523328,0.0014465951999999998,0.04368717504
