,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Anhui,Hunan,Inner Mongolia,Guangdong,Jiangsu,Shaanxi,Zhejiang,Jilin,Sichuan,Gansu,Guizhou,Shanghai,Heilongjiang,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Guangdong,0.01492880868,0.00490199688,0.02584689264,0.07508967947999999,0.00735299532,0.0133690824,0.027852255,0.4211260955999999,0.004233542759999999,,0.05325351156,0.01426035456,0.09915402779999999,0.00735299532,0.06461723159999999,0.011363720039999999,0.13569618635999994,0.0245099844,0.004233542759999999,0.23507303219999998,0.14795117855999998,0.06996486456,0.035873704439999994,0.04144415544,0.573756453,0.01916235144,0.0066845412,0.00178254432,0.0031194525600000004,0.01983080556,0.00022281804
Guangxi,0.00948781188,0.00149807556,0.008988453359999999,0.01947498228,0.0034955096400000004,0.006491660759999999,0.00948781188,0.12384091295999998,0.0009987170400000002,4.26502111932,0.023469850439999995,0.00599230224,0.08539030691999999,0.0019974340800000003,0.0349550964,0.0034955096400000004,0.14781012192,0.01048652892,0.0019974340800000003,0.04294483272,0.03845060604,0.01897562376,0.01048652892,0.09387940175999998,,0.005492943720000001,0.0004993585200000001,0.0004993585200000001,0.0004993585200000001,0.00948781188,
Hainan,0.016984403999999998,0.002480868,0.007366269599999998,0.0237399984,0.008969291999999999,0.007518938399999999,0.0025572024,0.010190642399999998,0.0040838904,0.129577644,0.004923568799999999,0.0053815752000000005,0.0149997096,0.0099998064,0.0231293232,0.0045418968,0.0175950792,0.0059922504,0.008778455999999999,0.01049598,0.004961736,,0.0141981984,0.0021755303999999994,0.016869902399999998,0.0021373632000000003,0.0010305144,0.0011831831999999998,0.0014885208,0.017404243199999996,3.81672e-05
Chongqing,0.01042158636,0.00376950996,0.01241720928,0.022173587999999998,0.005986868760000001,0.00509992524,0.01818234216,0.12417209279999998,0.0011086794,0.42196337964,0.08182053972,0.019956229199999998,0.3481253316,0.0011086794,0.44635432644,0.007317284040000001,0.23637044808000002,0.037473363719999986,0.0008869435199999999,0.05188619592,0.15654553127999998,0.00798249168,,0.06851638691999999,0.0476732142,0.05587744176,0.0011086794,0.0006652076400000001,0.0017738870399999999,0.01241720928,0.00399124584
Sichuan,0.026100707760000005,0.00870023592,0.041567793840000006,0.10778625611999999,0.02513401488,0.01256700744,0.03480094368,0.09231917004,0.005316810840000001,1.0536952392,0.24360660575999998,0.13050353880000004,0.60418305,0.0024167322,,0.05220141552000001,0.4190613634800001,0.06670180872,0.00145003932,0.04446787248,0.21218908716,0.01740047184,0.9159415038,0.4432286854800001,0.15177078216000006,0.016433778960000003,0.005316810840000001,0.00290007864,0.016433778960000003,0.040117754520000014,0.031900865040000004
Guizhou,0.004199895359999999,0.0017499564000000001,0.008749782,0.013649659919999998,0.00244993896,0.0020999476799999995,0.016449590159999996,0.27719309375999995,0.0010499738399999995,0.90192752856,0.10149747119999998,0.005249869200000001,0.8151296911199999,0.00069998256,0.17219570975999998,0.0020999476799999995,,0.034649136719999994,0.00034999128,0.11689708751999997,0.21279469824,0.0073498168799999986,0.18024550920000001,0.36889080912,0.21769457616000001,0.008399790719999998,,0.00034999128,0.0010499738399999995,0.01854953784,0.00034999128
Yunnan,0.006852629159999999,0.0012299590800000002,0.009488255759999998,0.010718214839999995,0.00298704348,0.0022842097199999994,0.0105425064,0.07397325323999998,0.0010542506399999997,0.26444120219999995,0.05569957547999999,0.009312547319999998,0.2965958467199999,0.00140566752,0.33911728919999995,0.0031627519199999995,0.39130269588,0.0193279284,0.0008785421999999997,0.02407205628,0.04585990283999999,0.00281133504,0.0325060614,,0.13353841439999994,0.00386558568,0.0008785421999999997,0.0005271253199999998,0.0008785421999999997,0.007555462919999999,0.0015813759599999995
Tibet,6.358500000000001e-05,3.05208e-05,0.00016023420000000005,0.0005493744000000001,0.0001932984,9.66492e-05,0.00012717000000000002,0.0004196610000000001,3.05208e-05,0.0004196610000000001,0.0002568834,0.0001932984,0.0001932984,,0.0103999626,0.0018770292,0.00012717000000000002,6.358500000000001e-05,,9.66492e-05,6.358500000000001e-05,,0.0009715788,0.0020067426,6.358500000000001e-05,3.05208e-05,0.00016023420000000005,3.05208e-05,0.006574689000000001,0.0001932984,
Shaanxi,0.04437480348,0.008349266159999999,0.04066401852,0.10297428264,0.23594407704,0.00479309724,0.029995511760000003,0.02350163808,0.11719895832,0.1437929172,0.16033683347999994,,0.13544365104,0.00293770476,0.08503882199999999,0.13467057084,0.027212423040000003,0.03216013632,0.00092769624,0.01206005112,0.019327005,0.0026284726799999996,0.020409317280000002,0.0170077644,0.00881311428,0.02118239748,0.00371078496,0.045920963880000006,0.013451595479999998,0.04731250824,0.0015461604
Gansu,0.0126887472,0.0116035254,0.014608755,0.0328070898,0.0095165604,0.0022539222000000003,0.0090156888,0.005676544800000001,0.0384836346,0.0429080004,0.07688379060000003,0.19191730140000002,0.0520071678,0.0006678288,0.045495837,,0.007346116800000002,0.027130545,0.0001669572,0.006177416400000001,0.012939183,0.0015860934,0.011687004,0.0052591518,0.0045913230000000005,0.0028382724000000003,0.0132730974,0.07963858439999999,0.0825603354,0.0277148952,0.0039234942
Qinghai,0.00093472704,0.00038127024,0.0020293416,0.0033576379200000003,0.001844856,0.0001229904,0.0008732318399999999,0.00063955008,0.00186945408,0.00212773392,0.0022999204800000003,0.006112622879999999,0.00186945408,0.0001844856,0.005596063199999999,0.07214616864000001,0.0007379424,0.0007994375999999999,8.609328000000001e-05,0.00041816736,0.00063955008,0.00031977504,0.00174646368,0.000614952,0.00028287792,0.00015988752,0.0022261262399999996,0.0022261262399999996,,0.0015127819199999997,0.008609328000000001
Ningxia,0.003135834,0.0015196734,0.002653398,0.006054571799999999,0.0030393468,0.00033770519999999995,0.0021468402,0.0010613592,0.0559143324,0.0053550396,0.00482436,0.051210581399999996,0.0053550396,0.0003135834,0.0035459046,0.0736679772,0.0013508207999999998,0.0036423918,4.82436e-05,0.0008925066,0.0007960193999999999,0.0004100706,0.0007236539999999999,0.0012543335999999998,0.0016161606,0.0005306796,0.0009889938000000001,,0.0032323212,0.0050414562,0.0001929744
Xinjiang,0.00132192,0.0008354534400000001,0.00245348352,0.00420899328,0.0008989056000000002,0.0006450969599999999,0.0008354534400000001,0.00122674176,0.00469545984,0.0120559104,0.0033312384000000004,0.0026861414399999995,0.0039551846400000005,0.00015863040000000002,0.01325092608,0.02943122688,0.0005816448,0.00450510336,0.00015863040000000002,0.0005816448,0.0008989056000000002,0.00054991872,0.00284477184,0.00054991872,0.0008989056000000002,0.00041243904,,0.00177666048,0.00281304576,0.007000888320000001,3.172608e-05
Taiwan,,3.2367600000000005e-05,0.0002913084,6.473520000000001e-05,,6.473520000000001e-05,6.473520000000001e-05,3.2367600000000005e-05,3.2367600000000005e-05,0.0022992984,0.0019432548,,0.0006473520000000001,,3.2367600000000005e-05,,,0.0023975999999999997,3.2367600000000005e-05,0.00012947040000000002,0.0024947028,,3.2367600000000005e-05,,3.2367600000000005e-05,0.00012947040000000002,,,,0.0003560436,
Hong Kong,,,0.000258552,2.9548800000000008e-05,,,0.000129276,0.0006131376,,0.028152619200000006,0.00042107040000000003,,0.00042107040000000003,6.279120000000003e-05,0.00015882479999999998,2.9548800000000008e-05,0.000129276,0.0010009656,2.9548800000000008e-05,9.60336e-05,0.0015217632000000005,9.60336e-05,0.00015882479999999998,0.0002881008000000001,0.0004506192,,2.9548800000000008e-05,,,0.0007424135999999999,
Macau,9.3798e-05,,0.00016133256000000002,9.3798e-05,6.378264e-05,3.001536e-05,0.00012756528,0.00016133256000000002,,0.03294936144,0.00012756528,,6.378264e-05,,,,3.001536e-05,0.00019134792,3.001536e-05,0.00025888248,0.00025888248,3.001536e-05,6.378264e-05,,0.00048399768,3.001536e-05,,,,9.3798e-05,
