,Hebei,Tianjin,Shandong,Henan,Jiangsu,Guangdong,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangdong,0.08169368723999999,0.03308256756,0.101273166,0.25115745168000003,0.24373075284,,0.03915895752,0.24575621616,0.054012355199999994,0.01822916988,0.28694063700000005,0.27816362928000005,0.11005017372,0.11950233587999999,0.3274499034,0.033757722000000004,0.94454106156,0.022280096519999997,0.16676314668000006,0.41251936284,0.52729561764,0.21807488412000006,0.15326005788000002,0.029031640919999997,0.21739972968,1.3631368143600002,0.02768133204,0.0101273166,0.011477625480000002,0.00607638996,0.20659725864000006
Guangxi,0.02647837836,0.00841369032,0.02449868652,0.03810906792,0.04627529676,1.3862792109600002,0.010640843640000001,0.04107860568,0.010145920679999998,0.00519669108,0.05419406412,0.05097706488,0.023013917640000003,0.01954945692,0.037614144960000005,0.00643399848,0.21479656464000002,0.0034644607200000005,0.031675069439999995,0.03736668348,0.03489206868,0.04677021972,0.1039338216,0.00767130588,0.15367357908,,0.0024746148000000003,0.0012373074000000001,0.0014847688799999998,0.00024746147999999996,0.039593836800000004
Hainan,0.01591456896,0.0072713116800000015,0.01529719344,0.024146242560000003,0.02702732832,0.19076903568000006,0.01255330224,0.03409284816,0.00953502192,0.0054877824,0.024557826239999997,0.03519040464,0.016051763519999998,0.012073121280000002,0.01948162752,0.011592940320000002,0.03011420592,0.00596796336,0.022911491519999997,0.01728651456,0.012484704960000002,,0.014336831519999997,0.00397864224,0.01927583568,0.05028180624,0.0032240721600000004,0.0022637102400000003,0.0008917646400000001,0.00020579184,0.0397864224
Chongqing,0.028743157800000006,0.01313972928,0.03722923296,0.05064270660000001,0.07555344336,0.16671031524,0.020530826999999998,0.06378243588,0.014508451080000003,0.008212330799999999,0.0848607516,1.11468703392,0.07664842079999999,0.030933112680000003,0.19052607456,0.00656986464,0.102654135,0.004106165399999999,,0.04763151864,0.0260057142,0.026826947280000003,0.08458700724,0.021078315719999997,0.29920258548,0.03914544348,0.01560342852,0.005748631559999999,0.006022375920000001,0.00930730824,0.061866225360000006
Sichuan,0.06005460528000001,0.02678110776,0.053156441160000005,0.0953569746,0.12294963108,0.27552079044,0.04179475908,0.10590710796,0.030433077000000003,0.017854071840000003,0.13025356955999998,,0.26740530324,0.045852502680000004,0.08927035920000001,0.012579005159999998,0.07466248224000001,0.01095590772,1.15808002344,0.06614122068,0.0324619488,0.04301208216,0.48774078072,0.11564569260000003,0.31447512899999996,0.06938741556000001,0.04301208216,0.012579005159999998,0.038548564199999996,0.06573544632000003,0.14202102600000002
Guizhou,0.016107485039999998,0.006398863919999999,0.0187552908,0.03133236816,0.05494196952000001,0.2714000904,0.00838471824,0.03817253304,0.00838471824,0.00308910672,0.17563778208,0.27956415816,0.032214970079999995,0.01919659176,0.033980173919999995,0.00419235912,0.20366039304000003,0.0017652038399999998,0.27846090575999993,0.06531254208,0.033759523439999994,0.02405090232,0.35171686511999994,0.007943417279999998,,0.18755290800000002,0.0022065048,0.0022065048,0.0022065048,0.0008826019199999999,0.038613834
Yunnan,0.02008097568,0.008849243520000001,0.021612575520000003,0.034205729760000005,0.05020243920000001,0.17000758224000004,0.01072119888,0.045947995200000015,0.01038084336,0.00578604384,0.07130448144000003,0.4150635566400001,0.030461819040000008,0.017698487040000002,0.02858986368,0.007487821440000001,0.06075346032000001,0.00391408848,0.08236603584,0.034375907520000006,0.020421331200000004,0.015486176160000004,,0.008508888000000001,0.34290818640000004,0.11929460976,0.006466754880000001,0.0022123108800000003,0.0025526664000000004,0.00918959904,0.04203390672000002
Tibet,0.00212471424,0.0008262777599999999,0.00251817984,0.005665904639999999,0.0052134192,0.006118390079999999,0.0012787632,0.00257719968,0.0016722288,0.0004721587199999999,0.0020656944,0.06907288607999999,0.01017108576,0.0017115753599999998,0.00273458592,0.00076725792,0.00301001184,0.00021640607999999997,0.0125908992,0.0012787632,0.00090497088,0.00041313888,0.012689265600000001,0.00523309248,0.0020656944,0.00076725792,0.0038362896000000003,0.0009246441599999998,0.03287405088,,0.00458387424
Shaanxi,0.0965167488,0.02533564656,0.08565861456,0.28623248316,0.12547177344000002,0.11280395016,0.41833978308,0.0708794874,0.02985986916,0.25667422884,0.08203923648000001,0.24038702748000004,,0.053385826680000005,0.105565194,0.01146136392,0.05248098216,0.010254904560000002,0.06786333900000001,0.033177632400000004,0.023224342680000003,0.02503403172,0.031367943360000004,0.36706526028,0.03106632852,0.021716268480000002,0.04162284792,0.1312024554,0.035590551119999994,0.005127452280000001,0.13301214444
Gansu,0.01938844512,0.009987986879999999,0.021591677519999998,0.04200829776000001,0.042448944239999994,0.04450529448,0.017478977040000003,0.02687943528,0.00749099016,0.06330621096,0.03437042544,0.11691819936000003,0.39996012168000006,0.0124849836,0.017332094880000003,0.0019094680800000002,0.012778747920000002,0.00308452536,0.02526373152,0.01630391976,0.00572840424,0.0058752864000000005,0.009987986879999999,,0.008078518800000002,0.0088129296,0.07814130912000003,0.16318607976,0.20078791272,0.0051408756,0.04568035176
Qinghai,0.005719179959999999,0.00205303896,0.006892345079999999,0.017793004319999996,0.01354028076,0.01153612368,0.00527924304,0.0070878726000000005,0.00200415708,0.0046437786,0.008994265920000001,0.04233170808,0.033972906600000005,0.00410607792,0.00630576252,0.0008309919600000001,0.00503483364,0.0011242832400000001,0.00738116388,0.00327508596,0.00278626716,0.0022974483599999995,0.0043504873200000006,0.2158135002,0.0015153382800000002,0.00180862956,0.02253454668,0.012171588119999998,,0.02160579096,0.013198107600000002
Ningxia,0.013535887319999999,0.00304734636,0.011197226160000002,0.0219692412,0.016228891080000002,0.014598915119999998,0.013677624359999998,0.01034680392,0.0037560315600000003,0.15853287924,0.01261459656,0.01644149664,0.14180790852000005,0.007937274240000002,0.007937274240000002,0.00191345004,0.00871682796,0.00297647784,0.00644903532,0.0058820871600000005,0.0037560315600000003,0.0022677926400000003,0.005315139,0.17143094988000002,0.00255126672,0.0022677926400000003,0.00843335388,,0.010630278,0.00035434260000000005,0.020835344880000002
Xinjiang,0.01988089272,0.0075078900000000014,0.018379314719999998,0.04696935984000001,0.02180291256,0.034356104639999996,0.0084088368,0.0228239856,0.00822864744,0.01369439136,0.02036139768,0.045527844960000015,0.053936681760000015,0.011832434640000002,0.008889341759999999,0.0046248602400000005,0.01243306584,0.00258271416,0.015436221839999997,0.007447826879999999,0.0030031560000000003,0.00696732192,0.007447826879999999,0.10625165928,0.0036037872,0.00378397656,,0.010090604159999999,0.033575284080000004,0.0023424616800000004,0.03729919752
Taiwan,6.473520000000001e-05,3.2075999999999996e-05,9.68112e-05,9.68112e-05,0.00012947040000000002,0.00029160000000000004,3.2075999999999996e-05,0.0015548112000000002,9.68112e-05,3.2075999999999996e-05,0.00022628159999999999,9.68112e-05,9.68112e-05,3.2075999999999996e-05,9.68112e-05,3.2075999999999996e-05,6.473520000000001e-05,3.2075999999999996e-05,3.2075999999999996e-05,0.001458,,3.2075999999999996e-05,3.2075999999999996e-05,,6.473520000000001e-05,6.473520000000001e-05,,,6.473520000000001e-05,3.2075999999999996e-05,0.0006152760000000001
Hong Kong,,,2.9976479999999995e-05,2.9976479999999995e-05,2.9976479999999995e-05,0.0234565956,,0.0004521452400000001,,2.9976479999999995e-05,2.9976479999999995e-05,2.9976479999999995e-05,,,2.9976479999999995e-05,,9.492552e-05,,,0.00038719620000000004,,,,2.9976479999999995e-05,,6.2451e-05,,,,,0.00015987456000000002
Macau,0.0009259855199999999,0.00028182168000000007,0.00054351324,0.00054351324,0.0018117108000000003,0.17660154276000006,0.00034221204000000005,0.0026169156,0.0005032530000000001,6.039036e-05,0.0028383469199999996,0.0009259855199999999,0.0005032530000000001,0.00048312288,0.00138897828,8.052048000000001e-05,0.0015097589999999998,0.00018117108,0.0006441638400000001,0.00144936864,0.00122793732,0.0005636433600000001,0.00048312288,6.039036e-05,0.00054351324,0.00193249152,2.0130120000000007e-05,8.052048000000001e-05,,2.0130120000000007e-05,0.00173119032
