,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Guangdong,Hunan,Jiangsu,Jilin,Zhejiang,Sichuan,Heilongjiang,Gansu,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.02543529600000001,0.0101741184,0.09283883040000003,0.07715373120000002,0.014625295200000003,0.017804707200000002,0.005087059200000001,0.2403635472000001,0.0192884328,0.13756255920000002,0.075246084,0.4892055264,0.0086903928,,0.03878882640000001,0.003815294400000001,0.017168824800000006,0.06994706400000003,0.3302349264000001,0.17825903280000005,0.12442098960000005,0.042392160000000005,0.008054510400000001,0.028826668800000007,0.0008478432000000003,0.027978825600000003,0.005722941600000002,0.002331568800000001,0.0031794120000000013,0.00042392160000000016,0.019076472000000004
Anhui,0.0409188186,0.03571096896,0.4605227038800001,0.13168419804,0.0223193556,0.03571096896,0.006695806679999999,,0.037198926,0.2492328042,0.0483586038,2.7036179416800006,0.006695806679999999,2.4841442782800005,0.026783226719999997,0.0014879570399999999,0.016367527439999998,0.026783226719999997,0.64874926944,0.14061194028,0.13094021951999998,0.020087420039999998,0.006695806679999999,0.011903656319999999,0.0007439785199999999,0.02827118376,0.018599463,0.0029759140799999998,0.0052078496400000006,0.0007439785199999999,0.07737376607999999
Fujian,0.01091000664,0.00863030376,0.03842927712,0.02979897336,0.011887022159999998,0.01204985808,0.0030938824799999994,0.0374522616,0.01514374056,0.5135844916800001,0.0553642128,0.13385112624,0.0032567184,0.24702209064,0.03077598888,0.00130268736,0.0105843348,0.06692556312,0.07881258527999999,0.14248142999999994,,0.047385252719999986,0.01074717072,0.02377404432,0.00032567184,0.06497153207999999,0.0037452261599999993,0.0009770155199999998,0.00293104656,0.00032567184,0.0170977716
Jiangxi,0.013071689280000002,0.008714459520000002,0.03322387692,0.028866647160000005,0.005991190920000001,0.006535844640000001,0.0032679223200000004,0.10130559192000002,0.013071689280000002,1.96728923664,0.24454952028000004,0.28703251044,0.0021786148800000005,1.5642454838400002,0.030500608320000008,,0.007080498360000001,0.06753706127999999,0.19008414828000006,,0.64650396564,0.050108142240000014,0.01416099672,0.025054071120000004,0.0005446537200000001,0.07788548196000003,0.0217861488,0.0010893074400000005,0.0010893074400000005,,0.02450941740000001
Shandong,0.45082096776,0.17741603016,0.36434179728,,0.10757889936,0.07221456504,0.039524844239999996,0.1322447796,0.06389354519999997,0.08439891551999999,0.0312038244,0.6849982404,0.02020819104,0.25141367088000005,0.034175617199999994,0.014264605439999996,0.01693921896,0.01604768112,0.1084704372,0.03893048568,0.03209536224,0.014858964,0.005646406319999999,0.0104012748,0.00416050992,0.01991101176,0.006240764879999999,0.006835123439999999,0.00653794416,0.0014858964000000001,0.15096707423999994
Henan,0.21778647551999997,0.08242613136,,0.4461597936,0.23064192719999999,0.047640791519999996,0.027979512480000003,0.6284047262400001,0.15350921712,1.01104346448,0.14216617152,1.3452852081600002,0.00907443648,1.7990070321599998,0.07486410096,0.00302481216,0.056715228,0.04083496416,0.4121306568,0.17619530832000002,0.18300113568,0.037810152,0.0113430456,0.02419849728,0.005293421280000001,0.047640791519999996,0.07864511616,0.0113430456,0.018905076,0.00302481216,0.22534850591999997
Hubei,0.0062894588400000005,0.00553847868,0.06486591132,0.007228184040000001,0.0021590679600000003,0.00197132292,0.00150196032,0.02506396284,0.01858675896,0.35474425307999996,0.17751293532,0.03604704768,0.0004693626,0.0384877332,0.0136115154,0.00056323512,0.00413039088,0.010513722240000002,0.03013307892,0.03811224312,0.01952548416,0.006101713800000001,0.0009387252,0.05191150356000001,0.00018774504,0.016333818479999998,,0.0007509801600000001,0.00103259772,,0.00300392064
Hunan,0.015506964,0.009868068,0.05427437400000001,0.026079894,0.008458344,0.0063437580000000006,0.002114586,0.050750064000000004,0.020440998000000002,4.265824824,,0.18678843,0.002114586,0.80354268,0.04229172,0.000704862,0.011277792,0.272781594,0.05709382200000001,0.304500384,0.205114842,0.121941126,0.023965307999999998,0.083878578,0.001409724,0.322826796,0.08951747399999999,0.001409724,0.00352431,0.001409724,0.040881996000000004
Guangdong,0.014610028319999998,0.004030352639999999,0.08085894983999999,0.029220056639999995,0.007808808239999999,0.01335054312,0.0037784556,0.03425799744,0.01813658688,,0.4733145381599999,0.05516545175999999,0.006549323039999999,0.100758816,0.07657670016,0.00428224968,0.0113353668,0.14156613648,0.0277086744,0.24257684952,0.16348117895999995,0.055669245839999985,0.10126261007999997,0.04257059976,0.007305014159999999,0.6871751251199999,0.01712899872,0.0010075881599999998,0.0030227644799999988,0.0005037940799999999,0.019647969119999997
Guangxi,0.0090858672,0.00121144896,0.0212003568,0.0090858672,0.0030286224,0.003634346879999999,0.00121144896,0.00969159168,0.005451520319999999,5.22861371136,0.1574883648,0.0242289792,0.00121144896,0.08358997823999999,0.0363434688,0.00121144896,0.0030286224,0.1726314768,0.0090858672,0.04724650944,0.04179498912,0.12235634496,0.029074775039999994,0.012720214079999998,0.00060572448,,0.006057244799999999,,,,0.006662969279999999
