,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Anhui,Shaanxi,Hainan,Hubei,Heilongjiang,Jilin,Hunan,Sichuan,Yunnan,Fujian,Jiangxi,Guangxi,Chongqing,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08425379916000002,0.026064124920000004,0.18729801395999998,0.31216335660000005,0.26791495848,1.2832035454800004,0.033337834200000006,0.045460682999999995,0.01879041564,1.0274114358,,0.7437367738799999,0.07091866547999999,0.04121768592000001,0.17396288028,0.03151940688,0.02363955516000001,0.16547688612000006,0.09273979332,0.10183192992,0.28609923168,0.5103719344800001,0.056977389360000005,0.08122308696000001,0.026064124920000004,0.22851569988,0.010304421480000004,0.0072737092799999995,0.006061424400000001,0.0006061424400000001,0.10425649968000003
Anhui,0.062114707440000014,0.0198238428,0.17797405536000002,0.4942744804800001,0.1057271616,1.9286396395200005,0.02026437264,0.016299604080000002,0.011013246,0.34229168568,0.5704861428000001,,0.03832609608,0.01806172344,0.13171842216,0.01145377584,0.00792953712,0.05022040176,0.022026492,0.02511020088,0.04845828240000001,0.132158952,0.019383312960000003,0.023348081519999998,0.01145377584,0.01850225328,0.005726887920000001,0.004845828240000001,0.0022026492,0.0008810596800000002,0.07841431152
Fujian,0.0294520212,0.01007069112,0.050543468640000005,0.07201494216000001,0.3986473579200001,0.1111576284,0.015581069279999997,0.019191317040000003,0.00684046944,0.08322571152000001,0.28368946871999995,0.0551037816,0.030402086400000007,0.0209014344,0.06118419888000001,0.01197082152,0.010260704160000002,0.07182492912,0.04826331216,0.04028276448,,0.23808633911999996,0.03933269928,0.045413116560000015,0.010260704160000002,0.06346435536,0.005320365120000001,0.00361024776,0.00228015648,0.0007600521600000001,0.054533742479999994
Jiangxi,0.025777197,0.006270129,0.039246363,0.052947756,0.5141505780000001,0.133066071,0.008127945,0.008360171999999999,0.00464454,0.08731735199999999,0.372492108,0.12633148800000002,0.018345933,0.020435976,0.17254466100000002,0.005805675000000001,0.004876767,0.321402168,0.018810387000000005,0.024383835000000003,0.21411329399999998,,0.038085228,0.020668203,0.005108994,0.030189510000000006,0.00232227,0.001161135,0.001161135,0.0004644540000000001,0.040175271
Shandong,0.8741064488399999,0.20209915368,,0.7338518449199999,0.14632862219999998,1.2054165368399998,0.12368909952,0.1573722918,0.06405328367999999,0.14632862219999998,0.22473867636,0.25842186863999994,0.11264542992000001,0.04196594448,0.11209324644,0.10601922815999998,0.08172315504,0.07288821935999999,0.08945372376,0.055218348,0.06681420108,0.06405328367999999,0.04748777928,0.0496965132,0.0303700914,0.034235375760000006,0.016013320919999997,0.013804587,0.0082827522,0.0016565504399999994,0.36885856464
Henan,0.37507748544,0.059801895,0.6205044625199999,,0.25595211059999995,0.45497281716000004,0.30427204176,0.03683796732,0.029183324759999994,0.13060733868,0.2760455473199999,0.54443645208,0.26504199863999994,0.055017743399999985,0.45880013844,0.017222945759999997,0.01626611544,0.11625488388,0.07750325592,0.053104082760000004,0.07702484075999999,0.07367593464,0.05119042212,0.052625667599999995,0.03683796732,0.03923004311999999,0.026791248959999996,0.013874039639999995,0.01243879416,0.0028704909599999995,0.24159965579999995
Hubei,0.04899436632,0.013132510559999998,0.07222880808,0.37806477516000003,0.29194581168,0.14597290584,0.021971700359999995,0.017678379599999995,0.008839189799999998,0.07172371151999997,0.12955726763999995,0.13713371603999994,0.08510877036,0.028790503919999995,,0.009091738079999998,0.006566255279999999,0.4028145066,0.04116536963999999,0.039902628239999995,0.056823363,0.1944621756,0.04470104556,0.13258784699999998,0.015657993359999997,0.03485166264,0.00681880356,0.00404077248,0.00404077248,0.00101019312,0.07323900119999999
Hunan,0.03112172604,0.008762427719999999,0.048646581479999985,0.08581136111999997,0.97957898856,0.09548024688,0.0135968706,0.01329471792,0.007553816999999998,0.052876719,0.11723523984,0.05076165023999999,0.031423878719999986,0.04350998592,0.38947480452,0.00966888576,0.006345206279999999,,0.033236794800000004,0.05831546723999999,0.06284775743999997,0.3278356578,0.21634131888,0.07040157444,0.011481801839999998,0.17434209635999998,0.005438748239999999,0.003625832159999999,0.0030215268,0.00120861072,0.06163914672
Guangdong,0.09500355216,0.034546746239999995,0.13458836556,0.2806923132,,0.2411074998,0.041024261159999985,0.05613846264,0.02375088804,0.17561262671999994,0.25118363411999994,0.12307278348,0.10795858199999997,0.19936351476,0.34258856687999995,0.05038067159999999,0.03670591788,1.1378834542799998,0.20008323864,0.1943254476,0.5002080966,0.7024505068799999,1.4207349391199997,0.15977870136,0.02806923132,0.25334280575999996,0.015114201479999997,0.01007613432,0.006477514919999999,0.0035986194,0.20368185804000002
Guangxi,0.02819873088,0.00704968272,0.034111368,0.041161050719999995,1.2139098825599999,0.039796596,0.00841413744,0.010915637759999998,0.00659486448,0.02569723056,0.04821073343999999,0.02137645728,0.017510502240000003,0.047983324319999986,0.04025141424,0.010688228639999998,0.0059126371200000005,0.20967120864,0.03342914064,0.10961119584000001,0.03820473216,0.04457218752,,0.03229209504,0.0050030006400000005,0.15077224656,0.00181927296,0.00181927296,0.0013644547199999997,0.00022740912,0.032064685919999995
