,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Hunan,Jilin,Heilongjiang,Zhejiang,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guizhou,Guangxi,Ningxia,Xinjiang,Hubei,Qinghai,Tibet,Beijing
Zhejiang,0.03314190492,0.01313733168,0.10091859336,0.15943943448,0.022094603280000003,0.0179145432,0.00865869588,0.7446478456800001,0.16690382748,0.37381680144,0.05702796252,0.05195217528,0.08121259584000001,0.00776296872,0.0065686658400000006,,0.01761596748,0.46756957751999995,0.16332091884000002,0.25856657351999995,0.00806154444,0.05165359956,0.028066117679999995,0.07344962712,0.03194760204,0.0032843329200000003,0.00358290864,0.0071658172799999986,0.005075787240000001,0.0005971514400000001,0.01433163456
Anhui,0.05874181884,0.037135632599999996,0.20998512252,0.53475310944,0.03173408604,0.02430695952,0.016204639679999997,2.42596959876,0.2396936286,,0.07427126519999999,0.02768292612,0.04253717916,0.0054015465600000005,0.0033759665999999995,2.01950322012,0.01485425304,0.5442058159200001,0.11275728444000001,0.1417905972,0.00742712652,0.02228137956,0.014179059719999998,0.02093099292,0.026332539480000004,0.004726353240000001,0.00270077328,0.01958060628,0.006076739879999999,0.00135038664,0.05266507896000001
Fujian,0.013431037680000002,0.007365407760000001,0.03653819928,0.049102718400000016,0.013286617920000002,0.00750982752,0.00563237064,0.09127328832000002,0.41636216808,0.03913775496,0.044770125599999995,0.03494958192,0.04953597768000001,0.00259955568,0.0031772347200000003,0.21547428191999998,0.00909844488,0.06065629920000001,,0.15149632824,0.0158861736,0.038415656160000006,0.02498461848,0.04563664416000001,0.039426594480000014,0.00231071616,0.00158861736,0.00462143232,0.00231071616,0.00057767904,0.011842420320000002
Jiangxi,0.01827519732,0.0066860478,0.03521318508,0.04501938852,0.00757752084,0.00401162868,0.0031201556400000004,0.19300391316,1.37019406248,0.10474808220000001,0.03655039464,0.0267441912,0.24560082252,0.0013372095600000002,0.00089147304,1.4780623003199995,0.0066860478,0.13951553076,0.501453585,,0.0133720956,0.03833334072,0.027635664239999996,0.04724807112,0.05972869368,0.00089147304,0.00089147304,0.021841089480000003,0.0022286826000000003,,0.012926359079999998
Shandong,0.62995968,0.17599679999999998,,0.59294592,0.11285568,0.07475328,0.05044032,0.80305344,0.08854271999999999,0.17817408,0.1034208,0.041731199999999996,0.03229632,0.02431296,0.02322432,0.21736512,0.02503872,0.10741248,0.03519936,0.04608576,0.00798336,0.02576448,0.01705536,0.018144,0.02104704,0.00834624,0.00762048,0.009072,0.009072,0.00145152,0.13426559999999998
Henan,0.32873947200000003,0.09514107072,0.7178123059199999,,0.3240984441600001,0.04331625984000001,0.035581213439999995,1.2700946188800002,0.96765430464,0.6845516064,0.3627736761600001,0.08199149184000001,0.12530775168000002,0.0116025696,0.0038675232,1.5021460108800002,0.06497438976,0.29393176320000003,0.17326503936000004,0.17171803008000006,0.017790606719999998,0.045636773760000006,0.02939317632,0.034034204160000005,0.052598315520000015,0.017017102080000002,0.01469658816,0.07657695936,0.026299157760000004,0.00541453248,0.14464536768000005
Hubei,0.002554335,0.000420714,0.004417497,0.072242604,0.000931581,0.001111887,0.000631071,0.0068215770000000005,0.014274225,0.014815143000000001,0.016407846,0.002163672,0.083151117,0.0007212239999999999,0.0005108669999999999,0.004928363999999999,0.001171989,0.0024942329999999998,0.002313927,0.017099019000000003,0.000180306,0.0007212239999999999,0.043153236000000005,0.001171989,0.00210357,0.000330561,0.000420714,,0.000180306,0.000120204,0.001562652
Hunan,0.02325395952,0.0073989871200000005,0.03540943836,0.059191896960000004,0.013212477,0.00581348988,0.0036994935600000002,0.12736827827999994,2.8845479786399992,0.04545092088,0.040694429160000004,0.04016593008,,0.0031709944799999997,0.00105699816,0.6600953509199999,0.01004148252,0.051264410760000004,0.16911970559999998,0.29067449399999995,0.031709944799999994,0.08138885832000001,0.07081887671999999,0.2219696136,0.27693351792,0.0015854972399999994,0.0026424954,0.09037334268,0.0036994935600000002,0.0015854972399999994,0.02061146412
Guangdong,0.025274546640000003,0.007176723120000001,0.03931596144,0.11825991576,0.012793289039999996,0.017785792079999998,0.006552660239999999,0.07114316831999999,,0.05086112471999999,0.03931596144,0.10733881536,0.5732017552800001,0.007176723120000001,0.007488754559999998,0.11326741272,0.01591360344,0.0374437728,0.21561372504,0.32045628888,0.10016209224,0.07270332552,0.056477690639999995,0.18846698976,0.7722778140000001,0.00124812576,0.009048911759999998,0.017785792079999998,0.0034323458399999995,0.00031203144,0.01965798072
Guangxi,0.010688131440000002,0.00158342688,0.0118757016,0.022167976320000005,0.003958567200000001,0.005146137360000001,0.0019792836000000003,0.02414725992,3.12251780736,0.01147984488,0.00870884784,0.02929339728,0.16269711192000005,0.002770997040000001,0.0019792836000000003,0.08352576792000001,0.0035627104799999996,0.01266741504,0.044731809360000006,0.041169098880000005,0.030876824160000007,0.11479844880000001,0.01623012552,0.17417695680000006,,0.00039585672,0.00039585672,0.0035627104799999996,,,0.00475028064
