,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Inner Mongolia,Jiangsu,Heilongjiang,Sichuan,Hubei,Shaanxi,Guangdong,Shanghai,Jilin,Hunan,Zhejiang,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,1.14095791944,1.2964709599199995,,0.20629280879999998,0.23088925908000005,0.30309174216,0.4601916503999999,0.09997266888,1.20363919596,0.31340638260000003,0.18804382956000001,0.20549937492,0.18328322628,0.1428180984,0.19835847,0.18883726344,0.12774285468,0.25072510608000004,0.09997266888,0.06506157815999998,0.11266761095999997,0.07696308635999999,0.04601916503999999,0.07696308635999999,0.05950754099999999,0.05395350383999999,0.0317373552,0.01904241312,0.0119015082,0.0015868677599999998,0.5189057575199999
Henan,0.48574298376,,0.75890060892,0.27024549696,0.06930865116,0.05707771272000001,0.8037473832000002,0.03319826148,0.39663186084,0.037857666600000006,0.17181556380000002,0.5649528708,0.320334102,0.29063039436,0.13628759976,0.02737400508,0.16482645612000002,0.22772842524000006,0.09959478444,0.053000733240000014,0.1106608716,0.06989107680000001,0.07571533320000001,0.06639652296,0.04950617940000001,0.0669789486,0.04135222044,0.015725492280000003,0.012813364080000002,0.00407697948,0.3267407840400001
Hubei,0.11449337039999999,0.8422054704,0.1392355818,0.05191012980000001,0.021346221600000003,0.039781594799999986,0.2876888502,0.0184353732,0.2066702364,0.0295936254,0.20812566059999998,,0.17465090400000002,0.33232185899999994,0.09751342139999998,0.0189205146,0.6990887574000001,0.16834406580000005,0.3619154844,0.042692443200000006,0.133413885,0.3822914232,0.039781594799999986,0.06743465459999999,0.0936322902,0.09605799720000001,0.021346221600000003,0.0082474038,0.005821696800000001,0.0019405656,0.12856247099999998
Hunan,0.07470931968000001,0.26148261888,0.07655399423999999,0.029975961600000007,0.01245155328,0.027208949760000004,0.1106804736,0.0138350592,0.11436982272,0.020752588800000003,0.15080214528,0.7885983744,0.06825295872,0.8752980787200001,0.05902958592,0.017985576960000003,,0.13235539968,0.47546486783999997,0.02167492608,0.10929696768,0.17708875776,0.048422707200000005,0.09085022208,0.37539127295999997,0.34772115456,0.011529216,0.00599519232,0.00553402368,0.0023058432,0.08762204159999999
Guangdong,0.19585263456,2.45706032448,0.28487655936,0.09792631728,0.0445119624,0.12018229847999999,0.7032890059200001,0.03560956992,0.37390048416,0.10237751352,2.71077851016,3.21821488152,0.45847321272,,0.24036459695999998,0.07121913984,9.552267131039999,0.4228636428,5.786555112,0.11573110224000001,1.2329813584799998,1.36651724568,0.3115837368,0.9303000141600001,1.7893808884799998,10.35793365048,0.031158373680000007,0.01335358872,0.00890239248,,0.27152297064
Guangxi,0.06419716884,0.1426603752,0.07170560964,0.022900744440000002,0.013139771399999998,0.02402701056,0.07095476556,0.010136395079999999,0.06494801291999999,0.01651856976,0.19108981836,0.15167050416,0.04767859908,1.1033653755600001,0.03416340564,0.015016881599999999,0.6036786403199998,0.07658609616,0.14190953112,0.015392303639999997,0.11638083240000001,0.09798515244,0.05668872804,0.19634572692,0.32736801888,,0.00488048652,0.0037542203999999997,0.00225253224,,0.0506819754
Hainan,0.051184742400000004,0.08093587392000001,0.035029558079999995,0.025272466559999998,0.01935423072,0.028791417599999997,0.04030798464,0.013755899519999998,0.04222741248,0.02591227584,0.12508271424,0.07501763807999999,0.03454970112,0.32758235136,0.04190750784,0.01775470752,0.11020714847999999,0.04526650656,0.06110178623999999,0.01071680544,0.043187126400000005,0.05214445631999999,,0.02431275264,0.04926531456,0.1111668624,0.01055685312,0.006558045119999999,0.00431871264,0.00031990464,0.07741692287999999
Chongqing,0.05847813792000001,0.12389436000000005,0.06442506720000002,0.036177153120000013,0.013876168320000005,0.02031867504,0.05847813792000001,0.011398281120000004,0.08672605200000003,0.013876168320000005,2.38471864128,0.3622671086400001,0.11695627584000005,0.15957593568000006,0.05104447632000001,0.009911548800000005,0.17642556864000006,0.07384103856000003,0.06789410928000003,0.038655040320000014,0.06392948976000001,,0.05104447632000001,0.16155824544000005,0.5456307614400001,0.07235430624000001,0.02824791408,0.008424816480000003,0.007929239040000003,0.007929239040000003,0.06690295440000002
Sichuan,0.11188611,0.22569026760000002,0.10421391960000001,0.06777101519999999,0.022377222000000002,0.044754444000000004,0.09206628480000001,0.026213317200000003,0.1329846336,0.0274920156,,0.2327231088,0.364429044,0.2787562512,0.08567279280000001,0.0249346188,0.153443808,0.1157222052,0.1010171736,0.15600120480000002,0.08886953880000001,2.1168852012,0.0811973484,0.7921536588000001,0.5165941535999999,0.105492618,0.0556233804,0.016623079199999998,0.041557698,0.044115094800000004,0.1489683636
Guizhou,0.041926095719999994,0.09731469924000001,0.04115680956,0.0134625078,0.005385003120000001,0.009616077,0.04577252652,0.004615716959999999,0.061542892800000006,0.0073082185200000005,0.68812647012,0.13616365032,0.05231145888,0.14924151504,0.02846358792,0.00692357544,0.49734350244,0.10116113004,0.09923791464,0.011154649319999998,0.09577612692,0.6292760788799999,0.032694661800000004,0.6700482453600001,,0.2654037252,0.00346178772,0.0015385723199999998,0.0015385723199999998,0.0007692861599999999,0.03884895108
