,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Shaanxi,Shanghai,Anhui,Zhejiang,Sichuan,Hubei,Jilin,Hunan,Gansu,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Fujian,0.032511261599999994,0.0206168976,0.073348578,0.09317251800000001,0.017841546,0.0114978852,0.0233922492,1.1664406295999998,0.24502389839999994,0.011894364,0.045595061999999985,0.34176472559999993,0.1074457548,0.5919428483999999,0.07493449320000001,0.1359922284,0.006740139599999999,0.13638870720000001,0.015066194399999996,0.410355558,0.0618506928,,0.028149994799999994,0.049163371199999986,0.071366184,0.07652040839999998,0.004361266799999999,0.0035683092,0.0023788728,0.0011894363999999998,0.09555139079999997
Jiangxi,0.05465382984,0.033559369199999994,0.09204855552,0.10930765968,0.01246490856,0.00862955208,0.019176782399999998,3.5045569836,0.5561266896,0.007670712959999999,0.058489186320000004,0.7354296050400001,0.24833933208,1.67509194264,0.07766596872000002,0.36627654384,0.007670712959999999,0.61653355416,0.013423747680000002,,0.06424222103999999,0.8255604823199999,0.03164169096,0.05944802544,0.12848444207999998,0.08533668168,0.00287651736,0.00287651736,0.00287651736,0.0009588391199999999,0.17067336336
Shandong,1.44842539824,0.82829773152,,1.08357996888,0.26733418848,0.13476272615999998,0.28705556304,0.22350891168,1.7398634889599998,0.13695399,0.25309097352,0.66176167968,0.39661875504,0.47550425328,0.11175445584,0.17420547528000002,0.09203308127999997,0.10298940047999998,0.05806849176,0.1040850324,0.06135538752000001,0.07888549823999999,0.026295166079999998,0.04272964488,0.03944274912,0.036155853360000004,0.030677693760000006,0.02958206184,0.018625742639999998,0.00438252768,1.98966756672
Henan,0.8465182214399999,0.3711547008000001,1.2847662720000002,,0.08707860288,0.08707860288,0.71661407616,1.0035452102400002,1.6987465152000003,0.028550361600000008,0.79084501632,1.0920513312,0.9735673305600001,1.24765080192,0.20413508544000006,0.8850612095999999,0.028550361600000008,0.32119156800000004,0.11848400064000003,0.19556997696000006,0.12133903680000002,0.16701961535999998,0.03711547008,0.055673205120000006,0.08136853056,0.07280342208000001,0.052818168960000016,0.03711547008,0.039970506240000016,0.009992626560000002,1.5959652134399998
Hubei,0.1431330264,0.07567953120000001,0.1711015488,0.6424534115999999,0.022210297200000003,0.0197424864,0.0682760988,2.1033974052,0.5198854752000001,0.008226035999999999,0.25994273760000003,0.4532545836,0.2846208456,0.6819383844,0.2171673504,,0.009048639600000002,0.8587981584000001,0.0394849728,0.3932045208000001,0.3298640436,0.19660226040000006,0.04113018,0.06663089160000002,0.12750355800000002,0.11269669320000003,0.0098712432,0.0098712432,0.011516450400000005,0.0024678108,0.3339770616
Hunan,0.06539648075999999,0.02982997368,0.09637376112,0.19160021556,0.01835690688,0.01376768016,0.0344192004,6.338869407000001,0.28682667,0.00917845344,0.10440490788,0.29026859004,0.12505642812,0.47269035216000005,0.15373909512,0.7503385687199999,0.008031146760000002,,0.02524074696,0.56562219324,0.20307328235999997,0.20192597568,0.06998570747999999,0.13538218824,0.6046306203599999,0.42909269831999997,0.011473066799999999,0.006883840079999999,0.0057365333999999995,0.00229461336,0.2065152024
Guangdong,0.07693995599999999,0.032314781519999995,0.11617933356,0.28390843764,0.05078037096,0.030775982400000002,0.04462517448,,0.20850728076,0.03308418108,0.09848314367999998,0.19158049044,0.13541432256,0.28544723676,0.27390624336,0.44471294568,0.021543187680000003,1.32182844408,0.042316975800000003,0.6955372022399999,0.19004169131999998,0.48472172280000003,0.24082206228,0.16465150584000002,1.5449543164799997,0.24620785920000002,0.017696189879999998,0.010771593840000001,0.015387991200000001,0.0038469978000000003,0.17311490100000002
Guangxi,0.029163071519999997,0.0099419562,0.03247705692,0.04904698392,0.01193034744,0.00530237664,0.01922111532,4.77412736724,0.056337751799999995,0.008616362039999999,0.028500274439999997,0.057000548879999995,0.02386069488,0.08152404083999999,0.12328025688,0.08417522915999999,0.0033139854,0.39303866844,0.01193034744,0.06826809923999999,0.11201270652,0.06230292551999999,0.06760530216,0.17166444372,,0.26445603491999997,0.00265118832,0.00132559416,0.00198839124,0.00066279708,0.06097733136
Hainan,0.0190575504,0.0095287752,0.0175990644,0.031114367999999996,0.010209402,0.0078758244,0.0124457472,0.34138295639999994,0.0279056988,0.011473423200000001,0.0210994308,0.0370455444,0.013418071200000001,0.0283918608,0.048130038,0.030142044,0.0057367116000000004,0.0487134324,0.0057367116000000004,0.0146820924,0.038990192400000005,0.014584859999999996,,0.015265486800000004,0.0623259684,0.032864551199999995,0.0018474156,0.0025280424,0.0012640212,9.72324e-05,0.0586311372
Chongqing,0.04140990863999999,0.018466580880000003,0.05204218248,0.09569046456000001,0.01566861408,0.018466580880000003,0.03917153519999999,0.40962233952,0.10800151847999998,0.00783430704,0.2126454768,0.1063227384,0.04980380904,0.14773264704000003,2.2982499295200003,0.3738083644799999,0.005595933599999999,0.19138092912000002,0.09009453096,0.05204218248,,0.08114103719999999,0.032456414879999985,0.32736211559999995,0.08897534424,0.57190441392,0.016787800800000002,0.01231105392,0.017906987519999997,0.011751460559999998,0.09345209111999997
