,Hebei,Tianjin,Shandong,Henan,Shanxi,Hunan,Liaoning,Anhui,Shaanxi,Inner Mongolia,Guangdong,Jiangsu,Heilongjiang,Jilin,Sichuan,Guizhou,Gansu,Shanghai,Zhejiang,Hubei,Fujian,Jiangxi,Yunnan,Hainan,Chongqing,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangdong,0.00926395704,0.00261291096,0.015321159719999998,0.03574937268,0.005938434,0.27506826288,0.008313807599999999,0.01496485368,0.009857800440000002,0.00380059776,,0.019240526160000004,0.007126120800000002,0.00498828456,0.03634321608,0.06841075967999999,0.018884220120000003,0.01947806352,0.03230508096,0.018527914080000003,0.06983598383999999,0.08242546392000001,0.0231598926,0.03966873912,0.01983436956,0.2422881072,0.007838732880000001,0.0008313807600000003,0.00570089664,0.00023753736,0.019240526160000004
Guangxi,0.006196260239999999,0.0008152974000000001,0.006196260239999999,0.01027274724,0.00211977324,0.07402900392000003,0.0024458922000000004,0.00505484388,0.0032611896000000005,0.0008152974000000001,1.25506881756,0.00962050932,0.0016305948000000002,0.00277201116,0.028535409000000005,0.07696407456,0.0017936542800000004,0.01108804464,0.027720111600000003,0.004076487,0.013860055800000002,0.013860055800000002,0.045493594920000005,0.009131330880000002,0.0053809628400000005,,0.00048917844,0.00032611896000000004,0.0008152974000000001,,0.00766379556
Hainan,0.011187729720000004,0.00140947776,0.0054617263200000005,0.016855004880000003,0.00901478484,0.008779871880000002,0.007722763560000002,0.0025253143200000003,0.004169705040000001,0.00604900872,0.07343966412000001,0.006372014040000001,0.017383559040000003,0.01289084868,0.018675580320000003,0.007429122360000002,0.0053736339600000006,0.00936715428,0.008339410080000002,0.004962536280000001,0.003611786760000001,0.007722763560000002,0.0024665860800000003,,0.011187729720000004,0.01015998552,0.0012920212800000006,0.00035236944000000003,0.0022610372400000004,2.9364120000000014e-05,0.016385178960000003
Chongqing,0.008672832000000002,0.0020907720000000003,0.006272316000000003,0.0077436000000000015,0.0022456439999999998,0.037091844,0.0019359,0.0044912879999999995,0.006349751999999999,0.001238976,0.141398136,0.013473863999999999,0.000464616,0.00038718,0.23091415200000004,0.087812424,0.004413851999999999,0.017190792000000003,0.038795436,0.055831356,0.031129272,0.008750268,0.03174876,0.002400516,,0.014170788000000004,0.0017810279999999998,0.000464616,0.0010841040000000002,0.002632824,0.009911808
Sichuan,0.011303815679999999,0.004592175120000001,0.014306391720000004,0.03214522584,0.00777137328,0.026669940120000003,0.007418129039999999,0.0105973272,0.04009322124,0.0028259539199999998,0.32109901416,0.04821783876,0.0017662212,0.0017662212,,0.15136515684000001,0.02402060832,0.04892432724,0.1006746084,0.011303815679999999,0.051573659040000004,0.01042070508,0.2949589404,0.00865448388,0.40587763176,0.05086717056,0.004592175120000001,0.0014129769599999999,0.00989083872,0.02437385256,0.034088069160000005
Guizhou,0.0025359609600000004,0.00078029568,0.00234088704,0.004974384960000001,0.0005852217599999999,0.07832217888,0.00048768480000000006,0.004876848,0.00214581312,0.00029261088,0.24413501088000003,0.0131674896,0.00048768480000000006,0.00039014784,0.11255765183999998,,0.0009753696000000001,0.01687389408,0.057449269439999985,0.0036088675200000005,0.02643251616,0.016093598400000002,0.18814879584,0.00214581312,0.08261380512000001,0.09646405344,9.753696e-05,9.753696e-05,9.753696e-05,0.00019507392,0.013947785280000001
Yunnan,0.00479063808,0.00119765952,0.004640930639999999,0.00621285876,0.0017216355599999995,0.017366063039999997,0.00247017276,0.003592978559999999,0.00456607692,0.0004491223199999999,0.0924443442,0.01369823076,0.0008233909199999999,0.0006736834799999999,0.24432254208,0.1942454034,0.0017216355599999995,0.011677180320000001,0.03054031776,0.00366783228,0.014222206799999996,0.005164906679999999,,0.0016467818399999998,0.014671329119999996,0.059358999959999985,0.0008233909199999999,0.00022456115999999995,0.0005239760400000001,0.00119765952,0.008757885239999997
Tibet,0.000129276,,,0.0002253096,9.60336e-05,0.0001606716,3.1395600000000015e-05,9.60336e-05,0.00019391400000000005,3.1395600000000015e-05,0.0003878280000000001,3.1395600000000015e-05,,,0.007839666000000002,6.4638e-05,0.0011653308,,,0.000129276,3.1395600000000015e-05,6.4638e-05,0.0014238828,,0.0007775028000000001,3.1395600000000015e-05,0.000129276,3.1395600000000015e-05,0.0052800012,,9.60336e-05
Shaanxi,0.014503147199999997,0.004011508799999999,0.017434634399999996,0.039035066399999985,0.12481963919999997,0.012728826,0.004242942,0.011031649199999998,,0.0719757252,0.07915015439999999,0.06040406519999999,0.0010800216,0.0012343104,0.04096367639999999,0.006865851599999999,0.06881280479999999,0.023374753199999997,0.042815142,0.016431757199999997,0.011185937999999998,0.004011508799999999,0.008563028399999999,0.0016200323999999995,0.010491638400000001,0.004242942,0.0025457652,0.032940658799999994,0.007714439999999999,0.0018514656,0.0442037412
Gansu,0.0044684946,0.0056152764,0.0080670168,0.0114282738,0.0028076382,0.0033612570000000003,0.0016608564000000002,0.0030449034000000004,0.06793693560000001,0.0157385916,0.0211956912,0.024912846,0.0008699724000000001,0.0008699724000000001,0.0246360366,0.0017004006,,0.020760705,0.0157385916,0.00197721,0.0042312294000000005,0.0017399448000000005,0.0028471824,0.0009490608,0.005457099599999999,0.0020167542,0.0100046826,0.06584109299999999,0.0495884268,0.0017794890000000004,0.013563660600000004
Qinghai,0.00070569144,0.000189702,0.0012292689600000002,0.0021322504800000003,0.00048563712,0.00038699207999999996,0.00028834704,0.00067533912,0.0025875352800000004,0.0006449868,0.00161626104,0.0009029815199999998,6.070464e-05,,0.005144718239999999,3.035232e-05,0.043252056,0.0006449868,0.00103197888,0.00025799472,0.00031869935999999995,6.070464e-05,0.00034905167999999996,0.00012899736,0.00119132856,0.00034905167999999996,0.00232954056,0.0012899736,,0.00566829576,0.00181355112
Ningxia,0.00131739048,0.00090066492,0.0018685436399999997,0.00229871196,0.0025137961200000004,0.0005108248800000001,0.00018819864000000006,0.00096787872,0.022960234080000003,0.033848869680000004,0.0031993768800000003,0.00229871196,0.00025541244000000003,9.409932000000003e-05,0.0015190318799999999,2.6885520000000007e-05,0.046646377200000005,0.0019088719199999997,0.00170723052,0.00048393936,0.0006049242000000001,0.00034951176,0.0005377104000000001,0.00012098484,0.00028229796,0.00028229796,0.0006721380000000001,,0.0019088719199999997,2.6885520000000007e-05,0.003884957640000001
Xinjiang,0.0008084577600000001,0.00054400896,0.0014204678399999994,0.00219870288,0.00031733855999999995,0.0008689031999999999,0.00051378624,0.00051378624,0.00210047904,0.00255381984,0.012247757279999999,0.00210047904,0.0002266704,0.00025689312,0.008296136640000002,0.00012844656,0.02015855424,0.00395162064,0.0008689031999999999,0.0006800112000000001,0.0007102339199999997,0.00012844656,0.0005817873599999999,0.0005817873599999999,0.00164713824,0.0007102339199999997,,0.00048356352,0.00320360832,,0.006641442719999999
Taiwan,3.1492800000000004e-05,0.00012912048000000002,0.00012912048000000002,6.456024000000001e-05,,0.00016218792,3.1492800000000004e-05,0.00042200352,6.456024000000001e-05,9.605304e-05,0.00431766288,0.0030185848800000003,3.1492800000000004e-05,3.1492800000000004e-05,9.605304e-05,3.1492800000000004e-05,,0.00256351392,0.0008440070400000001,3.1492800000000004e-05,0.0026611416,,,,3.1492800000000004e-05,9.605304e-05,,,,,0.00012912048000000002
Hong Kong,6.12846e-05,0.00015933996000000005,0.0002247102,6.12846e-05,0.00012665483999999997,0.00032276556,9.396972e-05,2.8599480000000005e-05,9.396972e-05,6.12846e-05,0.034343889839999996,0.00019202508,6.12846e-05,6.12846e-05,9.396972e-05,,,0.00161791344,0.0002247102,,0.0008089567199999999,2.8599480000000005e-05,0.00012665483999999997,9.396972e-05,0.00025739532,9.396972e-05,,,,,0.00042082092
Macau,2.9467800000000003e-05,,,2.9467800000000003e-05,9.429695999999999e-05,5.8935600000000005e-05,,5.8935600000000005e-05,2.9467800000000003e-05,,0.05588862948,2.9467800000000003e-05,,,,,,5.8935600000000005e-05,2.9467800000000003e-05,,0.00031825224,,5.8935600000000005e-05,,0.00015912612,9.429695999999999e-05,,,,,2.9467800000000003e-05
