,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08829412128000001,0.03505795992,0.1980125514,0.32136463260000003,1.4029676182799997,0.041550174720000006,0.048691610999999996,0.28176212232000003,1.26078811416,0.020125865880000003,,0.07271280576000001,0.13049351748,0.19216955808,0.7083006346799999,0.02661808068,0.19606488696,0.0194766444,0.09998010792000002,0.34019205552000004,0.4687379085600001,0.032461074,0.07271280576000001,0.02467041624,0.05648226876,0.16100692704000003,0.014932094040000001,0.008439879240000002,0.005842993320000001,0.0012984429600000002,0.1493209404
Anhui,0.07525118052,0.03838315248,0.21060229716000006,0.53231371992,1.9257231632400005,0.03232265472,0.022221825120000004,0.13080574332,0.45150708312,0.011110912560000002,0.744936183,0.056059604280000015,0.045958774680000015,0.17777460096000006,,0.008585705160000002,0.07626126348000001,0.0075756222000000015,0.04494869172,0.06515035092,0.1565628588,0.01616132736,0.01919157624,0.01161595404,0.022221825120000004,0.02474703252,0.0075756222000000015,0.005050414800000001,0.0035352903600000007,0.00101008296,0.1161595404
Fujian,0.035246016,0.0189447336,0.04648068359999999,0.06983116919999999,0.1227001932,0.021147609599999995,0.0202664592,0.4319839836,0.10904236199999999,0.010353517199999995,0.3698628804,0.032382277200000004,0.0658659924,0.0755586468,0.0757789344,0.0123361056,0.08855561519999998,0.007710065999999998,0.0581559264,,0.25861764239999996,0.021367897200000003,0.0409734936,0.012556393199999998,0.0449386704,0.06608628,0.007930353599999999,0.0035246016,0.003304314,0.0013217255999999995,0.062781966
Jiangxi,0.026367495839999998,0.009686018879999998,0.045201421439999986,0.06699496392000001,0.14932612439999998,0.0107622432,0.0107622432,0.5480672349600001,0.12699446975999998,0.00457395336,0.4326421766399999,0.02098637424,0.03524634648,0.20932563024,0.15094046088,0.004035841199999999,0.36484004448,0.004035841199999999,0.040358412,0.22950483623999995,,0.0174886452,0.025022215440000002,0.0069954580799999975,0.04466330928,0.031479561359999984,0.0037667851200000003,0.0021524486399999996,0.0016143364799999995,0.00026905607999999994,0.06188289839999999
Shandong,0.8858755641600001,0.22819574988000002,,0.7202913465599999,0.9810864892799999,0.14540364107999998,0.13712443019999998,0.12884521932,0.17024127371999995,0.05329742004,0.23337025668000003,0.12211836048000001,0.07710015131999999,0.09624582648,0.24630652368,0.06468133499999999,0.07658270063999999,0.042430955759999986,0.059506828199999987,0.05588467344,0.05847192684,0.02121547788,0.0310470408,0.026907435359999995,0.0362215476,0.0284597874,0.01966312584,0.013453717679999998,0.00724430952,0.00103490136,0.3974021222399999
Henan,0.43652034,0.0989446104,0.7158933576000001,,0.5273165707199999,0.407418984,0.05063635944,0.34281397367999994,0.19265097672,0.03608568144,0.4103291196,0.34747019063999995,0.1134952884,0.50927373,0.57271468608,0.015132705119999998,0.14667083424,0.013968650879999996,0.07158933576,0.08672204087999999,0.08031974255999999,0.03724973568,0.035503654319999994,0.05471054927999999,0.04481608824,0.03957784416,0.03899581704,0.019206894960000002,0.016296759360000003,0.0034921627199999998,0.34397802792
Hubei,0.06325825571999999,0.01876560696,0.0711277038,0.3892350088799999,0.18129997692000002,0.028148410439999997,0.02179231776,0.36138926952,0.10593487800000001,0.010593487799999995,0.17887860827999996,0.10260549612,0.08656392887999999,,0.15557293511999995,0.006961434839999999,0.47337756912,0.006053421599999999,0.19249880688,0.06325825571999999,0.20944838736,0.026937726119999998,0.03389916096,0.0166469094,0.04328196444,0.03722854284,0.011804172120000001,0.00393472404,0.00423739512,0.0015133553999999998,0.11350165499999998
Hunan,0.03715561044,0.01670298084,0.044314030800000015,0.09169595604,0.10839893687999999,0.018748243799999998,0.017725612319999997,1.05637831884,0.08453753568,0.007840174679999999,0.16089401952,0.04158701352,0.07090244927999999,0.4329139932,0.052154205480000014,0.008862806159999998,,0.0064766660400000006,0.1090806912,0.06578929187999999,0.31292523288,0.035110347480000005,0.056244731400000005,0.01124894628,0.25258997555999996,0.20179927872,0.00920368332,0.004431403079999999,0.004772280240000001,0.00136350864,0.08112876408
Guangdong,0.07708659840000001,0.037351238399999986,0.1049013504,0.26622691200000004,0.2574851328000001,0.0452983104,0.053245382400000006,,0.21933918719999998,0.0190729728,0.2948363712,0.1064907648,0.28212105600000004,0.3568235328,0.13112668800000002,0.029404166400000008,1.3080880512000002,0.0206623872,0.2098027008,0.4545725184,0.6135139584,0.1986768,0.16212026880000002,0.027020044800000004,1.939085568,0.2296703808,0.0246359232,0.0095364864,0.0103311936,0.003973536000000001,0.2272862592
Guangxi,0.025114166640000008,0.007140302280000002,0.02733012252000001,0.040133423160000015,0.04456533492000001,0.00960247548,0.009848692800000005,1.3320357012000004,0.035209076760000006,0.004185694440000001,0.05342915844000001,0.020682254880000004,0.05638376628000001,0.04727372544,0.020436037560000002,0.0059092156800000005,0.22775102100000005,0.003200825160000001,0.04210316172000001,0.04234937904000001,0.042595596360000015,0.033977990160000006,0.10562723028000004,0.005662998360000001,,0.16718156028000006,0.0029546078400000003,0.003447042480000001,0.0009848692800000002,0.0007386519600000001,0.03914855388000001
Hainan,0.015935356799999998,0.007388210880000002,0.01470398832,0.025134403680000004,0.028900942560000007,0.01318288608,0.0119515176,0.19144158192000002,0.03252261456,0.00463574016,0.02984257728,0.016587257759999998,0.035057784960000005,0.023106267360000002,0.01180665072,0.013689920159999999,0.03817242288,0.006084408960000001,0.028176608160000005,0.0177461928,0.0141245208,,0.01470398832,0.00420113952,0.06243762528000001,0.01970189568,0.00210056976,0.00123136848,0.00195570288,0.00014486688,0.03578211936000001
Chongqing,0.02870308224,0.01225860804,0.03946673808,0.05202433656,0.08132539968000001,0.0194343786,0.01734144552,0.16265079936,0.062489001959999985,0.0089697132,0.08371732319999999,0.08371732319999999,1.28685485376,0.2122832124,0.034084910159999995,0.0059798088,0.13514367887999998,0.00418586616,,0.04514755643999999,0.02661014916,0.029600053559999995,0.0882021798,0.024218225640000004,0.03797178588,0.30497024879999995,0.01255759848,0.005381827919999999,0.00627879924,0.00837173232,0.06547890635999999
Sichuan,0.05414667264,0.02622729456,0.058376881439999986,0.09010344743999998,0.11675376288,0.0401869836,0.028765419839999997,0.26396502911999997,0.0994099068,0.015228751680000001,0.11886886728,0.28934628192,,0.09052646832,0.043994171519999986,0.010575522,0.07995094632000001,0.010575522,1.4044293216,0.06683729904,0.03003448248,0.03934094184,0.4699761976799999,0.11463865848,0.06641427816,0.31134336768000004,0.038071879200000006,0.01184458464,0.034687712159999995,0.058799902319999986,0.13790480687999998
Guizhou,0.0184729248,0.00554187744,0.019627482600000003,0.03140397216,0.05403330504,0.00946737396,0.00785099304,0.24314987268000002,0.03994769988,0.00392549652,0.15678894924,0.027478475639999996,0.31473245628,0.039024053639999993,0.02055112884,0.003232761840000001,0.2574663894,0.00207820404,0.32835623832,0.06188429808,0.03325126464,0.02286024444,0.3687657613200001,0.0069273468,0.18265104395999998,,0.004387319640000001,0.00207820404,0.00184729248,0.0004618231200000001,0.0369458496
Yunnan,0.01923895152,0.008194368239999998,0.02387055096,0.035271411119999985,0.04738482504,0.0097976142,0.01122272172,0.15765251939999994,0.044712748439999984,0.0055222916399999995,0.07000840691999999,0.032599334519999995,0.4715324506799999,0.029927257919999988,0.017457567119999996,0.005700430079999999,0.06270473087999999,0.0035627687999999994,0.09797614199999996,0.032599334519999995,0.0195952284,0.016388736479999996,,0.0080162298,0.13057547651999998,0.35485177247999994,0.005700430079999999,0.0028502150399999995,0.0028502150399999995,0.011578998600000001,0.039012318359999985
Tibet,0.0024170562,0.00090376884,0.0027113065200000002,0.006431471280000001,0.00416154024,0.0012610728,0.00092478672,0.00712506132,0.00161837676,0.00090376884,0.0022278952800000003,0.01023570756,0.07814447784,0.00161837676,0.0014712515999999998,0.00056748276,0.00264825288,0.00050442912,0.01406096172,0.001050894,0.0006935900400000001,0.00044137548,0.0129259962,0.007629490440000001,0.00145023372,0.00163939464,0.0040774687200000005,0.00050442912,0.03524698476,,0.0043086654
Shaanxi,0.09763960320000001,0.022274034480000003,0.0869602716,0.30024177984,0.11808289512,0.4409038331999999,0.03234311856,0.1022164596,0.060414504479999985,0.26332180488,0.07078871231999999,,0.274611384,0.12449049408,0.047599306560000006,0.011899826640000001,0.05309153424,0.00823834152,0.08604490031999999,0.030512376,0.02166378696,0.0167818068,0.0335636136,0.36401264568,0.02044329192,0.02563039584,0.035699479919999985,0.12418537032,0.03234311856,0.00488198016,0.13486470192
Gansu,0.02439759528000001,0.009728155080000002,0.024552010440000004,0.047714284440000004,0.041537678040000005,0.019919555640000003,0.007875173160000002,0.033816920040000004,0.02532408624,0.06578085816000001,0.03041978652,0.4495025307600001,0.13109847084,0.01914747984,0.01343411892,0.0024706425600000003,0.017448913080000003,0.0021618122400000007,0.02794914396000001,0.012044382480000004,0.0069486822,0.0071030973599999995,0.01111789152,,0.007875173160000002,0.007720758000000001,0.07473693744000001,0.16970226084000004,0.20043087767999998,0.0046324548000000005,0.04524364188000001
Qinghai,0.006927900840000001,0.0019794002399999996,0.006511185,0.01599147036,0.011199238200000001,0.004375516320000001,0.00140641596,0.0127619226,0.00697999032,0.00510476904,0.00838640628,0.038910841560000006,0.047974411080000015,0.0054173059200000005,0.0046880532,0.0013543264800000001,0.006459095519999999,0.00062507376,0.00916774848,0.00250029504,0.0017710423199999998,0.00213566868,0.00322954776,0.2385698184,0.0021877581600000004,0.00187522128,0.023388176519999998,0.014376696480000001,,0.022294297440000003,0.01156386456
Ningxia,0.01462212,0.0044597466,0.0122094702,0.0209827422,0.012794355000000002,0.0158650002,0.0035093088,0.016449885,0.011624585400000002,0.1650106242,0.012794355000000002,0.1413959004,0.017473433400000002,0.006945506999999999,0.0054101843999999994,0.0022664286,0.006945506999999999,0.001462212,0.008553940199999999,0.005921958600000001,0.0024857604,0.0019008756,0.0048252996,0.1788285276,0.0023395392000000004,0.004898410200000001,0.0092119356,,0.013013686799999999,0.00014622120000000002,0.025369378200000004
Xinjiang,0.021026304,0.006780672,0.024198912000000003,0.047278079999999986,0.028055808,0.008895743999999999,0.008646912,0.026376192000000003,0.025940736000000002,0.013250304,0.01586304,0.056360448,0.050201855999999996,0.008957952,0.00902016,0.002861568,0.012814848,0.003048192,0.01617408,0.005847551999999999,0.001928448,0.007091711999999998,0.006594048000000001,0.12254975999999998,0.005474304,0.00435456,,0.010761984,0.033094656,0.0032970240000000004,0.03452544
Taiwan,0.00012952224,,9.701856e-05,9.701856e-05,6.451488000000002e-05,,6.451488000000002e-05,0.00029154816000000005,0.0012632112000000005,9.701856e-05,0.00025904448000000003,,,,0.00012952224,6.451488000000002e-05,6.451488000000002e-05,3.201120000000001e-05,3.201120000000001e-05,0.0016522704,3.201120000000001e-05,,6.451488000000002e-05,,6.451488000000002e-05,,6.451488000000002e-05,,,,0.00025904448000000003
Hong Kong,,,0.00012855024,,,3.213756e-05,3.213756e-05,0.022387518720000003,0.00074410812,,6.427512e-05,,3.213756e-05,9.641268000000002e-05,,,3.213756e-05,,3.213756e-05,0.00042026040000000013,6.427512e-05,6.427512e-05,,3.213756e-05,6.427512e-05,,,,,,9.641268000000002e-05
Macau,0.0010604196000000001,0.00032273640000000004,0.0008529462000000001,0.0008529462000000001,0.0020055762,0.0005993675999999999,0.0004841046,0.2024248806,0.0027432594,0.000115263,0.0017981028000000005,0.00032273640000000004,0.0016828398,0.0023974704,0.0002766312,0.00016136820000000002,0.0017750501999999999,0.000115263,0.0006685253999999999,0.0015445242,0.0013139982,0.0008529462000000001,0.0002766312,9.22104e-05,0.0021669444,0.0006685253999999999,4.6105200000000014e-05,4.6105200000000014e-05,2.3052600000000007e-05,,0.0024205230000000004
