,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Shaanxi,Anhui,Sichuan,Hunan,Gansu,Jilin,Zhejiang,Heilongjiang,Shanghai,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Xinjiang,Tibet,Beijing
Zhejiang,0.030477931560000004,0.010997191799999998,0.09928893168,0.15647432904,0.01948073976,0.017281301399999997,0.00596990412,0.16275843864,0.8156774260799999,0.047130822,0.41820749388000006,0.048701849400000004,0.08389286316,0.01633868496,0.0069125205600000005,,0.006598315079999999,0.52189530228,0.27618661692,0.03110634252,0.16715731535999998,0.00816934248,0.0439887672,0.029849520600000002,0.07855137000000001,0.0031420548,0.0069125205600000005,0.00502728768,0.0031420548,0.00062841096,0.01382504112
Anhui,0.05966756783999999,0.031738068,0.20439315792,0.5922323488800001,0.030468545279999995,0.018408079440000003,0.011425704479999998,0.24184407816,2.26800233928,0.07426707912000001,,0.02602521576,0.040624727039999996,0.01332998856,0.004443329520000001,1.80208750104,0.0031738067999999998,0.50971337208,0.1332998856,0.012695227199999999,0.10473562439999999,0.009521420400000001,0.019042840800000002,0.0222166476,0.017138556719999996,0.00380856816,0.019042840800000002,0.0063476135999999996,0.0025390454399999997,0.0012695227199999999,0.05205043152
Fujian,0.015049913400000003,0.008284356000000001,0.038936473199999995,0.047220829200000015,0.014497623000000003,0.008284356000000001,0.0059371218,0.3964064346000001,0.08160090660000001,0.034656222599999995,0.038798400600000005,0.029685608999999998,0.0461162484,0.0091127916,0.0037279602000000007,0.2120795136,0.0020710890000000003,0.053986386600000005,0.15602203800000006,0.025129213200000004,,0.0106315902,0.0401791266,0.035208513000000004,0.039350691000000014,0.0016568712,0.0037279602000000007,0.0022091616000000005,0.0019330164000000004,0.0002761452000000001,0.012150388800000002
Jiangxi,0.015866675280000003,0.00735284952,0.037925223839999994,0.043343112960000006,0.0058048812000000005,0.0038699208,0.0027089445600000004,1.1764559232,0.16950253104000002,0.03328131888,0.10023094872000002,0.02670245352,0.24187005,0.00735284952,0.00116097624,1.23489172728,0.0007739841599999999,0.12035453687999999,,0.0232195248,0.41911242264,0.01780163568,0.037538231760000006,0.056887835760000005,0.041408152560000015,0.0015479683199999998,0.020123588159999997,0.0019349604,0.00116097624,0.00038699207999999996,0.012383746559999999
Shandong,0.67813118352,0.16602012072,,0.58754113992,0.11499389208,0.07247203488,0.04178234664,0.09502710695999997,0.8097640631999999,0.10759878648,0.18044057664000002,0.04326136776,0.03771503856,0.0258828696,0.02181556152,0.23183656056,0.02551311432,0.11092658400000001,0.04695892056,0.016269232319999997,0.0388243044,0.00702535032,0.020706295680000004,0.02366433792,0.019597029840000002,0.0110926584,0.008874126719999998,0.013680945359999998,0.00998339256,0.00147902112,0.1220192424
Henan,0.34251034356000004,0.08033291640000001,0.71058116052,,0.32206196484,0.03213316656,0.035784662759999995,0.90995285304,1.15971519312,0.34031944584,0.70400846736,0.08033291640000001,0.11611757916,0.060614836920000005,0.0073029924,1.33352641224,0.00438179544,0.27313191575999995,0.1570143366,0.03505436352,0.16139613203999995,0.01898778024,0.046008852120000006,0.051851246039999986,0.03797556048,0.01752718176,0.07156932551999999,0.03505436352,0.01971807948,0.005112094680000001,0.12342057155999997
Hubei,0.0031918276800000003,0.0006252033599999999,0.004606761599999999,0.0709112232,0.00121750128,0.00111878496,0.00059229792,0.02819996208,0.008522508960000001,0.016979207040000003,0.01615657104,0.0024350025600000003,0.08726522687999999,0.0011516903999999998,0.0009871632000000002,0.00760115664,0.00032905440000000004,0.0034879766400000003,0.018130897439999998,0.04445524944,0.002467908,0.00042777072,0.0007568251200000001,0.0028627732799999996,0.0014478393599999999,0.00023033808000000005,,0.00023033808000000005,0.00039486527999999996,,0.0015136502400000002
Hunan,0.02389113792,0.006193998720000001,0.031854850559999995,0.05353384608,0.0088485696,0.005309141759999999,0.00353942784,2.32761623328,0.10574040672,0.030969993599999995,0.04070342016,0.0376064208,,0.009290998079999998,0.00176971392,0.54551431584,0.00132728544,0.046012561919999986,0.27297837216,0.06990369984,0.13405582943999994,0.02964270816,0.06547941504,0.23714166528,0.20395952928,0.00132728544,0.09246755232000001,0.00265457088,0.0030969993600000003,0.0022121424,0.0199092816
Guangdong,0.029980500839999997,0.008421489,0.04177058544,0.12362745851999997,0.0134743824,0.017516697119999997,0.00606347208,,0.07175108628,0.04513918104,0.05322381048,0.1145322504,0.6565392824399999,0.01482182064,0.00741091032,0.11352167172000001,0.00741091032,0.03941256852,0.35740799316,0.06299273772000001,0.24186516408000003,0.10038414888,0.07343538408,0.82328476464,0.19200994920000003,0.0023580169200000003,0.01616925888,0.004379174279999999,0.0101057868,0.00033685956,0.02223273096
Guangxi,0.01289490192,0.0017909585999999998,0.01361128536,0.0232824618,0.00322372548,0.00394010892,0.00143276688,2.72870452296,0.02614799556,0.01002936816,0.0125367102,0.029013529320000005,0.16369361604000002,0.0025073420400000004,0.00322372548,0.08596601279999999,0.00214915032,0.01217851848,0.03796832232,0.016476819119999996,0.044773965,0.028655337599999997,0.11677050072,,0.18339416064,0.00071638344,0.00429830064,0.00035819172,0.00071638344,,0.004656492359999999
